"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,0,0,28,-0.587138527671553,28,1,0.499999982142858,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"B-cells","B intermediate lambda",0,0,0,142,-0.288317056583848,142,1,0.499999996478873,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"B-cells","B memory kappa",0,0,0,35,-0.618576481169485,35,1,0.499999985714286,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"B-cells","B memory lambda",0,0,0,30,-0.730503229691235,30,1,0.499999983333334,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"B-cells","B naive kappa",0,0,1,204,-0.760009438808823,205,0.995121951219512,0.49999999754902,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"B-cells","B naive lambda",0,0,0,15,-0.677978107731704,15,1,0.499999966666669,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"B-cells","Plasma",0,1,0,1,-0.16744973571394,2,0.5,0.249999875000062,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"Classical-Monocytes","CD14 Mono",24332,134,1236,15,1.17521256488641,25717,0.946727845394097,0.526164731565181,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"Classical-Monocytes","CD16 Mono",271,6,16,0,1.19019836376027,293,0.924914675767918,0.472125433895033,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"Classical-Monocytes","Doublet",104,0,5,0,1.2927835983867,109,0.954128440366973,0.47706421580675,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"Classical-Monocytes","HSPC",0,0,1,0,0.202052841683697,1,0,0,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"Classical-Monocytes","Platelet",6,0,53,0,1.96537377637579,59,0.101694915254237,0.0508474567652973,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"Classical-Monocytes","cDC1",0,0,2,0,0.543336627891034,2,0,0,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"Classical-Monocytes","cDC2_1",57,0,30,0,0.728902326980278,87,0.655172413793103,0.327586203131193,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"Classical-Monocytes","cDC2_2",8,0,17,0,0.723446129923043,25,0.32,0.1599999936,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"Classical-Monocytes","pDC",0,0,5,0,0.203361539246148,5,0,0,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"DCs","ASDC_mDC",0,1,0,0,0.973161983557794,1,0,0,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"DCs","CD14 Mono",76,8,9,1,0.989823078356322,94,0.819148936170213,0.502614367652613,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"DCs","CD16 Mono",43,3,8,0,1.04377333612429,54,0.796296296296296,0.421568619184929,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"DCs","CD4 CTL",0,0,0,2,-0.807586879346093,2,1,0.499999750000125,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"DCs","CD4 Naive",0,0,12,16,-0.721856964805994,28,0.571428571428571,0.499999968750002,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"DCs","CD4 TCM_1",0,0,9,11,-0.665613642219819,20,0.55,0.499999954545459,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"DCs","CD4 TCM_2",0,0,5,5,-0.86386087453139,10,0.5,0.49999990000002,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"DCs","CD4 TCM_3",0,0,13,4,-0.772638159054781,17,0.235294117647059,0.499999875000031,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"DCs","CD4 TEM_1",0,0,1,1,-0.972809946605249,2,0.5,0.4999995000005,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"DCs","CD4 TEM_3",0,0,5,2,-0.812655161200667,7,0.285714285714286,0.499999750000125,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"DCs","CD8 Naive",0,0,22,14,-0.820440970421708,36,0.388888888888889,0.499999964285717,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"DCs","CD8 Naive_2",0,0,1,1,-1.02965649697412,2,0.5,0.4999995000005,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"DCs","CD8 Proliferating",0,0,2,0,-1.07515418566862,2,0,0,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"DCs","CD8 TCM_1",0,0,0,2,-0.695222924570221,2,1,0.499999750000125,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"DCs","CD8 TCM_2",0,0,2,1,-0.906863858497479,3,0.333333333333333,0.4999995000005,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"DCs","CD8 TCM_3",0,0,2,1,-0.827251423448514,3,0.333333333333333,0.4999995000005,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"DCs","CD8 TEM_1",0,0,5,2,-0.585181323727712,7,0.285714285714286,0.499999750000125,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"DCs","CD8 TEM_2",0,0,2,0,-0.499633984182374,2,0,0,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"DCs","CD8 TEM_4",0,0,2,2,-0.0656167066358975,4,0.5,0.499999750000125,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"DCs","CD8 TEM_5",0,0,1,0,0.270350495723993,1,0,0,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"DCs","Doublet",13,0,2,1,0.843672494273315,16,0.875,0.933332804444946,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"DCs","HSPC",0,0,1,0,-0.636740502248294,1,0,0,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"DCs","MAIT",0,0,2,0,-0.774255988302478,2,0,0,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"DCs","NK Proliferating",0,0,1,0,-0.161724183878225,1,0,0,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"DCs","NK_1",0,0,0,1,-0.774153746305412,1,1,0.4999995000005,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"DCs","NK_3",1,0,0,0,0.0141320510758248,1,1,0.4999995000005,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"DCs","NK_CD56bright",0,0,0,1,-0.289322196216979,1,1,0.4999995000005,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"DCs","Platelet",1,0,14,2,2.11089889844143,17,0.176470588235294,0.533333081111236,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"DCs","Treg Memory",0,0,2,0,-0.662812211500201,2,0,0,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"DCs","Treg Naive",0,0,3,1,-0.768070347479966,4,0.25,0.4999995000005,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"DCs","cDC2_1",4,0,4,0,0.856529425404402,8,0.5,0.249999968750004,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"DCs","cDC2_2",7,1,5,2,0.684266996647233,15,0.6,0.624999864583372,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"DCs","dnT_2",0,0,1,0,-0.492988254373066,1,0,0,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"DCs","gdT_1",0,0,1,0,-0.0750229703659957,1,0,0,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"DCs","gdT_2",0,0,0,1,0.312474198515311,1,1,0.4999995000005,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"DCs","gdT_3",0,0,0,1,-0.968209056737263,1,1,0.4999995000005,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"DCs","pDC",0,0,2,0,1.07990262849502,2,0,0,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"Early-NK-cells","CD16 Mono",0,3,0,2,0.790230602406755,5,0.4,0.199999960000008,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"Early-NK-cells","CD4 Naive",0,0,0,1,-0.481128182713372,1,1,0.4999995000005,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"Early-NK-cells","CD4 TCM_1",0,0,0,1,-0.847972468187286,1,1,0.4999995000005,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"Early-NK-cells","CD8 TEM_1",0,0,1,0,-0.996427847927564,1,0,0,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"Early-NK-cells","CD8 TEM_2",0,0,0,2,-0.0901547859318095,2,1,0.499999750000125,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"Early-NK-cells","CD8 TEM_4",0,0,0,5,-0.202334705112963,5,1,0.49999990000002,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"Early-NK-cells","CD8 TEM_5",0,0,1,15,-0.289449998713312,16,0.9375,0.499999966666669,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"Early-NK-cells","NK Proliferating",0,2,0,19,0.181098100951632,21,0.904761904761905,0.452380930839003,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"Early-NK-cells","NK_1",1,66,9,483,0.0988374422768052,559,0.865831842576029,0.489890704581256,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"Early-NK-cells","NK_2",1,51,3,160,0.459312728069425,215,0.748837209302326,0.504146886384383,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"Early-NK-cells","NK_3",0,3,1,33,0.1044310775659,37,0.891891891891892,0.458333320601852,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"Early-NK-cells","NK_4",0,0,0,17,-0.0983341456971152,17,1,0.499999970588237,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"Early-NK-cells","NK_CD56bright",0,0,0,1,-0.3690709539287,1,1,0.4999995000005,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"Early-NK-cells","gdT_2",0,0,0,1,0.529840684278282,1,1,0.4999995000005,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"Intermediate-Monocytes","CD14 Mono",457,13,26,1,1.17357974969441,497,0.921529175050302,0.508799168312158,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"Intermediate-Monocytes","CD16 Mono",1455,21,83,2,1.10929120960691,1561,0.933376040999359,0.516495163743174,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"Intermediate-Monocytes","Doublet",103,0,6,0,1.15673795829034,109,0.944954128440367,0.472477059885532,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"Intermediate-Monocytes","Platelet",0,0,3,0,2.64706795952739,3,0,0,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"Late-NK-cells","ASDC_mDC",0,2,0,5,0.93875024854519,7,0.714285714285714,0.357142806122456,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"Late-NK-cells","ASDC_pDC",0,0,0,3,1.25644047676284,3,1,0.499999833333389,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"Late-NK-cells","B intermediate kappa",0,0,0,4,0.24034246958503,4,1,0.499999875000031,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"Late-NK-cells","B intermediate lambda",0,0,0,1,-0.398312165089663,1,1,0.4999995000005,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"Late-NK-cells","B memory kappa",0,0,0,3,-0.193828170957047,3,1,0.499999833333389,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"Late-NK-cells","B memory lambda",0,0,0,1,-0.454749747470265,1,1,0.4999995000005,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"Late-NK-cells","B naive kappa",0,0,0,1,-1.00174443177501,1,1,0.4999995000005,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"Late-NK-cells","CD14 Mono",0,3,2,1,0.765849294173009,6,0.166666666666667,0.124999968750008,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"Late-NK-cells","CD16 Mono",503,580,69,116,0.918932118747913,1268,0.488170347003155,0.523018647130236,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"Late-NK-cells","CD4 CTL",0,0,0,1,0.628401969450202,1,1,0.4999995000005,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"Late-NK-cells","CD4 Naive",0,0,0,78,-0.670060906933236,78,1,0.499999993589744,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"Late-NK-cells","CD4 TCM_1",0,0,0,5,-0.672198026830889,5,1,0.49999990000002,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"Late-NK-cells","CD4 TEM_2",0,0,0,1,-0.431643056133278,1,1,0.4999995000005,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"Late-NK-cells","CD8 Naive",0,0,1,241,-0.799866341104814,242,0.995867768595041,0.499999997925311,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"Late-NK-cells","CD8 Naive_2",0,0,0,3,-0.643692958048803,3,1,0.499999833333389,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"Late-NK-cells","CD8 Proliferating",0,0,0,2,0.0664799535737743,2,1,0.499999750000125,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"Late-NK-cells","CD8 TCM_1",0,0,0,5,-0.659397328798187,5,1,0.49999990000002,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"Late-NK-cells","CD8 TCM_2",0,0,0,9,-0.738823456208053,9,1,0.499999944444451,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"Late-NK-cells","CD8 TEM_1",0,0,0,34,-0.790091469377512,34,1,0.499999985294118,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"Late-NK-cells","CD8 TEM_2",0,0,0,65,-0.382378143085329,65,1,0.499999992307692,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"Late-NK-cells","CD8 TEM_3",0,0,0,8,-0.829108819728552,8,1,0.499999937500008,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"Late-NK-cells","CD8 TEM_4",0,1,1,31,-0.107988268814042,33,0.939393939393939,0.484374984863282,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"Late-NK-cells","CD8 TEM_5",0,2,2,45,-0.0941985612443512,49,0.918367346938776,0.478723394069715,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"Late-NK-cells","CD8 TEM_6",0,0,0,65,-0.827061620356524,65,1,0.499999992307692,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"Late-NK-cells","Doublet",15,0,1,0,0.999054769314836,16,0.9375,0.468749970703127,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"Late-NK-cells","HSPC",0,0,1,25,-0.771928016676968,26,0.961538461538462,0.499999980000001,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"Late-NK-cells","ILC",0,0,1,75,-0.520588212423227,76,0.986842105263158,0.499999993333333,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"Late-NK-cells","MAIT",0,0,1,10,-0.824010661965746,11,0.909090909090909,0.499999950000005,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"Late-NK-cells","NK Proliferating",1,40,5,303,0.182254806836302,349,0.871060171919771,0.525024280255843,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"Late-NK-cells","NK_1",1,246,18,1616,0.145718642757865,1881,0.859649122807018,0.460257785707363,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"Late-NK-cells","NK_2",13,1544,61,5090,0.423591922723484,6708,0.760733452593918,0.471467622544173,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"Late-NK-cells","NK_3",0,179,6,1472,0.130575381320643,1657,0.888352444176222,0.445790429772386,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"Late-NK-cells","NK_4",2,108,9,1029,0.0991599870263094,1148,0.89808362369338,0.543415678552714,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"Late-NK-cells","NK_CD56bright",0,6,7,592,-0.109076484185573,605,0.978512396694215,0.494983276764242,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"Late-NK-cells","Plasma",0,0,0,1,0.104718460476571,1,1,0.4999995000005,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"Late-NK-cells","Plasmablast",0,0,0,1,-0.543700284917953,1,1,0.4999995000005,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"Late-NK-cells","Platelet",1,0,2,4,0.137640383531924,7,0.714285714285714,0.666666486111161,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"Late-NK-cells","Treg Memory",0,0,0,3,-0.947692495992625,3,1,0.499999833333389,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"Late-NK-cells","Treg Naive",0,0,0,10,-0.677678197873643,10,1,0.499999950000005,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"Late-NK-cells","cDC1",0,0,4,1,-0.0333491323617699,5,0.2,0.4999995000005,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"Late-NK-cells","cDC2_1",1,0,0,1,0.78605912892645,2,1,0.999999000001,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"Late-NK-cells","cDC2_2",9,26,21,41,0.580685524015236,97,0.515463917525773,0.455970139687013,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"Late-NK-cells","dnT_1",0,0,0,3,-0.790103497847756,3,1,0.499999833333389,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"Late-NK-cells","dnT_2",0,0,0,6,-0.764883805238066,6,1,0.499999916666681,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
"Late-NK-cells","gdT_1",0,0,0,1,-0.00202218446065393,1,1,0.4999995000005,"UCell","GOBP_REG",FALSE,"gmm_immune_dual"
