"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,2,0,34,-0.575242178396587,36,0.944444444444444,0.472222209104939,"UCell","GOBP_REG",FALSE,"youden"
"B-cells","B intermediate lambda",0,23,0,143,-0.289982330714759,166,0.86144578313253,0.430722888971549,"UCell","GOBP_REG",FALSE,"youden"
"B-cells","B memory kappa",0,1,1,43,-0.607392748638836,45,0.955555555555556,0.488636352530992,"UCell","GOBP_REG",FALSE,"youden"
"B-cells","B memory lambda",0,1,0,33,-0.70658354829203,34,0.970588235294118,0.485294103373703,"UCell","GOBP_REG",FALSE,"youden"
"B-cells","B naive kappa",0,1,1,246,-0.755165285474162,248,0.991935483870968,0.497975706485928,"UCell","GOBP_REG",FALSE,"youden"
"B-cells","B naive lambda",0,0,0,20,-0.714477712780505,20,1,0.499999975000001,"UCell","GOBP_REG",FALSE,"youden"
"B-cells","Plasma",0,0,0,1,-0.608954313492713,1,1,0.4999995000005,"UCell","GOBP_REG",FALSE,"youden"
"Classical-Monocytes","CD14 Mono",30301,152,2829,35,1.095712178367,33317,0.91052615781733,0.550887444988884,"UCell","GOBP_REG",FALSE,"youden"
"Classical-Monocytes","CD16 Mono",468,5,18,1,1.1361179490885,492,0.953252032520325,0.564814799935226,"UCell","GOBP_REG",FALSE,"youden"
"Classical-Monocytes","Doublet",133,0,7,0,1.14909182097726,140,0.95,0.474999996607143,"UCell","GOBP_REG",FALSE,"youden"
"Classical-Monocytes","Eryth",9,0,2,0,0.730394865305811,11,0.818181818181818,0.40909087190083,"UCell","GOBP_REG",FALSE,"youden"
"Classical-Monocytes","HSPC",0,0,1,0,0.081776419568545,1,0,0,"UCell","GOBP_REG",FALSE,"youden"
"Classical-Monocytes","Platelet",61,0,1,0,3.2756992717757,62,0.983870967741935,0.491935475936525,"UCell","GOBP_REG",FALSE,"youden"
"Classical-Monocytes","cDC1",2,0,1,0,0.456486555804394,3,0.666666666666667,0.333333222222259,"UCell","GOBP_REG",FALSE,"youden"
"Classical-Monocytes","cDC2_1",142,0,23,0,0.896317277362357,165,0.860606060606061,0.430303027695133,"UCell","GOBP_REG",FALSE,"youden"
"Classical-Monocytes","cDC2_2",35,0,9,0,0.711823525037824,44,0.795454545454545,0.397727263688017,"UCell","GOBP_REG",FALSE,"youden"
"Classical-Monocytes","pDC",3,0,2,0,0.29176327328521,5,0.6,0.299999940000012,"UCell","GOBP_REG",FALSE,"youden"
"DCs","ASDC_mDC",0,1,0,0,0.830607833785288,1,0,0,"UCell","GOBP_REG",FALSE,"youden"
"DCs","CD14 Mono",95,8,13,1,0.929002525104555,117,0.82051282051282,0.495370360125172,"UCell","GOBP_REG",FALSE,"youden"
"DCs","CD16 Mono",58,5,7,0,0.921263964178948,70,0.828571428571429,0.446153839289941,"UCell","GOBP_REG",FALSE,"youden"
"DCs","CD4 CTL",0,0,3,2,-0.575350135743328,5,0.4,0.499999750000125,"UCell","GOBP_REG",FALSE,"youden"
"DCs","CD4 Naive",0,2,19,19,-0.653992155692461,40,0.475,0.452380930839003,"UCell","GOBP_REG",FALSE,"youden"
"DCs","CD4 TCM_1",1,0,13,15,-0.740059881291135,29,0.551724137931034,0.535714249829934,"UCell","GOBP_REG",FALSE,"youden"
"DCs","CD4 TCM_2",0,0,3,2,-0.567852007296913,5,0.4,0.499999750000125,"UCell","GOBP_REG",FALSE,"youden"
"DCs","CD4 TCM_3",0,0,17,5,-0.825975346727648,22,0.227272727272727,0.49999990000002,"UCell","GOBP_REG",FALSE,"youden"
"DCs","CD4 TEM_1",0,0,1,2,-0.750869152936673,3,0.666666666666667,0.499999750000125,"UCell","GOBP_REG",FALSE,"youden"
"DCs","CD4 TEM_3",0,0,5,3,-0.796186702807523,8,0.375,0.499999833333389,"UCell","GOBP_REG",FALSE,"youden"
"DCs","CD8 Naive",0,0,29,15,-0.89545169871747,44,0.340909090909091,0.499999966666669,"UCell","GOBP_REG",FALSE,"youden"
"DCs","CD8 Naive_2",0,0,0,1,-1.26258697649186,1,1,0.4999995000005,"UCell","GOBP_REG",FALSE,"youden"
"DCs","CD8 Proliferating",0,0,1,0,-1.22490004817479,1,0,0,"UCell","GOBP_REG",FALSE,"youden"
"DCs","CD8 TCM_1",0,0,0,2,-0.760781600228401,2,1,0.499999750000125,"UCell","GOBP_REG",FALSE,"youden"
"DCs","CD8 TCM_2",0,0,2,2,-1.09000243626904,4,0.5,0.499999750000125,"UCell","GOBP_REG",FALSE,"youden"
"DCs","CD8 TCM_3",0,0,2,1,-0.894615995840489,3,0.333333333333333,0.4999995000005,"UCell","GOBP_REG",FALSE,"youden"
"DCs","CD8 TEM_1",1,0,6,2,-0.677741681497363,9,0.333333333333333,0.571428311224616,"UCell","GOBP_REG",FALSE,"youden"
"DCs","CD8 TEM_2",0,0,2,0,-0.441914855170711,2,0,0,"UCell","GOBP_REG",FALSE,"youden"
"DCs","CD8 TEM_4",0,1,2,4,-0.406106665095639,7,0.571428571428571,0.399999920000016,"UCell","GOBP_REG",FALSE,"youden"
"DCs","CD8 TEM_5",0,0,1,0,0.138503098129132,1,0,0,"UCell","GOBP_REG",FALSE,"youden"
"DCs","Doublet",12,0,4,1,0.843447252991347,17,0.764705882352941,0.874999476563001,"UCell","GOBP_REG",FALSE,"youden"
"DCs","HSPC",0,0,1,0,-0.692768471781193,1,0,0,"UCell","GOBP_REG",FALSE,"youden"
"DCs","MAIT",0,0,3,0,-0.588147988484334,3,0,0,"UCell","GOBP_REG",FALSE,"youden"
"DCs","NK Proliferating",0,0,1,0,-0.541628186342954,1,0,0,"UCell","GOBP_REG",FALSE,"youden"
"DCs","NK_1",0,0,0,1,-0.806221828902367,1,1,0.4999995000005,"UCell","GOBP_REG",FALSE,"youden"
"DCs","NK_2",0,0,1,0,0.188752335885224,1,0,0,"UCell","GOBP_REG",FALSE,"youden"
"DCs","NK_CD56bright",0,0,0,1,-0.343771812678346,1,1,0.4999995000005,"UCell","GOBP_REG",FALSE,"youden"
"DCs","Platelet",16,2,4,0,2.61275165402505,22,0.727272727272727,0.399999980000001,"UCell","GOBP_REG",FALSE,"youden"
"DCs","Treg Memory",0,0,2,0,-0.774816055304811,2,0,0,"UCell","GOBP_REG",FALSE,"youden"
"DCs","Treg Naive",0,0,3,1,-0.970513282034585,4,0.25,0.4999995000005,"UCell","GOBP_REG",FALSE,"youden"
"DCs","cDC2_1",13,0,3,0,0.720233714622311,16,0.8125,0.406249974609377,"UCell","GOBP_REG",FALSE,"youden"
"DCs","cDC2_2",32,9,6,4,0.624830739279532,51,0.705882352941177,0.574898762510451,"UCell","GOBP_REG",FALSE,"youden"
"DCs","gdT_1",0,0,1,0,0.152635696248034,1,0,0,"UCell","GOBP_REG",FALSE,"youden"
"DCs","gdT_2",0,2,0,0,0.28571766186768,2,0,0,"UCell","GOBP_REG",FALSE,"youden"
"DCs","gdT_3",0,0,0,1,-0.936359503247242,1,1,0.4999995000005,"UCell","GOBP_REG",FALSE,"youden"
"DCs","gdT_4",0,0,1,0,-0.431315406581535,1,0,0,"UCell","GOBP_REG",FALSE,"youden"
"DCs","pDC",3,0,0,0,0.981093832273579,3,1,0.499999833333389,"UCell","GOBP_REG",FALSE,"youden"
"Early-NK-cells","CD16 Mono",1,5,0,0,0.674723967959915,6,0.166666666666667,0.4999995000005,"UCell","GOBP_REG",FALSE,"youden"
"Early-NK-cells","CD4 Naive",0,0,0,1,-0.533973029028547,1,1,0.4999995000005,"UCell","GOBP_REG",FALSE,"youden"
"Early-NK-cells","CD4 TCM_1",0,0,0,1,-0.901028007949989,1,1,0.4999995000005,"UCell","GOBP_REG",FALSE,"youden"
"Early-NK-cells","CD8 TEM_1",0,0,1,0,-1.06198259763747,1,0,0,"UCell","GOBP_REG",FALSE,"youden"
"Early-NK-cells","CD8 TEM_2",0,1,0,1,-0.220504151307935,2,0.5,0.249999875000062,"UCell","GOBP_REG",FALSE,"youden"
"Early-NK-cells","CD8 TEM_4",0,0,0,5,-0.311345351438868,5,1,0.49999990000002,"UCell","GOBP_REG",FALSE,"youden"
"Early-NK-cells","CD8 TEM_5",0,1,1,15,-0.290809208453349,17,0.882352941176471,0.468749970703127,"UCell","GOBP_REG",FALSE,"youden"
"Early-NK-cells","NK Proliferating",0,16,0,14,0.143874793988215,30,0.466666666666667,0.233333325555556,"UCell","GOBP_REG",FALSE,"youden"
"Early-NK-cells","NK_1",2,270,10,450,0.0704950645393218,732,0.617486338797814,0.395833325954862,"UCell","GOBP_REG",FALSE,"youden"
"Early-NK-cells","NK_2",3,169,1,115,0.361180119859621,288,0.409722222222222,0.577464694269514,"UCell","GOBP_REG",FALSE,"youden"
"Early-NK-cells","NK_3",0,20,1,19,0.152169516796195,40,0.475,0.243589737343853,"UCell","GOBP_REG",FALSE,"youden"
"Early-NK-cells","NK_4",0,4,0,15,-0.0222965288596722,19,0.789473684210526,0.394736821329641,"UCell","GOBP_REG",FALSE,"youden"
"Early-NK-cells","NK_CD56bright",0,0,0,1,-0.11607995409606,1,1,0.4999995000005,"UCell","GOBP_REG",FALSE,"youden"
"Early-NK-cells","cDC2_2",0,1,0,0,0.825308109490701,1,0,0,"UCell","GOBP_REG",FALSE,"youden"
"Early-NK-cells","gdT_2",0,1,0,0,0.405452173708365,1,0,0,"UCell","GOBP_REG",FALSE,"youden"
"Early-NK-cells","pDC",0,0,0,1,-0.042080100056818,1,1,0.4999995000005,"UCell","GOBP_REG",FALSE,"youden"
"Intermediate-Monocytes","CD14 Mono",569,14,44,2,1.09963179995126,629,0.907790143084261,0.526610925189817,"UCell","GOBP_REG",FALSE,"youden"
"Intermediate-Monocytes","CD16 Mono",2021,31,86,2,1.06919898170993,2140,0.945327102803738,0.509894865891832,"UCell","GOBP_REG",FALSE,"youden"
"Intermediate-Monocytes","Doublet",123,0,7,0,1.14413257754547,130,0.946153846153846,0.47307691943787,"UCell","GOBP_REG",FALSE,"youden"
"Intermediate-Monocytes","Platelet",3,0,1,0,2.60125553491128,4,0.75,0.374999906250023,"UCell","GOBP_REG",FALSE,"youden"
"Late-NK-cells","ASDC_mDC",0,17,0,0,0.930979300654243,17,0,0,"UCell","GOBP_REG",FALSE,"youden"
"Late-NK-cells","ASDC_pDC",3,6,0,1,0.975015506508552,10,0.4,0.57142839455788,"UCell","GOBP_REG",FALSE,"youden"
"Late-NK-cells","B intermediate kappa",0,2,0,2,0.168976512823013,4,0.5,0.249999937500016,"UCell","GOBP_REG",FALSE,"youden"
"Late-NK-cells","B intermediate lambda",0,0,0,2,-0.475774204830576,2,1,0.499999750000125,"UCell","GOBP_REG",FALSE,"youden"
"Late-NK-cells","B memory kappa",0,1,0,2,-0.281549123738186,3,0.666666666666667,0.333333222222259,"UCell","GOBP_REG",FALSE,"youden"
"Late-NK-cells","B memory lambda",0,0,0,1,-0.510418698830381,1,1,0.4999995000005,"UCell","GOBP_REG",FALSE,"youden"
"Late-NK-cells","B naive kappa",0,0,0,1,-0.763627748460682,1,1,0.4999995000005,"UCell","GOBP_REG",FALSE,"youden"
"Late-NK-cells","CD14 Mono",2,3,0,1,0.818994240423691,6,0.5,0.624999718750133,"UCell","GOBP_REG",FALSE,"youden"
"Late-NK-cells","CD16 Mono",597,663,38,82,0.842377460360817,1380,0.492028985507246,0.525112296390308,"UCell","GOBP_REG",FALSE,"youden"
"Late-NK-cells","CD4 CTL",0,2,0,0,0.450009114999898,2,0,0,"UCell","GOBP_REG",FALSE,"youden"
"Late-NK-cells","CD4 Naive",0,2,0,82,-0.708728399881738,84,0.976190476190476,0.488095232284581,"UCell","GOBP_REG",FALSE,"youden"
"Late-NK-cells","CD4 Proliferating",0,1,0,0,0.365409812371481,1,0,0,"UCell","GOBP_REG",FALSE,"youden"
"Late-NK-cells","CD4 TCM_1",0,0,0,5,-0.689941952157414,5,1,0.49999990000002,"UCell","GOBP_REG",FALSE,"youden"
"Late-NK-cells","CD4 TEM_2",0,0,0,1,-0.478227780892884,1,1,0.4999995000005,"UCell","GOBP_REG",FALSE,"youden"
