"celltype_clean","celltype.l3","celltype.l1","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa","B",0,0,0,36,-0.569249662078306,36,1,0.499999986111112,"UCell","GOBP_REG",FALSE,"youden_dual"
"B-cells","B intermediate lambda","B",0,2,0,164,-0.298061275659142,166,0.987951807228916,0.493975900638699,"UCell","GOBP_REG",FALSE,"youden_dual"
"B-cells","B memory kappa","B",0,0,1,44,-0.626230081773197,45,0.977777777777778,0.499999988636364,"UCell","GOBP_REG",FALSE,"youden_dual"
"B-cells","B memory lambda","B",0,0,0,34,-0.702606113928722,34,1,0.499999985294118,"UCell","GOBP_REG",FALSE,"youden_dual"
"B-cells","B naive kappa","B",0,0,1,247,-0.759936149992378,248,0.995967741935484,0.499999997975708,"UCell","GOBP_REG",FALSE,"youden_dual"
"B-cells","B naive lambda","B",0,0,0,20,-0.733717700871296,20,1,0.499999975000001,"UCell","GOBP_REG",FALSE,"youden_dual"
"B-cells","Plasma","B",0,0,0,1,-0.654360731186317,1,1,0.4999995000005,"UCell","GOBP_REG",FALSE,"youden_dual"
"Classical-Monocytes","CD14 Mono","Mono",30194,163,2936,24,1.11385450252226,33317,0.90698442236696,0.519860829851742,"UCell","GOBP_REG",FALSE,"youden_dual"
"Classical-Monocytes","CD16 Mono","Mono",456,6,30,0,1.15587862689161,492,0.926829268292683,0.469135801503836,"UCell","GOBP_REG",FALSE,"youden_dual"
"Classical-Monocytes","Doublet","other",131,0,9,0,1.16921444117015,140,0.935714285714286,0.467857139515306,"UCell","GOBP_REG",FALSE,"youden_dual"
"Classical-Monocytes","Eryth","other",10,0,1,0,0.734937547141443,11,0.909090909090909,0.454545413223144,"UCell","GOBP_REG",FALSE,"youden_dual"
"Classical-Monocytes","HSPC","other",0,0,1,0,0.0621554477058122,1,0,0,"UCell","GOBP_REG",FALSE,"youden_dual"
"Classical-Monocytes","Platelet","other",7,0,55,0,3.37601565050761,62,0.112903225806452,0.0564516119927159,"UCell","GOBP_REG",FALSE,"youden_dual"
"Classical-Monocytes","cDC1","DC",0,0,3,0,0.450344819921147,3,0,0,"UCell","GOBP_REG",FALSE,"youden_dual"
"Classical-Monocytes","cDC2_1","DC",99,0,66,0,0.906876721556087,165,0.6,0.299999998181818,"UCell","GOBP_REG",FALSE,"youden_dual"
"Classical-Monocytes","cDC2_2","DC",12,0,32,0,0.715410095350221,44,0.272727272727273,0.136363633264463,"UCell","GOBP_REG",FALSE,"youden_dual"
"Classical-Monocytes","pDC","DC",0,0,5,0,0.280066058014683,5,0,0,"UCell","GOBP_REG",FALSE,"youden_dual"
"DCs","ASDC_mDC","DC",0,1,0,0,0.839009831136222,1,0,0,"UCell","GOBP_REG",FALSE,"youden_dual"
"DCs","CD14 Mono","Mono",89,7,19,2,0.940845360567464,117,0.777777777777778,0.523148131987313,"UCell","GOBP_REG",FALSE,"youden_dual"
"DCs","CD16 Mono","Mono",50,5,15,0,0.933098990819234,70,0.714285714285714,0.384615378698225,"UCell","GOBP_REG",FALSE,"youden_dual"
"DCs","CD4 CTL","CD4 T",0,0,3,2,-0.619870108862405,5,0.4,0.499999750000125,"UCell","GOBP_REG",FALSE,"youden_dual"
"DCs","CD4 Naive","CD4 T",0,0,19,21,-0.670974121962905,40,0.525,0.499999976190477,"UCell","GOBP_REG",FALSE,"youden_dual"
"DCs","CD4 TCM_1","CD4 T",0,0,14,15,-0.769807454315018,29,0.517241379310345,0.499999966666669,"UCell","GOBP_REG",FALSE,"youden_dual"
"DCs","CD4 TCM_2","CD4 T",0,0,3,2,-0.611838604609674,5,0.4,0.499999750000125,"UCell","GOBP_REG",FALSE,"youden_dual"
"DCs","CD4 TCM_3","CD4 T",0,0,17,5,-0.82494217245625,22,0.227272727272727,0.49999990000002,"UCell","GOBP_REG",FALSE,"youden_dual"
"DCs","CD4 TEM_1","CD4 T",0,0,1,2,-0.801876769533856,3,0.666666666666667,0.499999750000125,"UCell","GOBP_REG",FALSE,"youden_dual"
"DCs","CD4 TEM_3","CD4 T",0,0,5,3,-0.849058459597224,8,0.375,0.499999833333389,"UCell","GOBP_REG",FALSE,"youden_dual"
"DCs","CD8 Naive","CD8 T",0,0,29,15,-0.869343381938354,44,0.340909090909091,0.499999966666669,"UCell","GOBP_REG",FALSE,"youden_dual"
"DCs","CD8 Naive_2","CD8 T",0,0,0,1,-1.33316553224202,1,1,0.4999995000005,"UCell","GOBP_REG",FALSE,"youden_dual"
"DCs","CD8 Proliferating","CD8 T",0,0,1,0,-1.29402723740637,1,0,0,"UCell","GOBP_REG",FALSE,"youden_dual"
"DCs","CD8 TCM_1","CD8 T",0,0,0,2,-0.812035059599706,2,1,0.499999750000125,"UCell","GOBP_REG",FALSE,"youden_dual"
"DCs","CD8 TCM_2","CD8 T",0,0,2,2,-1.00247751767366,4,0.5,0.499999750000125,"UCell","GOBP_REG",FALSE,"youden_dual"
"DCs","CD8 TCM_3","CD8 T",0,0,2,1,-0.951023570166214,3,0.333333333333333,0.4999995000005,"UCell","GOBP_REG",FALSE,"youden_dual"
"DCs","CD8 TEM_1","CD8 T",0,0,7,2,-0.658709430612499,9,0.222222222222222,0.499999750000125,"UCell","GOBP_REG",FALSE,"youden_dual"
