"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,0,0,28,-0.494025336780556,28,1,0.499999982142858,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"B-cells","B intermediate lambda",0,0,0,142,-0.35600941004026,142,1,0.499999996478873,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"B-cells","B memory kappa",0,0,0,35,-0.501209921102816,35,1,0.499999985714286,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"B-cells","B memory lambda",0,0,0,30,-0.556236993218979,30,1,0.499999983333334,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"B-cells","B naive kappa",0,0,1,204,-0.587167493929879,205,0.995121951219512,0.49999999754902,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"B-cells","B naive lambda",0,0,0,15,-0.539578951068298,15,1,0.499999966666669,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"B-cells","Plasma",0,0,0,2,-0.246380451146781,2,1,0.499999750000125,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"Classical-Monocytes","CD14 Mono",16571,81,8997,68,0.960105409542036,25717,0.647003927363223,0.55224533343835,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"Classical-Monocytes","CD16 Mono",156,4,131,2,0.690439584565692,293,0.539249146757679,0.438443641426256,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"Classical-Monocytes","Doublet",85,0,24,0,1.10005376877528,109,0.779816513761468,0.389908253303594,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"Classical-Monocytes","HSPC",0,0,1,0,-0.133870182118102,1,0,0,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"Classical-Monocytes","Platelet",19,0,40,0,5.88995283676602,59,0.322033898305085,0.161016946423442,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"Classical-Monocytes","cDC1",0,0,2,0,0.204541140116855,2,0,0,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"Classical-Monocytes","cDC2_1",25,0,62,0,0.373767605232104,87,0.28735632183908,0.143678159268067,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"Classical-Monocytes","cDC2_2",4,0,21,0,0.202056130696569,25,0.16,0.0799999968000001,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"Classical-Monocytes","pDC",0,0,5,0,0.298756261051305,5,0,0,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"DCs","ASDC_mDC",0,0,0,1,0.416647455990051,1,1,0.4999995000005,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"DCs","CD14 Mono",48,4,37,5,0.74975383057247,94,0.563829787234043,0.560130684768255,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"DCs","CD16 Mono",19,1,32,2,0.444369189104508,54,0.388888888888889,0.519607728373739,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"DCs","CD4 CTL",0,0,0,2,-0.616930576317319,2,1,0.499999750000125,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"DCs","CD4 Naive",0,0,12,16,-0.573470864324192,28,0.571428571428571,0.499999968750002,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"DCs","CD4 TCM_1",0,0,9,11,-0.549003724328961,20,0.55,0.499999954545459,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"DCs","CD4 TCM_2",0,0,5,5,-0.643854772870965,10,0.5,0.49999990000002,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"DCs","CD4 TCM_3",0,0,13,4,-0.600209420989298,17,0.235294117647059,0.499999875000031,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"DCs","CD4 TEM_1",0,0,1,1,-0.649852059385277,2,0.5,0.4999995000005,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"DCs","CD4 TEM_3",0,0,5,2,-0.586762450143604,7,0.285714285714286,0.499999750000125,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"DCs","CD8 Naive",0,0,22,14,-0.623080594163017,36,0.388888888888889,0.499999964285717,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"DCs","CD8 Naive_2",0,0,1,1,-0.723179404287011,2,0.5,0.4999995000005,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"DCs","CD8 Proliferating",0,0,2,0,-0.744947695468646,2,0,0,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"DCs","CD8 TCM_1",0,0,0,2,-0.563170234724919,2,1,0.499999750000125,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"DCs","CD8 TCM_2",0,0,2,1,-0.658233259136108,3,0.333333333333333,0.4999995000005,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"DCs","CD8 TCM_3",0,0,2,1,-0.626339043741891,3,0.333333333333333,0.4999995000005,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"DCs","CD8 TEM_1",0,0,5,2,-0.462973201350187,7,0.285714285714286,0.499999750000125,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"DCs","CD8 TEM_2",0,0,2,0,-0.308310016620825,2,0,0,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"DCs","CD8 TEM_4",0,0,2,2,-0.261936218777702,4,0.5,0.499999750000125,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"DCs","CD8 TEM_5",0,0,1,0,-0.0133374417325935,1,0,0,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"DCs","Doublet",13,0,2,1,1.7211184197381,16,0.875,0.933332804444946,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"DCs","HSPC",0,0,1,0,-0.535189419992571,1,0,0,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"DCs","MAIT",0,0,2,0,-0.600983468620211,2,0,0,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"DCs","NK Proliferating",0,0,1,0,-0.307918676554641,1,0,0,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"DCs","NK_1",0,0,0,1,-0.600934551111937,1,1,0.4999995000005,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"DCs","NK_3",0,0,1,0,0.036264911656569,1,0,0,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"DCs","NK_CD56bright",0,0,0,1,-0.368967726879766,1,1,0.4999995000005,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"DCs","Platelet",4,1,11,1,6.26681888042002,17,0.294117647058824,0.383333199444507,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"DCs","Treg Memory",0,0,2,0,-0.54766338460227,2,0,0,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"DCs","Treg Naive",0,0,3,1,-0.598023959369674,4,0.25,0.4999995000005,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"DCs","cDC2_1",3,0,5,0,0.370958503262753,8,0.375,0.187499976562503,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"DCs","cDC2_2",4,0,8,3,0.22324719528058,15,0.466666666666667,0.666666486111168,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"DCs","dnT_2",0,0,1,0,-0.466411403360256,1,0,0,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"DCs","gdT_1",0,0,1,0,-0.266436629538848,1,0,0,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"DCs","gdT_2",0,0,0,1,-0.0702774213627602,1,1,0.4999995000005,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"DCs","gdT_3",0,0,0,1,-0.693779981814734,1,1,0.4999995000005,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"DCs","pDC",0,0,2,0,0.286135543916784,2,0,0,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"Early-NK-cells","CD16 Mono",0,1,0,4,0.30773751557029,5,0.8,0.399999920000016,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"Early-NK-cells","CD4 Naive",0,0,0,1,-0.460736972400549,1,1,0.4999995000005,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"Early-NK-cells","CD4 TCM_1",0,0,0,1,-0.636252992085289,1,1,0.4999995000005,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"Early-NK-cells","CD8 TEM_1",0,0,1,0,-0.707281214098176,1,0,0,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"Early-NK-cells","CD8 TEM_2",0,0,0,2,-0.273676420763302,2,1,0.499999750000125,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"Early-NK-cells","CD8 TEM_4",0,0,0,5,-0.253346304324903,5,1,0.49999990000002,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"Early-NK-cells","CD8 TEM_5",0,0,1,15,-0.330640859147605,16,0.9375,0.499999966666669,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"Early-NK-cells","NK Proliferating",0,1,0,20,-0.0907342574416403,21,0.952380952380952,0.47619045351474,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"Early-NK-cells","NK_1",0,6,10,543,-0.117246455147344,559,0.971377459749553,0.49453551822489,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"Early-NK-cells","NK_2",0,11,4,200,0.0561017575929389,215,0.930232558139535,0.473933647042968,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"Early-NK-cells","NK_3",0,1,1,35,-0.132526933782812,37,0.945945945945946,0.486111097608025,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"Early-NK-cells","NK_4",0,0,0,17,-0.248440741495233,17,1,0.499999970588237,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"Early-NK-cells","NK_CD56bright",0,0,0,1,-0.407123383332969,1,1,0.4999995000005,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"Early-NK-cells","gdT_2",0,0,0,1,0.0229593494062229,1,1,0.4999995000005,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"Intermediate-Monocytes","CD14 Mono",309,7,174,7,0.935072059052653,497,0.635814889336016,0.569875757878105,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"Intermediate-Monocytes","CD16 Mono",743,9,795,14,0.534312897098174,1561,0.484945547725817,0.545895276936662,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"Intermediate-Monocytes","Doublet",104,0,5,0,1.94049784908336,109,0.954128440366973,0.47706421580675,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"Intermediate-Monocytes","Platelet",0,0,3,0,5.38092664225717,3,0,0,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"Late-NK-cells","ASDC_mDC",0,2,0,5,0.291390681948434,7,0.714285714285714,0.357142806122456,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"Late-NK-cells","ASDC_pDC",0,2,0,1,0.453498645555965,3,0.333333333333333,0.16666661111113,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"Late-NK-cells","B intermediate kappa",0,0,0,4,-0.0830938085303767,4,1,0.499999875000031,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"Late-NK-cells","B intermediate lambda",0,0,0,1,-0.215660255951122,1,1,0.4999995000005,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"Late-NK-cells","B memory kappa",0,0,0,3,-0.272763293942201,3,1,0.499999833333389,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"Late-NK-cells","B memory lambda",0,0,0,1,-0.448116255266029,1,1,0.4999995000005,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"Late-NK-cells","B naive kappa",0,0,0,1,-0.709824924528389,1,1,0.4999995000005,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"Late-NK-cells","CD14 Mono",2,2,0,2,0.805525340927001,6,0.666666666666667,0.749999687500141,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"Late-NK-cells","CD16 Mono",177,177,395,519,0.326404220687927,1268,0.548895899053628,0.5275651065003,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"Late-NK-cells","CD4 CTL",0,0,0,1,0.0701158273817205,1,1,0.4999995000005,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"Late-NK-cells","CD4 Naive",0,0,0,78,-0.530431878739217,78,1,0.499999993589744,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"Late-NK-cells","CD4 TCM_1",0,0,0,5,-0.552154011861764,5,1,0.49999990000002,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"Late-NK-cells","CD4 TEM_2",0,0,0,1,-0.437060898396252,1,1,0.4999995000005,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"Late-NK-cells","CD8 Naive",0,0,1,241,-0.595524112986135,242,0.995867768595041,0.499999997925311,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"Late-NK-cells","CD8 Naive_2",0,0,0,3,-0.538515810555158,3,1,0.499999833333389,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"Late-NK-cells","CD8 Proliferating",0,0,0,2,-0.097230968421372,2,1,0.499999750000125,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"Late-NK-cells","CD8 TCM_1",0,0,0,5,-0.546029539825943,5,1,0.49999990000002,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"Late-NK-cells","CD8 TCM_2",0,0,0,9,-0.583259024789171,9,1,0.499999944444451,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"Late-NK-cells","CD8 TEM_1",0,0,0,34,-0.564168727393794,34,1,0.499999985294118,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"Late-NK-cells","CD8 TEM_2",0,0,0,65,-0.365215377706676,65,1,0.499999992307692,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"Late-NK-cells","CD8 TEM_3",0,0,0,8,-0.60892033433756,8,1,0.499999937500008,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"Late-NK-cells","CD8 TEM_4",0,0,1,32,-0.213934802022937,33,0.96969696969697,0.499999984375001,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"Late-NK-cells","CD8 TEM_5",0,0,2,47,-0.217726771096548,49,0.959183673469388,0.499999989361702,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"Late-NK-cells","CD8 TEM_6",0,0,0,65,-0.57912035273023,65,1,0.499999992307692,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"Late-NK-cells","Doublet",13,0,3,0,1.80874802112125,16,0.8125,0.406249974609377,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"Late-NK-cells","HSPC",0,0,1,25,-0.208762887284583,26,0.961538461538462,0.499999980000001,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"Late-NK-cells","ILC",0,0,1,75,-0.41178341964743,76,0.986842105263158,0.499999993333333,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"Late-NK-cells","MAIT",0,0,1,10,-0.498447924233086,11,0.909090909090909,0.499999950000005,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"Late-NK-cells","NK Proliferating",0,7,6,336,-0.0996298886336864,349,0.962750716332378,0.489795916939371,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"Late-NK-cells","NK_1",0,30,19,1832,-0.0981262290392918,1881,0.973950026581606,0.491944145815282,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"Late-NK-cells","NK_2",3,327,71,6307,0.0467552085910334,6708,0.94066785927251,0.495624505679894,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"Late-NK-cells","NK_3",0,42,6,1609,-0.0908917376011883,1657,0.971031985515993,0.487280435804191,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"Late-NK-cells","NK_4",0,12,11,1125,-0.12281866024462,1148,0.979965156794425,0.494722954710006,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"Late-NK-cells","NK_CD56bright",0,0,7,598,-0.245970837763453,605,0.988429752066116,0.49999999916388,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"Late-NK-cells","Plasma",0,0,0,1,0.0433090328479324,1,1,0.4999995000005,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"Late-NK-cells","Plasmablast",0,0,0,1,-0.490674487463831,1,1,0.4999995000005,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"Late-NK-cells","Platelet",1,0,2,4,1.41782113317407,7,0.714285714285714,0.666666486111161,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"Late-NK-cells","Treg Memory",0,0,0,3,-0.683963868487884,3,1,0.499999833333389,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"Late-NK-cells","Treg Naive",0,0,0,10,-0.549326579883565,10,1,0.499999950000005,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"Late-NK-cells","cDC1",0,0,4,1,-0.165666562495771,5,0.2,0.4999995000005,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"Late-NK-cells","cDC2_1",1,0,0,1,0.243430559194158,2,1,0.999999000001,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"Late-NK-cells","cDC2_2",2,9,28,58,0.132449844831388,97,0.618556701030928,0.466169146657509,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"Late-NK-cells","dnT_1",0,0,0,3,-0.564376866595662,3,1,0.499999833333389,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
"Late-NK-cells","dnT_2",0,0,0,6,-0.582786155542528,6,1,0.499999916666681,"UCell","GOBP_REG",TRUE,"gmm_dist_dual"
