"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,0,0,28,-0.494025336780556,28,1,0.499999982142858,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"B-cells","B intermediate lambda",0,2,0,140,-0.35600941004026,142,0.985915492957746,0.49295774300734,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"B-cells","B memory kappa",0,0,0,35,-0.501209921102816,35,1,0.499999985714286,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"B-cells","B memory lambda",0,0,0,30,-0.556236993218979,30,1,0.499999983333334,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"B-cells","B naive kappa",0,0,1,204,-0.587167493929879,205,0.995121951219512,0.49999999754902,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"B-cells","B naive lambda",0,0,0,15,-0.539578951068298,15,1,0.499999966666669,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"B-cells","Plasma",0,0,0,2,-0.246380451146781,2,1,0.499999750000125,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"Classical-Monocytes","CD14 Mono",22232,120,3336,29,0.960105409542036,25717,0.865614185169343,0.532077638324925,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"Classical-Monocytes","CD16 Mono",239,5,48,1,0.690439584565692,293,0.819112627986348,0.499709624613867,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"Classical-Monocytes","Doublet",105,0,4,0,1.10005376877528,109,0.963302752293578,0.481651371727969,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"Classical-Monocytes","HSPC",0,0,1,0,-0.133870182118102,1,0,0,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"Classical-Monocytes","Platelet",59,0,0,0,5.88995283676602,59,1,0.499999991525424,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"Classical-Monocytes","cDC1",1,0,1,0,0.204541140116855,2,0.5,0.249999875000062,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"Classical-Monocytes","cDC2_1",58,0,29,0,0.373767605232104,87,0.666666666666667,0.333333329501916,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"Classical-Monocytes","cDC2_2",15,0,10,0,0.202056130696569,25,0.6,0.299999988,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"Classical-Monocytes","pDC",3,0,2,0,0.298756261051305,5,0.6,0.299999940000012,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"DCs","ASDC_mDC",0,1,0,0,0.416647455990051,1,0,0,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"DCs","CD14 Mono",70,7,15,2,0.74975383057247,94,0.765957446808511,0.522875799803496,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"DCs","CD16 Mono",40,3,11,0,0.444369189104508,54,0.740740740740741,0.392156855055748,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"DCs","CD4 CTL",0,0,0,2,-0.616930576317319,2,1,0.499999750000125,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"DCs","CD4 Naive",0,0,12,16,-0.573470864324192,28,0.571428571428571,0.499999968750002,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"DCs","CD4 TCM_1",0,0,9,11,-0.549003724328961,20,0.55,0.499999954545459,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"DCs","CD4 TCM_2",0,0,5,5,-0.643854772870965,10,0.5,0.49999990000002,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"DCs","CD4 TCM_3",0,0,13,4,-0.600209420989298,17,0.235294117647059,0.499999875000031,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"DCs","CD4 TEM_1",0,0,1,1,-0.649852059385277,2,0.5,0.4999995000005,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"DCs","CD4 TEM_3",0,0,5,2,-0.586762450143604,7,0.285714285714286,0.499999750000125,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"DCs","CD8 Naive",0,0,22,14,-0.623080594163017,36,0.388888888888889,0.499999964285717,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"DCs","CD8 Naive_2",0,0,1,1,-0.723179404287011,2,0.5,0.4999995000005,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"DCs","CD8 Proliferating",0,0,2,0,-0.744947695468646,2,0,0,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"DCs","CD8 TCM_1",0,0,0,2,-0.563170234724919,2,1,0.499999750000125,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"DCs","CD8 TCM_2",0,0,2,1,-0.658233259136108,3,0.333333333333333,0.4999995000005,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"DCs","CD8 TCM_3",0,0,2,1,-0.626339043741891,3,0.333333333333333,0.4999995000005,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"DCs","CD8 TEM_1",0,0,5,2,-0.462973201350187,7,0.285714285714286,0.499999750000125,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"DCs","CD8 TEM_2",0,0,2,0,-0.308310016620825,2,0,0,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"DCs","CD8 TEM_4",0,0,2,2,-0.261936218777702,4,0.5,0.499999750000125,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"DCs","CD8 TEM_5",0,0,1,0,-0.0133374417325935,1,0,0,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"DCs","Doublet",13,0,2,1,1.7211184197381,16,0.875,0.933332804444946,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"DCs","HSPC",0,0,1,0,-0.535189419992571,1,0,0,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"DCs","MAIT",0,0,2,0,-0.600983468620211,2,0,0,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"DCs","NK Proliferating",0,0,1,0,-0.307918676554641,1,0,0,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"DCs","NK_1",0,0,0,1,-0.600934551111937,1,1,0.4999995000005,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"DCs","NK_3",0,0,1,0,0.036264911656569,1,0,0,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"DCs","NK_CD56bright",0,0,0,1,-0.368967726879766,1,1,0.4999995000005,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"DCs","Platelet",15,2,0,0,6.26681888042002,17,0.882352941176471,0.499999966666669,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"DCs","Treg Memory",0,0,2,0,-0.54766338460227,2,0,0,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"DCs","Treg Naive",0,0,3,1,-0.598023959369674,4,0.25,0.4999995000005,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"DCs","cDC2_1",6,0,2,0,0.370958503262753,8,0.75,0.374999953125006,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"DCs","cDC2_2",8,0,4,3,0.22324719528058,15,0.733333333333333,0.833333138888947,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"DCs","dnT_2",0,0,1,0,-0.466411403360256,1,0,0,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"DCs","gdT_1",0,0,1,0,-0.266436629538848,1,0,0,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"DCs","gdT_2",0,0,0,1,-0.0702774213627602,1,1,0.4999995000005,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"DCs","gdT_3",0,0,0,1,-0.693779981814734,1,1,0.4999995000005,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"DCs","pDC",2,0,0,0,0.286135543916784,2,1,0.499999750000125,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"Early-NK-cells","CD16 Mono",0,4,0,1,0.30773751557029,5,0.2,0.099999980000004,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"Early-NK-cells","CD4 Naive",0,0,0,1,-0.460736972400549,1,1,0.4999995000005,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"Early-NK-cells","CD4 TCM_1",0,0,0,1,-0.636252992085289,1,1,0.4999995000005,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"Early-NK-cells","CD8 TEM_1",0,0,1,0,-0.707281214098176,1,0,0,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"Early-NK-cells","CD8 TEM_2",0,0,0,2,-0.273676420763302,2,1,0.499999750000125,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"Early-NK-cells","CD8 TEM_4",0,0,0,5,-0.253346304324903,5,1,0.49999990000002,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"Early-NK-cells","CD8 TEM_5",0,0,1,15,-0.330640859147605,16,0.9375,0.499999966666669,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"Early-NK-cells","NK Proliferating",0,7,0,14,-0.0907342574416403,21,0.666666666666667,0.333333317460318,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"Early-NK-cells","NK_1",1,93,9,456,-0.117246455147344,559,0.817531305903399,0.465300540691621,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"Early-NK-cells","NK_2",2,78,2,133,0.0561017575929389,215,0.627906976744186,0.56516581278359,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"Early-NK-cells","NK_3",0,4,1,32,-0.132526933782812,37,0.864864864864865,0.444444432098766,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"Early-NK-cells","NK_4",0,2,0,15,-0.248440741495233,17,0.882352941176471,0.44117644463668,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"Early-NK-cells","NK_CD56bright",0,0,0,1,-0.407123383332969,1,1,0.4999995000005,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"Early-NK-cells","gdT_2",0,0,0,1,0.0229593494062229,1,1,0.4999995000005,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"Intermediate-Monocytes","CD14 Mono",424,12,59,2,0.935072059052653,497,0.857142857142857,0.510351960862921,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"Intermediate-Monocytes","CD16 Mono",1307,19,231,4,0.534312897098174,1561,0.839846252402306,0.511858988423365,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"Intermediate-Monocytes","Doublet",106,0,3,0,1.94049784908336,109,0.972477064220184,0.486238527649188,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"Intermediate-Monocytes","Platelet",2,0,1,0,5.38092664225717,3,0.666666666666667,0.333333222222259,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"Late-NK-cells","ASDC_mDC",0,5,0,2,0.291390681948434,7,0.285714285714286,0.142857122448982,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"Late-NK-cells","ASDC_pDC",0,3,0,0,0.453498645555965,3,0,0,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"Late-NK-cells","B intermediate kappa",0,1,0,3,-0.0830938085303767,4,0.75,0.374999906250023,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"Late-NK-cells","B intermediate lambda",0,0,0,1,-0.215660255951122,1,1,0.4999995000005,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"Late-NK-cells","B memory kappa",0,1,0,2,-0.272763293942201,3,0.666666666666667,0.333333222222259,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"Late-NK-cells","B memory lambda",0,0,0,1,-0.448116255266029,1,1,0.4999995000005,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"Late-NK-cells","B naive kappa",0,0,0,1,-0.709824924528389,1,1,0.4999995000005,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"Late-NK-cells","CD14 Mono",2,3,0,1,0.805525340927001,6,0.5,0.624999718750133,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"Late-NK-cells","CD16 Mono",464,489,108,207,0.326404220687927,1268,0.529179810725552,0.554301301223389,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"Late-NK-cells","CD4 CTL",0,0,0,1,0.0701158273817205,1,1,0.4999995000005,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"Late-NK-cells","CD4 Naive",0,1,0,77,-0.530431878739217,78,0.987179487179487,0.49358973726167,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"Late-NK-cells","CD4 TCM_1",0,0,0,5,-0.552154011861764,5,1,0.49999990000002,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"Late-NK-cells","CD4 TEM_2",0,0,0,1,-0.437060898396252,1,1,0.4999995000005,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"Late-NK-cells","CD8 Naive",0,0,1,241,-0.595524112986135,242,0.995867768595041,0.499999997925311,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"Late-NK-cells","CD8 Naive_2",0,0,0,3,-0.538515810555158,3,1,0.499999833333389,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"Late-NK-cells","CD8 Proliferating",0,0,0,2,-0.097230968421372,2,1,0.499999750000125,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"Late-NK-cells","CD8 TCM_1",0,0,0,5,-0.546029539825943,5,1,0.49999990000002,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"Late-NK-cells","CD8 TCM_2",0,0,0,9,-0.583259024789171,9,1,0.499999944444451,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"Late-NK-cells","CD8 TEM_1",0,0,0,34,-0.564168727393794,34,1,0.499999985294118,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"Late-NK-cells","CD8 TEM_2",0,3,0,62,-0.365215377706676,65,0.953846153846154,0.476923069585799,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"Late-NK-cells","CD8 TEM_3",0,0,0,8,-0.60892033433756,8,1,0.499999937500008,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"Late-NK-cells","CD8 TEM_4",0,2,1,30,-0.213934802022937,33,0.909090909090909,0.468749985351563,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"Late-NK-cells","CD8 TEM_5",0,3,2,44,-0.217726771096548,49,0.897959183673469,0.468085096423721,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"Late-NK-cells","CD8 TEM_6",0,0,0,65,-0.57912035273023,65,1,0.499999992307692,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"Late-NK-cells","Doublet",16,0,0,0,1.80874802112125,16,1,0.499999968750002,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"Late-NK-cells","HSPC",0,5,1,20,-0.208762887284583,26,0.769230769230769,0.399999984000001,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"Late-NK-cells","ILC",0,2,1,73,-0.41178341964743,76,0.960526315789474,0.486666660177778,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"Late-NK-cells","MAIT",1,0,0,10,-0.498447924233086,11,1,0.999999450000505,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"Late-NK-cells","NK Proliferating",0,58,6,285,-0.0996298886336864,349,0.816618911174785,0.415451893832502,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"Late-NK-cells","NK_1",3,348,16,1514,-0.0981262290392918,1881,0.80648591174907,0.485499458569606,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"Late-NK-cells","NK_2",27,2411,47,4223,0.0467552085910334,6708,0.633571854502087,0.500717024432266,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"Late-NK-cells","NK_3",1,367,5,1284,-0.0908917376011883,1657,0.775497887748944,0.47218855845786,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"Late-NK-cells","NK_4",2,171,9,966,-0.12281866024462,1148,0.843205574912892,0.515711193088954,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"Late-NK-cells","NK_CD56bright",0,37,7,561,-0.245970837763453,605,0.927272727272727,0.469063544366114,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"Late-NK-cells","Plasma",0,0,0,1,0.0433090328479324,1,1,0.4999995000005,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"Late-NK-cells","Plasmablast",0,0,0,1,-0.490674487463831,1,1,0.4999995000005,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"Late-NK-cells","Platelet",2,1,1,3,1.41782113317407,7,0.714285714285714,0.708333128472283,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"Late-NK-cells","Treg Memory",0,0,0,3,-0.683963868487884,3,1,0.499999833333389,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"Late-NK-cells","Treg Naive",0,0,0,10,-0.549326579883565,10,1,0.499999950000005,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"Late-NK-cells","cDC1",0,0,4,1,-0.165666562495771,5,0.2,0.4999995000005,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"Late-NK-cells","cDC2_1",1,0,0,1,0.243430559194158,2,1,0.999999000001,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"Late-NK-cells","cDC2_2",14,31,16,36,0.132449844831388,97,0.515463917525773,0.501990037963665,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"Late-NK-cells","dnT_1",0,0,0,3,-0.564376866595662,3,1,0.499999833333389,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"Late-NK-cells","dnT_2",0,0,0,6,-0.582786155542528,6,1,0.499999916666681,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"Late-NK-cells","gdT_1",0,0,0,1,-0.133381007035368,1,1,0.4999995000005,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"Late-NK-cells","gdT_2",0,0,0,8,-0.39250927773631,8,1,0.499999937500008,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"Late-NK-cells","gdT_3",0,0,0,69,-0.553083302729079,69,1,0.499999992753623,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"Late-NK-cells","gdT_4",0,0,0,12,-0.294629420140382,12,1,0.499999958333337,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"Late-NK-cells","pDC",213,110,86,47,0.280102813664021,456,0.570175438596491,0.505868817487673,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"Monocytes","ASDC_mDC",1,0,0,0,0.215107321903897,1,1,0.4999995000005,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"Monocytes","CD14 Mono",143,0,30,1,0.782682551373982,174,0.827586206896552,0.913294295299374,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"Monocytes","CD16 Mono",45,4,8,1,0.882713233090859,58,0.793103448275862,0.524528273876829,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"Monocytes","Doublet",3,0,0,0,2.05489480806416,3,1,0.499999833333389,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"Monocytes","HSPC",0,0,23,0,-0.254411429896351,23,0,0,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"Monocytes","NK Proliferating",0,0,2,0,-0.398856324434777,2,0,0,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"Monocytes","NK_2",2,0,0,0,0.286477966474697,2,1,0.499999750000125,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"Monocytes","NK_4",0,0,2,0,-0.0849037563364883,2,0,0,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"Monocytes","NK_CD56bright",0,0,5,0,-0.384543061513997,5,0,0,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"Monocytes","Platelet",9,0,0,0,6.14933373277217,9,1,0.499999944444451,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"Monocytes","cDC1",0,0,4,0,-0.0108915663189286,4,0,0,"UCell","GOBP_REG",TRUE,"gmm_platelet"
"Monocytes","cDC2_1",52,0,22,0,0.44430567958676,74,0.702702702702703,0.35135134660336,"UCell","GOBP_REG",TRUE,"gmm_platelet"
