"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,0,0,28,-0.494025336780556,28,1,0.499999982142858,"UCell","GOBP_REG",TRUE,"kmeans"
"B-cells","B intermediate lambda",0,0,0,142,-0.35600941004026,142,1,0.499999996478873,"UCell","GOBP_REG",TRUE,"kmeans"
"B-cells","B memory kappa",0,0,0,35,-0.501209921102816,35,1,0.499999985714286,"UCell","GOBP_REG",TRUE,"kmeans"
"B-cells","B memory lambda",0,0,0,30,-0.556236993218979,30,1,0.499999983333334,"UCell","GOBP_REG",TRUE,"kmeans"
"B-cells","B naive kappa",0,0,1,204,-0.587167493929879,205,0.995121951219512,0.49999999754902,"UCell","GOBP_REG",TRUE,"kmeans"
"B-cells","B naive lambda",0,0,0,15,-0.539578951068298,15,1,0.499999966666669,"UCell","GOBP_REG",TRUE,"kmeans"
"B-cells","Plasma",0,0,0,2,-0.246380451146781,2,1,0.499999750000125,"UCell","GOBP_REG",TRUE,"kmeans"
"Classical-Monocytes","CD14 Mono",18,0,25550,149,0.960105409542036,25717,0.00649375899210639,0.50035199914741,"UCell","GOBP_REG",TRUE,"kmeans"
"Classical-Monocytes","CD16 Mono",0,0,287,6,0.690439584565692,293,0.0204778156996587,0.499999916666681,"UCell","GOBP_REG",TRUE,"kmeans"
"Classical-Monocytes","Doublet",0,0,109,0,1.10005376877528,109,0,0,"UCell","GOBP_REG",TRUE,"kmeans"
"Classical-Monocytes","HSPC",0,0,1,0,-0.133870182118102,1,0,0,"UCell","GOBP_REG",TRUE,"kmeans"
"Classical-Monocytes","Platelet",44,0,15,0,5.88995283676602,59,0.745762711864407,0.372881349612181,"UCell","GOBP_REG",TRUE,"kmeans"
"Classical-Monocytes","cDC1",0,0,2,0,0.204541140116855,2,0,0,"UCell","GOBP_REG",TRUE,"kmeans"
"Classical-Monocytes","cDC2_1",0,0,87,0,0.373767605232104,87,0,0,"UCell","GOBP_REG",TRUE,"kmeans"
"Classical-Monocytes","cDC2_2",0,0,25,0,0.202056130696569,25,0,0,"UCell","GOBP_REG",TRUE,"kmeans"
"Classical-Monocytes","pDC",0,0,5,0,0.298756261051305,5,0,0,"UCell","GOBP_REG",TRUE,"kmeans"
"DCs","ASDC_mDC",0,0,0,1,0.416647455990051,1,1,0.4999995000005,"UCell","GOBP_REG",TRUE,"kmeans"
"DCs","CD14 Mono",0,0,85,9,0.74975383057247,94,0.0957446808510638,0.499999944444451,"UCell","GOBP_REG",TRUE,"kmeans"
"DCs","CD16 Mono",0,0,51,3,0.444369189104508,54,0.0555555555555556,0.499999833333389,"UCell","GOBP_REG",TRUE,"kmeans"
"DCs","CD4 CTL",0,0,0,2,-0.616930576317319,2,1,0.499999750000125,"UCell","GOBP_REG",TRUE,"kmeans"
"DCs","CD4 Naive",0,0,12,16,-0.573470864324192,28,0.571428571428571,0.499999968750002,"UCell","GOBP_REG",TRUE,"kmeans"
"DCs","CD4 TCM_1",0,0,9,11,-0.549003724328961,20,0.55,0.499999954545459,"UCell","GOBP_REG",TRUE,"kmeans"
"DCs","CD4 TCM_2",0,0,5,5,-0.643854772870965,10,0.5,0.49999990000002,"UCell","GOBP_REG",TRUE,"kmeans"
"DCs","CD4 TCM_3",0,0,13,4,-0.600209420989298,17,0.235294117647059,0.499999875000031,"UCell","GOBP_REG",TRUE,"kmeans"
"DCs","CD4 TEM_1",0,0,1,1,-0.649852059385277,2,0.5,0.4999995000005,"UCell","GOBP_REG",TRUE,"kmeans"
"DCs","CD4 TEM_3",0,0,5,2,-0.586762450143604,7,0.285714285714286,0.499999750000125,"UCell","GOBP_REG",TRUE,"kmeans"
"DCs","CD8 Naive",0,0,22,14,-0.623080594163017,36,0.388888888888889,0.499999964285717,"UCell","GOBP_REG",TRUE,"kmeans"
"DCs","CD8 Naive_2",0,0,1,1,-0.723179404287011,2,0.5,0.4999995000005,"UCell","GOBP_REG",TRUE,"kmeans"
"DCs","CD8 Proliferating",0,0,2,0,-0.744947695468646,2,0,0,"UCell","GOBP_REG",TRUE,"kmeans"
"DCs","CD8 TCM_1",0,0,0,2,-0.563170234724919,2,1,0.499999750000125,"UCell","GOBP_REG",TRUE,"kmeans"
"DCs","CD8 TCM_2",0,0,2,1,-0.658233259136108,3,0.333333333333333,0.4999995000005,"UCell","GOBP_REG",TRUE,"kmeans"
"DCs","CD8 TCM_3",0,0,2,1,-0.626339043741891,3,0.333333333333333,0.4999995000005,"UCell","GOBP_REG",TRUE,"kmeans"
"DCs","CD8 TEM_1",0,0,5,2,-0.462973201350187,7,0.285714285714286,0.499999750000125,"UCell","GOBP_REG",TRUE,"kmeans"
"DCs","CD8 TEM_2",0,0,2,0,-0.308310016620825,2,0,0,"UCell","GOBP_REG",TRUE,"kmeans"
"DCs","CD8 TEM_4",0,0,2,2,-0.261936218777702,4,0.5,0.499999750000125,"UCell","GOBP_REG",TRUE,"kmeans"
"DCs","CD8 TEM_5",0,0,1,0,-0.0133374417325935,1,0,0,"UCell","GOBP_REG",TRUE,"kmeans"
"DCs","Doublet",0,0,15,1,1.7211184197381,16,0.0625,0.4999995000005,"UCell","GOBP_REG",TRUE,"kmeans"
"DCs","HSPC",0,0,1,0,-0.535189419992571,1,0,0,"UCell","GOBP_REG",TRUE,"kmeans"
"DCs","MAIT",0,0,2,0,-0.600983468620211,2,0,0,"UCell","GOBP_REG",TRUE,"kmeans"
"DCs","NK Proliferating",0,0,1,0,-0.307918676554641,1,0,0,"UCell","GOBP_REG",TRUE,"kmeans"
"DCs","NK_1",0,0,0,1,-0.600934551111937,1,1,0.4999995000005,"UCell","GOBP_REG",TRUE,"kmeans"
"DCs","NK_3",0,0,1,0,0.036264911656569,1,0,0,"UCell","GOBP_REG",TRUE,"kmeans"
"DCs","NK_CD56bright",0,0,0,1,-0.368967726879766,1,1,0.4999995000005,"UCell","GOBP_REG",TRUE,"kmeans"
"DCs","Platelet",13,2,2,0,6.26681888042002,17,0.764705882352941,0.433333304444446,"UCell","GOBP_REG",TRUE,"kmeans"
"DCs","Treg Memory",0,0,2,0,-0.54766338460227,2,0,0,"UCell","GOBP_REG",TRUE,"kmeans"
"DCs","Treg Naive",0,0,3,1,-0.598023959369674,4,0.25,0.4999995000005,"UCell","GOBP_REG",TRUE,"kmeans"
"DCs","cDC2_1",0,0,8,0,0.370958503262753,8,0,0,"UCell","GOBP_REG",TRUE,"kmeans"
"DCs","cDC2_2",0,0,12,3,0.22324719528058,15,0.2,0.499999833333389,"UCell","GOBP_REG",TRUE,"kmeans"
"DCs","dnT_2",0,0,1,0,-0.466411403360256,1,0,0,"UCell","GOBP_REG",TRUE,"kmeans"
"DCs","gdT_1",0,0,1,0,-0.266436629538848,1,0,0,"UCell","GOBP_REG",TRUE,"kmeans"
"DCs","gdT_2",0,0,0,1,-0.0702774213627602,1,1,0.4999995000005,"UCell","GOBP_REG",TRUE,"kmeans"
"DCs","gdT_3",0,0,0,1,-0.693779981814734,1,1,0.4999995000005,"UCell","GOBP_REG",TRUE,"kmeans"
"DCs","pDC",0,0,2,0,0.286135543916784,2,0,0,"UCell","GOBP_REG",TRUE,"kmeans"
"Early-NK-cells","CD16 Mono",0,0,0,5,0.30773751557029,5,1,0.49999990000002,"UCell","GOBP_REG",TRUE,"kmeans"
"Early-NK-cells","CD4 Naive",0,0,0,1,-0.460736972400549,1,1,0.4999995000005,"UCell","GOBP_REG",TRUE,"kmeans"
"Early-NK-cells","CD4 TCM_1",0,0,0,1,-0.636252992085289,1,1,0.4999995000005,"UCell","GOBP_REG",TRUE,"kmeans"
"Early-NK-cells","CD8 TEM_1",0,0,1,0,-0.707281214098176,1,0,0,"UCell","GOBP_REG",TRUE,"kmeans"
"Early-NK-cells","CD8 TEM_2",0,0,0,2,-0.273676420763302,2,1,0.499999750000125,"UCell","GOBP_REG",TRUE,"kmeans"
"Early-NK-cells","CD8 TEM_4",0,0,0,5,-0.253346304324903,5,1,0.49999990000002,"UCell","GOBP_REG",TRUE,"kmeans"
"Early-NK-cells","CD8 TEM_5",0,0,1,15,-0.330640859147605,16,0.9375,0.499999966666669,"UCell","GOBP_REG",TRUE,"kmeans"
"Early-NK-cells","NK Proliferating",0,0,0,21,-0.0907342574416403,21,1,0.499999976190477,"UCell","GOBP_REG",TRUE,"kmeans"
"Early-NK-cells","NK_1",0,0,10,549,-0.117246455147344,559,0.98211091234347,0.499999999089253,"UCell","GOBP_REG",TRUE,"kmeans"
"Early-NK-cells","NK_2",0,0,4,211,0.0561017575929389,215,0.981395348837209,0.499999997630332,"UCell","GOBP_REG",TRUE,"kmeans"
"Early-NK-cells","NK_3",0,0,1,36,-0.132526933782812,37,0.972972972972973,0.499999986111112,"UCell","GOBP_REG",TRUE,"kmeans"
"Early-NK-cells","NK_4",0,0,0,17,-0.248440741495233,17,1,0.499999970588237,"UCell","GOBP_REG",TRUE,"kmeans"
"Early-NK-cells","NK_CD56bright",0,0,0,1,-0.407123383332969,1,1,0.4999995000005,"UCell","GOBP_REG",TRUE,"kmeans"
"Early-NK-cells","gdT_2",0,0,0,1,0.0229593494062229,1,1,0.4999995000005,"UCell","GOBP_REG",TRUE,"kmeans"
"Intermediate-Monocytes","CD14 Mono",1,0,482,14,0.935072059052653,497,0.0301810865191147,0.501035160970944,"UCell","GOBP_REG",TRUE,"kmeans"
"Intermediate-Monocytes","CD16 Mono",0,0,1538,23,0.534312897098174,1561,0.0147341447789878,0.499999978260871,"UCell","GOBP_REG",TRUE,"kmeans"
"Intermediate-Monocytes","Doublet",1,0,108,0,1.94049784908336,109,0.00917431192660551,0.00458715592121875,"UCell","GOBP_REG",TRUE,"kmeans"
"Intermediate-Monocytes","Platelet",2,0,1,0,5.38092664225717,3,0.666666666666667,0.333333222222259,"UCell","GOBP_REG",TRUE,"kmeans"
