"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,1,0,35,-0.514596273477459,36,0.972222222222222,0.486111097608025,"UCell","GOBP_REG",TRUE,"youden"
"B-cells","B intermediate lambda",0,17,0,149,-0.382639162587118,166,0.897590361445783,0.448795178019306,"UCell","GOBP_REG",TRUE,"youden"
"B-cells","B memory kappa",0,1,1,43,-0.525426743489462,45,0.955555555555556,0.488636352530992,"UCell","GOBP_REG",TRUE,"youden"
"B-cells","B memory lambda",0,0,0,34,-0.622022503299507,34,1,0.499999985294118,"UCell","GOBP_REG",TRUE,"youden"
"B-cells","B naive kappa",0,1,1,246,-0.662790032507793,248,0.991935483870968,0.497975706485928,"UCell","GOBP_REG",TRUE,"youden"
"B-cells","B naive lambda",0,0,0,20,-0.629210254153783,20,1,0.499999975000001,"UCell","GOBP_REG",TRUE,"youden"
"B-cells","Plasma",0,0,0,1,-0.312987340091181,1,1,0.4999995000005,"UCell","GOBP_REG",TRUE,"youden"
"Classical-Monocytes","CD14 Mono",30765,164,2365,23,0.972107471166215,33317,0.924092805474683,0.525804600234011,"UCell","GOBP_REG",TRUE,"youden"
"Classical-Monocytes","CD16 Mono",455,5,31,1,0.868901723894647,492,0.926829268292683,0.551440314366037,"UCell","GOBP_REG",TRUE,"youden"
"Classical-Monocytes","Doublet",137,0,3,0,1.10372991602624,140,0.978571428571429,0.489285710790816,"UCell","GOBP_REG",TRUE,"youden"
"Classical-Monocytes","Eryth",10,0,1,0,0.775376397010869,11,0.909090909090909,0.454545413223144,"UCell","GOBP_REG",TRUE,"youden"
"Classical-Monocytes","HSPC",0,0,1,0,-0.00229820239007163,1,0,0,"UCell","GOBP_REG",TRUE,"youden"
"Classical-Monocytes","Platelet",62,0,0,0,7.40091357434962,62,1,0.499999991935484,"UCell","GOBP_REG",TRUE,"youden"
"Classical-Monocytes","cDC1",2,0,1,0,0.302275530803441,3,0.666666666666667,0.333333222222259,"UCell","GOBP_REG",TRUE,"youden"
"Classical-Monocytes","cDC2_1",146,0,19,0,0.763390325033778,165,0.884848484848485,0.442424239742883,"UCell","GOBP_REG",TRUE,"youden"
"Classical-Monocytes","cDC2_2",33,0,11,0,0.236741901323453,44,0.75,0.374999991477273,"UCell","GOBP_REG",TRUE,"youden"
"Classical-Monocytes","pDC",3,0,2,0,0.289845306423871,5,0.6,0.299999940000012,"UCell","GOBP_REG",TRUE,"youden"
"DCs","ASDC_mDC",0,1,0,0,0.181064225155607,1,0,0,"UCell","GOBP_REG",TRUE,"youden"
"DCs","CD14 Mono",95,8,13,1,0.731946612642925,117,0.82051282051282,0.495370360125172,"UCell","GOBP_REG",TRUE,"youden"
"DCs","CD16 Mono",56,5,9,0,0.466357816203164,70,0.8,0.430769224142012,"UCell","GOBP_REG",TRUE,"youden"
"DCs","CD4 CTL",0,0,3,2,-0.523450315655848,5,0.4,0.499999750000125,"UCell","GOBP_REG",TRUE,"youden"
"DCs","CD4 Naive",0,1,19,20,-0.59551404295799,40,0.5,0.47619045351474,"UCell","GOBP_REG",TRUE,"youden"
"DCs","CD4 TCM_1",1,0,13,15,-0.554190537894328,29,0.551724137931034,0.535714249829934,"UCell","GOBP_REG",TRUE,"youden"
"DCs","CD4 TCM_2",0,0,3,2,-0.495930995371667,5,0.4,0.499999750000125,"UCell","GOBP_REG",TRUE,"youden"
"DCs","CD4 TCM_3",0,0,17,5,-0.699513234431814,22,0.227272727272727,0.49999990000002,"UCell","GOBP_REG",TRUE,"youden"
