"celltype_clean","celltype.l3","celltype.l1","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa","B",0,0,0,36,-0.507780309223735,36,1,0.499999986111112,"UCell","GOBP_REG",TRUE,"youden_dual"
"B-cells","B intermediate lambda","B",0,2,0,164,-0.384298279994906,166,0.987951807228916,0.493975900638699,"UCell","GOBP_REG",TRUE,"youden_dual"
"B-cells","B memory kappa","B",0,0,1,44,-0.531094771467496,45,0.977777777777778,0.499999988636364,"UCell","GOBP_REG",TRUE,"youden_dual"
"B-cells","B memory lambda","B",0,0,0,34,-0.584946821184397,34,1,0.499999985294118,"UCell","GOBP_REG",TRUE,"youden_dual"
"B-cells","B naive kappa","B",0,0,1,247,-0.644192230728774,248,0.995967741935484,0.499999997975708,"UCell","GOBP_REG",TRUE,"youden_dual"
"B-cells","B naive lambda","B",0,0,0,20,-0.633291934291873,20,1,0.499999975000001,"UCell","GOBP_REG",TRUE,"youden_dual"
"B-cells","Plasma","B",0,0,0,1,-0.356647899778967,1,1,0.4999995000005,"UCell","GOBP_REG",TRUE,"youden_dual"
"Classical-Monocytes","CD14 Mono","Mono",30197,163,2933,24,0.984762653977561,33317,0.907074466488579,0.519906106036468,"UCell","GOBP_REG",TRUE,"youden_dual"
"Classical-Monocytes","CD16 Mono","Mono",456,6,30,0,0.877079833683949,492,0.926829268292683,0.469135801503836,"UCell","GOBP_REG",TRUE,"youden_dual"
"Classical-Monocytes","Doublet","other",131,0,9,0,1.12215240488643,140,0.935714285714286,0.467857139515306,"UCell","GOBP_REG",TRUE,"youden_dual"
"Classical-Monocytes","Eryth","other",10,0,1,0,0.779420995645898,11,0.909090909090909,0.454545413223144,"UCell","GOBP_REG",TRUE,"youden_dual"
"Classical-Monocytes","HSPC","other",0,0,1,0,-0.0323734504949414,1,0,0,"UCell","GOBP_REG",TRUE,"youden_dual"
"Classical-Monocytes","Platelet","other",7,0,55,0,7.69828410967689,62,0.112903225806452,0.0564516119927159,"UCell","GOBP_REG",TRUE,"youden_dual"
"Classical-Monocytes","cDC1","DC",0,0,3,0,0.285162647979198,3,0,0,"UCell","GOBP_REG",TRUE,"youden_dual"
"Classical-Monocytes","cDC2_1","DC",99,0,66,0,0.766808849064431,165,0.6,0.299999998181818,"UCell","GOBP_REG",TRUE,"youden_dual"
"Classical-Monocytes","cDC2_2","DC",12,0,32,0,0.216895007627864,44,0.272727272727273,0.136363633264463,"UCell","GOBP_REG",TRUE,"youden_dual"
"Classical-Monocytes","pDC","DC",0,0,5,0,0.272602917809842,5,0,0,"UCell","GOBP_REG",TRUE,"youden_dual"
"DCs","ASDC_mDC","DC",0,1,0,0,0.159044339779724,1,0,0,"UCell","GOBP_REG",TRUE,"youden_dual"
"DCs","CD14 Mono","Mono",89,7,19,2,0.734002182648473,117,0.777777777777778,0.523148131987313,"UCell","GOBP_REG",TRUE,"youden_dual"
"DCs","CD16 Mono","Mono",50,5,15,0,0.456781694832266,70,0.714285714285714,0.384615378698225,"UCell","GOBP_REG",TRUE,"youden_dual"
"DCs","CD4 CTL","CD4 T",0,0,3,2,-0.576637686838234,5,0.4,0.499999750000125,"UCell","GOBP_REG",TRUE,"youden_dual"
"DCs","CD4 Naive","CD4 T",0,0,19,21,-0.598113575012218,40,0.525,0.499999976190477,"UCell","GOBP_REG",TRUE,"youden_dual"
"DCs","CD4 TCM_1","CD4 T",0,0,14,15,-0.608707254194295,29,0.517241379310345,0.499999966666669,"UCell","GOBP_REG",TRUE,"youden_dual"
"DCs","CD4 TCM_2","CD4 T",0,0,3,2,-0.547794766670553,5,0.4,0.499999750000125,"UCell","GOBP_REG",TRUE,"youden_dual"
