"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,0,0,36,-0.140509052579119,36,1,0.499999986111112,"AUCell","HP_ABNORMAL",FALSE,"kmeans"
"B-cells","B intermediate lambda",0,0,0,166,-0.0988270890767915,166,1,0.499999996987952,"AUCell","HP_ABNORMAL",FALSE,"kmeans"
"B-cells","B memory kappa",0,0,1,44,-0.104406956515308,45,0.977777777777778,0.499999988636364,"AUCell","HP_ABNORMAL",FALSE,"kmeans"
"B-cells","B memory lambda",0,0,0,34,-0.140509052579119,34,1,0.499999985294118,"AUCell","HP_ABNORMAL",FALSE,"kmeans"
"B-cells","B naive kappa",0,0,1,247,-0.124053168576073,248,0.995967741935484,0.499999997975708,"AUCell","HP_ABNORMAL",FALSE,"kmeans"
"B-cells","B naive lambda",0,0,0,20,-0.131456343249865,20,1,0.499999975000001,"AUCell","HP_ABNORMAL",FALSE,"kmeans"
"B-cells","Plasma",0,0,0,1,-0.140509052579119,1,1,0.4999995000005,"AUCell","HP_ABNORMAL",FALSE,"kmeans"
"Classical-Monocytes","CD14 Mono",3,0,33127,187,-0.0201050494692335,33317,0.00570279436924093,0.500045273510929,"AUCell","HP_ABNORMAL",FALSE,"kmeans"
"Classical-Monocytes","CD16 Mono",0,0,486,6,-0.0889497852061774,492,0.0121951219512195,0.499999916666681,"AUCell","HP_ABNORMAL",FALSE,"kmeans"
"Classical-Monocytes","Doublet",0,0,140,0,0.123872002889899,140,0,0,"AUCell","HP_ABNORMAL",FALSE,"kmeans"
"Classical-Monocytes","Eryth",0,0,11,0,0.0218614095917719,11,0,0,"AUCell","HP_ABNORMAL",FALSE,"kmeans"
"Classical-Monocytes","HSPC",0,0,1,0,1.62599260572392,1,0,0,"AUCell","HP_ABNORMAL",FALSE,"kmeans"
"Classical-Monocytes","Platelet",51,0,11,0,12.2120588386285,62,0.82258064516129,0.41129031594693,"AUCell","HP_ABNORMAL",FALSE,"kmeans"
"Classical-Monocytes","cDC1",0,0,3,0,-0.140509052579119,3,0,0,"AUCell","HP_ABNORMAL",FALSE,"kmeans"
"Classical-Monocytes","cDC2_1",0,0,165,0,-0.067227333487928,165,0,0,"AUCell","HP_ABNORMAL",FALSE,"kmeans"
"Classical-Monocytes","cDC2_2",0,0,44,0,-0.127052322495093,44,0,0,"AUCell","HP_ABNORMAL",FALSE,"kmeans"
"Classical-Monocytes","pDC",0,0,5,0,-0.11212758549281,5,0,0,"AUCell","HP_ABNORMAL",FALSE,"kmeans"
"DCs","ASDC_mDC",0,0,0,1,-0.140509052579119,1,1,0.4999995000005,"AUCell","HP_ABNORMAL",FALSE,"kmeans"
"DCs","CD14 Mono",0,0,108,9,0.00733722821973574,117,0.0769230769230769,0.499999944444451,"AUCell","HP_ABNORMAL",FALSE,"kmeans"
"DCs","CD16 Mono",0,0,65,5,-0.082697542036317,70,0.0714285714285714,0.49999990000002,"AUCell","HP_ABNORMAL",FALSE,"kmeans"
"DCs","CD4 CTL",0,0,3,2,-0.140509052579119,5,0.4,0.499999750000125,"AUCell","HP_ABNORMAL",FALSE,"kmeans"
"DCs","CD4 Naive",0,0,19,21,-0.140509052579119,40,0.525,0.499999976190477,"AUCell","HP_ABNORMAL",FALSE,"kmeans"
"DCs","CD4 TCM_1",0,0,14,15,-0.140509052579119,29,0.517241379310345,0.499999966666669,"AUCell","HP_ABNORMAL",FALSE,"kmeans"
"DCs","CD4 TCM_2",0,0,3,2,-0.140509052579119,5,0.4,0.499999750000125,"AUCell","HP_ABNORMAL",FALSE,"kmeans"
"DCs","CD4 TCM_3",0,0,17,5,-0.140509052579119,22,0.227272727272727,0.49999990000002,"AUCell","HP_ABNORMAL",FALSE,"kmeans"
"DCs","CD4 TEM_1",0,0,1,2,-0.140509052579119,3,0.666666666666667,0.499999750000125,"AUCell","HP_ABNORMAL",FALSE,"kmeans"
"DCs","CD4 TEM_3",0,0,5,3,0.228327685633045,8,0.375,0.499999833333389,"AUCell","HP_ABNORMAL",FALSE,"kmeans"
"DCs","CD8 Naive",0,0,29,15,-0.0618817123360918,44,0.340909090909091,0.499999966666669,"AUCell","HP_ABNORMAL",FALSE,"kmeans"
"DCs","CD8 Naive_2",0,0,0,1,-0.140509052579119,1,1,0.4999995000005,"AUCell","HP_ABNORMAL",FALSE,"kmeans"
"DCs","CD8 Proliferating",0,0,1,0,-0.140509052579119,1,0,0,"AUCell","HP_ABNORMAL",FALSE,"kmeans"
"DCs","CD8 TCM_1",0,0,0,2,-0.140509052579119,2,1,0.499999750000125,"AUCell","HP_ABNORMAL",FALSE,"kmeans"
"DCs","CD8 TCM_2",0,0,2,2,-0.140509052579119,4,0.5,0.499999750000125,"AUCell","HP_ABNORMAL",FALSE,"kmeans"
"DCs","CD8 TCM_3",0,0,2,1,-0.140509052579119,3,0.333333333333333,0.4999995000005,"AUCell","HP_ABNORMAL",FALSE,"kmeans"
"DCs","CD8 TEM_1",0,0,7,2,-0.140509052579119,9,0.222222222222222,0.499999750000125,"AUCell","HP_ABNORMAL",FALSE,"kmeans"
"DCs","CD8 TEM_2",0,0,2,0,-0.140509052579119,2,0,0,"AUCell","HP_ABNORMAL",FALSE,"kmeans"
"DCs","CD8 TEM_4",0,0,2,5,0.53687128255964,7,0.714285714285714,0.49999990000002,"AUCell","HP_ABNORMAL",FALSE,"kmeans"
"DCs","CD8 TEM_5",0,0,1,0,-0.140509052579119,1,0,0,"AUCell","HP_ABNORMAL",FALSE,"kmeans"
"DCs","Doublet",1,0,15,1,1.93225914710154,17,0.117647058823529,0.531249498047375,"AUCell","HP_ABNORMAL",FALSE,"kmeans"
"DCs","HSPC",0,0,1,0,-0.140509052579119,1,0,0,"AUCell","HP_ABNORMAL",FALSE,"kmeans"
"DCs","MAIT",0,0,3,0,-0.140509052579119,3,0,0,"AUCell","HP_ABNORMAL",FALSE,"kmeans"
"DCs","NK Proliferating",0,0,1,0,-0.140509052579119,1,0,0,"AUCell","HP_ABNORMAL",FALSE,"kmeans"
"DCs","NK_1",0,0,0,1,-0.140509052579119,1,1,0.4999995000005,"AUCell","HP_ABNORMAL",FALSE,"kmeans"
"DCs","NK_2",0,0,1,0,-0.140509052579119,1,0,0,"AUCell","HP_ABNORMAL",FALSE,"kmeans"
"DCs","NK_CD56bright",0,0,0,1,-0.140509052579119,1,1,0.4999995000005,"AUCell","HP_ABNORMAL",FALSE,"kmeans"
"DCs","Platelet",14,2,6,0,10.4487141844507,22,0.636363636363636,0.349999982500001,"AUCell","HP_ABNORMAL",FALSE,"kmeans"
"DCs","Treg Memory",0,0,2,0,0.933582675945858,2,0,0,"AUCell","HP_ABNORMAL",FALSE,"kmeans"
"DCs","Treg Naive",0,0,3,1,-0.140509052579119,4,0.25,0.4999995000005,"AUCell","HP_ABNORMAL",FALSE,"kmeans"
"DCs","cDC2_1",0,0,16,0,0.0735752896667475,16,0,0,"AUCell","HP_ABNORMAL",FALSE,"kmeans"
"DCs","cDC2_2",0,0,38,13,-0.128899324663489,51,0.254901960784314,0.499999961538465,"AUCell","HP_ABNORMAL",FALSE,"kmeans"
"DCs","gdT_1",0,0,1,0,-0.140509052579119,1,0,0,"AUCell","HP_ABNORMAL",FALSE,"kmeans"
"DCs","gdT_2",0,0,0,2,-0.140509052579119,2,1,0.499999750000125,"AUCell","HP_ABNORMAL",FALSE,"kmeans"
"DCs","gdT_3",0,0,0,1,-0.140509052579119,1,1,0.4999995000005,"AUCell","HP_ABNORMAL",FALSE,"kmeans"
"DCs","gdT_4",0,0,1,0,-0.140509052579119,1,0,0,"AUCell","HP_ABNORMAL",FALSE,"kmeans"
"DCs","pDC",0,0,3,0,-0.140509052579119,3,0,0,"AUCell","HP_ABNORMAL",FALSE,"kmeans"
"Early-NK-cells","CD16 Mono",0,0,1,5,-0.140509052579119,6,0.833333333333333,0.49999990000002,"AUCell","HP_ABNORMAL",FALSE,"kmeans"
"Early-NK-cells","CD4 Naive",0,0,0,1,-0.140509052579119,1,1,0.4999995000005,"AUCell","HP_ABNORMAL",FALSE,"kmeans"
"Early-NK-cells","CD4 TCM_1",0,0,0,1,-0.140509052579119,1,1,0.4999995000005,"AUCell","HP_ABNORMAL",FALSE,"kmeans"
"Early-NK-cells","CD8 TEM_1",0,0,1,0,-0.140509052579119,1,0,0,"AUCell","HP_ABNORMAL",FALSE,"kmeans"
"Early-NK-cells","CD8 TEM_2",0,0,0,2,-0.140509052579119,2,1,0.499999750000125,"AUCell","HP_ABNORMAL",FALSE,"kmeans"
"Early-NK-cells","CD8 TEM_4",0,0,0,5,0.469203154137109,5,1,0.49999990000002,"AUCell","HP_ABNORMAL",FALSE,"kmeans"
"Early-NK-cells","CD8 TEM_5",0,0,1,16,-0.140509052579119,17,0.941176470588235,0.499999968750002,"AUCell","HP_ABNORMAL",FALSE,"kmeans"
"Early-NK-cells","NK Proliferating",0,0,0,30,-0.0209480446810466,30,1,0.499999983333334,"AUCell","HP_ABNORMAL",FALSE,"kmeans"
"Early-NK-cells","NK_1",0,0,12,720,-0.0472478298258925,732,0.983606557377049,0.499999999305556,"AUCell","HP_ABNORMAL",FALSE,"kmeans"
