"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,0,0,36,-0.140509052579119,36,1,0.499999986111112,"AUCell","HP_ABNORMAL",FALSE,"youden"
"B-cells","B intermediate lambda",0,4,0,162,-0.0988270890767915,166,0.975903614457831,0.487951804289447,"AUCell","HP_ABNORMAL",FALSE,"youden"
"B-cells","B memory kappa",0,1,1,43,-0.104406956515308,45,0.955555555555556,0.488636352530992,"AUCell","HP_ABNORMAL",FALSE,"youden"
"B-cells","B memory lambda",0,0,0,34,-0.140509052579119,34,1,0.499999985294118,"AUCell","HP_ABNORMAL",FALSE,"youden"
"B-cells","B naive kappa",0,3,1,244,-0.124053168576073,248,0.983870967741935,0.493927123506368,"AUCell","HP_ABNORMAL",FALSE,"youden"
"B-cells","B naive lambda",0,1,0,19,-0.131456343249865,20,0.95,0.474999976250001,"AUCell","HP_ABNORMAL",FALSE,"youden"
"B-cells","Plasma",0,0,0,1,-0.140509052579119,1,1,0.4999995000005,"AUCell","HP_ABNORMAL",FALSE,"youden"
"Classical-Monocytes","CD14 Mono",2136,12,30994,175,-0.0201050494692335,33317,0.0693639883542936,0.50015107952499,"AUCell","HP_ABNORMAL",FALSE,"youden"
"Classical-Monocytes","CD16 Mono",18,0,468,6,-0.0889497852061774,492,0.0487804878048781,0.518518435147095,"AUCell","HP_ABNORMAL",FALSE,"youden"
"Classical-Monocytes","Doublet",13,0,127,0,0.123872002889899,140,0.0928571428571429,0.0464285710969388,"AUCell","HP_ABNORMAL",FALSE,"youden"
"Classical-Monocytes","Eryth",2,0,9,0,0.0218614095917719,11,0.181818181818182,0.0909090826446289,"AUCell","HP_ABNORMAL",FALSE,"youden"
"Classical-Monocytes","HSPC",1,0,0,0,1.62599260572392,1,1,0.4999995000005,"AUCell","HP_ABNORMAL",FALSE,"youden"
"Classical-Monocytes","Platelet",54,0,8,0,12.2120588386285,62,0.870967741935484,0.435483863943809,"AUCell","HP_ABNORMAL",FALSE,"youden"
"Classical-Monocytes","cDC1",0,0,3,0,-0.140509052579119,3,0,0,"AUCell","HP_ABNORMAL",FALSE,"youden"
"Classical-Monocytes","cDC2_1",9,0,156,0,-0.067227333487928,165,0.0545454545454545,0.027272727107438,"AUCell","HP_ABNORMAL",FALSE,"youden"
"Classical-Monocytes","cDC2_2",1,0,43,0,-0.127052322495093,44,0.0227272727272727,0.0113636361053719,"AUCell","HP_ABNORMAL",FALSE,"youden"
"Classical-Monocytes","pDC",1,0,4,0,-0.11212758549281,5,0.2,0.099999980000004,"AUCell","HP_ABNORMAL",FALSE,"youden"
"DCs","ASDC_mDC",0,0,0,1,-0.140509052579119,1,1,0.4999995000005,"AUCell","HP_ABNORMAL",FALSE,"youden"
"DCs","CD14 Mono",5,0,103,9,0.00733722821973574,117,0.11965811965812,0.523148092378264,"AUCell","HP_ABNORMAL",FALSE,"youden"
"DCs","CD16 Mono",2,1,63,4,-0.082697542036317,70,0.0857142857142857,0.415384535147945,"AUCell","HP_ABNORMAL",FALSE,"youden"
