"celltype_clean","celltype.l3","celltype.l1","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa","B",0,0,0,36,-0.140509052579119,36,1,0.499999986111112,"AUCell","HP_ABNORMAL",FALSE,"youden_dual"
"B-cells","B intermediate lambda","B",0,0,0,166,-0.0988270890767915,166,1,0.499999996987952,"AUCell","HP_ABNORMAL",FALSE,"youden_dual"
"B-cells","B memory kappa","B",0,0,1,44,-0.104406956515308,45,0.977777777777778,0.499999988636364,"AUCell","HP_ABNORMAL",FALSE,"youden_dual"
"B-cells","B memory lambda","B",0,0,0,34,-0.140509052579119,34,1,0.499999985294118,"AUCell","HP_ABNORMAL",FALSE,"youden_dual"
"B-cells","B naive kappa","B",0,1,1,246,-0.124053168576073,248,0.991935483870968,0.497975706485928,"AUCell","HP_ABNORMAL",FALSE,"youden_dual"
"B-cells","B naive lambda","B",0,0,0,20,-0.131456343249865,20,1,0.499999975000001,"AUCell","HP_ABNORMAL",FALSE,"youden_dual"
"B-cells","Plasma","B",0,0,0,1,-0.140509052579119,1,1,0.4999995000005,"AUCell","HP_ABNORMAL",FALSE,"youden_dual"
"Classical-Monocytes","CD14 Mono","Mono",2138,12,30992,175,-0.0201050494692335,33317,0.0694240177687067,0.50018126364814,"AUCell","HP_ABNORMAL",FALSE,"youden_dual"
"Classical-Monocytes","CD16 Mono","Mono",18,0,468,6,-0.0889497852061774,492,0.0487804878048781,0.518518435147095,"AUCell","HP_ABNORMAL",FALSE,"youden_dual"
"Classical-Monocytes","Doublet","other",13,0,127,0,0.123872002889899,140,0.0928571428571429,0.0464285710969388,"AUCell","HP_ABNORMAL",FALSE,"youden_dual"
"Classical-Monocytes","Eryth","other",2,0,9,0,0.0218614095917719,11,0.181818181818182,0.0909090826446289,"AUCell","HP_ABNORMAL",FALSE,"youden_dual"
"Classical-Monocytes","HSPC","other",0,0,1,0,1.62599260572392,1,0,0,"AUCell","HP_ABNORMAL",FALSE,"youden_dual"
"Classical-Monocytes","Platelet","other",31,0,31,0,12.2120588386285,62,0.5,0.249999995967742,"AUCell","HP_ABNORMAL",FALSE,"youden_dual"
"Classical-Monocytes","cDC1","DC",0,0,3,0,-0.140509052579119,3,0,0,"AUCell","HP_ABNORMAL",FALSE,"youden_dual"
"Classical-Monocytes","cDC2_1","DC",9,0,156,0,-0.067227333487928,165,0.0545454545454545,0.027272727107438,"AUCell","HP_ABNORMAL",FALSE,"youden_dual"
"Classical-Monocytes","cDC2_2","DC",1,0,43,0,-0.127052322495093,44,0.0227272727272727,0.0113636361053719,"AUCell","HP_ABNORMAL",FALSE,"youden_dual"
"Classical-Monocytes","pDC","DC",1,0,4,0,-0.11212758549281,5,0.2,0.099999980000004,"AUCell","HP_ABNORMAL",FALSE,"youden_dual"
"DCs","ASDC_mDC","DC",0,0,0,1,-0.140509052579119,1,1,0.4999995000005,"AUCell","HP_ABNORMAL",FALSE,"youden_dual"
"DCs","CD14 Mono","Mono",5,0,103,9,0.00733722821973574,117,0.11965811965812,0.523148092378264,"AUCell","HP_ABNORMAL",FALSE,"youden_dual"
"DCs","CD16 Mono","Mono",2,1,63,4,-0.082697542036317,70,0.0857142857142857,0.415384535147945,"AUCell","HP_ABNORMAL",FALSE,"youden_dual"
