"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,0,0,36,-0.116561759223491,36,1,0.499999986111112,"AUCell","HP_ABNORMAL",TRUE,"kmeans"
"B-cells","B intermediate lambda",0,0,0,166,-0.0998880091626951,166,1,0.499999996987952,"AUCell","HP_ABNORMAL",TRUE,"kmeans"
"B-cells","B memory kappa",0,0,1,44,-0.072789929483901,45,0.977777777777778,0.499999988636364,"AUCell","HP_ABNORMAL",TRUE,"kmeans"
"B-cells","B memory lambda",0,0,0,34,-0.0680208101447418,34,1,0.499999985294118,"AUCell","HP_ABNORMAL",TRUE,"kmeans"
"B-cells","B naive kappa",0,0,1,247,-0.117365268891793,248,0.995967741935484,0.499999997975708,"AUCell","HP_ABNORMAL",TRUE,"kmeans"
"B-cells","B naive lambda",0,0,0,20,-0.114388025015535,20,1,0.499999975000001,"AUCell","HP_ABNORMAL",TRUE,"kmeans"
"B-cells","Plasma",0,0,0,1,-0.132264760284117,1,1,0.4999995000005,"AUCell","HP_ABNORMAL",TRUE,"kmeans"
"Classical-Monocytes","CD14 Mono",0,0,33130,187,0.0050159010271884,33317,0.00561275024762133,0.499999997326203,"AUCell","HP_ABNORMAL",TRUE,"kmeans"
"Classical-Monocytes","CD16 Mono",0,0,486,6,-0.0731640095673916,492,0.0121951219512195,0.499999916666681,"AUCell","HP_ABNORMAL",TRUE,"kmeans"
"Classical-Monocytes","Doublet",0,0,140,0,0.345334718948747,140,0,0,"AUCell","HP_ABNORMAL",TRUE,"kmeans"
"Classical-Monocytes","Eryth",0,0,11,0,0.220482368741914,11,0,0,"AUCell","HP_ABNORMAL",TRUE,"kmeans"
"Classical-Monocytes","HSPC",0,0,1,0,0.0162623152500118,1,0,0,"AUCell","HP_ABNORMAL",TRUE,"kmeans"
"Classical-Monocytes","Platelet",54,0,8,0,14.3749590737803,62,0.870967741935484,0.435483863943809,"AUCell","HP_ABNORMAL",TRUE,"kmeans"
"Classical-Monocytes","cDC1",0,0,3,0,0.235967185984706,3,0,0,"AUCell","HP_ABNORMAL",TRUE,"kmeans"
"Classical-Monocytes","cDC2_1",0,0,165,0,-0.0591295445464187,165,0,0,"AUCell","HP_ABNORMAL",TRUE,"kmeans"
"Classical-Monocytes","cDC2_2",0,0,44,0,-0.0955163715376345,44,0,0,"AUCell","HP_ABNORMAL",TRUE,"kmeans"
"Classical-Monocytes","pDC",0,0,5,0,0.725324813797152,5,0,0,"AUCell","HP_ABNORMAL",TRUE,"kmeans"
"DCs","ASDC_mDC",0,0,0,1,-0.132264760284117,1,1,0.4999995000005,"AUCell","HP_ABNORMAL",TRUE,"kmeans"
"DCs","CD14 Mono",0,0,108,9,0.0270896672297827,117,0.0769230769230769,0.499999944444451,"AUCell","HP_ABNORMAL",TRUE,"kmeans"
"DCs","CD16 Mono",0,0,65,5,-0.0335327533659414,70,0.0714285714285714,0.49999990000002,"AUCell","HP_ABNORMAL",TRUE,"kmeans"
"DCs","CD4 CTL",0,0,3,2,-0.132264760284117,5,0.4,0.499999750000125,"AUCell","HP_ABNORMAL",TRUE,"kmeans"
"DCs","CD4 Naive",0,0,19,21,-0.108339969585198,40,0.525,0.499999976190477,"AUCell","HP_ABNORMAL",TRUE,"kmeans"
"DCs","CD4 TCM_1",0,0,14,15,-0.103719868128737,29,0.517241379310345,0.499999966666669,"AUCell","HP_ABNORMAL",TRUE,"kmeans"
"DCs","CD4 TCM_2",0,0,3,2,-0.132264760284117,5,0.4,0.499999750000125,"AUCell","HP_ABNORMAL",TRUE,"kmeans"
"DCs","CD4 TCM_3",0,0,17,5,-0.102510721355031,22,0.227272727272727,0.49999990000002,"AUCell","HP_ABNORMAL",TRUE,"kmeans"
"DCs","CD4 TEM_1",0,0,1,2,-0.0988015964518663,3,0.666666666666667,0.499999750000125,"AUCell","HP_ABNORMAL",TRUE,"kmeans"
"DCs","CD4 TEM_3",0,0,5,3,-0.100224466635307,8,0.375,0.499999833333389,"AUCell","HP_ABNORMAL",TRUE,"kmeans"
"DCs","CD8 Naive",0,0,29,15,-0.102435915474631,44,0.340909090909091,0.499999966666669,"AUCell","HP_ABNORMAL",TRUE,"kmeans"
"DCs","CD8 Naive_2",0,0,0,1,-0.132264760284117,1,1,0.4999995000005,"AUCell","HP_ABNORMAL",TRUE,"kmeans"
"DCs","CD8 Proliferating",0,0,1,0,-0.132264760284117,1,0,0,"AUCell","HP_ABNORMAL",TRUE,"kmeans"
"DCs","CD8 TCM_1",0,0,0,2,-0.132264760284117,2,1,0.499999750000125,"AUCell","HP_ABNORMAL",TRUE,"kmeans"
"DCs","CD8 TCM_2",0,0,2,2,-0.071681347895196,4,0.5,0.499999750000125,"AUCell","HP_ABNORMAL",TRUE,"kmeans"
"DCs","CD8 TCM_3",0,0,2,1,-0.0608126768554179,3,0.333333333333333,0.4999995000005,"AUCell","HP_ABNORMAL",TRUE,"kmeans"
