"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,5,0,31,-0.116561759223491,36,0.861111111111111,0.430555543595679,"AUCell","HP_ABNORMAL",TRUE,"youden"
"B-cells","B intermediate lambda",0,33,0,133,-0.0998880091626951,166,0.801204819277108,0.400602407225287,"AUCell","HP_ABNORMAL",TRUE,"youden"
"B-cells","B memory kappa",0,14,1,30,-0.072789929483901,45,0.666666666666667,0.340909083161157,"AUCell","HP_ABNORMAL",TRUE,"youden"
"B-cells","B memory lambda",0,11,0,23,-0.0680208101447418,34,0.676470588235294,0.338235284169551,"AUCell","HP_ABNORMAL",TRUE,"youden"
"B-cells","B naive kappa",0,24,1,223,-0.117365268891793,248,0.899193548387097,0.451417002220984,"AUCell","HP_ABNORMAL",TRUE,"youden"
"B-cells","B naive lambda",0,4,0,16,-0.114388025015535,20,0.8,0.399999980000001,"AUCell","HP_ABNORMAL",TRUE,"youden"
"B-cells","Plasma",0,0,0,1,-0.132264760284117,1,1,0.4999995000005,"AUCell","HP_ABNORMAL",TRUE,"youden"
"Classical-Monocytes","CD14 Mono",15044,87,18086,100,0.0050159010271884,33317,0.454542725935708,0.494424652051189,"AUCell","HP_ABNORMAL",TRUE,"youden"
"Classical-Monocytes","CD16 Mono",134,0,352,6,-0.0731640095673916,492,0.284552845528455,0.637859998687545,"AUCell","HP_ABNORMAL",TRUE,"youden"
"Classical-Monocytes","Doublet",66,0,74,0,0.345334718948747,140,0.471428571428571,0.235714284030612,"AUCell","HP_ABNORMAL",TRUE,"youden"
"Classical-Monocytes","Eryth",11,0,0,0,0.220482368741914,11,1,0.499999954545459,"AUCell","HP_ABNORMAL",TRUE,"youden"
"Classical-Monocytes","HSPC",1,0,0,0,0.0162623152500118,1,1,0.4999995000005,"AUCell","HP_ABNORMAL",TRUE,"youden"
"Classical-Monocytes","Platelet",60,0,2,0,14.3749590737803,62,0.967741935483871,0.483870959937565,"AUCell","HP_ABNORMAL",TRUE,"youden"
"Classical-Monocytes","cDC1",1,0,2,0,0.235967185984706,3,0.333333333333333,0.16666661111113,"AUCell","HP_ABNORMAL",TRUE,"youden"
"Classical-Monocytes","cDC2_1",60,0,105,0,-0.0591295445464187,165,0.363636363636364,0.181818180716253,"AUCell","HP_ABNORMAL",TRUE,"youden"
