"celltype_clean","celltype.l3","celltype.l1","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa","B",0,0,0,36,-0.116561759223491,36,1,0.499999986111112,"AUCell","HP_ABNORMAL",TRUE,"youden_dual"
"B-cells","B intermediate lambda","B",0,1,0,165,-0.0998880091626951,166,0.993975903614458,0.496987948813326,"AUCell","HP_ABNORMAL",TRUE,"youden_dual"
"B-cells","B memory kappa","B",0,0,1,44,-0.072789929483901,45,0.977777777777778,0.499999988636364,"AUCell","HP_ABNORMAL",TRUE,"youden_dual"
"B-cells","B memory lambda","B",0,0,0,34,-0.0680208101447418,34,1,0.499999985294118,"AUCell","HP_ABNORMAL",TRUE,"youden_dual"
"B-cells","B naive kappa","B",0,0,1,247,-0.117365268891793,248,0.995967741935484,0.499999997975708,"AUCell","HP_ABNORMAL",TRUE,"youden_dual"
"B-cells","B naive lambda","B",0,0,0,20,-0.114388025015535,20,1,0.499999975000001,"AUCell","HP_ABNORMAL",TRUE,"youden_dual"
"B-cells","Plasma","B",0,0,0,1,-0.132264760284117,1,1,0.4999995000005,"AUCell","HP_ABNORMAL",TRUE,"youden_dual"
"Classical-Monocytes","CD14 Mono","Mono",14958,87,18172,100,0.0050159010271884,33317,0.451961461115947,0.493126734755726,"AUCell","HP_ABNORMAL",TRUE,"youden_dual"
"Classical-Monocytes","CD16 Mono","Mono",135,0,351,6,-0.0731640095673916,492,0.286585365853659,0.63888880526979,"AUCell","HP_ABNORMAL",TRUE,"youden_dual"
"Classical-Monocytes","Doublet","other",66,0,74,0,0.345334718948747,140,0.471428571428571,0.235714284030612,"AUCell","HP_ABNORMAL",TRUE,"youden_dual"
"Classical-Monocytes","Eryth","other",10,0,1,0,0.220482368741914,11,0.909090909090909,0.454545413223144,"AUCell","HP_ABNORMAL",TRUE,"youden_dual"
"Classical-Monocytes","HSPC","other",0,0,1,0,0.0162623152500118,1,0,0,"AUCell","HP_ABNORMAL",TRUE,"youden_dual"
"Classical-Monocytes","Platelet","other",17,0,45,0,14.3749590737803,62,0.274193548387097,0.13709677198231,"AUCell","HP_ABNORMAL",TRUE,"youden_dual"
"Classical-Monocytes","cDC1","DC",0,0,3,0,0.235967185984706,3,0,0,"AUCell","HP_ABNORMAL",TRUE,"youden_dual"
"Classical-Monocytes","cDC2_1","DC",55,0,110,0,-0.0591295445464187,165,0.333333333333333,0.166666665656566,"AUCell","HP_ABNORMAL",TRUE,"youden_dual"
"Classical-Monocytes","cDC2_2","DC",7,0,37,0,-0.0955163715376345,44,0.159090909090909,0.0795454527376034,"AUCell","HP_ABNORMAL",TRUE,"youden_dual"
"Classical-Monocytes","pDC","DC",1,0,4,0,0.725324813797152,5,0.2,0.099999980000004,"AUCell","HP_ABNORMAL",TRUE,"youden_dual"
"DCs","ASDC_mDC","DC",0,0,0,1,-0.132264760284117,1,1,0.4999995000005,"AUCell","HP_ABNORMAL",TRUE,"youden_dual"
