"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,0,0,36,-0.202639752293225,36,1,0.499999986111112,"AddModuleScore","HP_ABNORMAL",FALSE,"gmm_dist_dual"
"B-cells","B intermediate lambda",0,1,0,165,-0.157756032035693,166,0.993975903614458,0.496987948813326,"AddModuleScore","HP_ABNORMAL",FALSE,"gmm_dist_dual"
"B-cells","B memory kappa",0,0,1,44,-0.155362426563015,45,0.977777777777778,0.499999988636364,"AddModuleScore","HP_ABNORMAL",FALSE,"gmm_dist_dual"
"B-cells","B memory lambda",0,0,0,34,-0.212958390231331,34,1,0.499999985294118,"AddModuleScore","HP_ABNORMAL",FALSE,"gmm_dist_dual"
"B-cells","B naive kappa",0,0,1,247,-0.202247009430931,248,0.995967741935484,0.499999997975708,"AddModuleScore","HP_ABNORMAL",FALSE,"gmm_dist_dual"
"B-cells","B naive lambda",0,0,0,20,-0.200017570022622,20,1,0.499999975000001,"AddModuleScore","HP_ABNORMAL",FALSE,"gmm_dist_dual"
"B-cells","Plasma",0,0,0,1,-0.11731748061753,1,1,0.4999995000005,"AddModuleScore","HP_ABNORMAL",FALSE,"gmm_dist_dual"
"Classical-Monocytes","CD14 Mono",9690,45,23440,142,0.106870597150971,33317,0.295104601254615,0.525921219017916,"AddModuleScore","HP_ABNORMAL",FALSE,"gmm_dist_dual"
"Classical-Monocytes","CD16 Mono",140,0,346,6,0.00191474242867425,492,0.296747967479675,0.644032838181016,"AddModuleScore","HP_ABNORMAL",FALSE,"gmm_dist_dual"
"Classical-Monocytes","Doublet",47,0,93,0,0.292136112106369,140,0.335714285714286,0.167857141658163,"AddModuleScore","HP_ABNORMAL",FALSE,"gmm_dist_dual"
"Classical-Monocytes","Eryth",3,0,8,0,0.121811045350395,11,0.272727272727273,0.136363623966943,"AddModuleScore","HP_ABNORMAL",FALSE,"gmm_dist_dual"
"Classical-Monocytes","HSPC",0,0,1,0,1.14289208029385,1,0,0,"AddModuleScore","HP_ABNORMAL",FALSE,"gmm_dist_dual"
"Classical-Monocytes","Platelet",48,0,14,0,11.385423764534,62,0.774193548387097,0.387096767950052,"AddModuleScore","HP_ABNORMAL",FALSE,"gmm_dist_dual"
"Classical-Monocytes","cDC1",0,0,3,0,-0.42249838114756,3,0,0,"AddModuleScore","HP_ABNORMAL",FALSE,"gmm_dist_dual"
"Classical-Monocytes","cDC2_1",55,0,110,0,0.0158822236163365,165,0.333333333333333,0.166666665656566,"AddModuleScore","HP_ABNORMAL",FALSE,"gmm_dist_dual"
"Classical-Monocytes","cDC2_2",17,0,27,0,0.091512446657689,44,0.386363636363636,0.193181813791322,"AddModuleScore","HP_ABNORMAL",FALSE,"gmm_dist_dual"
"Classical-Monocytes","pDC",0,0,5,0,0.201106440756508,5,0,0,"AddModuleScore","HP_ABNORMAL",FALSE,"gmm_dist_dual"
"DCs","ASDC_mDC",0,0,0,1,-0.3536961646995,1,1,0.4999995000005,"AddModuleScore","HP_ABNORMAL",FALSE,"gmm_dist_dual"
"DCs","CD14 Mono",25,1,83,8,0.0572573523919912,117,0.282051282051282,0.560185134730801,"AddModuleScore","HP_ABNORMAL",FALSE,"gmm_dist_dual"
"DCs","CD16 Mono",13,1,52,4,0.00861396492014829,70,0.242857142857143,0.499999918461555,"AddModuleScore","HP_ABNORMAL",FALSE,"gmm_dist_dual"
"DCs","CD4 CTL",0,0,3,2,-0.194768266723947,5,0.4,0.499999750000125,"AddModuleScore","HP_ABNORMAL",FALSE,"gmm_dist_dual"
"DCs","CD4 Naive",0,0,19,21,-0.218273230810613,40,0.525,0.499999976190477,"AddModuleScore","HP_ABNORMAL",FALSE,"gmm_dist_dual"
"DCs","CD4 TCM_1",0,0,14,15,-0.200883656497617,29,0.517241379310345,0.499999966666669,"AddModuleScore","HP_ABNORMAL",FALSE,"gmm_dist_dual"
"DCs","CD4 TCM_2",0,0,3,2,-0.285830264528689,5,0.4,0.499999750000125,"AddModuleScore","HP_ABNORMAL",FALSE,"gmm_dist_dual"
"DCs","CD4 TCM_3",0,0,17,5,-0.165964558356119,22,0.227272727272727,0.49999990000002,"AddModuleScore","HP_ABNORMAL",FALSE,"gmm_dist_dual"
"DCs","CD4 TEM_1",0,0,1,2,-0.256399302767751,3,0.666666666666667,0.499999750000125,"AddModuleScore","HP_ABNORMAL",FALSE,"gmm_dist_dual"
"DCs","CD4 TEM_3",0,0,5,3,0.113039792333426,8,0.375,0.499999833333389,"AddModuleScore","HP_ABNORMAL",FALSE,"gmm_dist_dual"
"DCs","CD8 Naive",0,0,29,15,-0.0989976075412183,44,0.340909090909091,0.499999966666669,"AddModuleScore","HP_ABNORMAL",FALSE,"gmm_dist_dual"
"DCs","CD8 Naive_2",0,0,0,1,0.96521509546125,1,1,0.4999995000005,"AddModuleScore","HP_ABNORMAL",FALSE,"gmm_dist_dual"
"DCs","CD8 Proliferating",0,0,1,0,1.44588233523778,1,0,0,"AddModuleScore","HP_ABNORMAL",FALSE,"gmm_dist_dual"
"DCs","CD8 TCM_1",0,0,0,2,-0.224715986090164,2,1,0.499999750000125,"AddModuleScore","HP_ABNORMAL",FALSE,"gmm_dist_dual"
"DCs","CD8 TCM_2",0,0,2,2,0.13569669187371,4,0.5,0.499999750000125,"AddModuleScore","HP_ABNORMAL",FALSE,"gmm_dist_dual"
"DCs","CD8 TCM_3",0,0,2,1,-0.210707977189619,3,0.333333333333333,0.4999995000005,"AddModuleScore","HP_ABNORMAL",FALSE,"gmm_dist_dual"
"DCs","CD8 TEM_1",0,0,7,2,-0.184776971912108,9,0.222222222222222,0.499999750000125,"AddModuleScore","HP_ABNORMAL",FALSE,"gmm_dist_dual"
"DCs","CD8 TEM_2",0,0,2,0,-0.188470555395713,2,0,0,"AddModuleScore","HP_ABNORMAL",FALSE,"gmm_dist_dual"
"DCs","CD8 TEM_4",1,1,1,4,0.685838117899555,7,0.714285714285714,0.649999795000078,"AddModuleScore","HP_ABNORMAL",FALSE,"gmm_dist_dual"
"DCs","CD8 TEM_5",0,0,1,0,-0.263831608944917,1,0,0,"AddModuleScore","HP_ABNORMAL",FALSE,"gmm_dist_dual"
"DCs","Doublet",11,0,5,1,2.309103904876,17,0.705882352941177,0.843749478516126,"AddModuleScore","HP_ABNORMAL",FALSE,"gmm_dist_dual"
"DCs","HSPC",0,0,1,0,-0.445914126231825,1,0,0,"AddModuleScore","HP_ABNORMAL",FALSE,"gmm_dist_dual"
