"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,0,0,36,-0.202639752293225,36,1,0.499999986111112,"AddModuleScore","HP_ABNORMAL",FALSE,"kmeans"
"B-cells","B intermediate lambda",0,0,0,166,-0.157756032035693,166,1,0.499999996987952,"AddModuleScore","HP_ABNORMAL",FALSE,"kmeans"
"B-cells","B memory kappa",0,0,1,44,-0.155362426563015,45,0.977777777777778,0.499999988636364,"AddModuleScore","HP_ABNORMAL",FALSE,"kmeans"
"B-cells","B memory lambda",0,0,0,34,-0.212958390231331,34,1,0.499999985294118,"AddModuleScore","HP_ABNORMAL",FALSE,"kmeans"
"B-cells","B naive kappa",0,0,1,247,-0.202247009430931,248,0.995967741935484,0.499999997975708,"AddModuleScore","HP_ABNORMAL",FALSE,"kmeans"
"B-cells","B naive lambda",0,0,0,20,-0.200017570022622,20,1,0.499999975000001,"AddModuleScore","HP_ABNORMAL",FALSE,"kmeans"
"B-cells","Plasma",0,0,0,1,-0.11731748061753,1,1,0.4999995000005,"AddModuleScore","HP_ABNORMAL",FALSE,"kmeans"
"Classical-Monocytes","CD14 Mono",1,0,33129,187,0.106870597150971,33317,0.00564276495482787,0.500015089387778,"AddModuleScore","HP_ABNORMAL",FALSE,"kmeans"
"Classical-Monocytes","CD16 Mono",0,0,486,6,0.00191474242867425,492,0.0121951219512195,0.499999916666681,"AddModuleScore","HP_ABNORMAL",FALSE,"kmeans"
"Classical-Monocytes","Doublet",0,0,140,0,0.292136112106369,140,0,0,"AddModuleScore","HP_ABNORMAL",FALSE,"kmeans"
"Classical-Monocytes","Eryth",0,0,11,0,0.121811045350395,11,0,0,"AddModuleScore","HP_ABNORMAL",FALSE,"kmeans"
"Classical-Monocytes","HSPC",0,0,1,0,1.14289208029385,1,0,0,"AddModuleScore","HP_ABNORMAL",FALSE,"kmeans"
"Classical-Monocytes","Platelet",51,0,11,0,11.385423764534,62,0.82258064516129,0.41129031594693,"AddModuleScore","HP_ABNORMAL",FALSE,"kmeans"
"Classical-Monocytes","cDC1",0,0,3,0,-0.42249838114756,3,0,0,"AddModuleScore","HP_ABNORMAL",FALSE,"kmeans"
"Classical-Monocytes","cDC2_1",0,0,165,0,0.0158822236163365,165,0,0,"AddModuleScore","HP_ABNORMAL",FALSE,"kmeans"
"Classical-Monocytes","cDC2_2",0,0,44,0,0.091512446657689,44,0,0,"AddModuleScore","HP_ABNORMAL",FALSE,"kmeans"
"Classical-Monocytes","pDC",0,0,5,0,0.201106440756508,5,0,0,"AddModuleScore","HP_ABNORMAL",FALSE,"kmeans"
"DCs","ASDC_mDC",0,0,0,1,-0.3536961646995,1,1,0.4999995000005,"AddModuleScore","HP_ABNORMAL",FALSE,"kmeans"
"DCs","CD14 Mono",0,0,108,9,0.0572573523919912,117,0.0769230769230769,0.499999944444451,"AddModuleScore","HP_ABNORMAL",FALSE,"kmeans"
"DCs","CD16 Mono",0,0,65,5,0.00861396492014829,70,0.0714285714285714,0.49999990000002,"AddModuleScore","HP_ABNORMAL",FALSE,"kmeans"
"DCs","CD4 CTL",0,0,3,2,-0.194768266723947,5,0.4,0.499999750000125,"AddModuleScore","HP_ABNORMAL",FALSE,"kmeans"
"DCs","CD4 Naive",0,0,19,21,-0.218273230810613,40,0.525,0.499999976190477,"AddModuleScore","HP_ABNORMAL",FALSE,"kmeans"
