"celltype_clean","celltype.l3","celltype.l1","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa","B",0,0,0,36,-0.202639752293225,36,1,0.499999986111112,"AddModuleScore","HP_ABNORMAL",FALSE,"youden_dual"
"B-cells","B intermediate lambda","B",0,1,0,165,-0.157756032035693,166,0.993975903614458,0.496987948813326,"AddModuleScore","HP_ABNORMAL",FALSE,"youden_dual"
"B-cells","B memory kappa","B",0,0,1,44,-0.155362426563015,45,0.977777777777778,0.499999988636364,"AddModuleScore","HP_ABNORMAL",FALSE,"youden_dual"
"B-cells","B memory lambda","B",0,0,0,34,-0.212958390231331,34,1,0.499999985294118,"AddModuleScore","HP_ABNORMAL",FALSE,"youden_dual"
"B-cells","B naive kappa","B",0,0,1,247,-0.202247009430931,248,0.995967741935484,0.499999997975708,"AddModuleScore","HP_ABNORMAL",FALSE,"youden_dual"
"B-cells","B naive lambda","B",0,0,0,20,-0.200017570022622,20,1,0.499999975000001,"AddModuleScore","HP_ABNORMAL",FALSE,"youden_dual"
"B-cells","Plasma","B",0,0,0,1,-0.11731748061753,1,1,0.4999995000005,"AddModuleScore","HP_ABNORMAL",FALSE,"youden_dual"
"Classical-Monocytes","CD14 Mono","Mono",26815,155,6315,32,0.106870597150971,33317,0.805804844373743,0.490255128006455,"AddModuleScore","HP_ABNORMAL",FALSE,"youden_dual"
"Classical-Monocytes","CD16 Mono","Mono",414,6,72,0,0.00191474242867425,492,0.841463414634146,0.425925925049535,"AddModuleScore","HP_ABNORMAL",FALSE,"youden_dual"
"Classical-Monocytes","Doublet","other",112,0,28,0,0.292136112106369,140,0.8,0.399999997142857,"AddModuleScore","HP_ABNORMAL",FALSE,"youden_dual"
"Classical-Monocytes","Eryth","other",9,0,2,0,0.121811045350395,11,0.818181818181818,0.40909087190083,"AddModuleScore","HP_ABNORMAL",FALSE,"youden_dual"
"Classical-Monocytes","HSPC","other",0,0,1,0,1.14289208029385,1,0,0,"AddModuleScore","HP_ABNORMAL",FALSE,"youden_dual"
"Classical-Monocytes","Platelet","other",18,0,44,0,11.385423764534,62,0.290322580645161,0.14516128798127,"AddModuleScore","HP_ABNORMAL",FALSE,"youden_dual"
