"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,0,0,28,-0.182432318718785,28,1,0.499999982142858,"AddModuleScore","HP_ABNORMAL",TRUE,"gmm_dist_platelet"
"B-cells","B intermediate lambda",0,0,0,142,-0.218185481597069,142,1,0.499999996478873,"AddModuleScore","HP_ABNORMAL",TRUE,"gmm_dist_platelet"
"B-cells","B memory kappa",0,0,0,35,-0.179049694631326,35,1,0.499999985714286,"AddModuleScore","HP_ABNORMAL",TRUE,"gmm_dist_platelet"
"B-cells","B memory lambda",0,0,0,30,-0.182189078649156,30,1,0.499999983333334,"AddModuleScore","HP_ABNORMAL",TRUE,"gmm_dist_platelet"
"B-cells","B naive kappa",0,0,1,204,-0.227779825825683,205,0.995121951219512,0.49999999754902,"AddModuleScore","HP_ABNORMAL",TRUE,"gmm_dist_platelet"
"B-cells","B naive lambda",0,0,0,15,-0.157002007596527,15,1,0.499999966666669,"AddModuleScore","HP_ABNORMAL",TRUE,"gmm_dist_platelet"
"B-cells","Plasma",0,0,0,2,-0.0680180880364097,2,1,0.499999750000125,"AddModuleScore","HP_ABNORMAL",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","CD14 Mono",981,0,24587,149,0.0523959591279274,25717,0.0439398063537738,0.519184133064071,"AddModuleScore","HP_ABNORMAL",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","CD16 Mono",9,0,278,6,-0.0362198498850515,293,0.0511945392491468,0.515679359120759,"AddModuleScore","HP_ABNORMAL",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","Doublet",22,0,87,0,0.375557780662403,109,0.201834862385321,0.100917430266813,"AddModuleScore","HP_ABNORMAL",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","HSPC",0,0,1,0,0.0342101017783866,1,0,0,"AddModuleScore","HP_ABNORMAL",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","Platelet",56,0,3,0,9.40747419916841,59,0.949152542372881,0.474576263142775,"AddModuleScore","HP_ABNORMAL",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","cDC1",0,0,2,0,0.104881035523061,2,0,0,"AddModuleScore","HP_ABNORMAL",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","cDC2_1",2,0,85,0,0.0459730628559327,87,0.0229885057471264,0.0114942527414454,"AddModuleScore","HP_ABNORMAL",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","cDC2_2",0,0,25,0,-0.000871866905103093,25,0,0,"AddModuleScore","HP_ABNORMAL",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","pDC",1,0,4,0,0.54748221853389,5,0.2,0.099999980000004,"AddModuleScore","HP_ABNORMAL",TRUE,"gmm_dist_platelet"
"DCs","ASDC_mDC",0,0,0,1,-0.086007789742613,1,1,0.4999995000005,"AddModuleScore","HP_ABNORMAL",TRUE,"gmm_dist_platelet"
"DCs","CD14 Mono",3,0,82,9,0.0497096647614351,94,0.127659574468085,0.517647003060368,"AddModuleScore","HP_ABNORMAL",TRUE,"gmm_dist_platelet"
"DCs","CD16 Mono",4,0,47,3,0.0400107447228389,54,0.12962962962963,0.539215518838964,"AddModuleScore","HP_ABNORMAL",TRUE,"gmm_dist_platelet"
"DCs","CD4 CTL",0,0,0,2,-0.191136832305969,2,1,0.499999750000125,"AddModuleScore","HP_ABNORMAL",TRUE,"gmm_dist_platelet"
"DCs","CD4 Naive",0,0,12,16,-0.140759584050289,28,0.571428571428571,0.499999968750002,"AddModuleScore","HP_ABNORMAL",TRUE,"gmm_dist_platelet"
"DCs","CD4 TCM_1",0,0,9,11,-0.164790835593805,20,0.55,0.499999954545459,"AddModuleScore","HP_ABNORMAL",TRUE,"gmm_dist_platelet"
"DCs","CD4 TCM_2",0,0,5,5,-0.205536976264244,10,0.5,0.49999990000002,"AddModuleScore","HP_ABNORMAL",TRUE,"gmm_dist_platelet"
"DCs","CD4 TCM_3",0,0,13,4,-0.177001986078717,17,0.235294117647059,0.499999875000031,"AddModuleScore","HP_ABNORMAL",TRUE,"gmm_dist_platelet"
"DCs","CD4 TEM_1",0,0,1,1,-0.139319554344632,2,0.5,0.4999995000005,"AddModuleScore","HP_ABNORMAL",TRUE,"gmm_dist_platelet"
"DCs","CD4 TEM_3",0,0,5,2,-0.040319346106308,7,0.285714285714286,0.499999750000125,"AddModuleScore","HP_ABNORMAL",TRUE,"gmm_dist_platelet"
"DCs","CD8 Naive",0,0,22,14,-0.119012857586305,36,0.388888888888889,0.499999964285717,"AddModuleScore","HP_ABNORMAL",TRUE,"gmm_dist_platelet"
"DCs","CD8 Naive_2",0,0,1,1,-0.23600983193972,2,0.5,0.4999995000005,"AddModuleScore","HP_ABNORMAL",TRUE,"gmm_dist_platelet"
"DCs","CD8 Proliferating",0,0,2,0,-0.161521145969496,2,0,0,"AddModuleScore","HP_ABNORMAL",TRUE,"gmm_dist_platelet"
"DCs","CD8 TCM_1",0,0,0,2,-0.191884258936791,2,1,0.499999750000125,"AddModuleScore","HP_ABNORMAL",TRUE,"gmm_dist_platelet"
"DCs","CD8 TCM_2",0,0,2,1,-0.141333713328917,3,0.333333333333333,0.4999995000005,"AddModuleScore","HP_ABNORMAL",TRUE,"gmm_dist_platelet"
"DCs","CD8 TCM_3",0,0,2,1,-0.162296187785666,3,0.333333333333333,0.4999995000005,"AddModuleScore","HP_ABNORMAL",TRUE,"gmm_dist_platelet"
"DCs","CD8 TEM_1",0,0,5,2,-0.200703189197037,7,0.285714285714286,0.499999750000125,"AddModuleScore","HP_ABNORMAL",TRUE,"gmm_dist_platelet"
"DCs","CD8 TEM_2",0,0,2,0,-0.10132198025409,2,0,0,"AddModuleScore","HP_ABNORMAL",TRUE,"gmm_dist_platelet"
"DCs","CD8 TEM_4",0,0,2,2,-0.101628614951808,4,0.5,0.499999750000125,"AddModuleScore","HP_ABNORMAL",TRUE,"gmm_dist_platelet"
"DCs","CD8 TEM_5",0,0,1,0,-0.140523002500396,1,0,0,"AddModuleScore","HP_ABNORMAL",TRUE,"gmm_dist_platelet"
"DCs","Doublet",13,0,2,1,1.95452444980005,16,0.875,0.933332804444946,"AddModuleScore","HP_ABNORMAL",TRUE,"gmm_dist_platelet"
"DCs","HSPC",1,0,0,0,0.58451780088897,1,1,0.4999995000005,"AddModuleScore","HP_ABNORMAL",TRUE,"gmm_dist_platelet"
"DCs","MAIT",0,0,2,0,-0.197603405702046,2,0,0,"AddModuleScore","HP_ABNORMAL",TRUE,"gmm_dist_platelet"
"DCs","NK Proliferating",0,0,1,0,-0.214215272799086,1,0,0,"AddModuleScore","HP_ABNORMAL",TRUE,"gmm_dist_platelet"
"DCs","NK_1",0,0,0,1,-0.140461366111361,1,1,0.4999995000005,"AddModuleScore","HP_ABNORMAL",TRUE,"gmm_dist_platelet"
"DCs","NK_3",0,0,1,0,-0.258889140901601,1,0,0,"AddModuleScore","HP_ABNORMAL",TRUE,"gmm_dist_platelet"
"DCs","NK_CD56bright",0,0,0,1,-0.184841911974349,1,1,0.4999995000005,"AddModuleScore","HP_ABNORMAL",TRUE,"gmm_dist_platelet"
"DCs","Platelet",15,2,0,0,10.5516065829459,17,0.882352941176471,0.499999966666669,"AddModuleScore","HP_ABNORMAL",TRUE,"gmm_dist_platelet"
"DCs","Treg Memory",0,0,2,0,-0.107289486631946,2,0,0,"AddModuleScore","HP_ABNORMAL",TRUE,"gmm_dist_platelet"
"DCs","Treg Naive",0,0,3,1,-0.16111755807197,4,0.25,0.4999995000005,"AddModuleScore","HP_ABNORMAL",TRUE,"gmm_dist_platelet"
"DCs","cDC2_1",0,0,8,0,0.172428635934417,8,0,0,"AddModuleScore","HP_ABNORMAL",TRUE,"gmm_dist_platelet"
"DCs","cDC2_2",0,0,12,3,-0.0349276451505529,15,0.2,0.499999833333389,"AddModuleScore","HP_ABNORMAL",TRUE,"gmm_dist_platelet"
"DCs","dnT_2",0,0,1,0,0.0186755619411918,1,0,0,"AddModuleScore","HP_ABNORMAL",TRUE,"gmm_dist_platelet"
"DCs","gdT_1",0,0,1,0,-0.0455127155779356,1,0,0,"AddModuleScore","HP_ABNORMAL",TRUE,"gmm_dist_platelet"
"DCs","gdT_2",0,0,0,1,-0.252507405491562,1,1,0.4999995000005,"AddModuleScore","HP_ABNORMAL",TRUE,"gmm_dist_platelet"
