"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,0,0,36,-0.199092015425907,36,1,0.499999986111112,"AddModuleScore","HP_ABNORMAL",TRUE,"kmeans"
"B-cells","B intermediate lambda",0,0,0,166,-0.21638808377133,166,1,0.499999996987952,"AddModuleScore","HP_ABNORMAL",TRUE,"kmeans"
"B-cells","B memory kappa",0,0,1,44,-0.201283384868051,45,0.977777777777778,0.499999988636364,"AddModuleScore","HP_ABNORMAL",TRUE,"kmeans"
"B-cells","B memory lambda",0,0,0,34,-0.173792821455369,34,1,0.499999985294118,"AddModuleScore","HP_ABNORMAL",TRUE,"kmeans"
"B-cells","B naive kappa",0,0,1,247,-0.222918843520388,248,0.995967741935484,0.499999997975708,"AddModuleScore","HP_ABNORMAL",TRUE,"kmeans"
"B-cells","B naive lambda",0,0,0,20,-0.176557486457299,20,1,0.499999975000001,"AddModuleScore","HP_ABNORMAL",TRUE,"kmeans"
"B-cells","Plasma",0,0,0,1,-0.0834140150715617,1,1,0.4999995000005,"AddModuleScore","HP_ABNORMAL",TRUE,"kmeans"
"Classical-Monocytes","CD14 Mono",0,0,33130,187,0.176556957578151,33317,0.00561275024762133,0.499999997326203,"AddModuleScore","HP_ABNORMAL",TRUE,"kmeans"
"Classical-Monocytes","CD16 Mono",0,0,486,6,0.0987584210081557,492,0.0121951219512195,0.499999916666681,"AddModuleScore","HP_ABNORMAL",TRUE,"kmeans"
"Classical-Monocytes","Doublet",0,0,140,0,0.550994441390052,140,0,0,"AddModuleScore","HP_ABNORMAL",TRUE,"kmeans"
"Classical-Monocytes","Eryth",0,0,11,0,0.363388841399703,11,0,0,"AddModuleScore","HP_ABNORMAL",TRUE,"kmeans"
"Classical-Monocytes","HSPC",0,0,1,0,0.0550251004490294,1,0,0,"AddModuleScore","HP_ABNORMAL",TRUE,"kmeans"
"Classical-Monocytes","Platelet",54,0,8,0,14.1146882082334,62,0.870967741935484,0.435483863943809,"AddModuleScore","HP_ABNORMAL",TRUE,"kmeans"
"Classical-Monocytes","cDC1",0,0,3,0,0.369631340216879,3,0,0,"AddModuleScore","HP_ABNORMAL",TRUE,"kmeans"
"Classical-Monocytes","cDC2_1",0,0,165,0,0.200306663717347,165,0,0,"AddModuleScore","HP_ABNORMAL",TRUE,"kmeans"
"Classical-Monocytes","cDC2_2",0,0,44,0,0.0936388059142821,44,0,0,"AddModuleScore","HP_ABNORMAL",TRUE,"kmeans"
"Classical-Monocytes","pDC",0,0,5,0,0.797697978985428,5,0,0,"AddModuleScore","HP_ABNORMAL",TRUE,"kmeans"
"DCs","ASDC_mDC",0,0,0,1,0.176509259078558,1,1,0.4999995000005,"AddModuleScore","HP_ABNORMAL",TRUE,"kmeans"
"DCs","CD14 Mono",0,0,108,9,0.167348962269804,117,0.0769230769230769,0.499999944444451,"AddModuleScore","HP_ABNORMAL",TRUE,"kmeans"
"DCs","CD16 Mono",0,0,65,5,0.181777043559675,70,0.0714285714285714,0.49999990000002,"AddModuleScore","HP_ABNORMAL",TRUE,"kmeans"
"DCs","CD4 CTL",0,0,3,2,-0.261401443381678,5,0.4,0.499999750000125,"AddModuleScore","HP_ABNORMAL",TRUE,"kmeans"
"DCs","CD4 Naive",0,0,19,21,-0.172029469890943,40,0.525,0.499999976190477,"AddModuleScore","HP_ABNORMAL",TRUE,"kmeans"
"DCs","CD4 TCM_1",0,0,14,15,-0.178219187198009,29,0.517241379310345,0.499999966666669,"AddModuleScore","HP_ABNORMAL",TRUE,"kmeans"
"DCs","CD4 TCM_2",0,0,3,2,-0.304721130051114,5,0.4,0.499999750000125,"AddModuleScore","HP_ABNORMAL",TRUE,"kmeans"
"DCs","CD4 TCM_3",0,0,17,5,-0.221755924195318,22,0.227272727272727,0.49999990000002,"AddModuleScore","HP_ABNORMAL",TRUE,"kmeans"
"DCs","CD4 TEM_1",0,0,1,2,-0.201091677854816,3,0.666666666666667,0.499999750000125,"AddModuleScore","HP_ABNORMAL",TRUE,"kmeans"
"DCs","CD4 TEM_3",0,0,5,3,-0.0552701287449807,8,0.375,0.499999833333389,"AddModuleScore","HP_ABNORMAL",TRUE,"kmeans"
"DCs","CD8 Naive",0,0,29,15,-0.16548506213693,44,0.340909090909091,0.499999966666669,"AddModuleScore","HP_ABNORMAL",TRUE,"kmeans"
"DCs","CD8 Naive_2",0,0,0,1,-0.137155055716588,1,1,0.4999995000005,"AddModuleScore","HP_ABNORMAL",TRUE,"kmeans"
"DCs","CD8 Proliferating",0,0,1,0,0.0656337447430187,1,0,0,"AddModuleScore","HP_ABNORMAL",TRUE,"kmeans"
"DCs","CD8 TCM_1",0,0,0,2,-0.281817237473324,2,1,0.499999750000125,"AddModuleScore","HP_ABNORMAL",TRUE,"kmeans"
"DCs","CD8 TCM_2",0,0,2,2,-0.170135217178119,4,0.5,0.499999750000125,"AddModuleScore","HP_ABNORMAL",TRUE,"kmeans"
"DCs","CD8 TCM_3",0,0,2,1,-0.252120798586731,3,0.333333333333333,0.4999995000005,"AddModuleScore","HP_ABNORMAL",TRUE,"kmeans"
"DCs","CD8 TEM_1",0,0,7,2,-0.249807211307413,9,0.222222222222222,0.499999750000125,"AddModuleScore","HP_ABNORMAL",TRUE,"kmeans"
"DCs","CD8 TEM_2",0,0,2,0,-0.095095104016032,2,0,0,"AddModuleScore","HP_ABNORMAL",TRUE,"kmeans"
"DCs","CD8 TEM_4",0,0,2,5,-0.142690976515132,7,0.714285714285714,0.49999990000002,"AddModuleScore","HP_ABNORMAL",TRUE,"kmeans"
"DCs","CD8 TEM_5",0,0,1,0,-0.18760471593735,1,0,0,"AddModuleScore","HP_ABNORMAL",TRUE,"kmeans"
"DCs","Doublet",1,0,15,1,3.13336666869078,17,0.117647058823529,0.531249498047375,"AddModuleScore","HP_ABNORMAL",TRUE,"kmeans"
"DCs","HSPC",0,0,1,0,1.01885246675859,1,0,0,"AddModuleScore","HP_ABNORMAL",TRUE,"kmeans"
"DCs","MAIT",0,0,3,0,-0.250491108547905,3,0,0,"AddModuleScore","HP_ABNORMAL",TRUE,"kmeans"
"DCs","NK Proliferating",0,0,1,0,-0.544704707807215,1,0,0,"AddModuleScore","HP_ABNORMAL",TRUE,"kmeans"
"DCs","NK_1",0,0,0,1,-0.159504462079067,1,1,0.4999995000005,"AddModuleScore","HP_ABNORMAL",TRUE,"kmeans"
"DCs","NK_2",0,0,1,0,-0.291452467033564,1,0,0,"AddModuleScore","HP_ABNORMAL",TRUE,"kmeans"
"DCs","NK_CD56bright",0,0,0,1,-0.121063224520689,1,1,0.4999995000005,"AddModuleScore","HP_ABNORMAL",TRUE,"kmeans"
