"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,5,0,31,-0.199092015425907,36,0.861111111111111,0.430555543595679,"AddModuleScore","HP_ABNORMAL",TRUE,"youden"
"B-cells","B intermediate lambda",0,25,0,141,-0.21638808377133,166,0.849397590361446,0.424698792622296,"AddModuleScore","HP_ABNORMAL",TRUE,"youden"
"B-cells","B memory kappa",0,6,1,38,-0.201283384868051,45,0.844444444444444,0.431818172004132,"AddModuleScore","HP_ABNORMAL",TRUE,"youden"
"B-cells","B memory lambda",0,6,0,28,-0.173792821455369,34,0.823529411764706,0.411764693771627,"AddModuleScore","HP_ABNORMAL",TRUE,"youden"
"B-cells","B naive kappa",0,19,1,228,-0.222918843520388,248,0.919354838709677,0.461538459669885,"AddModuleScore","HP_ABNORMAL",TRUE,"youden"
"B-cells","B naive lambda",0,3,0,17,-0.176557486457299,20,0.85,0.424999978750001,"AddModuleScore","HP_ABNORMAL",TRUE,"youden"
"B-cells","Plasma",0,0,0,1,-0.0834140150715617,1,1,0.4999995000005,"AddModuleScore","HP_ABNORMAL",TRUE,"youden"
"Classical-Monocytes","CD14 Mono",25975,133,7155,54,0.176556957578151,33317,0.781252813878801,0.536401325380524,"AddModuleScore","HP_ABNORMAL",TRUE,"youden"
"Classical-Monocytes","CD16 Mono",364,1,122,5,0.0987584210081557,492,0.75,0.791152193159506,"AddModuleScore","HP_ABNORMAL",TRUE,"youden"
"Classical-Monocytes","Doublet",112,0,28,0,0.550994441390052,140,0.8,0.399999997142857,"AddModuleScore","HP_ABNORMAL",TRUE,"youden"
"Classical-Monocytes","Eryth",11,0,0,0,0.363388841399703,11,1,0.499999954545459,"AddModuleScore","HP_ABNORMAL",TRUE,"youden"
"Classical-Monocytes","HSPC",1,0,0,0,0.0550251004490294,1,1,0.4999995000005,"AddModuleScore","HP_ABNORMAL",TRUE,"youden"
"Classical-Monocytes","Platelet",61,0,1,0,14.1146882082334,62,0.983870967741935,0.491935475936525,"AddModuleScore","HP_ABNORMAL",TRUE,"youden"
"Classical-Monocytes","cDC1",3,0,0,0,0.369631340216879,3,1,0.499999833333389,"AddModuleScore","HP_ABNORMAL",TRUE,"youden"
"Classical-Monocytes","cDC2_1",140,0,25,0,0.200306663717347,165,0.848484848484849,0.424242421671258,"AddModuleScore","HP_ABNORMAL",TRUE,"youden"
"Classical-Monocytes","cDC2_2",38,0,6,0,0.0936388059142821,44,0.863636363636364,0.431818172004132,"AddModuleScore","HP_ABNORMAL",TRUE,"youden"
"Classical-Monocytes","pDC",5,0,0,0,0.797697978985428,5,1,0.49999990000002,"AddModuleScore","HP_ABNORMAL",TRUE,"youden"
"DCs","ASDC_mDC",0,1,0,0,0.176509259078558,1,0,0,"AddModuleScore","HP_ABNORMAL",TRUE,"youden"
"DCs","CD14 Mono",77,7,31,2,0.167348962269804,117,0.675213675213675,0.467592576946161,"AddModuleScore","HP_ABNORMAL",TRUE,"youden"
"DCs","CD16 Mono",53,4,12,1,0.181777043559675,70,0.771428571428571,0.507692281420122,"AddModuleScore","HP_ABNORMAL",TRUE,"youden"
"DCs","CD4 CTL",0,0,3,2,-0.261401443381678,5,0.4,0.499999750000125,"AddModuleScore","HP_ABNORMAL",TRUE,"youden"
"DCs","CD4 Naive",3,3,16,18,-0.172029469890943,40,0.525,0.507518772429195,"AddModuleScore","HP_ABNORMAL",TRUE,"youden"
