"celltype_clean","celltype.l3","celltype.l1","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa","B",0,0,0,36,-0.199092015425907,36,1,0.499999986111112,"AddModuleScore","HP_ABNORMAL",TRUE,"youden_dual"
"B-cells","B intermediate lambda","B",0,1,0,165,-0.21638808377133,166,0.993975903614458,0.496987948813326,"AddModuleScore","HP_ABNORMAL",TRUE,"youden_dual"
"B-cells","B memory kappa","B",0,0,1,44,-0.201283384868051,45,0.977777777777778,0.499999988636364,"AddModuleScore","HP_ABNORMAL",TRUE,"youden_dual"
"B-cells","B memory lambda","B",0,0,0,34,-0.173792821455369,34,1,0.499999985294118,"AddModuleScore","HP_ABNORMAL",TRUE,"youden_dual"
"B-cells","B naive kappa","B",0,0,1,247,-0.222918843520388,248,0.995967741935484,0.499999997975708,"AddModuleScore","HP_ABNORMAL",TRUE,"youden_dual"
"B-cells","B naive lambda","B",0,0,0,20,-0.176557486457299,20,1,0.499999975000001,"AddModuleScore","HP_ABNORMAL",TRUE,"youden_dual"
"B-cells","Plasma","B",0,0,0,1,-0.0834140150715617,1,1,0.4999995000005,"AddModuleScore","HP_ABNORMAL",TRUE,"youden_dual"
"Classical-Monocytes","CD14 Mono","Mono",29843,168,3287,19,0.176556957578151,33317,0.896299186601435,0.501194532353135,"AddModuleScore","HP_ABNORMAL",TRUE,"youden_dual"
"Classical-Monocytes","CD16 Mono","Mono",444,6,42,0,0.0987584210081557,492,0.902439024390244,0.456790122516893,"AddModuleScore","HP_ABNORMAL",TRUE,"youden_dual"
"Classical-Monocytes","Doublet","other",128,0,12,0,0.550994441390052,140,0.914285714285714,0.457142853877551,"AddModuleScore","HP_ABNORMAL",TRUE,"youden_dual"
"Classical-Monocytes","Eryth","other",9,0,2,0,0.363388841399703,11,0.818181818181818,0.40909087190083,"AddModuleScore","HP_ABNORMAL",TRUE,"youden_dual"
"Classical-Monocytes","HSPC","other",0,0,1,0,0.0550251004490294,1,0,0,"AddModuleScore","HP_ABNORMAL",TRUE,"youden_dual"
"Classical-Monocytes","Platelet","other",18,0,44,0,14.1146882082334,62,0.290322580645161,0.14516128798127,"AddModuleScore","HP_ABNORMAL",TRUE,"youden_dual"
"Classical-Monocytes","cDC1","DC",0,0,3,0,0.369631340216879,3,0,0,"AddModuleScore","HP_ABNORMAL",TRUE,"youden_dual"
"Classical-Monocytes","cDC2_1","DC",63,0,102,0,0.200306663717347,165,0.381818181818182,0.190909089752066,"AddModuleScore","HP_ABNORMAL",TRUE,"youden_dual"
"Classical-Monocytes","cDC2_2","DC",0,0,44,0,0.0936388059142821,44,0,0,"AddModuleScore","HP_ABNORMAL",TRUE,"youden_dual"
"Classical-Monocytes","pDC","DC",0,0,5,0,0.797697978985428,5,0,0,"AddModuleScore","HP_ABNORMAL",TRUE,"youden_dual"
"DCs","ASDC_mDC","DC",0,0,0,1,0.176509259078558,1,1,0.4999995000005,"AddModuleScore","HP_ABNORMAL",TRUE,"youden_dual"
