"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,0,0,28,-0.140318261618172,28,1,0.499999982142858,"UCell","HP_ABNORMAL",FALSE,"gmm_dist_platelet"
"B-cells","B intermediate lambda",0,0,0,142,-0.123442471785691,142,1,0.499999996478873,"UCell","HP_ABNORMAL",FALSE,"gmm_dist_platelet"
"B-cells","B memory kappa",0,0,0,35,-0.134417840981973,35,1,0.499999985714286,"UCell","HP_ABNORMAL",FALSE,"gmm_dist_platelet"
"B-cells","B memory lambda",0,0,0,30,-0.159229866221371,30,1,0.499999983333334,"UCell","HP_ABNORMAL",FALSE,"gmm_dist_platelet"
"B-cells","B naive kappa",0,0,1,204,-0.146346415418669,205,0.995121951219512,0.49999999754902,"UCell","HP_ABNORMAL",FALSE,"gmm_dist_platelet"
"B-cells","B naive lambda",0,0,0,15,-0.159229866221371,15,1,0.499999966666669,"UCell","HP_ABNORMAL",FALSE,"gmm_dist_platelet"
"B-cells","Plasma",0,0,0,2,-0.159229866221371,2,1,0.499999750000125,"UCell","HP_ABNORMAL",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","CD14 Mono",5,0,25563,149,-0.0407161680684736,25717,0.00598825679511607,0.500097775117383,"UCell","HP_ABNORMAL",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","CD16 Mono",0,0,287,6,-0.0681999572066948,293,0.0204778156996587,0.499999916666681,"UCell","HP_ABNORMAL",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","Doublet",0,0,109,0,0.154987311765589,109,0,0,"UCell","HP_ABNORMAL",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","HSPC",0,0,1,0,1.86762863082063,1,0,0,"UCell","HP_ABNORMAL",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","Platelet",36,0,23,0,7.5135380264722,59,0.610169491525424,0.305084740591784,"UCell","HP_ABNORMAL",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","cDC1",0,0,2,0,-0.159229866221371,2,0,0,"UCell","HP_ABNORMAL",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","cDC2_1",0,0,87,0,-0.0253270106400958,87,0,0,"UCell","HP_ABNORMAL",FALSE,"gmm_dist_platelet"
