"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,0,0,36,-0.145537944082527,36,1,0.499999986111112,"UCell","HP_ABNORMAL",FALSE,"kmeans"
"B-cells","B intermediate lambda",0,0,0,166,-0.106162607797372,166,1,0.499999996987952,"UCell","HP_ABNORMAL",FALSE,"kmeans"
"B-cells","B memory kappa",0,0,1,44,-0.148220659301956,45,0.977777777777778,0.499999988636364,"UCell","HP_ABNORMAL",FALSE,"kmeans"
"B-cells","B memory lambda",0,0,0,34,-0.143902607717743,34,1,0.499999985294118,"UCell","HP_ABNORMAL",FALSE,"kmeans"
"B-cells","B naive kappa",0,0,1,247,-0.146706921187767,248,0.995967741935484,0.499999997975708,"UCell","HP_ABNORMAL",FALSE,"kmeans"
"B-cells","B naive lambda",0,0,0,20,-0.154840908149899,20,1,0.499999975000001,"UCell","HP_ABNORMAL",FALSE,"kmeans"
"B-cells","Plasma",0,0,0,1,-0.154840908149899,1,1,0.4999995000005,"UCell","HP_ABNORMAL",FALSE,"kmeans"
"Classical-Monocytes","CD14 Mono",4,0,33126,187,-0.0150271046892516,33317,0.00573280907644746,0.500060365572504,"UCell","HP_ABNORMAL",FALSE,"kmeans"
"Classical-Monocytes","CD16 Mono",0,0,486,6,-0.085642527526815,492,0.0121951219512195,0.499999916666681,"UCell","HP_ABNORMAL",FALSE,"kmeans"
"Classical-Monocytes","Doublet",0,0,140,0,0.157298261796319,140,0,0,"UCell","HP_ABNORMAL",FALSE,"kmeans"
"Classical-Monocytes","Eryth",0,0,11,0,-0.0707602075409888,11,0,0,"UCell","HP_ABNORMAL",FALSE,"kmeans"
"Classical-Monocytes","HSPC",0,0,1,0,2.11746215230606,1,0,0,"UCell","HP_ABNORMAL",FALSE,"kmeans"
"Classical-Monocytes","Platelet",52,0,10,0,12.0619678340013,62,0.838709677419355,0.41935483194589,"UCell","HP_ABNORMAL",FALSE,"kmeans"
"Classical-Monocytes","cDC1",0,0,3,0,-0.154840908149899,3,0,0,"UCell","HP_ABNORMAL",FALSE,"kmeans"
"Classical-Monocytes","cDC2_1",0,0,165,0,-0.0330684520680261,165,0,0,"UCell","HP_ABNORMAL",FALSE,"kmeans"
"Classical-Monocytes","cDC2_2",0,0,44,0,-0.0676624975185553,44,0,0,"UCell","HP_ABNORMAL",FALSE,"kmeans"
"Classical-Monocytes","pDC",0,0,5,0,-0.154840908149899,5,0,0,"UCell","HP_ABNORMAL",FALSE,"kmeans"
"DCs","ASDC_mDC",0,0,0,1,-0.154840908149899,1,1,0.4999995000005,"UCell","HP_ABNORMAL",FALSE,"kmeans"
"DCs","CD14 Mono",0,0,108,9,-0.00474532152444923,117,0.0769230769230769,0.499999944444451,"UCell","HP_ABNORMAL",FALSE,"kmeans"
"DCs","CD16 Mono",0,0,65,5,-0.0629084609126982,70,0.0714285714285714,0.49999990000002,"UCell","HP_ABNORMAL",FALSE,"kmeans"
"DCs","CD4 CTL",0,0,3,2,-0.154840908149899,5,0.4,0.499999750000125,"UCell","HP_ABNORMAL",FALSE,"kmeans"
"DCs","CD4 Naive",0,0,19,21,-0.154840908149899,40,0.525,0.499999976190477,"UCell","HP_ABNORMAL",FALSE,"kmeans"
"DCs","CD4 TCM_1",0,0,14,15,-0.154840908149899,29,0.517241379310345,0.499999966666669,"UCell","HP_ABNORMAL",FALSE,"kmeans"
"DCs","CD4 TCM_2",0,0,3,2,-0.154840908149899,5,0.4,0.499999750000125,"UCell","HP_ABNORMAL",FALSE,"kmeans"
"DCs","CD4 TCM_3",0,0,17,5,-0.154840908149899,22,0.227272727272727,0.49999990000002,"UCell","HP_ABNORMAL",FALSE,"kmeans"
"DCs","CD4 TEM_1",0,0,1,2,-0.154840908149899,3,0.666666666666667,0.499999750000125,"UCell","HP_ABNORMAL",FALSE,"kmeans"
