"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,1,0,35,-0.145537944082527,36,0.972222222222222,0.486111097608025,"UCell","HP_ABNORMAL",FALSE,"youden"
"B-cells","B intermediate lambda",0,6,0,160,-0.106162607797372,166,0.963855421686747,0.481927707940195,"UCell","HP_ABNORMAL",FALSE,"youden"
"B-cells","B memory kappa",0,1,1,43,-0.148220659301956,45,0.955555555555556,0.488636352530992,"UCell","HP_ABNORMAL",FALSE,"youden"
"B-cells","B memory lambda",0,1,0,33,-0.143902607717743,34,0.970588235294118,0.485294103373703,"UCell","HP_ABNORMAL",FALSE,"youden"
"B-cells","B naive kappa",0,4,1,243,-0.146706921187767,248,0.979838709677419,0.491902832016588,"UCell","HP_ABNORMAL",FALSE,"youden"
"B-cells","B naive lambda",0,0,0,20,-0.154840908149899,20,1,0.499999975000001,"UCell","HP_ABNORMAL",FALSE,"youden"
"B-cells","Plasma",0,0,0,1,-0.154840908149899,1,1,0.4999995000005,"UCell","HP_ABNORMAL",FALSE,"youden"
"Classical-Monocytes","CD14 Mono",2386,19,30744,168,-0.0150271046892516,33317,0.0766575622054807,0.485207517478761,"UCell","HP_ABNORMAL",FALSE,"youden"
"Classical-Monocytes","CD16 Mono",21,0,465,6,-0.085642527526815,492,0.0548780487804878,0.521604854893831,"UCell","HP_ABNORMAL",FALSE,"youden"
"Classical-Monocytes","Doublet",13,0,127,0,0.157298261796319,140,0.0928571428571429,0.0464285710969388,"UCell","HP_ABNORMAL",FALSE,"youden"
"Classical-Monocytes","Eryth",1,0,10,0,-0.0707602075409888,11,0.0909090909090909,0.0454545413223144,"UCell","HP_ABNORMAL",FALSE,"youden"
"Classical-Monocytes","HSPC",1,0,0,0,2.11746215230606,1,1,0.4999995000005,"UCell","HP_ABNORMAL",FALSE,"youden"
"Classical-Monocytes","Platelet",55,0,7,0,12.0619678340013,62,0.887096774193548,0.443548379942768,"UCell","HP_ABNORMAL",FALSE,"youden"
"Classical-Monocytes","cDC1",0,0,3,0,-0.154840908149899,3,0,0,"UCell","HP_ABNORMAL",FALSE,"youden"
"Classical-Monocytes","cDC2_1",11,0,154,0,-0.0330684520680261,165,0.0666666666666667,0.0333333331313131,"UCell","HP_ABNORMAL",FALSE,"youden"
"Classical-Monocytes","cDC2_2",3,0,41,0,-0.0676624975185553,44,0.0681818181818182,0.0340909083161157,"UCell","HP_ABNORMAL",FALSE,"youden"
"Classical-Monocytes","pDC",0,0,5,0,-0.154840908149899,5,0,0,"UCell","HP_ABNORMAL",FALSE,"youden"
"DCs","ASDC_mDC",0,0,0,1,-0.154840908149899,1,1,0.4999995000005,"UCell","HP_ABNORMAL",FALSE,"youden"
