"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,0,0,36,-0.23181463696392,36,1,0.499999986111112,"UCell","HP_ABNORMAL",TRUE,"gmm_dist_platelet"
"B-cells","B intermediate lambda",0,0,0,166,-0.216660499556726,166,1,0.499999996987952,"UCell","HP_ABNORMAL",TRUE,"gmm_dist_platelet"
"B-cells","B memory kappa",0,0,1,44,-0.140560257948554,45,0.977777777777778,0.499999988636364,"UCell","HP_ABNORMAL",TRUE,"gmm_dist_platelet"
"B-cells","B memory lambda",0,0,0,34,-0.109654238764513,34,1,0.499999985294118,"UCell","HP_ABNORMAL",TRUE,"gmm_dist_platelet"
"B-cells","B naive kappa",0,0,1,247,-0.234338026848943,248,0.995967741935484,0.499999997975708,"UCell","HP_ABNORMAL",TRUE,"gmm_dist_platelet"
"B-cells","B naive lambda",0,0,0,20,-0.107089400390922,20,1,0.499999975000001,"UCell","HP_ABNORMAL",TRUE,"gmm_dist_platelet"
"B-cells","Plasma",0,0,0,1,-0.383663218089822,1,1,0.4999995000005,"UCell","HP_ABNORMAL",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","CD14 Mono",1053,1,32077,186,0.0999528711194544,33317,0.0371882222288922,0.513218141387697,"UCell","HP_ABNORMAL",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","CD16 Mono",11,0,475,6,-0.01474947078802,492,0.0345528455284553,0.511316789071378,"UCell","HP_ABNORMAL",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","Doublet",23,0,117,0,0.511006979426179,140,0.164285714285714,0.0821428565561225,"UCell","HP_ABNORMAL",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","Eryth",6,0,5,0,0.693457975389935,11,0.545454545454545,0.272727247933887,"UCell","HP_ABNORMAL",TRUE,"gmm_dist_platelet"
