"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,0,0,28,-0.120233527738593,28,1,0.499999982142858,"UCell","HP_ABNORMAL",TRUE,"kmeans"
"B-cells","B intermediate lambda",0,0,0,142,-0.118912407824047,142,1,0.499999996478873,"UCell","HP_ABNORMAL",TRUE,"kmeans"
"B-cells","B memory kappa",0,0,0,35,-0.0971977165987228,35,1,0.499999985714286,"UCell","HP_ABNORMAL",TRUE,"kmeans"
"B-cells","B memory lambda",0,0,0,30,-0.0796423443950733,30,1,0.499999983333334,"UCell","HP_ABNORMAL",TRUE,"kmeans"
"B-cells","B naive kappa",0,0,1,204,-0.134447914814355,205,0.995121951219512,0.49999999754902,"UCell","HP_ABNORMAL",TRUE,"kmeans"
"B-cells","B naive lambda",0,0,0,15,-0.0809402173373603,15,1,0.499999966666669,"UCell","HP_ABNORMAL",TRUE,"kmeans"
"B-cells","Plasma",0,0,0,2,-0.158295228715457,2,1,0.499999750000125,"UCell","HP_ABNORMAL",TRUE,"kmeans"
"Classical-Monocytes","CD14 Mono",2,0,25566,149,-0.0293365329505082,25717,0.00587160244196446,0.50003910803353,"UCell","HP_ABNORMAL",TRUE,"kmeans"
"Classical-Monocytes","CD16 Mono",0,0,287,6,-0.0870827793413593,293,0.0204778156996587,0.499999916666681,"UCell","HP_ABNORMAL",TRUE,"kmeans"
"Classical-Monocytes","Doublet",0,0,109,0,0.342183138162288,109,0,0,"UCell","HP_ABNORMAL",TRUE,"kmeans"
"Classical-Monocytes","HSPC",0,0,1,0,0.00815363109949737,1,0,0,"UCell","HP_ABNORMAL",TRUE,"kmeans"
"Classical-Monocytes","Platelet",51,0,8,0,9.61767474462467,59,0.864406779661017,0.432203382505027,"UCell","HP_ABNORMAL",TRUE,"kmeans"
"Classical-Monocytes","cDC1",0,0,2,0,0.0190584398413923,2,0,0,"UCell","HP_ABNORMAL",TRUE,"kmeans"
"Classical-Monocytes","cDC2_1",0,0,87,0,-0.0858641064379957,87,0,0,"UCell","HP_ABNORMAL",TRUE,"kmeans"
"Classical-Monocytes","cDC2_2",0,0,25,0,-0.104774695012899,25,0,0,"UCell","HP_ABNORMAL",TRUE,"kmeans"
"Classical-Monocytes","pDC",0,0,5,0,0.682592636552273,5,0,0,"UCell","HP_ABNORMAL",TRUE,"kmeans"
"DCs","ASDC_mDC",0,0,0,1,-0.158295228715457,1,1,0.4999995000005,"UCell","HP_ABNORMAL",TRUE,"kmeans"
"DCs","CD14 Mono",0,0,85,9,-0.012085955834457,94,0.0957446808510638,0.499999944444451,"UCell","HP_ABNORMAL",TRUE,"kmeans"
"DCs","CD16 Mono",0,0,51,3,-0.0458723743102514,54,0.0555555555555556,0.499999833333389,"UCell","HP_ABNORMAL",TRUE,"kmeans"
"DCs","CD4 CTL",0,0,0,2,-0.158295228715457,2,1,0.499999750000125,"UCell","HP_ABNORMAL",TRUE,"kmeans"
"DCs","CD4 Naive",0,0,12,16,-0.130187391283453,28,0.571428571428571,0.499999968750002,"UCell","HP_ABNORMAL",TRUE,"kmeans"
"DCs","CD4 TCM_1",0,0,9,11,-0.144547141620612,20,0.55,0.499999954545459,"UCell","HP_ABNORMAL",TRUE,"kmeans"
"DCs","CD4 TCM_2",0,0,5,5,-0.144821434355838,10,0.5,0.49999990000002,"UCell","HP_ABNORMAL",TRUE,"kmeans"
"DCs","CD4 TCM_3",0,0,13,4,-0.146198013965334,17,0.235294117647059,0.499999875000031,"UCell","HP_ABNORMAL",TRUE,"kmeans"
"DCs","CD4 TEM_1",0,0,1,1,-0.095207899613567,2,0.5,0.4999995000005,"UCell","HP_ABNORMAL",TRUE,"kmeans"
"DCs","CD4 TEM_3",0,0,5,2,-0.0447361248844233,7,0.285714285714286,0.499999750000125,"UCell","HP_ABNORMAL",TRUE,"kmeans"
"DCs","CD8 Naive",0,0,22,14,-0.119663810152652,36,0.388888888888889,0.499999964285717,"UCell","HP_ABNORMAL",TRUE,"kmeans"
"DCs","CD8 Naive_2",0,0,1,1,-0.131200458528537,2,0.5,0.4999995000005,"UCell","HP_ABNORMAL",TRUE,"kmeans"
"DCs","CD8 Proliferating",0,0,2,0,-0.11400698707659,2,0,0,"UCell","HP_ABNORMAL",TRUE,"kmeans"
"DCs","CD8 TCM_1",0,0,0,2,-0.158295228715457,2,1,0.499999750000125,"UCell","HP_ABNORMAL",TRUE,"kmeans"
"DCs","CD8 TCM_2",0,0,2,1,-0.149821144212552,3,0.333333333333333,0.4999995000005,"UCell","HP_ABNORMAL",TRUE,"kmeans"
"DCs","CD8 TCM_3",0,0,2,1,-0.111241759501958,3,0.333333333333333,0.4999995000005,"UCell","HP_ABNORMAL",TRUE,"kmeans"
"DCs","CD8 TEM_1",0,0,5,2,-0.158295228715457,7,0.285714285714286,0.499999750000125,"UCell","HP_ABNORMAL",TRUE,"kmeans"
"DCs","CD8 TEM_2",0,0,2,0,-0.0875143228938248,2,0,0,"UCell","HP_ABNORMAL",TRUE,"kmeans"
"DCs","CD8 TEM_4",0,0,2,2,-0.0729968781270059,4,0.5,0.499999750000125,"UCell","HP_ABNORMAL",TRUE,"kmeans"
"DCs","CD8 TEM_5",0,0,1,0,-0.0381416305532163,1,0,0,"UCell","HP_ABNORMAL",TRUE,"kmeans"
"DCs","Doublet",1,0,14,1,2.19808006887388,16,0.125,0.533332831111611,"UCell","HP_ABNORMAL",TRUE,"kmeans"
"DCs","HSPC",0,0,1,0,0.184771392317935,1,0,0,"UCell","HP_ABNORMAL",TRUE,"kmeans"
"DCs","MAIT",0,0,2,0,-0.158295228715457,2,0,0,"UCell","HP_ABNORMAL",TRUE,"kmeans"
"DCs","NK Proliferating",0,0,1,0,-0.158295228715457,1,0,0,"UCell","HP_ABNORMAL",TRUE,"kmeans"
"DCs","NK_1",0,0,0,1,-0.158295228715457,1,1,0.4999995000005,"UCell","HP_ABNORMAL",TRUE,"kmeans"
"DCs","NK_3",0,0,1,0,-0.158295228715457,1,0,0,"UCell","HP_ABNORMAL",TRUE,"kmeans"
"DCs","NK_CD56bright",0,0,0,1,-0.158295228715457,1,1,0.4999995000005,"UCell","HP_ABNORMAL",TRUE,"kmeans"
