"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,7,0,29,-0.23181463696392,36,0.805555555555556,0.402777766589507,"UCell","HP_ABNORMAL",TRUE,"youden"
"B-cells","B intermediate lambda",0,24,0,142,-0.216660499556726,166,0.855421686746988,0.427710840796923,"UCell","HP_ABNORMAL",TRUE,"youden"
"B-cells","B memory kappa",0,11,1,33,-0.140560257948554,45,0.733333333333333,0.374999991477273,"UCell","HP_ABNORMAL",TRUE,"youden"
"B-cells","B memory lambda",0,10,0,24,-0.109654238764513,34,0.705882352941177,0.352941166089966,"UCell","HP_ABNORMAL",TRUE,"youden"
"B-cells","B naive kappa",0,27,1,220,-0.234338026848943,248,0.887096774193548,0.445344127751643,"UCell","HP_ABNORMAL",TRUE,"youden"
"B-cells","B naive lambda",0,8,0,12,-0.107089400390922,20,0.6,0.299999985000001,"UCell","HP_ABNORMAL",TRUE,"youden"
"B-cells","Plasma",0,0,0,1,-0.383663218089822,1,1,0.4999995000005,"UCell","HP_ABNORMAL",TRUE,"youden"
"Classical-Monocytes","CD14 Mono",16764,94,16366,93,0.0999528711194544,33317,0.505957919380496,0.501666420520439,"UCell","HP_ABNORMAL",TRUE,"youden"
"Classical-Monocytes","CD16 Mono",178,1,308,5,-0.01474947078802,492,0.371951219512195,0.599794168861889,"UCell","HP_ABNORMAL",TRUE,"youden"
"Classical-Monocytes","Doublet",79,0,61,0,0.511006979426179,140,0.564285714285714,0.282142855127551,"UCell","HP_ABNORMAL",TRUE,"youden"
"Classical-Monocytes","Eryth",11,0,0,0,0.693457975389935,11,1,0.499999954545459,"UCell","HP_ABNORMAL",TRUE,"youden"
"Classical-Monocytes","HSPC",1,0,0,0,0.15465197955806,1,1,0.4999995000005,"UCell","HP_ABNORMAL",TRUE,"youden"
"Classical-Monocytes","Platelet",60,0,2,0,13.8120667973946,62,0.967741935483871,0.483870959937565,"UCell","HP_ABNORMAL",TRUE,"youden"
"Classical-Monocytes","cDC1",3,0,0,0,0.508840363758686,3,1,0.499999833333389,"UCell","HP_ABNORMAL",TRUE,"youden"
"Classical-Monocytes","cDC2_1",71,0,94,0,0.0292297952129689,165,0.43030303030303,0.215151513847567,"UCell","HP_ABNORMAL",TRUE,"youden"
"Classical-Monocytes","cDC2_2",16,0,28,0,0.0386395588168548,44,0.363636363636364,0.181818177685951,"UCell","HP_ABNORMAL",TRUE,"youden"
"Classical-Monocytes","pDC",5,0,0,0,0.818843995658311,5,1,0.49999990000002,"UCell","HP_ABNORMAL",TRUE,"youden"
"DCs","ASDC_mDC",0,1,0,0,0.251972093147081,1,0,0,"UCell","HP_ABNORMAL",TRUE,"youden"
"DCs","CD14 Mono",54,4,54,5,0.108151556203166,117,0.504273504273504,0.527777744598769,"UCell","HP_ABNORMAL",TRUE,"youden"
"DCs","CD16 Mono",29,2,36,3,0.0514723629881947,70,0.457142857142857,0.523076859644983,"UCell","HP_ABNORMAL",TRUE,"youden"
"DCs","CD4 CTL",0,0,3,2,-0.280745422054951,5,0.4,0.499999750000125,"UCell","HP_ABNORMAL",TRUE,"youden"
"DCs","CD4 Naive",4,7,15,14,-0.189083372004154,40,0.45,0.438596469814889,"UCell","HP_ABNORMAL",TRUE,"youden"
"DCs","CD4 TCM_1",3,3,11,12,-0.12808830312823,29,0.517241379310345,0.507142822823132,"UCell","HP_ABNORMAL",TRUE,"youden"
"DCs","CD4 TCM_2",1,0,2,2,-0.233889694373697,5,0.6,0.666666361111255,"UCell","HP_ABNORMAL",TRUE,"youden"
"DCs","CD4 TCM_3",2,1,15,4,-0.216753088307352,22,0.272727272727273,0.458823445951573,"UCell","HP_ABNORMAL",TRUE,"youden"
"DCs","CD4 TEM_1",0,0,1,2,-0.0474707673022517,3,0.666666666666667,0.499999750000125,"UCell","HP_ABNORMAL",TRUE,"youden"
"DCs","CD4 TEM_3",3,0,2,3,0.0612211186836374,8,0.75,0.799999773333401,"UCell","HP_ABNORMAL",TRUE,"youden"
"DCs","CD8 Naive",8,6,21,9,-0.100411316153205,44,0.386363636363636,0.437931009726518,"UCell","HP_ABNORMAL",TRUE,"youden"
"DCs","CD8 Naive_2",0,0,0,1,0.0238026005573465,1,1,0.4999995000005,"UCell","HP_ABNORMAL",TRUE,"youden"
"DCs","CD8 Proliferating",0,0,1,0,0.0800635713328985,1,0,0,"UCell","HP_ABNORMAL",TRUE,"youden"
"DCs","CD8 TCM_1",0,0,0,2,-0.383663218089822,2,1,0.499999750000125,"UCell","HP_ABNORMAL",TRUE,"youden"
"DCs","CD8 TCM_2",0,0,2,2,-0.278884263678285,4,0.5,0.499999750000125,"UCell","HP_ABNORMAL",TRUE,"youden"
"DCs","CD8 TCM_3",0,0,2,1,-0.213885793653502,3,0.333333333333333,0.4999995000005,"UCell","HP_ABNORMAL",TRUE,"youden"
"DCs","CD8 TEM_1",0,0,7,2,-0.33122243668792,9,0.222222222222222,0.499999750000125,"UCell","HP_ABNORMAL",TRUE,"youden"
"DCs","CD8 TEM_2",1,0,1,0,-0.0563266608502551,2,0.5,0.249999875000062,"UCell","HP_ABNORMAL",TRUE,"youden"
"DCs","CD8 TEM_4",1,2,1,3,-0.0967160302021112,7,0.571428571428571,0.549999815000074,"UCell","HP_ABNORMAL",TRUE,"youden"
"DCs","CD8 TEM_5",1,0,0,0,0.312069039202784,1,1,0.4999995000005,"UCell","HP_ABNORMAL",TRUE,"youden"
