"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,0,0,36,1.55318080867733,36,1,0.499999986111112,"AUCell","MANNE_DN",FALSE,"gmm_dist_dual"
"B-cells","B intermediate lambda",0,18,0,148,1.4752837930719,166,0.891566265060241,0.44578312984468,"AUCell","MANNE_DN",FALSE,"gmm_dist_dual"
"B-cells","B memory kappa",0,1,1,43,1.16734596892677,45,0.955555555555556,0.488636352530992,"AUCell","MANNE_DN",FALSE,"gmm_dist_dual"
"B-cells","B memory lambda",0,0,0,34,1.30580311873423,34,1,0.499999985294118,"AUCell","MANNE_DN",FALSE,"gmm_dist_dual"
"B-cells","B naive kappa",0,2,1,245,1.58245676867973,248,0.987903225806452,0.495951414996148,"AUCell","MANNE_DN",FALSE,"gmm_dist_dual"
"B-cells","B naive lambda",0,0,0,20,1.33167243395736,20,1,0.499999975000001,"AUCell","MANNE_DN",FALSE,"gmm_dist_dual"
"B-cells","Plasma",0,0,0,1,0.629487787303459,1,1,0.4999995000005,"AUCell","MANNE_DN",FALSE,"gmm_dist_dual"
"Classical-Monocytes","CD14 Mono",31694,183,1436,4,0.883508184320285,33317,0.951406189032626,0.489022986671566,"AUCell","MANNE_DN",FALSE,"gmm_dist_dual"
"Classical-Monocytes","CD16 Mono",485,6,1,0,1.23683672641921,492,0.985772357723577,0.498971192388948,"AUCell","MANNE_DN",FALSE,"gmm_dist_dual"
"Classical-Monocytes","Doublet",137,0,3,0,1.0730195410081,140,0.978571428571429,0.489285710790816,"AUCell","MANNE_DN",FALSE,"gmm_dist_dual"
"Classical-Monocytes","Eryth",8,0,3,0,0.545494078218127,11,0.727272727272727,0.363636330578515,"AUCell","MANNE_DN",FALSE,"gmm_dist_dual"
"Classical-Monocytes","HSPC",0,0,1,0,-0.469785528463346,1,0,0,"AUCell","MANNE_DN",FALSE,"gmm_dist_dual"
"Classical-Monocytes","Platelet",36,0,26,0,1.81293174586011,62,0.580645161290323,0.290322575962539,"AUCell","MANNE_DN",FALSE,"gmm_dist_dual"
"Classical-Monocytes","cDC1",3,0,0,0,2.10751934592218,3,1,0.499999833333389,"AUCell","MANNE_DN",FALSE,"gmm_dist_dual"
"Classical-Monocytes","cDC2_1",165,0,0,0,1.9448018259366,165,1,0.499999996969697,"AUCell","MANNE_DN",FALSE,"gmm_dist_dual"
"Classical-Monocytes","cDC2_2",44,0,0,0,1.78353524330463,44,1,0.499999988636364,"AUCell","MANNE_DN",FALSE,"gmm_dist_dual"
"Classical-Monocytes","pDC",4,0,1,0,2.71222551940662,5,0.8,0.399999920000016,"AUCell","MANNE_DN",FALSE,"gmm_dist_dual"
"DCs","ASDC_mDC",0,1,0,0,2.07806548499566,1,0,0,"AUCell","MANNE_DN",FALSE,"gmm_dist_dual"
"DCs","CD14 Mono",102,8,6,1,0.869272424333426,117,0.88034188034188,0.527777767232511,"AUCell","MANNE_DN",FALSE,"gmm_dist_dual"
"DCs","CD16 Mono",63,5,2,0,0.566431541735107,70,0.9,0.484615377159763,"AUCell","MANNE_DN",FALSE,"gmm_dist_dual"
"DCs","CD4 CTL",0,0,3,2,-0.779327198137947,5,0.4,0.499999750000125,"AUCell","MANNE_DN",FALSE,"gmm_dist_dual"
