"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,28,0,0,1.73409928001071,28,0,0,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"B-cells","B intermediate lambda",0,142,0,0,1.6069637435281,142,0,0,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"B-cells","B memory kappa",0,35,0,0,1.35737319600903,35,0,0,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"B-cells","B memory lambda",0,30,0,0,1.37123033426658,30,0,0,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"B-cells","B naive kappa",1,204,0,0,1.7275034171808,205,0.0048780487804878,0.4999995000005,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"B-cells","B naive lambda",0,15,0,0,1.62016160889311,15,0,0,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"B-cells","Plasma",0,1,0,1,-0.369926654093839,2,0.5,0.249999875000062,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","CD14 Mono",24208,146,1360,3,0.889757446757755,25717,0.941439514717891,0.483471369327029,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","CD16 Mono",286,6,1,0,1.20879478202236,293,0.976109215017065,0.498257837985164,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","Doublet",107,0,2,0,1.15669587657291,109,0.981651376146789,0.490825683570407,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","HSPC",0,0,1,0,-0.530710532082101,1,0,0,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","Platelet",59,0,0,0,1.60774389969622,59,1,0.499999991525424,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","cDC1",2,0,0,0,2.57998461323198,2,1,0.499999750000125,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","cDC2_1",87,0,0,0,2.06472609632801,87,1,0.499999994252874,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","cDC2_2",25,0,0,0,1.84482019266852,25,1,0.499999980000001,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","pDC",5,0,0,0,2.84053015857437,5,1,0.49999990000002,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"DCs","ASDC_mDC",0,1,0,0,2.49883604422379,1,0,0,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"DCs","CD14 Mono",82,8,3,1,0.896748457373588,94,0.882978723404255,0.537908484884447,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"DCs","CD16 Mono",50,3,1,0,0.612781605837033,54,0.925925925925926,0.490196068819685,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"DCs","CD4 CTL",0,0,0,2,-0.770183931532853,2,1,0.499999750000125,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"DCs","CD4 Naive",0,0,12,16,-0.768508536501715,28,0.571428571428571,0.499999968750002,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"DCs","CD4 TCM_1",0,3,9,8,-0.60259038341803,20,0.4,0.363636330578515,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"DCs","CD4 TCM_2",0,0,5,5,-0.883678433642215,10,0.5,0.49999990000002,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"DCs","CD4 TCM_3",0,0,13,4,-0.703333444408045,17,0.235294117647059,0.499999875000031,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"DCs","CD4 TEM_1",0,0,1,1,-0.752024811195355,2,0.5,0.4999995000005,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"DCs","CD4 TEM_3",0,0,5,2,-0.665931124595254,7,0.285714285714286,0.499999750000125,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"DCs","CD8 Naive",1,2,21,12,-0.657309445685015,36,0.361111111111111,0.451298669653401,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"DCs","CD8 Naive_2",0,0,1,1,-0.672200344711771,2,0.5,0.4999995000005,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"DCs","CD8 Proliferating",0,0,2,0,-0.955369127474628,2,0,0,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"DCs","CD8 TCM_1",0,0,0,2,-0.615642251160606,2,1,0.499999750000125,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"DCs","CD8 TCM_2",0,0,2,1,-0.815077312367223,3,0.333333333333333,0.4999995000005,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"DCs","CD8 TCM_3",0,0,2,1,-0.662868574538335,3,0.333333333333333,0.4999995000005,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"DCs","CD8 TEM_1",0,0,5,2,-0.702789815280294,7,0.285714285714286,0.499999750000125,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"DCs","CD8 TEM_2",0,0,2,0,-0.763941733916838,2,0,0,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"DCs","CD8 TEM_4",0,0,2,2,-0.852940339320929,4,0.5,0.499999750000125,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"DCs","CD8 TEM_5",0,0,1,0,-1.29377190126404,1,0,0,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"DCs","Doublet",13,0,2,1,0.812024006623403,16,0.875,0.933332804444946,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"DCs","HSPC",0,0,1,0,-0.185308930662611,1,0,0,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"DCs","MAIT",1,0,1,0,-0.442941450450861,2,0.5,0.249999875000062,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"DCs","NK Proliferating",0,0,1,0,-1.10801923281172,1,0,0,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"DCs","NK_1",0,0,0,1,-0.845090302925032,1,1,0.4999995000005,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"DCs","NK_3",0,0,1,0,-1.03159960139142,1,0,0,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"DCs","NK_CD56bright",0,0,0,1,-0.403218374712585,1,1,0.4999995000005,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"DCs","Platelet",14,2,1,0,1.76739735886487,17,0.823529411764706,0.466666635555558,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"DCs","Treg Memory",0,0,2,0,-0.841874625365267,2,0,0,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"DCs","Treg Naive",0,0,3,1,-0.828539021367417,4,0.25,0.4999995000005,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"DCs","cDC2_1",8,0,0,0,1.90946855264505,8,1,0.499999937500008,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"DCs","cDC2_2",12,3,0,0,1.98417630865854,15,0.8,0.499999958333337,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"DCs","dnT_2",0,0,1,0,-0.47396328102742,1,0,0,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"DCs","gdT_1",0,0,1,0,-0.19438849083136,1,0,0,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"DCs","gdT_2",0,0,0,1,-1.08040223729844,1,1,0.4999995000005,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"DCs","gdT_3",0,0,0,1,-0.246974276808697,1,1,0.4999995000005,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"DCs","pDC",2,0,0,0,2.96302855785108,2,1,0.499999750000125,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Early-NK-cells","CD16 Mono",0,5,0,0,0.754274220800089,5,0,0,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Early-NK-cells","CD4 Naive",0,0,0,1,-0.480016321139919,1,1,0.4999995000005,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Early-NK-cells","CD4 TCM_1",0,0,0,1,-0.929076234485959,1,1,0.4999995000005,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Early-NK-cells","CD8 TEM_1",0,0,1,0,-0.936264219619552,1,0,0,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Early-NK-cells","CD8 TEM_2",0,0,0,2,-0.911484586659008,2,1,0.499999750000125,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Early-NK-cells","CD8 TEM_4",0,0,0,5,-0.794017776975819,5,1,0.49999990000002,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Early-NK-cells","CD8 TEM_5",0,0,1,15,-0.923094128437278,16,0.9375,0.499999966666669,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Early-NK-cells","NK Proliferating",0,0,0,21,-0.897459908898351,21,1,0.499999976190477,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Early-NK-cells","NK_1",0,4,10,545,-0.901874776386487,559,0.974955277280859,0.496357011846344,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Early-NK-cells","NK_2",0,3,4,208,-0.843413399661307,215,0.967441860465116,0.492890992924687,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Early-NK-cells","NK_3",0,1,1,35,-0.807432622630547,37,0.945945945945946,0.486111097608025,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Early-NK-cells","NK_4",0,1,0,16,-0.783513972074718,17,0.941176470588235,0.470588207612458,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Early-NK-cells","NK_CD56bright",0,1,0,0,-0.0589517183141884,1,0,0,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Early-NK-cells","gdT_2",0,0,0,1,-1.24307769032186,1,1,0.4999995000005,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Intermediate-Monocytes","CD14 Mono",444,14,39,0,0.842884273094846,497,0.893360160965795,0.459627328240937,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Intermediate-Monocytes","CD16 Mono",1477,22,61,1,0.732713270592192,1561,0.946828955797566,0.501908179892614,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Intermediate-Monocytes","Doublet",105,0,4,0,0.83453461723673,109,0.963302752293578,0.481651371727969,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Intermediate-Monocytes","Platelet",2,0,1,0,0.736392531467748,3,0.666666666666667,0.333333222222259,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Late-NK-cells","ASDC_mDC",0,7,0,0,2.2153159689544,7,0,0,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Late-NK-cells","ASDC_pDC",0,3,0,0,2.82431305527297,3,0,0,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Late-NK-cells","B intermediate kappa",0,4,0,0,1.69274134299205,4,0,0,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Late-NK-cells","B intermediate lambda",0,1,0,0,1.39377790868564,1,0,0,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Late-NK-cells","B memory kappa",0,3,0,0,1.48848276544578,3,0,0,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Late-NK-cells","B memory lambda",0,1,0,0,0.629581594482604,1,0,0,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Late-NK-cells","B naive kappa",0,1,0,0,1.82089555162387,1,0,0,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Late-NK-cells","CD14 Mono",2,4,0,0,0.87422529902945,6,0.333333333333333,0.499999750000125,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Late-NK-cells","CD16 Mono",536,646,36,50,0.471444131409458,1268,0.462145110410095,0.504451007890634,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Late-NK-cells","CD4 CTL",0,0,0,1,-1.13714948835312,1,1,0.4999995000005,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Late-NK-cells","CD4 Naive",0,4,0,74,-0.631900096078152,78,0.948717948717949,0.474358968277449,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Late-NK-cells","CD4 TCM_1",0,0,0,5,-0.628467129898964,5,1,0.49999990000002,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Late-NK-cells","CD4 TEM_2",0,0,0,1,-0.454669215668829,1,1,0.4999995000005,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Late-NK-cells","CD8 Naive",0,13,1,228,-0.668628238137117,242,0.942148760330578,0.473029043680377,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Late-NK-cells","CD8 Naive_2",0,0,0,3,-0.743197461031294,3,1,0.499999833333389,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Late-NK-cells","CD8 Proliferating",0,0,0,2,-0.814257629851989,2,1,0.499999750000125,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Late-NK-cells","CD8 TCM_1",0,0,0,5,-0.939366402677208,5,1,0.49999990000002,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Late-NK-cells","CD8 TCM_2",0,0,0,9,-0.828318337613315,9,1,0.499999944444451,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Late-NK-cells","CD8 TEM_1",0,4,0,30,-0.542649708627527,34,0.882352941176471,0.441176457612457,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Late-NK-cells","CD8 TEM_2",0,1,0,64,-0.816192856618725,65,0.984615384615385,0.492307684733728,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Late-NK-cells","CD8 TEM_3",0,1,0,7,-0.602353936538635,8,0.875,0.437499945312507,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Late-NK-cells","CD8 TEM_4",0,3,1,29,-0.849125663000031,33,0.878787878787879,0.453124985839844,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Late-NK-cells","CD8 TEM_5",0,1,2,46,-0.931878853823762,49,0.938775510204082,0.489361691715709,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Late-NK-cells","CD8 TEM_6",0,4,0,61,-0.577115232867636,65,0.938461538461538,0.469230762011834,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Late-NK-cells","Doublet",16,0,0,0,0.904971274913382,16,1,0.499999968750002,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Late-NK-cells","HSPC",0,3,1,22,-0.447568533998397,26,0.846153846153846,0.439999982400001,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Late-NK-cells","ILC",0,6,1,69,-0.554912736874018,76,0.907894736842105,0.459999993866667,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Late-NK-cells","MAIT",0,1,1,9,-0.589039827711639,11,0.818181818181818,0.449999955000005,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Late-NK-cells","NK Proliferating",0,1,6,342,-0.842552665585605,349,0.979942693409742,0.498542272599002,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Late-NK-cells","NK_1",0,20,19,1842,-0.889892775528047,1881,0.9792663476874,0.494629430454012,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Late-NK-cells","NK_2",2,95,72,6539,-0.845680672855503,6708,0.97510435301133,0.506353428842982,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Late-NK-cells","NK_3",0,43,6,1608,-0.815019625226742,1657,0.970428485214243,0.486977589044835,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Late-NK-cells","NK_4",2,38,9,1099,-0.783945304684958,1148,0.959059233449477,0.574198440179115,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Late-NK-cells","NK_CD56bright",0,65,7,533,-0.593512073877403,605,0.88099173553719,0.445652173167806,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Late-NK-cells","Plasma",0,0,0,1,-0.319610758158689,1,1,0.4999995000005,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Late-NK-cells","Plasmablast",0,0,0,1,-0.528818957046945,1,1,0.4999995000005,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Late-NK-cells","Platelet",1,0,2,4,-0.0456566480670918,7,0.714285714285714,0.666666486111161,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Late-NK-cells","Treg Memory",0,0,0,3,-0.983931910505484,3,1,0.499999833333389,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Late-NK-cells","Treg Naive",0,1,0,9,-0.459889962765859,10,0.9,0.449999955000005,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Late-NK-cells","cDC1",4,1,0,0,2.56958095053862,5,0.8,0.499999875000031,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Late-NK-cells","cDC2_1",1,1,0,0,0.901211769531009,2,0.5,0.4999995000005,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Late-NK-cells","cDC2_2",30,67,0,0,1.70664051934573,97,0.309278350515464,0.499999983333334,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Late-NK-cells","dnT_1",0,0,0,3,-0.55025680744538,3,1,0.499999833333389,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Late-NK-cells","dnT_2",0,0,0,6,-0.705555117831689,6,1,0.499999916666681,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Late-NK-cells","gdT_1",0,0,0,1,-0.623776023811777,1,1,0.4999995000005,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Late-NK-cells","gdT_2",0,1,0,7,-0.496993207080445,8,0.875,0.437499945312507,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Late-NK-cells","gdT_3",0,0,0,69,-0.628705084555561,69,1,0.499999992753623,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Late-NK-cells","gdT_4",0,1,0,11,-0.742314726014888,12,0.916666666666667,0.458333295138892,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Late-NK-cells","pDC",299,157,0,0,2.95567132653013,456,0.655701754385965,0.499999998327759,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Monocytes","ASDC_mDC",1,0,0,0,1.4781421552536,1,1,0.4999995000005,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Monocytes","CD14 Mono",164,1,9,0,1.17611850041617,174,0.942528735632184,0.473988436566541,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Monocytes","CD16 Mono",52,5,1,0,0.773341297154462,58,0.896551724137931,0.490566028479886,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
"Monocytes","Doublet",3,0,0,0,1.30247788698877,3,1,0.499999833333389,"AUCell","MANNE_DN",FALSE,"gmm_dist_platelet"
