"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,0,0,36,1.55318080867733,36,1,0.499999986111112,"AUCell","MANNE_DN",FALSE,"kmeans"
"B-cells","B intermediate lambda",0,2,0,164,1.4752837930719,166,0.987951807228916,0.493975900638699,"AUCell","MANNE_DN",FALSE,"kmeans"
"B-cells","B memory kappa",0,0,1,44,1.16734596892677,45,0.977777777777778,0.499999988636364,"AUCell","MANNE_DN",FALSE,"kmeans"
"B-cells","B memory lambda",0,0,0,34,1.30580311873423,34,1,0.499999985294118,"AUCell","MANNE_DN",FALSE,"kmeans"
"B-cells","B naive kappa",0,0,1,247,1.58245676867973,248,0.995967741935484,0.499999997975708,"AUCell","MANNE_DN",FALSE,"kmeans"
"B-cells","B naive lambda",0,0,0,20,1.33167243395736,20,1,0.499999975000001,"AUCell","MANNE_DN",FALSE,"kmeans"
"B-cells","Plasma",0,0,0,1,0.629487787303459,1,1,0.4999995000005,"AUCell","MANNE_DN",FALSE,"kmeans"
"Classical-Monocytes","CD14 Mono",30828,175,2302,12,0.883508184320285,33317,0.925653570249422,0.497343635564645,"AUCell","MANNE_DN",FALSE,"kmeans"
"Classical-Monocytes","CD16 Mono",468,6,18,0,1.23683672641921,492,0.951219512195122,0.481481480490779,"AUCell","MANNE_DN",FALSE,"kmeans"
"Classical-Monocytes","Doublet",130,0,10,0,1.0730195410081,140,0.928571428571429,0.464285710969388,"AUCell","MANNE_DN",FALSE,"kmeans"
"Classical-Monocytes","Eryth",10,0,1,0,0.545494078218127,11,0.909090909090909,0.454545413223144,"AUCell","MANNE_DN",FALSE,"kmeans"
"Classical-Monocytes","HSPC",0,0,1,0,-0.469785528463346,1,0,0,"AUCell","MANNE_DN",FALSE,"kmeans"
"Classical-Monocytes","Platelet",8,0,54,0,1.81293174586011,62,0.129032258064516,0.0645161279916754,"AUCell","MANNE_DN",FALSE,"kmeans"
"Classical-Monocytes","cDC1",0,0,3,0,2.10751934592218,3,0,0,"AUCell","MANNE_DN",FALSE,"kmeans"
"Classical-Monocytes","cDC2_1",96,0,69,0,1.9448018259366,165,0.581818181818182,0.290909089146006,"AUCell","MANNE_DN",FALSE,"kmeans"
"Classical-Monocytes","cDC2_2",10,0,34,0,1.78353524330463,44,0.227272727272727,0.113636361053719,"AUCell","MANNE_DN",FALSE,"kmeans"
"Classical-Monocytes","pDC",0,0,5,0,2.71222551940662,5,0,0,"AUCell","MANNE_DN",FALSE,"kmeans"
"DCs","ASDC_mDC",0,0,0,1,2.07806548499566,1,1,0.4999995000005,"AUCell","MANNE_DN",FALSE,"kmeans"
"DCs","CD14 Mono",93,5,15,4,0.869272424333426,117,0.829059829059829,0.652777749099797,"AUCell","MANNE_DN",FALSE,"kmeans"
"DCs","CD16 Mono",50,5,15,0,0.566431541735107,70,0.714285714285714,0.384615378698225,"AUCell","MANNE_DN",FALSE,"kmeans"
"DCs","CD4 CTL",0,0,3,2,-0.779327198137947,5,0.4,0.499999750000125,"AUCell","MANNE_DN",FALSE,"kmeans"
"DCs","CD4 Naive",0,0,19,21,-0.792118917895017,40,0.525,0.499999976190477,"AUCell","MANNE_DN",FALSE,"kmeans"
"DCs","CD4 TCM_1",0,0,14,15,-0.686995057166689,29,0.517241379310345,0.499999966666669,"AUCell","MANNE_DN",FALSE,"kmeans"
"DCs","CD4 TCM_2",0,0,3,2,-0.98603807585285,5,0.4,0.499999750000125,"AUCell","MANNE_DN",FALSE,"kmeans"
"DCs","CD4 TCM_3",0,0,17,5,-0.772762836235432,22,0.227272727272727,0.49999990000002,"AUCell","MANNE_DN",FALSE,"kmeans"
"DCs","CD4 TEM_1",0,0,1,2,-0.612636753956947,3,0.666666666666667,0.499999750000125,"AUCell","MANNE_DN",FALSE,"kmeans"
"DCs","CD4 TEM_3",0,0,5,3,-0.762069076501317,8,0.375,0.499999833333389,"AUCell","MANNE_DN",FALSE,"kmeans"
"DCs","CD8 Naive",0,0,29,15,-0.74813706558011,44,0.340909090909091,0.499999966666669,"AUCell","MANNE_DN",FALSE,"kmeans"
"DCs","CD8 Naive_2",0,0,0,1,-0.888674656827636,1,1,0.4999995000005,"AUCell","MANNE_DN",FALSE,"kmeans"
"DCs","CD8 Proliferating",0,0,1,0,-0.717474090192264,1,0,0,"AUCell","MANNE_DN",FALSE,"kmeans"
