"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,28,0,0,1.73409928001071,28,0,0,"AUCell","MANNE_DN",FALSE,"youden"
"B-cells","B intermediate lambda",0,142,0,0,1.6069637435281,142,0,0,"AUCell","MANNE_DN",FALSE,"youden"
"B-cells","B memory kappa",0,35,0,0,1.35737319600903,35,0,0,"AUCell","MANNE_DN",FALSE,"youden"
"B-cells","B memory lambda",0,29,0,1,1.37123033426658,30,0.0333333333333333,0.0166666661111111,"AUCell","MANNE_DN",FALSE,"youden"
"B-cells","B naive kappa",1,204,0,0,1.7275034171808,205,0.0048780487804878,0.4999995000005,"AUCell","MANNE_DN",FALSE,"youden"
"B-cells","B naive lambda",0,15,0,0,1.62016160889311,15,0,0,"AUCell","MANNE_DN",FALSE,"youden"
"B-cells","Plasma",0,1,0,1,-0.369926654093839,2,0.5,0.249999875000062,"AUCell","MANNE_DN",FALSE,"youden"
"Classical-Monocytes","CD14 Mono",24103,146,1465,3,0.889757446757755,25717,0.937356612357584,0.48141802139219,"AUCell","MANNE_DN",FALSE,"youden"
"Classical-Monocytes","CD16 Mono",286,6,1,0,1.20879478202236,293,0.976109215017065,0.498257837985164,"AUCell","MANNE_DN",FALSE,"youden"
"Classical-Monocytes","Doublet",106,0,3,0,1.15669587657291,109,0.972477064220184,0.486238527649188,"AUCell","MANNE_DN",FALSE,"youden"
"Classical-Monocytes","HSPC",0,0,1,0,-0.530710532082101,1,0,0,"AUCell","MANNE_DN",FALSE,"youden"
"Classical-Monocytes","Platelet",59,0,0,0,1.60774389969622,59,1,0.499999991525424,"AUCell","MANNE_DN",FALSE,"youden"
"Classical-Monocytes","cDC1",2,0,0,0,2.57998461323198,2,1,0.499999750000125,"AUCell","MANNE_DN",FALSE,"youden"
"Classical-Monocytes","cDC2_1",87,0,0,0,2.06472609632801,87,1,0.499999994252874,"AUCell","MANNE_DN",FALSE,"youden"
"Classical-Monocytes","cDC2_2",25,0,0,0,1.84482019266852,25,1,0.499999980000001,"AUCell","MANNE_DN",FALSE,"youden"
"Classical-Monocytes","pDC",5,0,0,0,2.84053015857437,5,1,0.49999990000002,"AUCell","MANNE_DN",FALSE,"youden"
"DCs","ASDC_mDC",0,1,0,0,2.49883604422379,1,0,0,"AUCell","MANNE_DN",FALSE,"youden"
