"celltype_clean","celltype.l3","celltype.l1","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa","B",0,0,0,36,1.55318080867733,36,1,0.499999986111112,"AUCell","MANNE_DN",FALSE,"youden_dual"
"B-cells","B intermediate lambda","B",0,5,0,161,1.4752837930719,166,0.969879518072289,0.484939756114821,"AUCell","MANNE_DN",FALSE,"youden_dual"
"B-cells","B memory kappa","B",0,0,1,44,1.16734596892677,45,0.977777777777778,0.499999988636364,"AUCell","MANNE_DN",FALSE,"youden_dual"
"B-cells","B memory lambda","B",0,0,0,34,1.30580311873423,34,1,0.499999985294118,"AUCell","MANNE_DN",FALSE,"youden_dual"
"B-cells","B naive kappa","B",0,0,1,247,1.58245676867973,248,0.995967741935484,0.499999997975708,"AUCell","MANNE_DN",FALSE,"youden_dual"
"B-cells","B naive lambda","B",0,0,0,20,1.33167243395736,20,1,0.499999975000001,"AUCell","MANNE_DN",FALSE,"youden_dual"
"B-cells","Plasma","B",0,0,0,1,0.629487787303459,1,1,0.4999995000005,"AUCell","MANNE_DN",FALSE,"youden_dual"
"Classical-Monocytes","CD14 Mono","Mono",32345,185,785,2,0.883508184320285,33317,0.970885734009665,0.493500325202702,"AUCell","MANNE_DN",FALSE,"youden_dual"
"Classical-Monocytes","CD16 Mono","Mono",483,6,3,0,1.23683672641921,492,0.981707317073171,0.496913579224458,"AUCell","MANNE_DN",FALSE,"youden_dual"
"Classical-Monocytes","Doublet","other",139,0,1,0,1.0730195410081,140,0.992857142857143,0.496428567882653,"AUCell","MANNE_DN",FALSE,"youden_dual"
"Classical-Monocytes","Eryth","other",10,0,1,0,0.545494078218127,11,0.909090909090909,0.454545413223144,"AUCell","MANNE_DN",FALSE,"youden_dual"
"Classical-Monocytes","HSPC","other",0,0,1,0,-0.469785528463346,1,0,0,"AUCell","MANNE_DN",FALSE,"youden_dual"
"Classical-Monocytes","Platelet","other",19,0,43,0,1.81293174586011,62,0.306451612903226,0.153225803980229,"AUCell","MANNE_DN",FALSE,"youden_dual"
"Classical-Monocytes","cDC1","DC",2,0,1,0,2.10751934592218,3,0.666666666666667,0.333333222222259,"AUCell","MANNE_DN",FALSE,"youden_dual"
"Classical-Monocytes","cDC2_1","DC",152,0,13,0,1.9448018259366,165,0.921212121212121,0.460606057814509,"AUCell","MANNE_DN",FALSE,"youden_dual"
"Classical-Monocytes","cDC2_2","DC",32,0,12,0,1.78353524330463,44,0.727272727272727,0.363636355371901,"AUCell","MANNE_DN",FALSE,"youden_dual"
"Classical-Monocytes","pDC","DC",1,0,4,0,2.71222551940662,5,0.2,0.099999980000004,"AUCell","MANNE_DN",FALSE,"youden_dual"
"DCs","ASDC_mDC","DC",0,1,0,0,2.07806548499566,1,0,0,"AUCell","MANNE_DN",FALSE,"youden_dual"
"DCs","CD14 Mono","Mono",100,7,8,2,0.869272424333426,117,0.871794871794872,0.574074057441702,"AUCell","MANNE_DN",FALSE,"youden_dual"
"DCs","CD16 Mono","Mono",64,5,1,0,0.566431541735107,70,0.914285714285714,0.492307684733728,"AUCell","MANNE_DN",FALSE,"youden_dual"
"DCs","CD4 CTL","CD4 T",0,0,3,2,-0.779327198137947,5,0.4,0.499999750000125,"AUCell","MANNE_DN",FALSE,"youden_dual"
"DCs","CD4 Naive","CD4 T",0,0,19,21,-0.792118917895017,40,0.525,0.499999976190477,"AUCell","MANNE_DN",FALSE,"youden_dual"
"DCs","CD4 TCM_1","CD4 T",0,0,14,15,-0.686995057166689,29,0.517241379310345,0.499999966666669,"AUCell","MANNE_DN",FALSE,"youden_dual"
"DCs","CD4 TCM_2","CD4 T",0,0,3,2,-0.98603807585285,5,0.4,0.499999750000125,"AUCell","MANNE_DN",FALSE,"youden_dual"
"DCs","CD4 TCM_3","CD4 T",0,0,17,5,-0.772762836235432,22,0.227272727272727,0.49999990000002,"AUCell","MANNE_DN",FALSE,"youden_dual"
"DCs","CD4 TEM_1","CD4 T",0,0,1,2,-0.612636753956947,3,0.666666666666667,0.499999750000125,"AUCell","MANNE_DN",FALSE,"youden_dual"
"DCs","CD4 TEM_3","CD4 T",0,0,5,3,-0.762069076501317,8,0.375,0.499999833333389,"AUCell","MANNE_DN",FALSE,"youden_dual"
"DCs","CD8 Naive","CD8 T",0,0,29,15,-0.74813706558011,44,0.340909090909091,0.499999966666669,"AUCell","MANNE_DN",FALSE,"youden_dual"
"DCs","CD8 Naive_2","CD8 T",0,0,0,1,-0.888674656827636,1,1,0.4999995000005,"AUCell","MANNE_DN",FALSE,"youden_dual"
"DCs","CD8 Proliferating","CD8 T",0,0,1,0,-0.717474090192264,1,0,0,"AUCell","MANNE_DN",FALSE,"youden_dual"
"DCs","CD8 TCM_1","CD8 T",0,0,0,2,-0.835519642186815,2,1,0.499999750000125,"AUCell","MANNE_DN",FALSE,"youden_dual"
"DCs","CD8 TCM_2","CD8 T",0,0,2,2,-0.504439836709699,4,0.5,0.499999750000125,"AUCell","MANNE_DN",FALSE,"youden_dual"
"DCs","CD8 TCM_3","CD8 T",0,0,2,1,-0.797183601324647,3,0.333333333333333,0.4999995000005,"AUCell","MANNE_DN",FALSE,"youden_dual"
"DCs","CD8 TEM_1","CD8 T",0,0,7,2,-0.718118393400031,9,0.222222222222222,0.499999750000125,"AUCell","MANNE_DN",FALSE,"youden_dual"
"DCs","CD8 TEM_2","CD8 T",0,0,2,0,-0.849188074523026,2,0,0,"AUCell","MANNE_DN",FALSE,"youden_dual"
"DCs","CD8 TEM_4","CD8 T",0,0,2,5,-0.874118663950113,7,0.714285714285714,0.49999990000002,"AUCell","MANNE_DN",FALSE,"youden_dual"
"DCs","CD8 TEM_5","CD8 T",0,0,1,0,-0.998022115517326,1,0,0,"AUCell","MANNE_DN",FALSE,"youden_dual"
"DCs","Doublet","other",14,0,2,1,0.857912224551394,17,0.882352941176471,0.937499472656752,"AUCell","MANNE_DN",FALSE,"youden_dual"
"DCs","HSPC","other",0,0,1,0,-0.212708548564101,1,0,0,"AUCell","MANNE_DN",FALSE,"youden_dual"
"DCs","MAIT","other T",0,0,3,0,-0.740669005671895,3,0,0,"AUCell","MANNE_DN",FALSE,"youden_dual"
"DCs","NK Proliferating","NK",0,0,1,0,-0.718578609977008,1,0,0,"AUCell","MANNE_DN",FALSE,"youden_dual"
"DCs","NK_1","NK",0,0,0,1,-1.11344443302311,1,1,0.4999995000005,"AUCell","MANNE_DN",FALSE,"youden_dual"
"DCs","NK_2","NK",0,0,1,0,-0.866032001240377,1,0,0,"AUCell","MANNE_DN",FALSE,"youden_dual"
"DCs","NK_CD56bright","NK",0,0,0,1,-0.289472673603832,1,1,0.4999995000005,"AUCell","MANNE_DN",FALSE,"youden_dual"
"DCs","Platelet","other",2,0,18,2,1.63596888979055,22,0.181818181818182,0.549999747500125,"AUCell","MANNE_DN",FALSE,"youden_dual"
"DCs","Treg Memory","CD4 T",0,0,2,0,-0.507477266117746,2,0,0,"AUCell","MANNE_DN",FALSE,"youden_dual"
"DCs","Treg Naive","CD4 T",0,0,3,1,-0.82192024233715,4,0.25,0.4999995000005,"AUCell","MANNE_DN",FALSE,"youden_dual"
"DCs","cDC2_1","DC",15,0,1,0,1.78938888437974,16,0.9375,0.468749970703127,"AUCell","MANNE_DN",FALSE,"youden_dual"
"DCs","cDC2_2","DC",33,10,5,3,1.80243365557524,51,0.705882352941177,0.549595121398073,"AUCell","MANNE_DN",FALSE,"youden_dual"
"DCs","gdT_1","other T",0,0,1,0,-0.490495274427302,1,0,0,"AUCell","MANNE_DN",FALSE,"youden_dual"
"DCs","gdT_2","other T",0,0,0,2,-0.755165827846664,2,1,0.499999750000125,"AUCell","MANNE_DN",FALSE,"youden_dual"
"DCs","gdT_3","other T",0,0,0,1,-0.553452902157729,1,1,0.4999995000005,"AUCell","MANNE_DN",FALSE,"youden_dual"
"DCs","gdT_4","other T",0,0,1,0,-0.851673244038701,1,0,0,"AUCell","MANNE_DN",FALSE,"youden_dual"
"DCs","pDC","DC",2,0,1,0,3.21590494991312,3,0.666666666666667,0.333333222222259,"AUCell","MANNE_DN",FALSE,"youden_dual"
"Early-NK-cells","CD16 Mono","Mono",1,4,0,1,0.58342010794808,6,0.333333333333333,0.599999480000504,"AUCell","MANNE_DN",FALSE,"youden_dual"
"Early-NK-cells","CD4 Naive","CD4 T",0,0,0,1,-0.354363210957562,1,1,0.4999995000005,"AUCell","MANNE_DN",FALSE,"youden_dual"
"Early-NK-cells","CD4 TCM_1","CD4 T",0,0,0,1,-1.02259768072789,1,1,0.4999995000005,"AUCell","MANNE_DN",FALSE,"youden_dual"
"Early-NK-cells","CD8 TEM_1","CD8 T",0,0,1,0,-0.69731660412068,1,0,0,"AUCell","MANNE_DN",FALSE,"youden_dual"
"Early-NK-cells","CD8 TEM_2","CD8 T",0,0,0,2,-1.04731131091154,2,1,0.499999750000125,"AUCell","MANNE_DN",FALSE,"youden_dual"
"Early-NK-cells","CD8 TEM_4","CD8 T",0,1,0,4,-0.695383694497377,5,0.8,0.399999920000016,"AUCell","MANNE_DN",FALSE,"youden_dual"
"Early-NK-cells","CD8 TEM_5","CD8 T",0,0,1,16,-0.937793301372738,17,0.941176470588235,0.499999968750002,"AUCell","MANNE_DN",FALSE,"youden_dual"
"Early-NK-cells","NK Proliferating","NK",0,0,0,30,-0.887837062657539,30,1,0.499999983333334,"AUCell","MANNE_DN",FALSE,"youden_dual"
"Early-NK-cells","NK_1","NK",1,14,11,706,-0.899425995073879,732,0.965846994535519,0.531944440291281,"AUCell","MANNE_DN",FALSE,"youden_dual"
"Early-NK-cells","NK_2","NK",1,8,3,276,-0.903607725965998,288,0.961805555555556,0.610915459996784,"AUCell","MANNE_DN",FALSE,"youden_dual"
"Early-NK-cells","NK_3","NK",0,1,1,38,-0.768254387295885,40,0.95,0.487179474687706,"AUCell","MANNE_DN",FALSE,"youden_dual"
"Early-NK-cells","NK_4","NK",0,1,0,18,-0.786288579412849,19,0.947368421052632,0.473684185595569,"AUCell","MANNE_DN",FALSE,"youden_dual"
"Early-NK-cells","NK_CD56bright","NK",0,1,0,0,0.205352189961632,1,0,0,"AUCell","MANNE_DN",FALSE,"youden_dual"
"Early-NK-cells","cDC2_2","DC",0,0,0,1,1.64978793846104,1,1,0.4999995000005,"AUCell","MANNE_DN",FALSE,"youden_dual"
"Early-NK-cells","gdT_2","other T",0,0,0,1,-1.32495997180165,1,1,0.4999995000005,"AUCell","MANNE_DN",FALSE,"youden_dual"
"Early-NK-cells","pDC","DC",0,1,0,0,3.53824064042768,1,0,0,"AUCell","MANNE_DN",FALSE,"youden_dual"
"Intermediate-Monocytes","CD14 Mono","Mono",595,15,18,1,0.844692229003783,629,0.947535771065183,0.516568104922376,"AUCell","MANNE_DN",FALSE,"youden_dual"
"Intermediate-Monocytes","CD16 Mono","Mono",2073,32,34,1,0.749273603122408,2140,0.969158878504673,0.507083170842387,"AUCell","MANNE_DN",FALSE,"youden_dual"
"Intermediate-Monocytes","Doublet","other",129,0,1,0,0.826595715120613,130,0.992307692307692,0.496153842337278,"AUCell","MANNE_DN",FALSE,"youden_dual"
"Intermediate-Monocytes","Platelet","other",2,0,2,0,1.17125474172056,4,0.5,0.249999937500016,"AUCell","MANNE_DN",FALSE,"youden_dual"
"Late-NK-cells","ASDC_mDC","DC",0,13,0,4,2.29003582603851,17,0.235294117647059,0.117647051903115,"AUCell","MANNE_DN",FALSE,"youden_dual"
"Late-NK-cells","ASDC_pDC","DC",2,4,1,3,2.85644819029961,10,0.5,0.547618905895733,"AUCell","MANNE_DN",FALSE,"youden_dual"
"Late-NK-cells","B intermediate kappa","B",0,0,0,4,1.54761985837219,4,1,0.499999875000031,"AUCell","MANNE_DN",FALSE,"youden_dual"
"Late-NK-cells","B intermediate lambda","B",0,0,0,2,1.06259760789633,2,1,0.499999750000125,"AUCell","MANNE_DN",FALSE,"youden_dual"
"Late-NK-cells","B memory kappa","B",0,0,0,3,1.49349838891972,3,1,0.499999833333389,"AUCell","MANNE_DN",FALSE,"youden_dual"
"Late-NK-cells","B memory lambda","B",0,0,0,1,0.229651625226007,1,1,0.4999995000005,"AUCell","MANNE_DN",FALSE,"youden_dual"
"Late-NK-cells","B naive kappa","B",0,0,0,1,1.52773850224679,1,1,0.4999995000005,"AUCell","MANNE_DN",FALSE,"youden_dual"
"Late-NK-cells","CD14 Mono","Mono",2,3,0,1,0.885414225760261,6,0.5,0.624999718750133,"AUCell","MANNE_DN",FALSE,"youden_dual"
"Late-NK-cells","CD16 Mono","Mono",604,699,31,46,0.419211831870296,1380,0.471014492753623,0.506463033612178,"AUCell","MANNE_DN",FALSE,"youden_dual"
"Late-NK-cells","CD4 CTL","CD4 T",0,0,0,2,-0.980211733988323,2,1,0.499999750000125,"AUCell","MANNE_DN",FALSE,"youden_dual"
"Late-NK-cells","CD4 Naive","CD4 T",0,0,0,84,-0.652402753469007,84,1,0.499999994047619,"AUCell","MANNE_DN",FALSE,"youden_dual"
"Late-NK-cells","CD4 Proliferating","CD4 T",0,0,0,1,-0.525839907539121,1,1,0.4999995000005,"AUCell","MANNE_DN",FALSE,"youden_dual"
"Late-NK-cells","CD4 TCM_1","CD4 T",0,0,0,5,-0.725150502696237,5,1,0.49999990000002,"AUCell","MANNE_DN",FALSE,"youden_dual"
"Late-NK-cells","CD4 TEM_2","CD4 T",0,0,0,1,-0.652031292946162,1,1,0.4999995000005,"AUCell","MANNE_DN",FALSE,"youden_dual"
