"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,0,0,36,1.45276872916658,36,1,0.499999986111112,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"B-cells","B intermediate lambda",0,18,0,148,1.50077119382825,166,0.891566265060241,0.44578312984468,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"B-cells","B memory kappa",0,1,1,43,1.01827818417477,45,0.955555555555556,0.488636352530992,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"B-cells","B memory lambda",0,0,0,34,1.18172617294127,34,1,0.499999985294118,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"B-cells","B naive kappa",0,2,1,245,1.51727213014816,248,0.987903225806452,0.495951414996148,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"B-cells","B naive lambda",0,0,0,20,1.29298053118494,20,1,0.499999975000001,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"B-cells","Plasma",0,0,0,1,0.968772165671595,1,1,0.4999995000005,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"Classical-Monocytes","CD14 Mono",31989,184,1141,3,0.743601055348029,33317,0.960230512951346,0.490801348059092,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"Classical-Monocytes","CD16 Mono",485,6,1,0,1.08632375778251,492,0.985772357723577,0.498971192388948,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"Classical-Monocytes","Doublet",137,0,3,0,1.04165413175352,140,0.978571428571429,0.489285710790816,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"Classical-Monocytes","Eryth",8,0,3,0,0.462888528077486,11,0.727272727272727,0.363636330578515,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"Classical-Monocytes","HSPC",0,0,1,0,-0.336654712964519,1,0,0,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"Classical-Monocytes","Platelet",36,0,26,0,4.14735128207677,62,0.580645161290323,0.290322575962539,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"Classical-Monocytes","cDC1",3,0,0,0,2.37131752572498,3,1,0.499999833333389,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"Classical-Monocytes","cDC2_1",165,0,0,0,1.98833554521279,165,1,0.499999996969697,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"Classical-Monocytes","cDC2_2",44,0,0,0,2.16954632805879,44,1,0.499999988636364,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"Classical-Monocytes","pDC",4,0,1,0,4.74229587553974,5,0.8,0.399999920000016,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"DCs","ASDC_mDC",0,1,0,0,1.92732433561686,1,0,0,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"DCs","CD14 Mono",102,8,6,1,0.754982766230264,117,0.88034188034188,0.527777767232511,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"DCs","CD16 Mono",63,5,2,0,0.463302022768593,70,0.9,0.484615377159763,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"DCs","CD4 CTL",0,0,3,2,-0.749186986557181,5,0.4,0.499999750000125,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"DCs","CD4 Naive",0,0,19,21,-0.752053470318979,40,0.525,0.499999976190477,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"DCs","CD4 TCM_1",0,0,14,15,-0.653181110089439,29,0.517241379310345,0.499999966666669,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"DCs","CD4 TCM_2",0,0,3,2,-0.92989012290093,5,0.4,0.499999750000125,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"DCs","CD4 TCM_3",0,0,17,5,-0.720582495965765,22,0.227272727272727,0.49999990000002,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"DCs","CD4 TEM_1",0,0,1,2,-0.603469033080233,3,0.666666666666667,0.499999750000125,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"DCs","CD4 TEM_3",0,0,5,3,-0.734100229916139,8,0.375,0.499999833333389,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"DCs","CD8 Naive",0,0,29,15,-0.702160194583721,44,0.340909090909091,0.499999966666669,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"DCs","CD8 Naive_2",0,0,0,1,-0.844776676634826,1,1,0.4999995000005,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"DCs","CD8 Proliferating",0,0,1,0,-0.695116050755685,1,0,0,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"DCs","CD8 TCM_1",0,0,0,2,-0.798309466180415,2,1,0.499999750000125,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"DCs","CD8 TCM_2",0,0,2,2,-0.450529552091107,4,0.5,0.499999750000125,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"DCs","CD8 TCM_3",0,0,2,1,-0.722875682975203,3,0.333333333333333,0.4999995000005,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"DCs","CD8 TEM_1",0,0,7,2,-0.645551026270981,9,0.222222222222222,0.499999750000125,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"DCs","CD8 TEM_2",0,0,2,0,-0.810258177440121,2,0,0,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"DCs","CD8 TEM_4",0,0,2,5,-0.832052075033581,7,0.714285714285714,0.49999990000002,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"DCs","CD8 TEM_5",0,0,1,0,-0.756187241638625,1,0,0,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"DCs","Doublet",14,0,2,1,1.59836914399048,17,0.882352941176471,0.937499472656752,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"DCs","HSPC",0,0,1,0,-0.21740898847372,1,0,0,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"DCs","MAIT",0,0,3,0,-0.715392651681246,3,0,0,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"DCs","NK Proliferating",0,0,1,0,-0.676770554680178,1,0,0,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"DCs","NK_1",0,0,0,1,-1.04126659512776,1,1,0.4999995000005,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"DCs","NK_2",0,0,1,0,-0.824982851921778,1,0,0,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"DCs","NK_CD56bright",0,0,0,1,-0.320964486057835,1,1,0.4999995000005,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"DCs","Platelet",8,0,12,2,3.90312987407436,22,0.454545454545455,0.699999740000125,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"DCs","Treg Memory",0,0,2,0,-0.511540395947482,2,0,0,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"DCs","Treg Naive",0,0,3,1,-0.786421101947274,4,0.25,0.4999995000005,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"DCs","cDC2_1",16,0,0,0,1.86868211255313,16,1,0.499999968750002,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"DCs","cDC2_2",37,13,1,0,2.1808907084892,51,0.725490196078431,0.486842092451524,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"DCs","gdT_1",0,0,1,0,-0.496695027412696,1,0,0,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"DCs","gdT_2",0,0,0,2,-0.728065527259722,2,1,0.499999750000125,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"DCs","gdT_3",0,0,0,1,-0.551731515639219,1,1,0.4999995000005,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"DCs","gdT_4",0,0,1,0,-0.812430670396431,1,0,0,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"DCs","pDC",3,0,0,0,4.93622708010635,3,1,0.499999833333389,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"Early-NK-cells","CD16 Mono",1,5,0,0,0.448822184794711,6,0.166666666666667,0.4999995000005,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"Early-NK-cells","CD4 Naive",0,0,0,1,-0.277273238825376,1,1,0.4999995000005,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"Early-NK-cells","CD4 TCM_1",0,0,0,1,-0.961849908169314,1,1,0.4999995000005,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"Early-NK-cells","CD8 TEM_1",0,0,1,0,-0.677494718998948,1,0,0,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"Early-NK-cells","CD8 TEM_2",0,0,0,2,-0.983454143679287,2,1,0.499999750000125,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"Early-NK-cells","CD8 TEM_4",0,1,0,4,-0.635493188510286,5,0.8,0.399999920000016,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"Early-NK-cells","CD8 TEM_5",0,0,1,16,-0.873402466176794,17,0.941176470588235,0.499999968750002,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"Early-NK-cells","NK Proliferating",0,1,0,29,-0.815520438156516,30,0.966666666666667,0.483333317222223,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"Early-NK-cells","NK_1",0,15,12,705,-0.838558294777336,732,0.963114754098361,0.489583332653356,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"Early-NK-cells","NK_2",0,4,4,280,-0.842877421604348,288,0.972222222222222,0.492957744743107,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"Early-NK-cells","NK_3",0,3,1,36,-0.717504797610992,40,0.9,0.461538449704142,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"Early-NK-cells","NK_4",0,1,0,18,-0.745515346414646,19,0.947368421052632,0.473684185595569,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"Early-NK-cells","NK_CD56bright",0,1,0,0,0.111603000354132,1,0,0,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"Early-NK-cells","cDC2_2",0,1,0,0,2.09991683159039,1,0,0,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"Early-NK-cells","gdT_2",0,0,0,1,-1.22616988452038,1,1,0.4999995000005,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"Early-NK-cells","pDC",0,1,0,0,5.06488694074116,1,0,0,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"Intermediate-Monocytes","CD14 Mono",588,15,25,1,0.73396792960719,629,0.936406995230525,0.510858480135605,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"Intermediate-Monocytes","CD16 Mono",2058,33,49,0,0.636168118785919,2140,0.961682242990654,0.48837209279147,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"Intermediate-Monocytes","Doublet",130,0,0,0,1.53083880059551,130,1,0.499999996153846,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"Intermediate-Monocytes","Platelet",3,0,1,0,3.13239410907676,4,0.75,0.374999906250023,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"Late-NK-cells","ASDC_mDC",0,16,0,1,2.31265074970436,17,0.0588235294117647,0.0294117629757786,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"Late-NK-cells","ASDC_pDC",3,6,0,1,3.46668042802632,10,0.4,0.57142839455788,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"Late-NK-cells","B intermediate kappa",0,0,0,4,1.58781196416685,4,1,0.499999875000031,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"Late-NK-cells","B intermediate lambda",0,0,0,2,1.14281299028266,2,1,0.499999750000125,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"Late-NK-cells","B memory kappa",0,1,0,2,1.26133455045469,3,0.666666666666667,0.333333222222259,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"Late-NK-cells","B memory lambda",0,0,0,1,0.154328695161564,1,1,0.4999995000005,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"Late-NK-cells","B naive kappa",0,0,0,1,1.66976322624099,1,1,0.4999995000005,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"Late-NK-cells","CD14 Mono",2,4,0,0,0.788495481648899,6,0.333333333333333,0.499999750000125,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
"Late-NK-cells","CD16 Mono",606,701,29,44,0.322975720030215,1380,0.471014492753623,0.506695554881911,"AUCell","MANNE_DN",TRUE,"gmm_dist_dual"
