"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,36,0,0,1.45276872916658,36,0,0,"AUCell","MANNE_DN",TRUE,"gmm_dist_platelet"
"B-cells","B intermediate lambda",0,166,0,0,1.50077119382825,166,0,0,"AUCell","MANNE_DN",TRUE,"gmm_dist_platelet"
"B-cells","B memory kappa",1,44,0,0,1.01827818417477,45,0.0222222222222222,0.4999995000005,"AUCell","MANNE_DN",TRUE,"gmm_dist_platelet"
"B-cells","B memory lambda",0,34,0,0,1.18172617294127,34,0,0,"AUCell","MANNE_DN",TRUE,"gmm_dist_platelet"
"B-cells","B naive kappa",1,247,0,0,1.51727213014816,248,0.00403225806451613,0.4999995000005,"AUCell","MANNE_DN",TRUE,"gmm_dist_platelet"
"B-cells","B naive lambda",0,20,0,0,1.29298053118494,20,0,0,"AUCell","MANNE_DN",TRUE,"gmm_dist_platelet"
"B-cells","Plasma",0,1,0,0,0.968772165671595,1,0,0,"AUCell","MANNE_DN",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","CD14 Mono",31994,184,1136,3,0.743601055348029,33317,0.960380586487379,0.490876808366967,"AUCell","MANNE_DN",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","CD16 Mono",485,6,1,0,1.08632375778251,492,0.985772357723577,0.498971192388948,"AUCell","MANNE_DN",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","Doublet",137,0,3,0,1.04165413175352,140,0.978571428571429,0.489285710790816,"AUCell","MANNE_DN",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","Eryth",9,0,2,0,0.462888528077486,11,0.818181818181818,0.40909087190083,"AUCell","MANNE_DN",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","HSPC",0,0,1,0,-0.336654712964519,1,0,0,"AUCell","MANNE_DN",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","Platelet",62,0,0,0,4.14735128207677,62,1,0.499999991935484,"AUCell","MANNE_DN",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","cDC1",3,0,0,0,2.37131752572498,3,1,0.499999833333389,"AUCell","MANNE_DN",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","cDC2_1",165,0,0,0,1.98833554521279,165,1,0.499999996969697,"AUCell","MANNE_DN",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","cDC2_2",44,0,0,0,2.16954632805879,44,1,0.499999988636364,"AUCell","MANNE_DN",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","pDC",5,0,0,0,4.74229587553974,5,1,0.49999990000002,"AUCell","MANNE_DN",TRUE,"gmm_dist_platelet"
"DCs","ASDC_mDC",0,1,0,0,1.92732433561686,1,0,0,"AUCell","MANNE_DN",TRUE,"gmm_dist_platelet"
"DCs","CD14 Mono",103,8,5,1,0.754982766230264,117,0.888888888888889,0.532407396819274,"AUCell","MANNE_DN",TRUE,"gmm_dist_platelet"
"DCs","CD16 Mono",63,5,2,0,0.463302022768593,70,0.9,0.484615377159763,"AUCell","MANNE_DN",TRUE,"gmm_dist_platelet"
"DCs","CD4 CTL",0,0,3,2,-0.749186986557181,5,0.4,0.499999750000125,"AUCell","MANNE_DN",TRUE,"gmm_dist_platelet"
"DCs","CD4 Naive",1,0,18,21,-0.752053470318979,40,0.55,0.52631576427912,"AUCell","MANNE_DN",TRUE,"gmm_dist_platelet"
"DCs","CD4 TCM_1",0,0,14,15,-0.653181110089439,29,0.517241379310345,0.499999966666669,"AUCell","MANNE_DN",TRUE,"gmm_dist_platelet"
"DCs","CD4 TCM_2",0,0,3,2,-0.92989012290093,5,0.4,0.499999750000125,"AUCell","MANNE_DN",TRUE,"gmm_dist_platelet"
"DCs","CD4 TCM_3",0,0,17,5,-0.720582495965765,22,0.227272727272727,0.49999990000002,"AUCell","MANNE_DN",TRUE,"gmm_dist_platelet"
"DCs","CD4 TEM_1",0,0,1,2,-0.603469033080233,3,0.666666666666667,0.499999750000125,"AUCell","MANNE_DN",TRUE,"gmm_dist_platelet"
"DCs","CD4 TEM_3",0,0,5,3,-0.734100229916139,8,0.375,0.499999833333389,"AUCell","MANNE_DN",TRUE,"gmm_dist_platelet"
"DCs","CD8 Naive",1,1,28,14,-0.702160194583721,44,0.340909090909091,0.483908014271372,"AUCell","MANNE_DN",TRUE,"gmm_dist_platelet"
"DCs","CD8 Naive_2",0,0,0,1,-0.844776676634826,1,1,0.4999995000005,"AUCell","MANNE_DN",TRUE,"gmm_dist_platelet"
