"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,0,0,28,2.34066461134301,28,1,0.499999982142858,"AUCell","MANNE_DN",TRUE,"kmeans"
"B-cells","B intermediate lambda",0,0,0,142,2.02505551825108,142,1,0.499999996478873,"AUCell","MANNE_DN",TRUE,"kmeans"
"B-cells","B memory kappa",0,0,0,35,1.41707112662357,35,1,0.499999985714286,"AUCell","MANNE_DN",TRUE,"kmeans"
"B-cells","B memory lambda",0,0,0,30,1.41170468670055,30,1,0.499999983333334,"AUCell","MANNE_DN",TRUE,"kmeans"
"B-cells","B naive kappa",0,0,1,204,2.73933949834459,205,0.995121951219512,0.49999999754902,"AUCell","MANNE_DN",TRUE,"kmeans"
"B-cells","B naive lambda",0,0,0,15,2.68045562986762,15,1,0.499999966666669,"AUCell","MANNE_DN",TRUE,"kmeans"
"B-cells","Plasma",0,1,0,1,0.44751294578624,2,0.5,0.249999875000062,"AUCell","MANNE_DN",TRUE,"kmeans"
"Classical-Monocytes","CD14 Mono",24594,141,974,8,0.521144807583652,25717,0.956643465411984,0.507798390826712,"AUCell","MANNE_DN",TRUE,"kmeans"
"Classical-Monocytes","CD16 Mono",279,6,8,0,0.750772060472243,293,0.95221843003413,0.486062716076437,"AUCell","MANNE_DN",TRUE,"kmeans"
"Classical-Monocytes","Doublet",105,0,4,0,0.735272470640868,109,0.963302752293578,0.481651371727969,"AUCell","MANNE_DN",TRUE,"kmeans"
"Classical-Monocytes","HSPC",0,0,1,0,-0.37132702984088,1,0,0,"AUCell","MANNE_DN",TRUE,"kmeans"
"Classical-Monocytes","Platelet",19,0,40,0,1.79528733221043,59,0.322033898305085,0.161016946423442,"AUCell","MANNE_DN",TRUE,"kmeans"
"Classical-Monocytes","cDC1",0,0,2,0,2.04453249898887,2,0,0,"AUCell","MANNE_DN",TRUE,"kmeans"
"Classical-Monocytes","cDC2_1",51,0,36,0,1.56722597248209,87,0.586206896551724,0.293103444906857,"AUCell","MANNE_DN",TRUE,"kmeans"
"Classical-Monocytes","cDC2_2",13,0,12,0,1.55820666504973,25,0.52,0.2599999896,"AUCell","MANNE_DN",TRUE,"kmeans"
"Classical-Monocytes","pDC",0,0,5,0,4.5386907673099,5,0,0,"AUCell","MANNE_DN",TRUE,"kmeans"
"DCs","ASDC_mDC",0,0,0,1,1.77213530528504,1,1,0.4999995000005,"AUCell","MANNE_DN",TRUE,"kmeans"
"DCs","CD14 Mono",77,8,8,1,0.530394455845719,94,0.829787234042553,0.508496720524585,"AUCell","MANNE_DN",TRUE,"kmeans"
"DCs","CD16 Mono",44,3,7,0,0.315880503495297,54,0.814814814814815,0.431372540561323,"AUCell","MANNE_DN",TRUE,"kmeans"
"DCs","CD4 CTL",0,0,0,2,-0.691665030706916,2,1,0.499999750000125,"AUCell","MANNE_DN",TRUE,"kmeans"
"DCs","CD4 Naive",0,0,12,16,-0.690448358564445,28,0.571428571428571,0.499999968750002,"AUCell","MANNE_DN",TRUE,"kmeans"
"DCs","CD4 TCM_1",0,0,9,11,-0.558447280604051,20,0.55,0.499999954545459,"AUCell","MANNE_DN",TRUE,"kmeans"
"DCs","CD4 TCM_2",0,0,5,5,-0.7740847564872,10,0.5,0.49999990000002,"AUCell","MANNE_DN",TRUE,"kmeans"
"DCs","CD4 TCM_3",0,0,13,4,-0.643118196149274,17,0.235294117647059,0.499999875000031,"AUCell","MANNE_DN",TRUE,"kmeans"
"DCs","CD4 TEM_1",0,0,1,1,-0.678477874582071,2,0.5,0.4999995000005,"AUCell","MANNE_DN",TRUE,"kmeans"
"DCs","CD4 TEM_3",0,0,5,2,-0.615956625454455,7,0.285714285714286,0.499999750000125,"AUCell","MANNE_DN",TRUE,"kmeans"
"DCs","CD8 Naive",0,0,22,14,-0.604719851464807,36,0.388888888888889,0.499999964285717,"AUCell","MANNE_DN",TRUE,"kmeans"
"DCs","CD8 Naive_2",0,0,1,1,-0.620509334116604,2,0.5,0.4999995000005,"AUCell","MANNE_DN",TRUE,"kmeans"
"DCs","CD8 Proliferating",0,0,2,0,-0.826146549938412,2,0,0,"AUCell","MANNE_DN",TRUE,"kmeans"
"DCs","CD8 TCM_1",0,0,0,2,-0.579436837436096,2,1,0.499999750000125,"AUCell","MANNE_DN",TRUE,"kmeans"
"DCs","CD8 TCM_2",0,0,2,1,-0.724266611126673,3,0.333333333333333,0.4999995000005,"AUCell","MANNE_DN",TRUE,"kmeans"
"DCs","CD8 TCM_3",0,0,2,1,-0.613732601108003,3,0.333333333333333,0.4999995000005,"AUCell","MANNE_DN",TRUE,"kmeans"
"DCs","CD8 TEM_1",0,0,5,2,-0.642723412588814,7,0.285714285714286,0.499999750000125,"AUCell","MANNE_DN",TRUE,"kmeans"
"DCs","CD8 TEM_2",0,0,2,0,-0.687131945789,2,0,0,"AUCell","MANNE_DN",TRUE,"kmeans"
"DCs","CD8 TEM_4",0,0,2,2,-0.751762747421706,4,0.5,0.499999750000125,"AUCell","MANNE_DN",TRUE,"kmeans"
"DCs","CD8 TEM_5",0,0,1,0,-1.07189469897329,1,0,0,"AUCell","MANNE_DN",TRUE,"kmeans"
"DCs","Doublet",12,0,3,1,0.617864216508364,16,0.8125,0.899999473333835,"AUCell","MANNE_DN",TRUE,"kmeans"
"DCs","HSPC",0,0,1,0,-0.254291019232877,1,0,0,"AUCell","MANNE_DN",TRUE,"kmeans"
"DCs","MAIT",0,0,2,0,-0.454021488040431,2,0,0,"AUCell","MANNE_DN",TRUE,"kmeans"
"DCs","NK Proliferating",0,0,1,0,-0.919692938699034,1,0,0,"AUCell","MANNE_DN",TRUE,"kmeans"
"DCs","NK_1",0,0,0,1,-0.746062049721903,1,1,0.4999995000005,"AUCell","MANNE_DN",TRUE,"kmeans"
"DCs","NK_3",0,0,1,0,-0.881505132420836,1,0,0,"AUCell","MANNE_DN",TRUE,"kmeans"
"DCs","NK_CD56bright",0,0,0,1,-0.425174584017332,1,1,0.4999995000005,"AUCell","MANNE_DN",TRUE,"kmeans"
"DCs","Platelet",2,0,13,2,2.0061911657705,17,0.235294117647059,0.566666412222347,"AUCell","MANNE_DN",TRUE,"kmeans"
"DCs","Treg Memory",0,0,2,0,-0.743726824158129,2,0,0,"AUCell","MANNE_DN",TRUE,"kmeans"
"DCs","Treg Naive",0,0,3,1,-0.734042506378945,4,0.25,0.4999995000005,"AUCell","MANNE_DN",TRUE,"kmeans"
"DCs","cDC2_1",5,0,3,0,1.52679925487906,8,0.625,0.312499960937505,"AUCell","MANNE_DN",TRUE,"kmeans"
"DCs","cDC2_2",4,2,8,1,1.66896412410274,15,0.333333333333333,0.333333263888909,"AUCell","MANNE_DN",TRUE,"kmeans"
"DCs","dnT_2",0,0,1,0,-0.476549546420375,1,0,0,"AUCell","MANNE_DN",TRUE,"kmeans"
