"celltype_clean","celltype.l3","celltype.l1","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa","B",0,0,0,36,1.45276872916658,36,1,0.499999986111112,"AUCell","MANNE_DN",TRUE,"youden_dual"
"B-cells","B intermediate lambda","B",0,5,0,161,1.50077119382825,166,0.969879518072289,0.484939756114821,"AUCell","MANNE_DN",TRUE,"youden_dual"
"B-cells","B memory kappa","B",0,0,1,44,1.01827818417477,45,0.977777777777778,0.499999988636364,"AUCell","MANNE_DN",TRUE,"youden_dual"
"B-cells","B memory lambda","B",0,0,0,34,1.18172617294127,34,1,0.499999985294118,"AUCell","MANNE_DN",TRUE,"youden_dual"
"B-cells","B naive kappa","B",0,0,1,247,1.51727213014816,248,0.995967741935484,0.499999997975708,"AUCell","MANNE_DN",TRUE,"youden_dual"
"B-cells","B naive lambda","B",0,0,0,20,1.29298053118494,20,1,0.499999975000001,"AUCell","MANNE_DN",TRUE,"youden_dual"
"B-cells","Plasma","B",0,0,0,1,0.968772165671595,1,1,0.4999995000005,"AUCell","MANNE_DN",TRUE,"youden_dual"
"Classical-Monocytes","CD14 Mono","Mono",32325,185,805,2,0.743601055348029,33317,0.970285439865534,0.493198483971199,"AUCell","MANNE_DN",TRUE,"youden_dual"
"Classical-Monocytes","CD16 Mono","Mono",483,6,3,0,1.08632375778251,492,0.981707317073171,0.496913579224458,"AUCell","MANNE_DN",TRUE,"youden_dual"
"Classical-Monocytes","Doublet","other",138,0,2,0,1.04165413175352,140,0.985714285714286,0.492857139336735,"AUCell","MANNE_DN",TRUE,"youden_dual"
"Classical-Monocytes","Eryth","other",10,0,1,0,0.462888528077486,11,0.909090909090909,0.454545413223144,"AUCell","MANNE_DN",TRUE,"youden_dual"
"Classical-Monocytes","HSPC","other",0,0,1,0,-0.336654712964519,1,0,0,"AUCell","MANNE_DN",TRUE,"youden_dual"
"Classical-Monocytes","Platelet","other",19,0,43,0,4.14735128207677,62,0.306451612903226,0.153225803980229,"AUCell","MANNE_DN",TRUE,"youden_dual"
"Classical-Monocytes","cDC1","DC",2,0,1,0,2.37131752572498,3,0.666666666666667,0.333333222222259,"AUCell","MANNE_DN",TRUE,"youden_dual"
"Classical-Monocytes","cDC2_1","DC",152,0,13,0,1.98833554521279,165,0.921212121212121,0.460606057814509,"AUCell","MANNE_DN",TRUE,"youden_dual"
"Classical-Monocytes","cDC2_2","DC",32,0,12,0,2.16954632805879,44,0.727272727272727,0.363636355371901,"AUCell","MANNE_DN",TRUE,"youden_dual"
"Classical-Monocytes","pDC","DC",1,0,4,0,4.74229587553974,5,0.2,0.099999980000004,"AUCell","MANNE_DN",TRUE,"youden_dual"
"DCs","ASDC_mDC","DC",0,1,0,0,1.92732433561686,1,0,0,"AUCell","MANNE_DN",TRUE,"youden_dual"
"DCs","CD14 Mono","Mono",101,7,7,2,0.754982766230264,117,0.88034188034188,0.578703687028465,"AUCell","MANNE_DN",TRUE,"youden_dual"
"DCs","CD16 Mono","Mono",64,5,1,0,0.463302022768593,70,0.914285714285714,0.492307684733728,"AUCell","MANNE_DN",TRUE,"youden_dual"
"DCs","CD4 CTL","CD4 T",0,0,3,2,-0.749186986557181,5,0.4,0.499999750000125,"AUCell","MANNE_DN",TRUE,"youden_dual"
"DCs","CD4 Naive","CD4 T",0,0,19,21,-0.752053470318979,40,0.525,0.499999976190477,"AUCell","MANNE_DN",TRUE,"youden_dual"
"DCs","CD4 TCM_1","CD4 T",0,0,14,15,-0.653181110089439,29,0.517241379310345,0.499999966666669,"AUCell","MANNE_DN",TRUE,"youden_dual"
"DCs","CD4 TCM_2","CD4 T",0,0,3,2,-0.92989012290093,5,0.4,0.499999750000125,"AUCell","MANNE_DN",TRUE,"youden_dual"
"DCs","CD4 TCM_3","CD4 T",0,0,17,5,-0.720582495965765,22,0.227272727272727,0.49999990000002,"AUCell","MANNE_DN",TRUE,"youden_dual"
"DCs","CD4 TEM_1","CD4 T",0,0,1,2,-0.603469033080233,3,0.666666666666667,0.499999750000125,"AUCell","MANNE_DN",TRUE,"youden_dual"
"DCs","CD4 TEM_3","CD4 T",0,0,5,3,-0.734100229916139,8,0.375,0.499999833333389,"AUCell","MANNE_DN",TRUE,"youden_dual"
"DCs","CD8 Naive","CD8 T",0,0,29,15,-0.702160194583721,44,0.340909090909091,0.499999966666669,"AUCell","MANNE_DN",TRUE,"youden_dual"
"DCs","CD8 Naive_2","CD8 T",0,0,0,1,-0.844776676634826,1,1,0.4999995000005,"AUCell","MANNE_DN",TRUE,"youden_dual"
"DCs","CD8 Proliferating","CD8 T",0,0,1,0,-0.695116050755685,1,0,0,"AUCell","MANNE_DN",TRUE,"youden_dual"
"DCs","CD8 TCM_1","CD8 T",0,0,0,2,-0.798309466180415,2,1,0.499999750000125,"AUCell","MANNE_DN",TRUE,"youden_dual"
"DCs","CD8 TCM_2","CD8 T",0,0,2,2,-0.450529552091107,4,0.5,0.499999750000125,"AUCell","MANNE_DN",TRUE,"youden_dual"
"DCs","CD8 TCM_3","CD8 T",0,0,2,1,-0.722875682975203,3,0.333333333333333,0.4999995000005,"AUCell","MANNE_DN",TRUE,"youden_dual"
"DCs","CD8 TEM_1","CD8 T",0,0,7,2,-0.645551026270981,9,0.222222222222222,0.499999750000125,"AUCell","MANNE_DN",TRUE,"youden_dual"
"DCs","CD8 TEM_2","CD8 T",0,0,2,0,-0.810258177440121,2,0,0,"AUCell","MANNE_DN",TRUE,"youden_dual"
"DCs","CD8 TEM_4","CD8 T",0,0,2,5,-0.832052075033581,7,0.714285714285714,0.49999990000002,"AUCell","MANNE_DN",TRUE,"youden_dual"
"DCs","CD8 TEM_5","CD8 T",0,0,1,0,-0.756187241638625,1,0,0,"AUCell","MANNE_DN",TRUE,"youden_dual"
"DCs","Doublet","other",14,0,2,1,1.59836914399048,17,0.882352941176471,0.937499472656752,"AUCell","MANNE_DN",TRUE,"youden_dual"
"DCs","HSPC","other",0,0,1,0,-0.21740898847372,1,0,0,"AUCell","MANNE_DN",TRUE,"youden_dual"
"DCs","MAIT","other T",0,0,3,0,-0.715392651681246,3,0,0,"AUCell","MANNE_DN",TRUE,"youden_dual"
"DCs","NK Proliferating","NK",0,0,1,0,-0.676770554680178,1,0,0,"AUCell","MANNE_DN",TRUE,"youden_dual"
"DCs","NK_1","NK",0,0,0,1,-1.04126659512776,1,1,0.4999995000005,"AUCell","MANNE_DN",TRUE,"youden_dual"
"DCs","NK_2","NK",0,0,1,0,-0.824982851921778,1,0,0,"AUCell","MANNE_DN",TRUE,"youden_dual"
"DCs","NK_CD56bright","NK",0,0,0,1,-0.320964486057835,1,1,0.4999995000005,"AUCell","MANNE_DN",TRUE,"youden_dual"
"DCs","Platelet","other",2,0,18,2,3.90312987407436,22,0.181818181818182,0.549999747500125,"AUCell","MANNE_DN",TRUE,"youden_dual"
"DCs","Treg Memory","CD4 T",0,0,2,0,-0.511540395947482,2,0,0,"AUCell","MANNE_DN",TRUE,"youden_dual"
"DCs","Treg Naive","CD4 T",0,0,3,1,-0.786421101947274,4,0.25,0.4999995000005,"AUCell","MANNE_DN",TRUE,"youden_dual"
"DCs","cDC2_1","DC",15,0,1,0,1.86868211255313,16,0.9375,0.468749970703127,"AUCell","MANNE_DN",TRUE,"youden_dual"
"DCs","cDC2_2","DC",33,10,5,3,2.1808907084892,51,0.705882352941177,0.549595121398073,"AUCell","MANNE_DN",TRUE,"youden_dual"
"DCs","gdT_1","other T",0,0,1,0,-0.496695027412696,1,0,0,"AUCell","MANNE_DN",TRUE,"youden_dual"
"DCs","gdT_2","other T",0,0,0,2,-0.728065527259722,2,1,0.499999750000125,"AUCell","MANNE_DN",TRUE,"youden_dual"
"DCs","gdT_3","other T",0,0,0,1,-0.551731515639219,1,1,0.4999995000005,"AUCell","MANNE_DN",TRUE,"youden_dual"
"DCs","gdT_4","other T",0,0,1,0,-0.812430670396431,1,0,0,"AUCell","MANNE_DN",TRUE,"youden_dual"
"DCs","pDC","DC",2,0,1,0,4.93622708010635,3,0.666666666666667,0.333333222222259,"AUCell","MANNE_DN",TRUE,"youden_dual"
"Early-NK-cells","CD16 Mono","Mono",1,4,0,1,0.448822184794711,6,0.333333333333333,0.599999480000504,"AUCell","MANNE_DN",TRUE,"youden_dual"
"Early-NK-cells","CD4 Naive","CD4 T",0,0,0,1,-0.277273238825376,1,1,0.4999995000005,"AUCell","MANNE_DN",TRUE,"youden_dual"
"Early-NK-cells","CD4 TCM_1","CD4 T",0,0,0,1,-0.961849908169314,1,1,0.4999995000005,"AUCell","MANNE_DN",TRUE,"youden_dual"
"Early-NK-cells","CD8 TEM_1","CD8 T",0,0,1,0,-0.677494718998948,1,0,0,"AUCell","MANNE_DN",TRUE,"youden_dual"
