"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,36,0,0,1.56655816748159,36,0,0,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"B-cells","B intermediate lambda",0,166,0,0,1.50721801058614,166,0,0,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"B-cells","B memory kappa",1,44,0,0,1.15208648238142,45,0.0222222222222222,0.4999995000005,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"B-cells","B memory lambda",0,34,0,0,1.26168267381986,34,0,0,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"B-cells","B naive kappa",1,247,0,0,1.50531393300524,248,0.00403225806451613,0.4999995000005,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"B-cells","B naive lambda",0,20,0,0,1.42890828321328,20,0,0,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"B-cells","Plasma",0,1,0,0,0.318035477447009,1,0,0,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","CD14 Mono",29921,178,3209,9,0.800885822469844,33317,0.898340186691479,0.475633745384543,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","CD16 Mono",478,6,8,0,1.19031601194361,492,0.971544715447154,0.491769546313231,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","Doublet",129,0,11,0,0.994764326318313,140,0.921428571428571,0.460714282423469,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","Eryth",10,0,1,0,0.540805204806492,11,0.909090909090909,0.454545413223144,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","HSPC",0,0,1,0,-0.400937213173053,1,0,0,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","Platelet",62,0,0,0,2.33598445242623,62,1,0.499999991935484,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","cDC1",3,0,0,0,2.61328114785117,3,1,0.499999833333389,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","cDC2_1",165,0,0,0,1.96933566164338,165,1,0.499999996969697,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","cDC2_2",44,0,0,0,2.14483088676132,44,1,0.499999988636364,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","pDC",5,0,0,0,2.46196651629333,5,1,0.49999990000002,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"DCs","ASDC_mDC",0,1,0,0,2.5942046905104,1,0,0,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"DCs","CD14 Mono",98,8,10,1,0.867950291284775,117,0.846153846153846,0.50925924888546,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"DCs","CD16 Mono",58,5,7,0,0.605666664707848,70,0.828571428571429,0.446153839289941,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"DCs","CD4 CTL",0,0,3,2,-0.837555099821541,5,0.4,0.499999750000125,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"DCs","CD4 Naive",0,0,19,21,-0.599195039724534,40,0.525,0.499999976190477,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"DCs","CD4 TCM_1",0,0,14,15,-0.497642986438159,29,0.517241379310345,0.499999966666669,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"DCs","CD4 TCM_2",0,0,3,2,-0.994505858030652,5,0.4,0.499999750000125,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"DCs","CD4 TCM_3",0,0,17,5,-0.644694014413392,22,0.227272727272727,0.49999990000002,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"DCs","CD4 TEM_1",0,0,1,2,-0.626590229857407,3,0.666666666666667,0.499999750000125,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"DCs","CD4 TEM_3",0,0,5,3,-0.664823555180082,8,0.375,0.499999833333389,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"DCs","CD8 Naive",0,1,29,14,-0.62329142141051,44,0.318181818181818,0.466666635555558,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"DCs","CD8 Naive_2",0,0,0,1,-0.456330662594896,1,1,0.4999995000005,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"DCs","CD8 Proliferating",0,0,1,0,-1.00439335332748,1,0,0,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"DCs","CD8 TCM_1",0,0,0,2,-0.530698270943001,2,1,0.499999750000125,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"DCs","CD8 TCM_2",0,0,2,2,-0.501999856067857,4,0.5,0.499999750000125,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"DCs","CD8 TCM_3",0,0,2,1,-0.492459915695713,3,0.333333333333333,0.4999995000005,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"DCs","CD8 TEM_1",0,0,7,2,-0.729119958409316,9,0.222222222222222,0.499999750000125,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"DCs","CD8 TEM_2",0,0,2,0,-0.9663631953234,2,0,0,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"DCs","CD8 TEM_4",0,0,2,5,-0.877874559408696,7,0.714285714285714,0.49999990000002,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"DCs","CD8 TEM_5",0,0,1,0,-1.16292976083138,1,0,0,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"DCs","Doublet",13,0,3,1,1.07009088199393,17,0.823529411764706,0.906249474609877,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"DCs","HSPC",1,0,0,0,0.296771587285421,1,1,0.4999995000005,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"DCs","MAIT",0,0,3,0,-0.530093488232931,3,0,0,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"DCs","NK Proliferating",0,0,1,0,-1.16075474384391,1,0,0,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"DCs","NK_1",0,0,0,1,-1.28413225518876,1,1,0.4999995000005,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"DCs","NK_2",0,0,1,0,-1.01718677727544,1,0,0,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"DCs","NK_CD56bright",0,0,0,1,-0.514603800394219,1,1,0.4999995000005,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"DCs","Platelet",16,2,4,0,2.02141140332442,22,0.727272727272727,0.399999980000001,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"DCs","Treg Memory",0,0,2,0,-0.703728267474204,2,0,0,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"DCs","Treg Naive",0,0,3,1,-0.517993487371274,4,0.25,0.4999995000005,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"DCs","cDC2_1",16,0,0,0,1.82610429716745,16,1,0.499999968750002,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"DCs","cDC2_2",38,13,0,0,2.08736758363261,51,0.745098039215686,0.499999986842106,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"DCs","gdT_1",0,0,1,0,-0.405075368491929,1,0,0,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"DCs","gdT_2",0,0,0,2,-0.841463682677912,2,1,0.499999750000125,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"DCs","gdT_3",0,0,0,1,-0.642773283031416,1,1,0.4999995000005,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"DCs","gdT_4",0,0,1,0,-1.03833253538172,1,0,0,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"DCs","pDC",3,0,0,0,3.24434855149727,3,1,0.499999833333389,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Early-NK-cells","CD16 Mono",1,5,0,0,0.770086291851883,6,0.166666666666667,0.4999995000005,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Early-NK-cells","CD4 Naive",0,0,0,1,-0.147988374557843,1,1,0.4999995000005,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Early-NK-cells","CD4 TCM_1",0,0,0,1,-1.01016991937608,1,1,0.4999995000005,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Early-NK-cells","CD8 TEM_1",0,0,1,0,-0.336815104395993,1,0,0,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Early-NK-cells","CD8 TEM_2",0,0,0,2,-0.853859938373017,2,1,0.499999750000125,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Early-NK-cells","CD8 TEM_4",0,0,0,5,-0.82750088302382,5,1,0.49999990000002,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Early-NK-cells","CD8 TEM_5",0,0,1,16,-1.08418104274695,17,0.941176470588235,0.499999968750002,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Early-NK-cells","NK Proliferating",0,0,0,30,-1.13670810115348,30,1,0.499999983333334,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Early-NK-cells","NK_1",0,0,12,720,-1.08197772335408,732,0.983606557377049,0.499999999305556,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Early-NK-cells","NK_2",0,0,4,284,-1.09631444182904,288,0.986111111111111,0.499999998239437,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Early-NK-cells","NK_3",0,1,1,38,-0.975295470385121,40,0.95,0.487179474687706,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Early-NK-cells","NK_4",0,0,0,19,-0.845395743968186,19,1,0.499999973684212,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Early-NK-cells","NK_CD56bright",0,0,0,1,-0.18078265450676,1,1,0.4999995000005,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Early-NK-cells","cDC2_2",0,1,0,0,1.84868912267921,1,0,0,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Early-NK-cells","gdT_2",0,0,0,1,-2.05953588341269,1,1,0.4999995000005,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Early-NK-cells","pDC",0,1,0,0,3.29149415228048,1,0,0,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Intermediate-Monocytes","CD14 Mono",542,14,71,2,0.815414136525057,629,0.864864864864865,0.504588086726559,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Intermediate-Monocytes","CD16 Mono",1949,31,158,2,0.753264172659092,2140,0.911682242990654,0.492808961770848,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Intermediate-Monocytes","Doublet",129,0,1,0,0.993318676210166,130,0.992307692307692,0.496153842337278,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Intermediate-Monocytes","Platelet",3,0,1,0,1.49868016205105,4,0.75,0.374999906250023,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Late-NK-cells","ASDC_mDC",0,17,0,0,2.38777007171583,17,0,0,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Late-NK-cells","ASDC_pDC",3,7,0,0,2.56473606987629,10,0.3,0.499999833333389,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Late-NK-cells","B intermediate kappa",0,4,0,0,1.57025506733491,4,0,0,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Late-NK-cells","B intermediate lambda",0,2,0,0,0.962770912670949,2,0,0,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Late-NK-cells","B memory kappa",0,3,0,0,1.5163440927638,3,0,0,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Late-NK-cells","B memory lambda",0,1,0,0,0.53030692729054,1,0,0,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Late-NK-cells","B naive kappa",0,1,0,0,1.33302383143565,1,0,0,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Late-NK-cells","CD14 Mono",2,4,0,0,1.00910854699648,6,0.333333333333333,0.499999750000125,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Late-NK-cells","CD16 Mono",543,624,92,121,0.44304486088844,1380,0.481159420289855,0.50876710802706,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Late-NK-cells","CD4 CTL",0,0,0,2,-1.05417434465409,2,1,0.499999750000125,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Late-NK-cells","CD4 Naive",0,3,0,81,-0.526289388238725,84,0.964285714285714,0.482142851403061,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Late-NK-cells","CD4 Proliferating",0,0,0,1,-0.640879412200634,1,1,0.4999995000005,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Late-NK-cells","CD4 TCM_1",0,0,0,5,-0.692646410342432,5,1,0.49999990000002,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Late-NK-cells","CD4 TEM_2",0,0,0,1,-0.573984727755726,1,1,0.4999995000005,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Late-NK-cells","CD8 Naive",0,10,1,248,-0.598497030849814,259,0.957528957528958,0.480620153175891,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Late-NK-cells","CD8 Naive_2",0,0,1,2,-0.779967872630821,3,0.666666666666667,0.499999750000125,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Late-NK-cells","CD8 Proliferating",0,0,0,2,-1.307701177811,2,1,0.499999750000125,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Late-NK-cells","CD8 TCM_1",0,0,0,5,-0.814657862667367,5,1,0.49999990000002,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Late-NK-cells","CD8 TCM_2",0,0,0,9,-0.939781717495732,9,1,0.499999944444451,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Late-NK-cells","CD8 TEM_1",0,1,0,36,-0.575478165259406,37,0.972972972972973,0.486486473338203,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Late-NK-cells","CD8 TEM_2",0,2,0,72,-0.895694026346455,74,0.972972972972973,0.486486479912345,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Late-NK-cells","CD8 TEM_3",0,1,0,8,-0.492844130263253,9,0.888888888888889,0.444444395061734,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Late-NK-cells","CD8 TEM_4",0,3,1,36,-0.931728497675095,40,0.9,0.461538449704142,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Late-NK-cells","CD8 TEM_5",0,0,2,50,-1.06290298963912,52,0.961538461538462,0.49999999,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Late-NK-cells","CD8 TEM_6",0,4,0,77,-0.565667913059108,81,0.950617283950617,0.475308636107301,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Late-NK-cells","Doublet",17,0,0,0,0.979241746738192,17,1,0.499999970588237,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Late-NK-cells","HSPC",0,2,1,28,-0.557125537948209,31,0.903225806451613,0.466666651111112,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Late-NK-cells","ILC",0,9,1,80,-0.513790729429108,90,0.888888888888889,0.449438197197324,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Late-NK-cells","MAIT",1,1,0,10,-0.477898234114767,12,0.916666666666667,0.954544913223644,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Late-NK-cells","NK Proliferating",0,1,7,392,-1.17593728231404,400,0.98,0.498727734099929,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Late-NK-cells","NK_1",0,16,24,2671,-1.09626713178796,2711,0.985245296938399,0.497022701713054,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Late-NK-cells","NK_2",2,33,85,8555,-1.09940169591754,8675,0.986397694524496,0.509572967168777,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Late-NK-cells","NK_3",0,21,8,1875,-0.964271120987582,1904,0.984768907563025,0.494462025055663,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Late-NK-cells","NK_4",1,23,10,1247,-0.920387169273526,1281,0.97423887587822,0.536399422825507,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Late-NK-cells","NK_CD56bright",0,46,8,600,-0.596318908431417,654,0.917431192660551,0.464396284110842,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Late-NK-cells","Platelet",3,0,5,2,0.358349797725983,10,0.5,0.687499726562628,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
"Late-NK-cells","Treg Memory",0,0,0,4,-0.677981220823063,4,1,0.499999875000031,"AddModuleScore","MANNE_DN",FALSE,"gmm_dist_platelet"
