"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,0,0,28,1.63275711763809,28,1,0.499999982142858,"AddModuleScore","MANNE_DN",FALSE,"kmeans"
"B-cells","B intermediate lambda",0,1,0,141,1.52971290900636,142,0.992957746478873,0.496478869743107,"AddModuleScore","MANNE_DN",FALSE,"kmeans"
"B-cells","B memory kappa",0,0,0,35,1.23820633075255,35,1,0.499999985714286,"AddModuleScore","MANNE_DN",FALSE,"kmeans"
"B-cells","B memory lambda",0,0,0,30,1.27900980343417,30,1,0.499999983333334,"AddModuleScore","MANNE_DN",FALSE,"kmeans"
"B-cells","B naive kappa",0,0,1,204,1.54996254828434,205,0.995121951219512,0.49999999754902,"AddModuleScore","MANNE_DN",FALSE,"kmeans"
"B-cells","B naive lambda",0,0,0,15,1.48832035631273,15,1,0.499999966666669,"AddModuleScore","MANNE_DN",FALSE,"kmeans"
"B-cells","Plasma",0,0,0,2,-0.0774724568690581,2,1,0.499999750000125,"AddModuleScore","MANNE_DN",FALSE,"kmeans"
"Classical-Monocytes","CD14 Mono",24802,145,766,4,0.888452300458668,25717,0.964575961426294,0.498443156605293,"AddModuleScore","MANNE_DN",FALSE,"kmeans"
"Classical-Monocytes","CD16 Mono",281,6,6,0,1.21160524896105,293,0.959044368600683,0.489547036621787,"AddModuleScore","MANNE_DN",FALSE,"kmeans"
"Classical-Monocytes","Doublet",107,0,2,0,1.12243879931431,109,0.981651376146789,0.490825683570407,"AddModuleScore","MANNE_DN",FALSE,"kmeans"
"Classical-Monocytes","HSPC",0,0,1,0,-0.420206944748823,1,0,0,"AddModuleScore","MANNE_DN",FALSE,"kmeans"
"Classical-Monocytes","Platelet",23,0,36,0,1.96686298642978,59,0.389830508474576,0.19491525093364,"AddModuleScore","MANNE_DN",FALSE,"kmeans"
"Classical-Monocytes","cDC1",0,0,2,0,2.6031445917658,2,0,0,"AddModuleScore","MANNE_DN",FALSE,"kmeans"
"Classical-Monocytes","cDC2_1",26,0,61,0,2.07504115953291,87,0.298850574712644,0.14942528563879,"AddModuleScore","MANNE_DN",FALSE,"kmeans"
"Classical-Monocytes","cDC2_2",0,0,25,0,2.16973832064642,25,0,0,"AddModuleScore","MANNE_DN",FALSE,"kmeans"
"Classical-Monocytes","pDC",0,0,5,0,2.51118610861384,5,0,0,"AddModuleScore","MANNE_DN",FALSE,"kmeans"
