"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,28,0,0,1.63275711763809,28,0,0,"AddModuleScore","MANNE_DN",FALSE,"youden"
"B-cells","B intermediate lambda",0,142,0,0,1.52971290900636,142,0,0,"AddModuleScore","MANNE_DN",FALSE,"youden"
"B-cells","B memory kappa",0,35,0,0,1.23820633075255,35,0,0,"AddModuleScore","MANNE_DN",FALSE,"youden"
"B-cells","B memory lambda",0,30,0,0,1.27900980343417,30,0,0,"AddModuleScore","MANNE_DN",FALSE,"youden"
"B-cells","B naive kappa",1,204,0,0,1.54996254828434,205,0.0048780487804878,0.4999995000005,"AddModuleScore","MANNE_DN",FALSE,"youden"
"B-cells","B naive lambda",0,15,0,0,1.48832035631273,15,0,0,"AddModuleScore","MANNE_DN",FALSE,"youden"
"B-cells","Plasma",0,1,0,1,-0.0774724568690581,2,0.5,0.249999875000062,"AddModuleScore","MANNE_DN",FALSE,"youden"
"Classical-Monocytes","CD14 Mono",24247,144,1321,5,0.888452300458668,25717,0.94303379087763,0.490945450768042,"AddModuleScore","MANNE_DN",FALSE,"youden"
"Classical-Monocytes","CD16 Mono",284,6,3,0,1.21160524896105,293,0.969283276450512,0.494773517439814,"AddModuleScore","MANNE_DN",FALSE,"youden"
"Classical-Monocytes","Doublet",107,0,2,0,1.12243879931431,109,0.981651376146789,0.490825683570407,"AddModuleScore","MANNE_DN",FALSE,"youden"
"Classical-Monocytes","HSPC",0,0,1,0,-0.420206944748823,1,0,0,"AddModuleScore","MANNE_DN",FALSE,"youden"
"Classical-Monocytes","Platelet",59,0,0,0,1.96686298642978,59,1,0.499999991525424,"AddModuleScore","MANNE_DN",FALSE,"youden"
"Classical-Monocytes","cDC1",2,0,0,0,2.6031445917658,2,1,0.499999750000125,"AddModuleScore","MANNE_DN",FALSE,"youden"
"Classical-Monocytes","cDC2_1",87,0,0,0,2.07504115953291,87,1,0.499999994252874,"AddModuleScore","MANNE_DN",FALSE,"youden"
"Classical-Monocytes","cDC2_2",25,0,0,0,2.16973832064642,25,1,0.499999980000001,"AddModuleScore","MANNE_DN",FALSE,"youden"
"Classical-Monocytes","pDC",5,0,0,0,2.51118610861384,5,1,0.49999990000002,"AddModuleScore","MANNE_DN",FALSE,"youden"
"DCs","ASDC_mDC",0,1,0,0,2.6839962028324,1,0,0,"AddModuleScore","MANNE_DN",FALSE,"youden"
"DCs","CD14 Mono",81,8,4,1,0.952535302690314,94,0.872340425531915,0.532026132012475,"AddModuleScore","MANNE_DN",FALSE,"youden"
"DCs","CD16 Mono",48,3,3,0,0.657945612997884,54,0.888888888888889,0.470588226066898,"AddModuleScore","MANNE_DN",FALSE,"youden"
"DCs","CD4 CTL",0,0,0,2,-0.714021669984935,2,1,0.499999750000125,"AddModuleScore","MANNE_DN",FALSE,"youden"
"DCs","CD4 Naive",0,0,12,16,-0.596228222193344,28,0.571428571428571,0.499999968750002,"AddModuleScore","MANNE_DN",FALSE,"youden"
"DCs","CD4 TCM_1",0,1,9,10,-0.485662682208308,20,0.5,0.454545413223144,"AddModuleScore","MANNE_DN",FALSE,"youden"
"DCs","CD4 TCM_2",0,0,5,5,-1.05492732895425,10,0.5,0.49999990000002,"AddModuleScore","MANNE_DN",FALSE,"youden"
"DCs","CD4 TCM_3",0,0,13,4,-0.615171968273037,17,0.235294117647059,0.499999875000031,"AddModuleScore","MANNE_DN",FALSE,"youden"
"DCs","CD4 TEM_1",0,0,1,1,-0.594861358199884,2,0.5,0.4999995000005,"AddModuleScore","MANNE_DN",FALSE,"youden"
"DCs","CD4 TEM_3",0,0,5,2,-0.632000822259983,7,0.285714285714286,0.499999750000125,"AddModuleScore","MANNE_DN",FALSE,"youden"
"DCs","CD8 Naive",0,1,22,13,-0.55451524302164,36,0.361111111111111,0.464285681122451,"AddModuleScore","MANNE_DN",FALSE,"youden"
"DCs","CD8 Naive_2",0,0,1,1,-0.690956960251598,2,0.5,0.4999995000005,"AddModuleScore","MANNE_DN",FALSE,"youden"
"DCs","CD8 Proliferating",0,0,2,0,-1.12946139722362,2,0,0,"AddModuleScore","MANNE_DN",FALSE,"youden"
"DCs","CD8 TCM_1",0,0,0,2,-0.638542868694641,2,1,0.499999750000125,"AddModuleScore","MANNE_DN",FALSE,"youden"
"DCs","CD8 TCM_2",0,0,2,1,-0.62934220914346,3,0.333333333333333,0.4999995000005,"AddModuleScore","MANNE_DN",FALSE,"youden"
"DCs","CD8 TCM_3",0,0,2,1,-0.403746716221554,3,0.333333333333333,0.4999995000005,"AddModuleScore","MANNE_DN",FALSE,"youden"
"DCs","CD8 TEM_1",0,0,5,2,-0.668987850406842,7,0.285714285714286,0.499999750000125,"AddModuleScore","MANNE_DN",FALSE,"youden"
"DCs","CD8 TEM_2",0,0,2,0,-0.86787752203938,2,0,0,"AddModuleScore","MANNE_DN",FALSE,"youden"
"DCs","CD8 TEM_4",0,0,2,2,-0.933929586941733,4,0.5,0.499999750000125,"AddModuleScore","MANNE_DN",FALSE,"youden"
"DCs","CD8 TEM_5",0,0,1,0,-1.13951071893572,1,0,0,"AddModuleScore","MANNE_DN",FALSE,"youden"
"DCs","Doublet",12,0,3,1,0.972201221628603,16,0.8125,0.899999473333835,"AddModuleScore","MANNE_DN",FALSE,"youden"
"DCs","HSPC",1,0,0,0,-0.027414305606446,1,1,0.4999995000005,"AddModuleScore","MANNE_DN",FALSE,"youden"
"DCs","MAIT",1,0,1,0,-0.338123975681013,2,0.5,0.249999875000062,"AddModuleScore","MANNE_DN",FALSE,"youden"
"DCs","NK Proliferating",0,0,1,0,-1.08149249244769,1,0,0,"AddModuleScore","MANNE_DN",FALSE,"youden"
"DCs","NK_1",0,0,0,1,-1.0323294248022,1,1,0.4999995000005,"AddModuleScore","MANNE_DN",FALSE,"youden"
"DCs","NK_3",0,0,1,0,-1.42222996515865,1,0,0,"AddModuleScore","MANNE_DN",FALSE,"youden"
