"celltype_clean","celltype.l3","celltype.l1","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa","B",0,0,0,36,1.56655816748159,36,1,0.499999986111112,"AddModuleScore","MANNE_DN",FALSE,"youden_dual"
"B-cells","B intermediate lambda","B",0,4,0,162,1.50721801058614,166,0.975903614457831,0.487951804289447,"AddModuleScore","MANNE_DN",FALSE,"youden_dual"
"B-cells","B memory kappa","B",0,0,1,44,1.15208648238142,45,0.977777777777778,0.499999988636364,"AddModuleScore","MANNE_DN",FALSE,"youden_dual"
"B-cells","B memory lambda","B",0,0,0,34,1.26168267381986,34,1,0.499999985294118,"AddModuleScore","MANNE_DN",FALSE,"youden_dual"
"B-cells","B naive kappa","B",0,0,1,247,1.50531393300524,248,0.995967741935484,0.499999997975708,"AddModuleScore","MANNE_DN",FALSE,"youden_dual"
"B-cells","B naive lambda","B",0,0,0,20,1.42890828321328,20,1,0.499999975000001,"AddModuleScore","MANNE_DN",FALSE,"youden_dual"
"B-cells","Plasma","B",0,0,0,1,0.318035477447009,1,1,0.4999995000005,"AddModuleScore","MANNE_DN",FALSE,"youden_dual"
"Classical-Monocytes","CD14 Mono","Mono",32639,186,491,1,0.800885822469844,33317,0.979680043221178,0.495263594528652,"AddModuleScore","MANNE_DN",FALSE,"youden_dual"
"Classical-Monocytes","CD16 Mono","Mono",485,6,1,0,1.19031601194361,492,0.985772357723577,0.498971192388948,"AddModuleScore","MANNE_DN",FALSE,"youden_dual"
"Classical-Monocytes","Doublet","other",139,0,1,0,0.994764326318313,140,0.992857142857143,0.496428567882653,"AddModuleScore","MANNE_DN",FALSE,"youden_dual"
"Classical-Monocytes","Eryth","other",10,0,1,0,0.540805204806492,11,0.909090909090909,0.454545413223144,"AddModuleScore","MANNE_DN",FALSE,"youden_dual"
"Classical-Monocytes","HSPC","other",0,0,1,0,-0.400937213173053,1,0,0,"AddModuleScore","MANNE_DN",FALSE,"youden_dual"
"Classical-Monocytes","Platelet","other",42,0,20,0,2.33598445242623,62,0.67741935483871,0.338709671956296,"AddModuleScore","MANNE_DN",FALSE,"youden_dual"
"Classical-Monocytes","cDC1","DC",0,0,3,0,2.61328114785117,3,0,0,"AddModuleScore","MANNE_DN",FALSE,"youden_dual"
"Classical-Monocytes","cDC2_1","DC",151,0,14,0,1.96933566164338,165,0.915151515151515,0.457575754802571,"AddModuleScore","MANNE_DN",FALSE,"youden_dual"
"Classical-Monocytes","cDC2_2","DC",21,0,23,0,2.14483088676132,44,0.477272727272727,0.23863635821281,"AddModuleScore","MANNE_DN",FALSE,"youden_dual"
"Classical-Monocytes","pDC","DC",0,0,5,0,2.46196651629333,5,0,0,"AddModuleScore","MANNE_DN",FALSE,"youden_dual"
"DCs","ASDC_mDC","DC",0,0,0,1,2.5942046905104,1,1,0.4999995000005,"AddModuleScore","MANNE_DN",FALSE,"youden_dual"
"DCs","CD14 Mono","Mono",102,9,6,0,0.867950291284775,117,0.871794871794872,0.472222217849794,"AddModuleScore","MANNE_DN",FALSE,"youden_dual"
"DCs","CD16 Mono","Mono",64,5,1,0,0.605666664707848,70,0.914285714285714,0.492307684733728,"AddModuleScore","MANNE_DN",FALSE,"youden_dual"
"DCs","CD4 CTL","CD4 T",0,0,3,2,-0.837555099821541,5,0.4,0.499999750000125,"AddModuleScore","MANNE_DN",FALSE,"youden_dual"
"DCs","CD4 Naive","CD4 T",0,0,19,21,-0.599195039724534,40,0.525,0.499999976190477,"AddModuleScore","MANNE_DN",FALSE,"youden_dual"
"DCs","CD4 TCM_1","CD4 T",0,0,14,15,-0.497642986438159,29,0.517241379310345,0.499999966666669,"AddModuleScore","MANNE_DN",FALSE,"youden_dual"
"DCs","CD4 TCM_2","CD4 T",0,0,3,2,-0.994505858030652,5,0.4,0.499999750000125,"AddModuleScore","MANNE_DN",FALSE,"youden_dual"
"DCs","CD4 TCM_3","CD4 T",0,0,17,5,-0.644694014413392,22,0.227272727272727,0.49999990000002,"AddModuleScore","MANNE_DN",FALSE,"youden_dual"
"DCs","CD4 TEM_1","CD4 T",0,0,1,2,-0.626590229857407,3,0.666666666666667,0.499999750000125,"AddModuleScore","MANNE_DN",FALSE,"youden_dual"
"DCs","CD4 TEM_3","CD4 T",0,0,5,3,-0.664823555180082,8,0.375,0.499999833333389,"AddModuleScore","MANNE_DN",FALSE,"youden_dual"
"DCs","CD8 Naive","CD8 T",0,0,29,15,-0.62329142141051,44,0.340909090909091,0.499999966666669,"AddModuleScore","MANNE_DN",FALSE,"youden_dual"
"DCs","CD8 Naive_2","CD8 T",0,0,0,1,-0.456330662594896,1,1,0.4999995000005,"AddModuleScore","MANNE_DN",FALSE,"youden_dual"
"DCs","CD8 Proliferating","CD8 T",0,0,1,0,-1.00439335332748,1,0,0,"AddModuleScore","MANNE_DN",FALSE,"youden_dual"
"DCs","CD8 TCM_1","CD8 T",0,0,0,2,-0.530698270943001,2,1,0.499999750000125,"AddModuleScore","MANNE_DN",FALSE,"youden_dual"
"DCs","CD8 TCM_2","CD8 T",0,0,2,2,-0.501999856067857,4,0.5,0.499999750000125,"AddModuleScore","MANNE_DN",FALSE,"youden_dual"
"DCs","CD8 TCM_3","CD8 T",0,0,2,1,-0.492459915695713,3,0.333333333333333,0.4999995000005,"AddModuleScore","MANNE_DN",FALSE,"youden_dual"
"DCs","CD8 TEM_1","CD8 T",0,0,7,2,-0.729119958409316,9,0.222222222222222,0.499999750000125,"AddModuleScore","MANNE_DN",FALSE,"youden_dual"
"DCs","CD8 TEM_2","CD8 T",0,0,2,0,-0.9663631953234,2,0,0,"AddModuleScore","MANNE_DN",FALSE,"youden_dual"
"DCs","CD8 TEM_4","CD8 T",0,0,2,5,-0.877874559408696,7,0.714285714285714,0.49999990000002,"AddModuleScore","MANNE_DN",FALSE,"youden_dual"
"DCs","CD8 TEM_5","CD8 T",0,0,1,0,-1.16292976083138,1,0,0,"AddModuleScore","MANNE_DN",FALSE,"youden_dual"
"DCs","Doublet","other",14,0,2,1,1.07009088199393,17,0.882352941176471,0.937499472656752,"AddModuleScore","MANNE_DN",FALSE,"youden_dual"
"DCs","HSPC","other",0,0,1,0,0.296771587285421,1,0,0,"AddModuleScore","MANNE_DN",FALSE,"youden_dual"
"DCs","MAIT","other T",0,0,3,0,-0.530093488232931,3,0,0,"AddModuleScore","MANNE_DN",FALSE,"youden_dual"
"DCs","NK Proliferating","NK",0,0,1,0,-1.16075474384391,1,0,0,"AddModuleScore","MANNE_DN",FALSE,"youden_dual"
"DCs","NK_1","NK",0,0,0,1,-1.28413225518876,1,1,0.4999995000005,"AddModuleScore","MANNE_DN",FALSE,"youden_dual"
"DCs","NK_2","NK",0,0,1,0,-1.01718677727544,1,0,0,"AddModuleScore","MANNE_DN",FALSE,"youden_dual"
"DCs","NK_CD56bright","NK",0,0,0,1,-0.514603800394219,1,1,0.4999995000005,"AddModuleScore","MANNE_DN",FALSE,"youden_dual"
"DCs","Platelet","other",8,1,12,1,2.02141140332442,22,0.409090909090909,0.449999865000063,"AddModuleScore","MANNE_DN",FALSE,"youden_dual"
"DCs","Treg Memory","CD4 T",0,0,2,0,-0.703728267474204,2,0,0,"AddModuleScore","MANNE_DN",FALSE,"youden_dual"
"DCs","Treg Naive","CD4 T",0,0,3,1,-0.517993487371274,4,0.25,0.4999995000005,"AddModuleScore","MANNE_DN",FALSE,"youden_dual"
"DCs","cDC2_1","DC",10,0,6,0,1.82610429716745,16,0.625,0.312499980468751,"AddModuleScore","MANNE_DN",FALSE,"youden_dual"
"DCs","cDC2_2","DC",23,10,15,3,2.08736758363261,51,0.509803921568627,0.418016177492256,"AddModuleScore","MANNE_DN",FALSE,"youden_dual"
"DCs","gdT_1","other T",0,0,1,0,-0.405075368491929,1,0,0,"AddModuleScore","MANNE_DN",FALSE,"youden_dual"
"DCs","gdT_2","other T",0,0,0,2,-0.841463682677912,2,1,0.499999750000125,"AddModuleScore","MANNE_DN",FALSE,"youden_dual"
"DCs","gdT_3","other T",0,0,0,1,-0.642773283031416,1,1,0.4999995000005,"AddModuleScore","MANNE_DN",FALSE,"youden_dual"
"DCs","gdT_4","other T",0,0,1,0,-1.03833253538172,1,0,0,"AddModuleScore","MANNE_DN",FALSE,"youden_dual"
"DCs","pDC","DC",2,0,1,0,3.24434855149727,3,0.666666666666667,0.333333222222259,"AddModuleScore","MANNE_DN",FALSE,"youden_dual"
"Early-NK-cells","CD16 Mono","Mono",1,5,0,0,0.770086291851883,6,0.166666666666667,0.4999995000005,"AddModuleScore","MANNE_DN",FALSE,"youden_dual"
"Early-NK-cells","CD4 Naive","CD4 T",0,0,0,1,-0.147988374557843,1,1,0.4999995000005,"AddModuleScore","MANNE_DN",FALSE,"youden_dual"
"Early-NK-cells","CD4 TCM_1","CD4 T",0,0,0,1,-1.01016991937608,1,1,0.4999995000005,"AddModuleScore","MANNE_DN",FALSE,"youden_dual"
"Early-NK-cells","CD8 TEM_1","CD8 T",0,0,1,0,-0.336815104395993,1,0,0,"AddModuleScore","MANNE_DN",FALSE,"youden_dual"
"Early-NK-cells","CD8 TEM_2","CD8 T",0,0,0,2,-0.853859938373017,2,1,0.499999750000125,"AddModuleScore","MANNE_DN",FALSE,"youden_dual"
"Early-NK-cells","CD8 TEM_4","CD8 T",0,0,0,5,-0.82750088302382,5,1,0.49999990000002,"AddModuleScore","MANNE_DN",FALSE,"youden_dual"
"Early-NK-cells","CD8 TEM_5","CD8 T",0,0,1,16,-1.08418104274695,17,0.941176470588235,0.499999968750002,"AddModuleScore","MANNE_DN",FALSE,"youden_dual"
"Early-NK-cells","NK Proliferating","NK",0,0,0,30,-1.13670810115348,30,1,0.499999983333334,"AddModuleScore","MANNE_DN",FALSE,"youden_dual"
"Early-NK-cells","NK_1","NK",0,24,12,696,-1.08197772335408,732,0.950819672131147,0.483333332662037,"AddModuleScore","MANNE_DN",FALSE,"youden_dual"
"Early-NK-cells","NK_2","NK",1,8,3,276,-1.09631444182904,288,0.961805555555556,0.610915459996784,"AddModuleScore","MANNE_DN",FALSE,"youden_dual"
"Early-NK-cells","NK_3","NK",0,1,1,38,-0.975295470385121,40,0.95,0.487179474687706,"AddModuleScore","MANNE_DN",FALSE,"youden_dual"
"Early-NK-cells","NK_4","NK",0,3,0,16,-0.845395743968186,19,0.842105263157895,0.421052609418284,"AddModuleScore","MANNE_DN",FALSE,"youden_dual"
"Early-NK-cells","NK_CD56bright","NK",0,0,0,1,-0.18078265450676,1,1,0.4999995000005,"AddModuleScore","MANNE_DN",FALSE,"youden_dual"
"Early-NK-cells","cDC2_2","DC",0,0,0,1,1.84868912267921,1,1,0.4999995000005,"AddModuleScore","MANNE_DN",FALSE,"youden_dual"
"Early-NK-cells","gdT_2","other T",0,0,0,1,-2.05953588341269,1,1,0.4999995000005,"AddModuleScore","MANNE_DN",FALSE,"youden_dual"
"Early-NK-cells","pDC","DC",0,0,0,1,3.29149415228048,1,1,0.4999995000005,"AddModuleScore","MANNE_DN",FALSE,"youden_dual"
"Intermediate-Monocytes","CD14 Mono","Mono",600,16,13,0,0.815414136525057,629,0.95389507154213,0.489396410294622,"AddModuleScore","MANNE_DN",FALSE,"youden_dual"
"Intermediate-Monocytes","CD16 Mono","Mono",2095,32,12,1,0.753264172659092,2140,0.979439252336449,0.512303863768243,"AddModuleScore","MANNE_DN",FALSE,"youden_dual"
"Intermediate-Monocytes","Doublet","other",130,0,0,0,0.993318676210166,130,1,0.499999996153846,"AddModuleScore","MANNE_DN",FALSE,"youden_dual"
"Intermediate-Monocytes","Platelet","other",3,0,1,0,1.49868016205105,4,0.75,0.374999906250023,"AddModuleScore","MANNE_DN",FALSE,"youden_dual"
"Late-NK-cells","ASDC_mDC","DC",0,2,0,15,2.38777007171583,17,0.882352941176471,0.44117644463668,"AddModuleScore","MANNE_DN",FALSE,"youden_dual"
"Late-NK-cells","ASDC_pDC","DC",0,1,3,6,2.56473606987629,10,0.6,0.428571367346948,"AddModuleScore","MANNE_DN",FALSE,"youden_dual"
"Late-NK-cells","B intermediate kappa","B",0,0,0,4,1.57025506733491,4,1,0.499999875000031,"AddModuleScore","MANNE_DN",FALSE,"youden_dual"
"Late-NK-cells","B intermediate lambda","B",0,0,0,2,0.962770912670949,2,1,0.499999750000125,"AddModuleScore","MANNE_DN",FALSE,"youden_dual"
"Late-NK-cells","B memory kappa","B",0,0,0,3,1.5163440927638,3,1,0.499999833333389,"AddModuleScore","MANNE_DN",FALSE,"youden_dual"
"Late-NK-cells","B memory lambda","B",0,0,0,1,0.53030692729054,1,1,0.4999995000005,"AddModuleScore","MANNE_DN",FALSE,"youden_dual"
"Late-NK-cells","B naive kappa","B",0,0,0,1,1.33302383143565,1,1,0.4999995000005,"AddModuleScore","MANNE_DN",FALSE,"youden_dual"
"Late-NK-cells","CD14 Mono","Mono",2,4,0,0,1.00910854699648,6,0.333333333333333,0.499999750000125,"AddModuleScore","MANNE_DN",FALSE,"youden_dual"
"Late-NK-cells","CD16 Mono","Mono",621,724,14,21,0.44304486088844,1380,0.465217391304348,0.50307033689534,"AddModuleScore","MANNE_DN",FALSE,"youden_dual"
"Late-NK-cells","CD4 CTL","CD4 T",0,0,0,2,-1.05417434465409,2,1,0.499999750000125,"AddModuleScore","MANNE_DN",FALSE,"youden_dual"
"Late-NK-cells","CD4 Naive","CD4 T",0,0,0,84,-0.526289388238725,84,1,0.499999994047619,"AddModuleScore","MANNE_DN",FALSE,"youden_dual"
"Late-NK-cells","CD4 Proliferating","CD4 T",0,0,0,1,-0.640879412200634,1,1,0.4999995000005,"AddModuleScore","MANNE_DN",FALSE,"youden_dual"
"Late-NK-cells","CD4 TCM_1","CD4 T",0,0,0,5,-0.692646410342432,5,1,0.49999990000002,"AddModuleScore","MANNE_DN",FALSE,"youden_dual"
"Late-NK-cells","CD4 TEM_2","CD4 T",0,0,0,1,-0.573984727755726,1,1,0.4999995000005,"AddModuleScore","MANNE_DN",FALSE,"youden_dual"
"Late-NK-cells","CD8 Naive","CD8 T",0,0,1,258,-0.598497030849814,259,0.996138996138996,0.499999998062016,"AddModuleScore","MANNE_DN",FALSE,"youden_dual"
"Late-NK-cells","CD8 Naive_2","CD8 T",0,0,1,2,-0.779967872630821,3,0.666666666666667,0.499999750000125,"AddModuleScore","MANNE_DN",FALSE,"youden_dual"
"Late-NK-cells","CD8 Proliferating","CD8 T",0,0,0,2,-1.307701177811,2,1,0.499999750000125,"AddModuleScore","MANNE_DN",FALSE,"youden_dual"
"Late-NK-cells","CD8 TCM_1","CD8 T",0,0,0,5,-0.814657862667367,5,1,0.49999990000002,"AddModuleScore","MANNE_DN",FALSE,"youden_dual"
"Late-NK-cells","CD8 TCM_2","CD8 T",0,0,0,9,-0.939781717495732,9,1,0.499999944444451,"AddModuleScore","MANNE_DN",FALSE,"youden_dual"
"Late-NK-cells","CD8 TEM_1","CD8 T",0,1,0,36,-0.575478165259406,37,0.972972972972973,0.486486473338203,"AddModuleScore","MANNE_DN",FALSE,"youden_dual"
"Late-NK-cells","CD8 TEM_2","CD8 T",0,3,0,71,-0.895694026346455,74,0.959459459459459,0.479729723246896,"AddModuleScore","MANNE_DN",FALSE,"youden_dual"
"Late-NK-cells","CD8 TEM_3","CD8 T",0,0,0,9,-0.492844130263253,9,1,0.499999944444451,"AddModuleScore","MANNE_DN",FALSE,"youden_dual"
"Late-NK-cells","CD8 TEM_4","CD8 T",0,2,1,37,-0.931728497675095,40,0.925,0.474358962195924,"AddModuleScore","MANNE_DN",FALSE,"youden_dual"
"Late-NK-cells","CD8 TEM_5","CD8 T",0,2,2,48,-1.06290298963912,52,0.923076923076923,0.4799999904,"AddModuleScore","MANNE_DN",FALSE,"youden_dual"
