"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,1,0,27,1.57125666196575,28,0.964285714285714,0.48214283992347,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_dual"
"B-cells","B intermediate lambda",0,5,0,137,1.45798181283295,142,0.964788732394366,0.48239436280004,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_dual"
"B-cells","B memory kappa",0,0,0,35,1.02282612195053,35,1,0.499999985714286,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_dual"
"B-cells","B memory lambda",0,0,0,30,1.04086755500582,30,1,0.499999983333334,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_dual"
"B-cells","B naive kappa",0,0,1,204,1.81275037110282,205,0.995121951219512,0.49999999754902,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_dual"
"B-cells","B naive lambda",0,0,0,15,1.89752293469196,15,1,0.499999966666669,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_dual"
"B-cells","Plasma",0,1,0,1,0.329130696729423,2,0.5,0.249999875000062,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_dual"
"Classical-Monocytes","CD14 Mono",23793,144,1775,5,0.560295922148169,25717,0.925380098767352,0.482067165411693,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_dual"
"Classical-Monocytes","CD16 Mono",282,6,5,0,0.790372456077313,293,0.962457337883959,0.491289196894463,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_dual"
"Classical-Monocytes","Doublet",106,0,3,0,0.874651725865368,109,0.972477064220184,0.486238527649188,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_dual"
"Classical-Monocytes","HSPC",0,0,1,0,-0.25230420001256,1,0,0,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_dual"
"Classical-Monocytes","Platelet",49,0,10,0,5.07225669550511,59,0.830508474576271,0.415254230249928,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_dual"
"Classical-Monocytes","cDC1",1,0,1,0,2.18412874483043,2,0.5,0.249999875000062,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_dual"
"Classical-Monocytes","cDC2_1",85,0,2,0,1.64603168015774,87,0.977011494252874,0.488505741511428,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_dual"
"Classical-Monocytes","cDC2_2",19,0,6,0,1.89023808162552,25,0.76,0.379999984800001,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_dual"
"Classical-Monocytes","pDC",0,0,5,0,3.59899989818499,5,0,0,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_dual"
"DCs","ASDC_mDC",0,1,0,0,2.11968588311921,1,0,0,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_dual"
"DCs","CD14 Mono",81,8,4,1,0.64760694951336,94,0.872340425531915,0.532026132012475,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_dual"
"DCs","CD16 Mono",47,3,4,0,0.411740839421064,54,0.87037037037037,0.460784304690504,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_dual"
"DCs","CD4 CTL",0,0,0,2,-0.620054649624573,2,1,0.499999750000125,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_dual"
"DCs","CD4 Naive",0,0,12,16,-0.5117990685339,28,0.571428571428571,0.499999968750002,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_dual"
