"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,28,0,0,1.57125666196575,28,0,0,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"B-cells","B intermediate lambda",0,142,0,0,1.45798181283295,142,0,0,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"B-cells","B memory kappa",0,35,0,0,1.02282612195053,35,0,0,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"B-cells","B memory lambda",0,30,0,0,1.04086755500582,30,0,0,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"B-cells","B naive kappa",1,204,0,0,1.81275037110282,205,0.0048780487804878,0.4999995000005,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"B-cells","B naive lambda",0,15,0,0,1.89752293469196,15,0,0,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"B-cells","Plasma",0,2,0,0,0.329130696729423,2,0,0,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","CD14 Mono",23798,144,1770,5,0.560295922148169,25717,0.925574522689272,0.48216494388478,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","CD16 Mono",282,6,5,0,0.790372456077313,293,0.962457337883959,0.491289196894463,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","Doublet",106,0,3,0,0.874651725865368,109,0.972477064220184,0.486238527649188,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","HSPC",0,0,1,0,-0.25230420001256,1,0,0,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","Platelet",59,0,0,0,5.07225669550511,59,1,0.499999991525424,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","cDC1",2,0,0,0,2.18412874483043,2,1,0.499999750000125,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","cDC2_1",87,0,0,0,1.64603168015774,87,1,0.499999994252874,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","cDC2_2",25,0,0,0,1.89023808162552,25,1,0.499999980000001,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","pDC",5,0,0,0,3.59899989818499,5,1,0.49999990000002,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"DCs","ASDC_mDC",0,1,0,0,2.11968588311921,1,0,0,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"DCs","CD14 Mono",81,8,4,1,0.64760694951336,94,0.872340425531915,0.532026132012475,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"DCs","CD16 Mono",47,3,4,0,0.411740839421064,54,0.87037037037037,0.460784304690504,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"DCs","CD4 CTL",0,0,0,2,-0.620054649624573,2,1,0.499999750000125,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"DCs","CD4 Naive",0,0,12,16,-0.5117990685339,28,0.571428571428571,0.499999968750002,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"DCs","CD4 TCM_1",0,0,9,11,-0.438901699115594,20,0.55,0.499999954545459,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"DCs","CD4 TCM_2",0,0,5,5,-0.933741724879194,10,0.5,0.49999990000002,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"DCs","CD4 TCM_3",0,0,13,4,-0.560282537997819,17,0.235294117647059,0.499999875000031,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"DCs","CD4 TEM_1",0,0,1,1,-0.47857304990495,2,0.5,0.4999995000005,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"DCs","CD4 TEM_3",0,0,5,2,-0.548893548945248,7,0.285714285714286,0.499999750000125,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"DCs","CD8 Naive",0,1,22,13,-0.483836796782314,36,0.361111111111111,0.464285681122451,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
"DCs","CD8 Naive_2",0,0,1,1,-0.671512646532389,2,0.5,0.4999995000005,"AddModuleScore","MANNE_DN",TRUE,"gmm_dist_platelet"
