"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,2,0,34,1.42730114911875,36,0.944444444444444,0.472222209104939,"UCell","MANNE_DN",FALSE,"gmm_dist_dual"
"B-cells","B intermediate lambda",0,21,0,145,1.33027256515826,166,0.873493975903614,0.436746985320801,"UCell","MANNE_DN",FALSE,"gmm_dist_dual"
"B-cells","B memory kappa",0,1,1,43,1.08883774300809,45,0.955555555555556,0.488636352530992,"UCell","MANNE_DN",FALSE,"gmm_dist_dual"
"B-cells","B memory lambda",0,0,0,34,1.1993652067227,34,1,0.499999985294118,"UCell","MANNE_DN",FALSE,"gmm_dist_dual"
"B-cells","B naive kappa",0,3,1,244,1.44829196513616,248,0.983870967741935,0.493927123506368,"UCell","MANNE_DN",FALSE,"gmm_dist_dual"
"B-cells","B naive lambda",0,0,0,20,1.25090496135164,20,1,0.499999975000001,"UCell","MANNE_DN",FALSE,"gmm_dist_dual"
"B-cells","Plasma",0,0,0,1,0.549176751986877,1,1,0.4999995000005,"UCell","MANNE_DN",FALSE,"gmm_dist_dual"
"Classical-Monocytes","CD14 Mono",32226,184,904,3,0.873222997163021,33317,0.967343998559294,0.494378166652404,"UCell","MANNE_DN",FALSE,"gmm_dist_dual"
"Classical-Monocytes","CD16 Mono",483,6,3,0,1.21281649637566,492,0.981707317073171,0.496913579224458,"UCell","MANNE_DN",FALSE,"gmm_dist_dual"
"Classical-Monocytes","Doublet",137,0,3,0,1.05395384125228,140,0.978571428571429,0.489285710790816,"UCell","MANNE_DN",FALSE,"gmm_dist_dual"
"Classical-Monocytes","Eryth",9,0,2,0,0.491956006421891,11,0.818181818181818,0.40909087190083,"UCell","MANNE_DN",FALSE,"gmm_dist_dual"
"Classical-Monocytes","HSPC",0,0,1,0,-0.553185247625527,1,0,0,"UCell","MANNE_DN",FALSE,"gmm_dist_dual"
"Classical-Monocytes","Platelet",34,0,28,0,1.67062339494526,62,0.548387096774194,0.27419354396462,"UCell","MANNE_DN",FALSE,"gmm_dist_dual"
"Classical-Monocytes","cDC1",3,0,0,0,2.07075160065094,3,1,0.499999833333389,"UCell","MANNE_DN",FALSE,"gmm_dist_dual"
"Classical-Monocytes","cDC2_1",165,0,0,0,1.88676749793529,165,1,0.499999996969697,"UCell","MANNE_DN",FALSE,"gmm_dist_dual"
"Classical-Monocytes","cDC2_2",44,0,0,0,1.75606671626852,44,1,0.499999988636364,"UCell","MANNE_DN",FALSE,"gmm_dist_dual"
"Classical-Monocytes","pDC",4,0,1,0,2.5746933475185,5,0.8,0.399999920000016,"UCell","MANNE_DN",FALSE,"gmm_dist_dual"
"DCs","ASDC_mDC",0,1,0,0,2.05231462496234,1,0,0,"UCell","MANNE_DN",FALSE,"gmm_dist_dual"
"DCs","CD14 Mono",105,8,3,1,0.865198051952724,117,0.905982905982906,0.541666655992799,"UCell","MANNE_DN",FALSE,"gmm_dist_dual"
"DCs","CD16 Mono",63,5,2,0,0.559206660071841,70,0.9,0.484615377159763,"UCell","MANNE_DN",FALSE,"gmm_dist_dual"
"DCs","CD4 CTL",0,0,3,2,-0.749807981748996,5,0.4,0.499999750000125,"UCell","MANNE_DN",FALSE,"gmm_dist_dual"
"DCs","CD4 Naive",0,0,19,21,-0.676465185020042,40,0.525,0.499999976190477,"UCell","MANNE_DN",FALSE,"gmm_dist_dual"
"DCs","CD4 TCM_1",0,0,14,15,-0.556562346304335,29,0.517241379310345,0.499999966666669,"UCell","MANNE_DN",FALSE,"gmm_dist_dual"
