"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,0,0,36,1.42730114911875,36,1,0.499999986111112,"UCell","MANNE_DN",FALSE,"kmeans"
"B-cells","B intermediate lambda",0,3,0,163,1.33027256515826,166,0.981927710843373,0.490963852464073,"UCell","MANNE_DN",FALSE,"kmeans"
"B-cells","B memory kappa",0,0,1,44,1.08883774300809,45,0.977777777777778,0.499999988636364,"UCell","MANNE_DN",FALSE,"kmeans"
"B-cells","B memory lambda",0,0,0,34,1.1993652067227,34,1,0.499999985294118,"UCell","MANNE_DN",FALSE,"kmeans"
"B-cells","B naive kappa",0,0,1,247,1.44829196513616,248,0.995967741935484,0.499999997975708,"UCell","MANNE_DN",FALSE,"kmeans"
"B-cells","B naive lambda",0,0,0,20,1.25090496135164,20,1,0.499999975000001,"UCell","MANNE_DN",FALSE,"kmeans"
"B-cells","Plasma",0,0,0,1,0.549176751986877,1,1,0.4999995000005,"UCell","MANNE_DN",FALSE,"kmeans"
"Classical-Monocytes","CD14 Mono",31148,174,1982,13,0.873222997163021,33317,0.935288291262719,0.504846892045841,"UCell","MANNE_DN",FALSE,"kmeans"
"Classical-Monocytes","CD16 Mono",470,6,16,0,1.21281649637566,492,0.955284552845528,0.483539093655269,"UCell","MANNE_DN",FALSE,"kmeans"
"Classical-Monocytes","Doublet",133,0,7,0,1.05395384125228,140,0.95,0.474999996607143,"UCell","MANNE_DN",FALSE,"kmeans"
"Classical-Monocytes","Eryth",10,0,1,0,0.491956006421891,11,0.909090909090909,0.454545413223144,"UCell","MANNE_DN",FALSE,"kmeans"
"Classical-Monocytes","HSPC",0,0,1,0,-0.553185247625527,1,0,0,"UCell","MANNE_DN",FALSE,"kmeans"
"Classical-Monocytes","Platelet",9,0,53,0,1.67062339494526,62,0.145161290322581,0.0725806439906348,"UCell","MANNE_DN",FALSE,"kmeans"
"Classical-Monocytes","cDC1",0,0,3,0,2.07075160065094,3,0,0,"UCell","MANNE_DN",FALSE,"kmeans"
"Classical-Monocytes","cDC2_1",108,0,57,0,1.88676749793529,165,0.654545454545455,0.327272725289256,"UCell","MANNE_DN",FALSE,"kmeans"
"Classical-Monocytes","cDC2_2",14,0,30,0,1.75606671626852,44,0.318181818181818,0.159090905475207,"UCell","MANNE_DN",FALSE,"kmeans"
"Classical-Monocytes","pDC",0,0,5,0,2.5746933475185,5,0,0,"UCell","MANNE_DN",FALSE,"kmeans"
"DCs","ASDC_mDC",0,1,0,0,2.05231462496234,1,0,0,"UCell","MANNE_DN",FALSE,"kmeans"
"DCs","CD14 Mono",91,8,17,1,0.865198051952724,117,0.786324786324786,0.476851841778121,"UCell","MANNE_DN",FALSE,"kmeans"
"DCs","CD16 Mono",51,5,14,0,0.559206660071841,70,0.728571428571429,0.392307686272189,"UCell","MANNE_DN",FALSE,"kmeans"
"DCs","CD4 CTL",0,0,3,2,-0.749807981748996,5,0.4,0.499999750000125,"UCell","MANNE_DN",FALSE,"kmeans"
"DCs","CD4 Naive",0,0,19,21,-0.676465185020042,40,0.525,0.499999976190477,"UCell","MANNE_DN",FALSE,"kmeans"
"DCs","CD4 TCM_1",0,0,14,15,-0.556562346304335,29,0.517241379310345,0.499999966666669,"UCell","MANNE_DN",FALSE,"kmeans"
"DCs","CD4 TCM_2",0,0,3,2,-0.775139371465738,5,0.4,0.499999750000125,"UCell","MANNE_DN",FALSE,"kmeans"
"DCs","CD4 TCM_3",0,0,17,5,-0.691384142791281,22,0.227272727272727,0.49999990000002,"UCell","MANNE_DN",FALSE,"kmeans"
"DCs","CD4 TEM_1",0,0,1,2,-0.661912660218493,3,0.666666666666667,0.499999750000125,"UCell","MANNE_DN",FALSE,"kmeans"
"DCs","CD4 TEM_3",0,0,5,3,-0.631533936973788,8,0.375,0.499999833333389,"UCell","MANNE_DN",FALSE,"kmeans"
"DCs","CD8 Naive",0,0,29,15,-0.679950603781057,44,0.340909090909091,0.499999966666669,"UCell","MANNE_DN",FALSE,"kmeans"
"DCs","CD8 Naive_2",0,0,0,1,-1.0201312575884,1,1,0.4999995000005,"UCell","MANNE_DN",FALSE,"kmeans"
"DCs","CD8 Proliferating",0,0,1,0,-0.821519359849358,1,0,0,"UCell","MANNE_DN",FALSE,"kmeans"
"DCs","CD8 TCM_1",0,0,0,2,-0.635238246768106,2,1,0.499999750000125,"UCell","MANNE_DN",FALSE,"kmeans"
"DCs","CD8 TCM_2",0,0,2,2,-0.511270728583004,4,0.5,0.499999750000125,"UCell","MANNE_DN",FALSE,"kmeans"
"DCs","CD8 TCM_3",0,0,2,1,-0.613807376862177,3,0.333333333333333,0.4999995000005,"UCell","MANNE_DN",FALSE,"kmeans"
"DCs","CD8 TEM_1",0,0,7,2,-0.631860953667961,9,0.222222222222222,0.499999750000125,"UCell","MANNE_DN",FALSE,"kmeans"
"DCs","CD8 TEM_2",0,0,2,0,-0.815734547293853,2,0,0,"UCell","MANNE_DN",FALSE,"kmeans"
"DCs","CD8 TEM_4",0,0,2,5,-0.68936756425177,7,0.714285714285714,0.49999990000002,"UCell","MANNE_DN",FALSE,"kmeans"
"DCs","CD8 TEM_5",0,0,1,0,-0.924225154694486,1,0,0,"UCell","MANNE_DN",FALSE,"kmeans"
"DCs","Doublet",13,0,3,1,0.900271293990876,17,0.823529411764706,0.906249474609877,"UCell","MANNE_DN",FALSE,"kmeans"
"DCs","HSPC",0,0,1,0,-0.169865299868572,1,0,0,"UCell","MANNE_DN",FALSE,"kmeans"
"DCs","MAIT",0,0,3,0,-0.600343310212522,3,0,0,"UCell","MANNE_DN",FALSE,"kmeans"
"DCs","NK Proliferating",0,0,1,0,-0.546284067734753,1,0,0,"UCell","MANNE_DN",FALSE,"kmeans"
"DCs","NK_1",0,0,0,1,-0.994150345058408,1,1,0.4999995000005,"UCell","MANNE_DN",FALSE,"kmeans"
"DCs","NK_2",0,0,1,0,-0.861810071858758,1,0,0,"UCell","MANNE_DN",FALSE,"kmeans"
"DCs","NK_CD56bright",0,0,0,1,-0.346961754418719,1,1,0.4999995000005,"UCell","MANNE_DN",FALSE,"kmeans"
"DCs","Platelet",0,0,20,2,1.44957775185443,22,0.0909090909090909,0.499999750000125,"UCell","MANNE_DN",FALSE,"kmeans"
"DCs","Treg Memory",0,0,2,0,-0.61458545106555,2,0,0,"UCell","MANNE_DN",FALSE,"kmeans"
"DCs","Treg Naive",0,0,3,1,-0.605527652458904,4,0.25,0.4999995000005,"UCell","MANNE_DN",FALSE,"kmeans"
"DCs","cDC2_1",7,0,9,0,1.75254462345662,16,0.4375,0.218749986328126,"UCell","MANNE_DN",FALSE,"kmeans"
"DCs","cDC2_2",12,4,26,9,1.76165913591185,51,0.411764705882353,0.50404855221361,"UCell","MANNE_DN",FALSE,"kmeans"
"DCs","gdT_1",0,0,1,0,-0.366548926755782,1,0,0,"UCell","MANNE_DN",FALSE,"kmeans"
"DCs","gdT_2",0,0,0,2,-0.660559487690892,2,1,0.499999750000125,"UCell","MANNE_DN",FALSE,"kmeans"
"DCs","gdT_3",0,0,0,1,-0.502948717538243,1,1,0.4999995000005,"UCell","MANNE_DN",FALSE,"kmeans"
"DCs","gdT_4",0,0,1,0,-0.762656354898594,1,0,0,"UCell","MANNE_DN",FALSE,"kmeans"
"DCs","pDC",0,0,3,0,3.13718686965547,3,0,0,"UCell","MANNE_DN",FALSE,"kmeans"
"Early-NK-cells","CD16 Mono",1,4,0,1,0.630400932956298,6,0.333333333333333,0.599999480000504,"UCell","MANNE_DN",FALSE,"kmeans"
"Early-NK-cells","CD4 Naive",0,0,0,1,-0.529437069766088,1,1,0.4999995000005,"UCell","MANNE_DN",FALSE,"kmeans"
"Early-NK-cells","CD4 TCM_1",0,0,0,1,-0.86424578240845,1,1,0.4999995000005,"UCell","MANNE_DN",FALSE,"kmeans"
"Early-NK-cells","CD8 TEM_1",0,0,1,0,-0.340466526286217,1,0,0,"UCell","MANNE_DN",FALSE,"kmeans"
"Early-NK-cells","CD8 TEM_2",0,0,0,2,-3.60228890407511,2,1,0.499999750000125,"UCell","MANNE_DN",FALSE,"kmeans"
"Early-NK-cells","CD8 TEM_4",0,0,0,5,-0.662122401960272,5,1,0.49999990000002,"UCell","MANNE_DN",FALSE,"kmeans"
"Early-NK-cells","CD8 TEM_5",0,0,1,16,-0.888698405966087,17,0.941176470588235,0.499999968750002,"UCell","MANNE_DN",FALSE,"kmeans"
"Early-NK-cells","NK Proliferating",0,0,0,30,-0.809665568507549,30,1,0.499999983333334,"UCell","MANNE_DN",FALSE,"kmeans"
"Early-NK-cells","NK_1",0,0,12,720,-0.937390580603931,732,0.983606557377049,0.499999999305556,"UCell","MANNE_DN",FALSE,"kmeans"
"Early-NK-cells","NK_2",0,0,4,284,-0.848878112114489,288,0.986111111111111,0.499999998239437,"UCell","MANNE_DN",FALSE,"kmeans"
"Early-NK-cells","NK_3",0,0,1,39,-0.896110458235027,40,0.975,0.499999987179488,"UCell","MANNE_DN",FALSE,"kmeans"
"Early-NK-cells","NK_4",0,0,0,19,-0.705534669332036,19,1,0.499999973684212,"UCell","MANNE_DN",FALSE,"kmeans"
"Early-NK-cells","NK_CD56bright",0,0,0,1,0.158143720822582,1,1,0.4999995000005,"UCell","MANNE_DN",FALSE,"kmeans"
"Early-NK-cells","cDC2_2",0,0,0,1,1.42887421218209,1,1,0.4999995000005,"UCell","MANNE_DN",FALSE,"kmeans"
"Early-NK-cells","gdT_2",0,0,0,1,-1.23122617189459,1,1,0.4999995000005,"UCell","MANNE_DN",FALSE,"kmeans"
"Early-NK-cells","pDC",0,0,0,1,3.6107634250036,1,1,0.4999995000005,"UCell","MANNE_DN",FALSE,"kmeans"
"Intermediate-Monocytes","CD14 Mono",574,14,39,2,0.836191421710817,629,0.915739268680445,0.530689228608939,"UCell","MANNE_DN",FALSE,"kmeans"
"Intermediate-Monocytes","CD16 Mono",1973,29,134,4,0.751444586763996,2140,0.923831775700935,0.528807292529266,"UCell","MANNE_DN",FALSE,"kmeans"
"Intermediate-Monocytes","Doublet",123,0,7,0,0.83327350257889,130,0.946153846153846,0.47307691943787,"UCell","MANNE_DN",FALSE,"kmeans"
"Intermediate-Monocytes","Platelet",1,0,3,0,1.07749759340488,4,0.25,0.124999968750008,"UCell","MANNE_DN",FALSE,"kmeans"
"Late-NK-cells","ASDC_mDC",0,4,0,13,2.22170396598394,17,0.764705882352941,0.382352918685122,"UCell","MANNE_DN",FALSE,"kmeans"
"Late-NK-cells","ASDC_pDC",0,1,3,6,2.77016926792482,10,0.6,0.428571367346948,"UCell","MANNE_DN",FALSE,"kmeans"
"Late-NK-cells","B intermediate kappa",0,0,0,4,1.39393698898502,4,1,0.499999875000031,"UCell","MANNE_DN",FALSE,"kmeans"
"Late-NK-cells","B intermediate lambda",0,0,0,2,0.917425740717652,2,1,0.499999750000125,"UCell","MANNE_DN",FALSE,"kmeans"
"Late-NK-cells","B memory kappa",0,0,0,3,1.29183166444902,3,1,0.499999833333389,"UCell","MANNE_DN",FALSE,"kmeans"
"Late-NK-cells","B memory lambda",0,0,0,1,0.164638948955077,1,1,0.4999995000005,"UCell","MANNE_DN",FALSE,"kmeans"
"Late-NK-cells","B naive kappa",0,0,0,1,1.2372649822734,1,1,0.4999995000005,"UCell","MANNE_DN",FALSE,"kmeans"
"Late-NK-cells","CD14 Mono",1,3,1,1,0.908004276994211,6,0.333333333333333,0.37499984375007,"UCell","MANNE_DN",FALSE,"kmeans"
"Late-NK-cells","CD16 Mono",535,588,100,157,0.419867217539139,1380,0.501449275362319,0.526628969231627,"UCell","MANNE_DN",FALSE,"kmeans"
"Late-NK-cells","CD4 CTL",0,0,0,2,-0.830095090743048,2,1,0.499999750000125,"UCell","MANNE_DN",FALSE,"kmeans"
"Late-NK-cells","CD4 Naive",0,0,0,84,-0.617907972896721,84,1,0.499999994047619,"UCell","MANNE_DN",FALSE,"kmeans"
"Late-NK-cells","CD4 Proliferating",0,0,0,1,-0.41749587242006,1,1,0.4999995000005,"UCell","MANNE_DN",FALSE,"kmeans"
"Late-NK-cells","CD4 TCM_1",0,0,0,5,-0.704422575173164,5,1,0.49999990000002,"UCell","MANNE_DN",FALSE,"kmeans"
"Late-NK-cells","CD4 TEM_2",0,0,0,1,-0.986335773711494,1,1,0.4999995000005,"UCell","MANNE_DN",FALSE,"kmeans"
"Late-NK-cells","CD8 Naive",0,0,1,258,-0.686114856196274,259,0.996138996138996,0.499999998062016,"UCell","MANNE_DN",FALSE,"kmeans"
"Late-NK-cells","CD8 Naive_2",0,0,1,2,-0.721249275553919,3,0.666666666666667,0.499999750000125,"UCell","MANNE_DN",FALSE,"kmeans"
"Late-NK-cells","CD8 Proliferating",0,0,0,2,-0.732108485087939,2,1,0.499999750000125,"UCell","MANNE_DN",FALSE,"kmeans"
"Late-NK-cells","CD8 TCM_1",0,0,0,5,-0.806884798963324,5,1,0.49999990000002,"UCell","MANNE_DN",FALSE,"kmeans"
"Late-NK-cells","CD8 TCM_2",0,0,0,9,-0.85831437616245,9,1,0.499999944444451,"UCell","MANNE_DN",FALSE,"kmeans"
"Late-NK-cells","CD8 TEM_1",0,0,0,37,-0.532125128706053,37,1,0.499999986486487,"UCell","MANNE_DN",FALSE,"kmeans"
"Late-NK-cells","CD8 TEM_2",0,0,0,74,-0.894042092882825,74,1,0.499999993243243,"UCell","MANNE_DN",FALSE,"kmeans"
"Late-NK-cells","CD8 TEM_3",0,0,0,9,-0.490668676850236,9,1,0.499999944444451,"UCell","MANNE_DN",FALSE,"kmeans"
"Late-NK-cells","CD8 TEM_4",0,0,1,39,-0.904366502119069,40,0.975,0.499999987179488,"UCell","MANNE_DN",FALSE,"kmeans"
"Late-NK-cells","CD8 TEM_5",0,0,2,50,-0.983658053459759,52,0.961538461538462,0.49999999,"UCell","MANNE_DN",FALSE,"kmeans"
"Late-NK-cells","CD8 TEM_6",0,0,0,81,-0.616938467738551,81,1,0.499999993827161,"UCell","MANNE_DN",FALSE,"kmeans"
"Late-NK-cells","Doublet",16,0,1,0,0.778420097839755,17,0.941176470588235,0.470588207612458,"UCell","MANNE_DN",FALSE,"kmeans"
"Late-NK-cells","HSPC",0,0,1,30,-0.442566667298425,31,0.967741935483871,0.499999983333334,"UCell","MANNE_DN",FALSE,"kmeans"
"Late-NK-cells","ILC",0,0,1,89,-0.521940493963159,90,0.988888888888889,0.499999994382023,"UCell","MANNE_DN",FALSE,"kmeans"
"Late-NK-cells","MAIT",0,0,1,11,-0.567478132448345,12,0.916666666666667,0.499999954545459,"UCell","MANNE_DN",FALSE,"kmeans"
"Late-NK-cells","NK Proliferating",0,0,7,393,-0.863506442768678,400,0.9825,0.499999998727735,"UCell","MANNE_DN",FALSE,"kmeans"
"Late-NK-cells","NK_1",0,3,24,2684,-0.950091813741788,2711,0.990040575433419,0.499441756420007,"UCell","MANNE_DN",FALSE,"kmeans"
"Late-NK-cells","NK_2",0,10,87,8578,-0.877221895824577,8675,0.988818443804035,0.499417792210128,"UCell","MANNE_DN",FALSE,"kmeans"
"Late-NK-cells","NK_3",0,4,8,1892,-0.811198558759455,1904,0.993697478991597,0.498945147416168,"UCell","MANNE_DN",FALSE,"kmeans"
"Late-NK-cells","NK_4",0,3,11,1267,-0.77402284567935,1281,0.989071038251366,0.498818897245024,"UCell","MANNE_DN",FALSE,"kmeans"
"Late-NK-cells","NK_CD56bright",0,0,8,646,-0.533253264582464,654,0.987767584097859,0.499999999226006,"UCell","MANNE_DN",FALSE,"kmeans"
"Late-NK-cells","Platelet",0,0,8,2,0.142656661244156,10,0.2,0.499999750000125,"UCell","MANNE_DN",FALSE,"kmeans"
"Late-NK-cells","Treg Memory",0,0,0,4,-0.824132674293294,4,1,0.499999875000031,"UCell","MANNE_DN",FALSE,"kmeans"
"Late-NK-cells","Treg Naive",0,0,0,11,-0.339700753651278,11,1,0.499999954545459,"UCell","MANNE_DN",FALSE,"kmeans"
"Late-NK-cells","cDC1",0,0,7,2,2.03775674385287,9,0.222222222222222,0.499999750000125,"UCell","MANNE_DN",FALSE,"kmeans"
"Late-NK-cells","cDC2_1",2,0,1,1,1.20110990380149,4,0.75,0.833332722222759,"UCell","MANNE_DN",FALSE,"kmeans"
"Late-NK-cells","cDC2_2",21,43,30,70,1.57711776927818,164,0.554878048780488,0.515616859437591,"UCell","MANNE_DN",FALSE,"kmeans"
"Late-NK-cells","dnT_1",0,0,0,5,-0.593760125865728,5,1,0.49999990000002,"UCell","MANNE_DN",FALSE,"kmeans"
"Late-NK-cells","dnT_2",0,0,0,5,-0.654490508904587,5,1,0.49999990000002,"UCell","MANNE_DN",FALSE,"kmeans"
