"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,36,0,0,1.42730114911875,36,0,0,"UCell","MANNE_DN",FALSE,"youden"
"B-cells","B intermediate lambda",0,166,0,0,1.33027256515826,166,0,0,"UCell","MANNE_DN",FALSE,"youden"
"B-cells","B memory kappa",1,44,0,0,1.08883774300809,45,0.0222222222222222,0.4999995000005,"UCell","MANNE_DN",FALSE,"youden"
"B-cells","B memory lambda",0,34,0,0,1.1993652067227,34,0,0,"UCell","MANNE_DN",FALSE,"youden"
"B-cells","B naive kappa",1,247,0,0,1.44829196513616,248,0.00403225806451613,0.4999995000005,"UCell","MANNE_DN",FALSE,"youden"
"B-cells","B naive lambda",0,20,0,0,1.25090496135164,20,0,0,"UCell","MANNE_DN",FALSE,"youden"
"B-cells","Plasma",0,1,0,0,0.549176751986877,1,0,0,"UCell","MANNE_DN",FALSE,"youden"
"Classical-Monocytes","CD14 Mono",31442,178,1688,9,0.873222997163021,33317,0.943992556352613,0.498588771040354,"UCell","MANNE_DN",FALSE,"youden"
"Classical-Monocytes","CD16 Mono",484,6,2,0,1.21281649637566,492,0.983739837398374,0.497942385806703,"UCell","MANNE_DN",FALSE,"youden"
"Classical-Monocytes","Doublet",136,0,4,0,1.05395384125228,140,0.971428571428571,0.485714282244898,"UCell","MANNE_DN",FALSE,"youden"
"Classical-Monocytes","Eryth",9,0,2,0,0.491956006421891,11,0.818181818181818,0.40909087190083,"UCell","MANNE_DN",FALSE,"youden"
"Classical-Monocytes","HSPC",0,0,1,0,-0.553185247625527,1,0,0,"UCell","MANNE_DN",FALSE,"youden"
"Classical-Monocytes","Platelet",62,0,0,0,1.67062339494526,62,1,0.499999991935484,"UCell","MANNE_DN",FALSE,"youden"
"Classical-Monocytes","cDC1",3,0,0,0,2.07075160065094,3,1,0.499999833333389,"UCell","MANNE_DN",FALSE,"youden"
"Classical-Monocytes","cDC2_1",165,0,0,0,1.88676749793529,165,1,0.499999996969697,"UCell","MANNE_DN",FALSE,"youden"
"Classical-Monocytes","cDC2_2",44,0,0,0,1.75606671626852,44,1,0.499999988636364,"UCell","MANNE_DN",FALSE,"youden"
"Classical-Monocytes","pDC",5,0,0,0,2.5746933475185,5,1,0.49999990000002,"UCell","MANNE_DN",FALSE,"youden"
"DCs","ASDC_mDC",0,1,0,0,2.05231462496234,1,0,0,"UCell","MANNE_DN",FALSE,"youden"
"DCs","CD14 Mono",104,8,4,1,0.865198051952724,117,0.897435897435897,0.537037026406036,"UCell","MANNE_DN",FALSE,"youden"
"DCs","CD16 Mono",58,5,7,0,0.559206660071841,70,0.828571428571429,0.446153839289941,"UCell","MANNE_DN",FALSE,"youden"
"DCs","CD4 CTL",0,0,3,2,-0.749807981748996,5,0.4,0.499999750000125,"UCell","MANNE_DN",FALSE,"youden"
"DCs","CD4 Naive",0,0,19,21,-0.676465185020042,40,0.525,0.499999976190477,"UCell","MANNE_DN",FALSE,"youden"
"DCs","CD4 TCM_1",0,0,14,15,-0.556562346304335,29,0.517241379310345,0.499999966666669,"UCell","MANNE_DN",FALSE,"youden"
"DCs","CD4 TCM_2",0,0,3,2,-0.775139371465738,5,0.4,0.499999750000125,"UCell","MANNE_DN",FALSE,"youden"
"DCs","CD4 TCM_3",0,0,17,5,-0.691384142791281,22,0.227272727272727,0.49999990000002,"UCell","MANNE_DN",FALSE,"youden"
"DCs","CD4 TEM_1",0,0,1,2,-0.661912660218493,3,0.666666666666667,0.499999750000125,"UCell","MANNE_DN",FALSE,"youden"
"DCs","CD4 TEM_3",0,0,5,3,-0.631533936973788,8,0.375,0.499999833333389,"UCell","MANNE_DN",FALSE,"youden"
"DCs","CD8 Naive",0,1,29,14,-0.679950603781057,44,0.318181818181818,0.466666635555558,"UCell","MANNE_DN",FALSE,"youden"
"DCs","CD8 Naive_2",0,0,0,1,-1.0201312575884,1,1,0.4999995000005,"UCell","MANNE_DN",FALSE,"youden"
"DCs","CD8 Proliferating",0,0,1,0,-0.821519359849358,1,0,0,"UCell","MANNE_DN",FALSE,"youden"
"DCs","CD8 TCM_1",0,0,0,2,-0.635238246768106,2,1,0.499999750000125,"UCell","MANNE_DN",FALSE,"youden"
"DCs","CD8 TCM_2",0,1,2,1,-0.511270728583004,4,0.25,0.249999875000062,"UCell","MANNE_DN",FALSE,"youden"
"DCs","CD8 TCM_3",0,0,2,1,-0.613807376862177,3,0.333333333333333,0.4999995000005,"UCell","MANNE_DN",FALSE,"youden"
"DCs","CD8 TEM_1",0,0,7,2,-0.631860953667961,9,0.222222222222222,0.499999750000125,"UCell","MANNE_DN",FALSE,"youden"
"DCs","CD8 TEM_2",0,0,2,0,-0.815734547293853,2,0,0,"UCell","MANNE_DN",FALSE,"youden"
"DCs","CD8 TEM_4",0,0,2,5,-0.68936756425177,7,0.714285714285714,0.49999990000002,"UCell","MANNE_DN",FALSE,"youden"
"DCs","CD8 TEM_5",0,0,1,0,-0.924225154694486,1,0,0,"UCell","MANNE_DN",FALSE,"youden"
"DCs","Doublet",14,0,2,1,0.900271293990876,17,0.882352941176471,0.937499472656752,"UCell","MANNE_DN",FALSE,"youden"
"DCs","HSPC",0,0,1,0,-0.169865299868572,1,0,0,"UCell","MANNE_DN",FALSE,"youden"
"DCs","MAIT",0,0,3,0,-0.600343310212522,3,0,0,"UCell","MANNE_DN",FALSE,"youden"
"DCs","NK Proliferating",0,0,1,0,-0.546284067734753,1,0,0,"UCell","MANNE_DN",FALSE,"youden"
"DCs","NK_1",0,0,0,1,-0.994150345058408,1,1,0.4999995000005,"UCell","MANNE_DN",FALSE,"youden"
"DCs","NK_2",0,0,1,0,-0.861810071858758,1,0,0,"UCell","MANNE_DN",FALSE,"youden"
"DCs","NK_CD56bright",0,0,0,1,-0.346961754418719,1,1,0.4999995000005,"UCell","MANNE_DN",FALSE,"youden"
"DCs","Platelet",16,2,4,0,1.44957775185443,22,0.727272727272727,0.399999980000001,"UCell","MANNE_DN",FALSE,"youden"
"DCs","Treg Memory",0,0,2,0,-0.61458545106555,2,0,0,"UCell","MANNE_DN",FALSE,"youden"
"DCs","Treg Naive",0,0,3,1,-0.605527652458904,4,0.25,0.4999995000005,"UCell","MANNE_DN",FALSE,"youden"
"DCs","cDC2_1",16,0,0,0,1.75254462345662,16,1,0.499999968750002,"UCell","MANNE_DN",FALSE,"youden"
"DCs","cDC2_2",38,13,0,0,1.76165913591185,51,0.745098039215686,0.499999986842106,"UCell","MANNE_DN",FALSE,"youden"
"DCs","gdT_1",0,0,1,0,-0.366548926755782,1,0,0,"UCell","MANNE_DN",FALSE,"youden"
"DCs","gdT_2",0,1,0,1,-0.660559487690892,2,0.5,0.249999875000062,"UCell","MANNE_DN",FALSE,"youden"
"DCs","gdT_3",0,0,0,1,-0.502948717538243,1,1,0.4999995000005,"UCell","MANNE_DN",FALSE,"youden"
"DCs","gdT_4",0,0,1,0,-0.762656354898594,1,0,0,"UCell","MANNE_DN",FALSE,"youden"
