"celltype_clean","celltype.l3","celltype.l1","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa","B",0,0,0,36,1.48923522255651,36,1,0.499999986111112,"UCell","MANNE_DN",FALSE,"youden_dual"
"B-cells","B intermediate lambda","B",0,6,0,160,1.38736937850759,166,0.963855421686747,0.481927707940195,"UCell","MANNE_DN",FALSE,"youden_dual"
"B-cells","B memory kappa","B",0,0,1,44,1.13309710368446,45,0.977777777777778,0.499999988636364,"UCell","MANNE_DN",FALSE,"youden_dual"
"B-cells","B memory lambda","B",0,0,0,34,1.24926475172987,34,1,0.499999985294118,"UCell","MANNE_DN",FALSE,"youden_dual"
"B-cells","B naive kappa","B",0,0,1,247,1.5114932801865,248,0.995967741935484,0.499999997975708,"UCell","MANNE_DN",FALSE,"youden_dual"
"B-cells","B naive lambda","B",0,0,0,20,1.30369652839244,20,1,0.499999975000001,"UCell","MANNE_DN",FALSE,"youden_dual"
"B-cells","Plasma","B",0,0,0,1,0.565378730134952,1,1,0.4999995000005,"UCell","MANNE_DN",FALSE,"youden_dual"
"Classical-Monocytes","CD14 Mono","Mono",32383,184,747,3,0.906099296481158,33317,0.972056307590719,0.496747620319703,"UCell","MANNE_DN",FALSE,"youden_dual"
"Classical-Monocytes","CD16 Mono","Mono",484,6,2,0,1.26358718188418,492,0.983739837398374,0.497942385806703,"UCell","MANNE_DN",FALSE,"youden_dual"
"Classical-Monocytes","Doublet","other",139,0,1,0,1.09632176156061,140,0.992857142857143,0.496428567882653,"UCell","MANNE_DN",FALSE,"youden_dual"
"Classical-Monocytes","Eryth","other",9,0,2,0,0.504963329194388,11,0.818181818181818,0.40909087190083,"UCell","MANNE_DN",FALSE,"youden_dual"
"Classical-Monocytes","HSPC","other",0,0,1,0,-0.594838007489993,1,0,0,"UCell","MANNE_DN",FALSE,"youden_dual"
"Classical-Monocytes","Platelet","other",17,0,45,0,1.74560021546982,62,0.274193548387097,0.13709677198231,"UCell","MANNE_DN",FALSE,"youden_dual"
"Classical-Monocytes","cDC1","DC",2,0,1,0,2.1670024130917,3,0.666666666666667,0.333333222222259,"UCell","MANNE_DN",FALSE,"youden_dual"
"Classical-Monocytes","cDC2_1","DC",160,0,5,0,1.97297787348378,165,0.96969696969697,0.484848481910009,"UCell","MANNE_DN",FALSE,"youden_dual"
"Classical-Monocytes","cDC2_2","DC",34,0,10,0,1.83530734771759,44,0.772727272727273,0.386363627582645,"UCell","MANNE_DN",FALSE,"youden_dual"
"Classical-Monocytes","pDC","DC",1,0,4,0,2.69711127081904,5,0.2,0.099999980000004,"UCell","MANNE_DN",FALSE,"youden_dual"
"DCs","ASDC_mDC","DC",0,1,0,0,2.14757993729598,1,0,0,"UCell","MANNE_DN",FALSE,"youden_dual"
"DCs","CD14 Mono","Mono",103,8,5,1,0.897696331526743,117,0.888888888888889,0.532407396819274,"UCell","MANNE_DN",FALSE,"youden_dual"
"DCs","CD16 Mono","Mono",62,5,3,0,0.575648459669716,70,0.885714285714286,0.476923069585799,"UCell","MANNE_DN",FALSE,"youden_dual"
"DCs","CD4 CTL","CD4 T",0,0,3,2,-0.802227283904006,5,0.4,0.499999750000125,"UCell","MANNE_DN",FALSE,"youden_dual"
"DCs","CD4 Naive","CD4 T",0,0,19,21,-0.724654093763735,40,0.525,0.499999976190477,"UCell","MANNE_DN",FALSE,"youden_dual"
"DCs","CD4 TCM_1","CD4 T",0,0,14,15,-0.598638938691269,29,0.517241379310345,0.499999966666669,"UCell","MANNE_DN",FALSE,"youden_dual"
"DCs","CD4 TCM_2","CD4 T",0,0,3,2,-0.828741636182937,5,0.4,0.499999750000125,"UCell","MANNE_DN",FALSE,"youden_dual"
"DCs","CD4 TCM_3","CD4 T",0,0,17,5,-0.740579470988016,22,0.227272727272727,0.49999990000002,"UCell","MANNE_DN",FALSE,"youden_dual"
"DCs","CD4 TEM_1","CD4 T",0,0,1,2,-0.709448433469898,3,0.666666666666667,0.499999750000125,"UCell","MANNE_DN",FALSE,"youden_dual"
"DCs","CD4 TEM_3","CD4 T",0,0,5,3,-0.677534989295457,8,0.375,0.499999833333389,"UCell","MANNE_DN",FALSE,"youden_dual"
