"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,28,0,0,2.33197055505243,28,0,0,"UCell","MANNE_DN",TRUE,"gmm_dist_platelet"
"B-cells","B intermediate lambda",0,142,0,0,2.0302882393094,142,0,0,"UCell","MANNE_DN",TRUE,"gmm_dist_platelet"
"B-cells","B memory kappa",0,35,0,0,1.40234353595268,35,0,0,"UCell","MANNE_DN",TRUE,"gmm_dist_platelet"
"B-cells","B memory lambda",0,30,0,0,1.45158342318617,30,0,0,"UCell","MANNE_DN",TRUE,"gmm_dist_platelet"
"B-cells","B naive kappa",1,204,0,0,2.73022485632234,205,0.0048780487804878,0.4999995000005,"UCell","MANNE_DN",TRUE,"gmm_dist_platelet"
"B-cells","B naive lambda",0,15,0,0,2.67419752165276,15,0,0,"UCell","MANNE_DN",TRUE,"gmm_dist_platelet"
"B-cells","Plasma",0,2,0,0,0.503564207276824,2,0,0,"UCell","MANNE_DN",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","CD14 Mono",24487,144,1081,5,0.543854880726086,25717,0.952366139129759,0.495638817476243,"UCell","MANNE_DN",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","CD16 Mono",285,6,2,0,0.765779273914114,293,0.972696245733788,0.496515677712489,"UCell","MANNE_DN",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","Doublet",107,0,2,0,0.743730876285126,109,0.981651376146789,0.490825683570407,"UCell","MANNE_DN",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","HSPC",1,0,0,0,-0.0425824292918611,1,1,0.4999995000005,"UCell","MANNE_DN",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","Platelet",58,0,1,0,0.941068623676829,59,0.983050847457627,0.491525415397874,"UCell","MANNE_DN",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","cDC1",2,0,0,0,1.77971530161847,2,1,0.499999750000125,"UCell","MANNE_DN",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","cDC2_1",87,0,0,0,1.50220655756218,87,1,0.499999994252874,"UCell","MANNE_DN",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","cDC2_2",25,0,0,0,1.55548804530749,25,1,0.499999980000001,"UCell","MANNE_DN",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","pDC",5,0,0,0,4.28129782591343,5,1,0.49999990000002,"UCell","MANNE_DN",TRUE,"gmm_dist_platelet"
"DCs","ASDC_mDC",0,1,0,0,1.81924261632995,1,0,0,"UCell","MANNE_DN",TRUE,"gmm_dist_platelet"
"DCs","CD14 Mono",83,8,2,1,0.532791441927798,94,0.893617021276596,0.543790837756419,"UCell","MANNE_DN",TRUE,"gmm_dist_platelet"
"DCs","CD16 Mono",47,3,4,0,0.310403661278758,54,0.87037037037037,0.460784304690504,"UCell","MANNE_DN",TRUE,"gmm_dist_platelet"
"DCs","CD4 CTL",0,0,0,2,-0.67594317991725,2,1,0.499999750000125,"UCell","MANNE_DN",TRUE,"gmm_dist_platelet"
"DCs","CD4 Naive",0,0,12,16,-0.664831105493557,28,0.571428571428571,0.499999968750002,"UCell","MANNE_DN",TRUE,"gmm_dist_platelet"
"DCs","CD4 TCM_1",0,1,9,10,-0.547489029138673,20,0.5,0.454545413223144,"UCell","MANNE_DN",TRUE,"gmm_dist_platelet"
"DCs","CD4 TCM_2",0,0,5,5,-0.747869806726238,10,0.5,0.49999990000002,"UCell","MANNE_DN",TRUE,"gmm_dist_platelet"
"DCs","CD4 TCM_3",0,0,13,4,-0.644971551229856,17,0.235294117647059,0.499999875000031,"UCell","MANNE_DN",TRUE,"gmm_dist_platelet"
"DCs","CD4 TEM_1",0,0,1,1,-0.624022685714913,2,0.5,0.4999995000005,"UCell","MANNE_DN",TRUE,"gmm_dist_platelet"
"DCs","CD4 TEM_3",0,0,5,2,-0.637224116042118,7,0.285714285714286,0.499999750000125,"UCell","MANNE_DN",TRUE,"gmm_dist_platelet"
"DCs","CD8 Naive",1,1,21,13,-0.629013313894974,36,0.388888888888889,0.487012952816666,"UCell","MANNE_DN",TRUE,"gmm_dist_platelet"
"DCs","CD8 Naive_2",0,0,1,1,-0.608050109663046,2,0.5,0.4999995000005,"UCell","MANNE_DN",TRUE,"gmm_dist_platelet"
"DCs","CD8 Proliferating",0,0,2,0,-0.749070636540257,2,0,0,"UCell","MANNE_DN",TRUE,"gmm_dist_platelet"
"DCs","CD8 TCM_1",0,0,0,2,-0.675750739241926,2,1,0.499999750000125,"UCell","MANNE_DN",TRUE,"gmm_dist_platelet"
