"celltype_clean","celltype.l3","celltype.l1","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa","B",0,0,0,36,1.36582336622673,36,1,0.499999986111112,"UCell","MANNE_DN",TRUE,"youden_dual"
"B-cells","B intermediate lambda","B",0,6,0,160,1.27161326000702,166,0.963855421686747,0.481927707940195,"UCell","MANNE_DN",TRUE,"youden_dual"
"B-cells","B memory kappa","B",0,0,1,44,0.991595442155627,45,0.977777777777778,0.499999988636364,"UCell","MANNE_DN",TRUE,"youden_dual"
"B-cells","B memory lambda","B",0,0,0,34,1.10970824752492,34,1,0.499999985294118,"UCell","MANNE_DN",TRUE,"youden_dual"
"B-cells","B naive kappa","B",0,0,1,247,1.40282373959248,248,0.995967741935484,0.499999997975708,"UCell","MANNE_DN",TRUE,"youden_dual"
"B-cells","B naive lambda","B",0,0,0,20,1.24740394635476,20,1,0.499999975000001,"UCell","MANNE_DN",TRUE,"youden_dual"
"B-cells","Plasma","B",0,0,0,1,0.812191862459864,1,1,0.4999995000005,"UCell","MANNE_DN",TRUE,"youden_dual"
"Classical-Monocytes","CD14 Mono","Mono",32368,184,762,3,0.775551132267413,33317,0.971606086982622,0.496521239396076,"UCell","MANNE_DN",TRUE,"youden_dual"
"Classical-Monocytes","CD16 Mono","Mono",484,6,2,0,1.12553884877625,492,0.983739837398374,0.497942385806703,"UCell","MANNE_DN",TRUE,"youden_dual"
"Classical-Monocytes","Doublet","other",139,0,1,0,1.08215523651673,140,0.992857142857143,0.496428567882653,"UCell","MANNE_DN",TRUE,"youden_dual"
"Classical-Monocytes","Eryth","other",9,0,2,0,0.418667461657904,11,0.818181818181818,0.40909087190083,"UCell","MANNE_DN",TRUE,"youden_dual"
"Classical-Monocytes","HSPC","other",0,0,1,0,-0.375015553050395,1,0,0,"UCell","MANNE_DN",TRUE,"youden_dual"
"Classical-Monocytes","Platelet","other",17,0,45,0,4.10048314840062,62,0.274193548387097,0.13709677198231,"UCell","MANNE_DN",TRUE,"youden_dual"
"Classical-Monocytes","cDC1","DC",2,0,1,0,2.50882124163689,3,0.666666666666667,0.333333222222259,"UCell","MANNE_DN",TRUE,"youden_dual"
