"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,1,0,27,-0.833972851415427,28,0.964285714285714,0.48214283992347,"AUCell","MANNE_UP",FALSE,"gmm_dist_dual"
"B-cells","B intermediate lambda",0,9,0,133,-0.899104310614032,142,0.936619718309859,0.468309855856973,"AUCell","MANNE_UP",FALSE,"gmm_dist_dual"
"B-cells","B memory kappa",0,0,0,35,-0.588689633491763,35,1,0.499999985714286,"AUCell","MANNE_UP",FALSE,"gmm_dist_dual"
"B-cells","B memory lambda",0,0,0,30,-0.24147633031583,30,1,0.499999983333334,"AUCell","MANNE_UP",FALSE,"gmm_dist_dual"
"B-cells","B naive kappa",0,1,1,203,-0.951049090425184,205,0.990243902439024,0.497549017168877,"AUCell","MANNE_UP",FALSE,"gmm_dist_dual"
"B-cells","B naive lambda",0,0,0,15,-0.938841796789934,15,1,0.499999966666669,"AUCell","MANNE_UP",FALSE,"gmm_dist_dual"
"B-cells","Plasma",0,1,0,1,3.20863385090725,2,0.5,0.249999875000062,"AUCell","MANNE_UP",FALSE,"gmm_dist_dual"
"Classical-Monocytes","CD14 Mono",9497,55,16071,94,-0.245883050276138,25717,0.372943967025703,0.50115667127619,"AUCell","MANNE_UP",FALSE,"gmm_dist_dual"
"Classical-Monocytes","CD16 Mono",206,4,81,2,0.51708261055991,293,0.709897610921502,0.525551655060026,"AUCell","MANNE_UP",FALSE,"gmm_dist_dual"
"Classical-Monocytes","Doublet",43,0,66,0,-0.129039760400571,109,0.394495412844037,0.197247704612406,"AUCell","MANNE_UP",FALSE,"gmm_dist_dual"
"Classical-Monocytes","HSPC",0,0,1,0,-0.952643279136135,1,0,0,"AUCell","MANNE_UP",FALSE,"gmm_dist_dual"
"Classical-Monocytes","Platelet",15,0,44,0,-0.716402683491609,59,0.254237288135593,0.127118641913243,"AUCell","MANNE_UP",FALSE,"gmm_dist_dual"
"Classical-Monocytes","cDC1",1,0,1,0,0.418716275688081,2,0.5,0.249999875000062,"AUCell","MANNE_UP",FALSE,"gmm_dist_dual"
"Classical-Monocytes","cDC2_1",36,0,51,0,-0.271511241311917,87,0.413793103448276,0.206896549346017,"AUCell","MANNE_UP",FALSE,"gmm_dist_dual"
"Classical-Monocytes","cDC2_2",7,0,18,0,-0.467976883989906,25,0.28,0.1399999944,"AUCell","MANNE_UP",FALSE,"gmm_dist_dual"
"Classical-Monocytes","pDC",5,0,0,0,0.582185719892382,5,1,0.49999990000002,"AUCell","MANNE_UP",FALSE,"gmm_dist_dual"
"DCs","ASDC_mDC",0,0,0,1,-0.356966092967535,1,1,0.4999995000005,"AUCell","MANNE_UP",FALSE,"gmm_dist_dual"
"DCs","CD14 Mono",33,4,52,5,-0.357367782036222,94,0.404255319148936,0.47189539168867,"AUCell","MANNE_UP",FALSE,"gmm_dist_dual"
"DCs","CD16 Mono",39,1,12,2,0.531727365409685,54,0.759259259259259,0.715686155901613,"AUCell","MANNE_UP",FALSE,"gmm_dist_dual"
"DCs","CD4 CTL",0,2,0,0,0.600023484811529,2,0,0,"AUCell","MANNE_UP",FALSE,"gmm_dist_dual"
"DCs","CD4 Naive",0,2,12,14,0.311996592451785,28,0.5,0.437499972656252,"AUCell","MANNE_UP",FALSE,"gmm_dist_dual"
"DCs","CD4 TCM_1",0,0,9,11,0.290759607992519,20,0.55,0.499999954545459,"AUCell","MANNE_UP",FALSE,"gmm_dist_dual"
"DCs","CD4 TCM_2",0,0,5,5,0.280701452226066,10,0.5,0.49999990000002,"AUCell","MANNE_UP",FALSE,"gmm_dist_dual"
"DCs","CD4 TCM_3",1,0,12,4,0.203288309709844,17,0.294117647058824,0.53846141050299,"AUCell","MANNE_UP",FALSE,"gmm_dist_dual"
"DCs","CD4 TEM_1",0,0,1,1,1.27577530912083,2,0.5,0.4999995000005,"AUCell","MANNE_UP",FALSE,"gmm_dist_dual"
"DCs","CD4 TEM_3",0,0,5,2,0.731714178896578,7,0.285714285714286,0.499999750000125,"AUCell","MANNE_UP",FALSE,"gmm_dist_dual"
"DCs","CD8 Naive",1,0,21,14,0.602790291413951,36,0.416666666666667,0.522727235979932,"AUCell","MANNE_UP",FALSE,"gmm_dist_dual"
"DCs","CD8 Naive_2",0,0,1,1,0.375098383367538,2,0.5,0.4999995000005,"AUCell","MANNE_UP",FALSE,"gmm_dist_dual"
"DCs","CD8 Proliferating",1,0,1,0,1.24322464320997,2,0.5,0.249999875000062,"AUCell","MANNE_UP",FALSE,"gmm_dist_dual"
"DCs","CD8 TCM_1",0,0,0,2,0.426202928847576,2,1,0.499999750000125,"AUCell","MANNE_UP",FALSE,"gmm_dist_dual"
"DCs","CD8 TCM_2",0,0,2,1,0.412748653604424,3,0.333333333333333,0.4999995000005,"AUCell","MANNE_UP",FALSE,"gmm_dist_dual"
"DCs","CD8 TCM_3",0,0,2,1,0.490002234032847,3,0.333333333333333,0.4999995000005,"AUCell","MANNE_UP",FALSE,"gmm_dist_dual"
"DCs","CD8 TEM_1",0,0,5,2,0.262054570754277,7,0.285714285714286,0.499999750000125,"AUCell","MANNE_UP",FALSE,"gmm_dist_dual"
"DCs","CD8 TEM_2",2,0,0,0,0.50269699373808,2,1,0.499999750000125,"AUCell","MANNE_UP",FALSE,"gmm_dist_dual"
"DCs","CD8 TEM_4",1,2,1,0,0.0383617445197689,4,0.25,0.249999875000062,"AUCell","MANNE_UP",FALSE,"gmm_dist_dual"
"DCs","CD8 TEM_5",1,0,0,0,0.297302291840601,1,1,0.4999995000005,"AUCell","MANNE_UP",FALSE,"gmm_dist_dual"
"DCs","Doublet",10,0,5,1,0.39291987295373,16,0.6875,0.833332811111613,"AUCell","MANNE_UP",FALSE,"gmm_dist_dual"
"DCs","HSPC",0,0,1,0,-1.22281380619621,1,0,0,"AUCell","MANNE_UP",FALSE,"gmm_dist_dual"
"DCs","MAIT",0,0,2,0,-0.0802854327252883,2,0,0,"AUCell","MANNE_UP",FALSE,"gmm_dist_dual"
"DCs","NK Proliferating",0,0,1,0,-0.654479179392726,1,0,0,"AUCell","MANNE_UP",FALSE,"gmm_dist_dual"
"DCs","NK_1",0,0,0,1,-0.422718438107457,1,1,0.4999995000005,"AUCell","MANNE_UP",FALSE,"gmm_dist_dual"
"DCs","NK_3",1,0,0,0,0.760172761092923,1,1,0.4999995000005,"AUCell","MANNE_UP",FALSE,"gmm_dist_dual"
"DCs","NK_CD56bright",0,1,0,0,-0.0138820742671493,1,0,0,"AUCell","MANNE_UP",FALSE,"gmm_dist_dual"
"DCs","Platelet",1,0,14,2,-0.951915676015775,17,0.176470588235294,0.533333081111236,"AUCell","MANNE_UP",FALSE,"gmm_dist_dual"
"DCs","Treg Memory",0,0,2,0,0.921298557351643,2,0,0,"AUCell","MANNE_UP",FALSE,"gmm_dist_dual"
"DCs","Treg Naive",0,0,3,1,0.350685383934399,4,0.25,0.4999995000005,"AUCell","MANNE_UP",FALSE,"gmm_dist_dual"
"DCs","cDC2_1",4,0,4,0,-0.235389355790501,8,0.5,0.249999968750004,"AUCell","MANNE_UP",FALSE,"gmm_dist_dual"
"DCs","cDC2_2",3,1,9,2,-0.19755463178012,15,0.333333333333333,0.458333211805593,"AUCell","MANNE_UP",FALSE,"gmm_dist_dual"
"DCs","dnT_2",0,0,1,0,2.5042374405964,1,0,0,"AUCell","MANNE_UP",FALSE,"gmm_dist_dual"
"DCs","gdT_1",0,0,1,0,0.77189100082083,1,0,0,"AUCell","MANNE_UP",FALSE,"gmm_dist_dual"
"DCs","gdT_2",0,1,0,0,1.15468683193246,1,0,0,"AUCell","MANNE_UP",FALSE,"gmm_dist_dual"
