"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,0,0,28,-0.833972851415427,28,1,0.499999982142858,"AUCell","MANNE_UP",FALSE,"gmm_immune_dual"
"B-cells","B intermediate lambda",0,0,0,142,-0.899104310614032,142,1,0.499999996478873,"AUCell","MANNE_UP",FALSE,"gmm_immune_dual"
"B-cells","B memory kappa",0,0,0,35,-0.588689633491763,35,1,0.499999985714286,"AUCell","MANNE_UP",FALSE,"gmm_immune_dual"
"B-cells","B memory lambda",0,0,0,30,-0.24147633031583,30,1,0.499999983333334,"AUCell","MANNE_UP",FALSE,"gmm_immune_dual"
"B-cells","B naive kappa",0,0,1,204,-0.951049090425184,205,0.995121951219512,0.49999999754902,"AUCell","MANNE_UP",FALSE,"gmm_immune_dual"
"B-cells","B naive lambda",0,0,0,15,-0.938841796789934,15,1,0.499999966666669,"AUCell","MANNE_UP",FALSE,"gmm_immune_dual"
"B-cells","Plasma",0,0,0,2,3.20863385090725,2,1,0.499999750000125,"AUCell","MANNE_UP",FALSE,"gmm_immune_dual"
"Classical-Monocytes","CD14 Mono",19644,107,5924,42,-0.245883050276138,25717,0.765485865380876,0.52509166143586,"AUCell","MANNE_UP",FALSE,"gmm_immune_dual"
"Classical-Monocytes","CD16 Mono",252,4,35,2,0.51708261055991,293,0.866894197952218,0.605691027603094,"AUCell","MANNE_UP",FALSE,"gmm_immune_dual"
"Classical-Monocytes","Doublet",88,0,21,0,-0.129039760400571,109,0.807339449541284,0.40366972106725,"AUCell","MANNE_UP",FALSE,"gmm_immune_dual"
"Classical-Monocytes","HSPC",0,0,1,0,-0.952643279136135,1,0,0,"AUCell","MANNE_UP",FALSE,"gmm_immune_dual"
"Classical-Monocytes","Platelet",9,0,50,0,-0.716402683491609,59,0.152542372881356,0.076271185147946,"AUCell","MANNE_UP",FALSE,"gmm_immune_dual"
"Classical-Monocytes","cDC1",0,0,2,0,0.418716275688081,2,0,0,"AUCell","MANNE_UP",FALSE,"gmm_immune_dual"
"Classical-Monocytes","cDC2_1",39,0,48,0,-0.271511241311917,87,0.448275862068966,0.224137928458185,"AUCell","MANNE_UP",FALSE,"gmm_immune_dual"
"Classical-Monocytes","cDC2_2",4,0,21,0,-0.467976883989906,25,0.16,0.0799999968000001,"AUCell","MANNE_UP",FALSE,"gmm_immune_dual"
"Classical-Monocytes","pDC",0,0,5,0,0.582185719892382,5,0,0,"AUCell","MANNE_UP",FALSE,"gmm_immune_dual"
"DCs","ASDC_mDC",0,0,0,1,-0.356966092967535,1,1,0.4999995000005,"AUCell","MANNE_UP",FALSE,"gmm_immune_dual"
"DCs","CD14 Mono",55,5,30,4,-0.357367782036222,94,0.627659574468085,0.545751605489345,"AUCell","MANNE_UP",FALSE,"gmm_immune_dual"
"DCs","CD16 Mono",43,1,8,2,0.531727365409685,54,0.833333333333333,0.754901841407188,"AUCell","MANNE_UP",FALSE,"gmm_immune_dual"
"DCs","CD4 CTL",0,0,0,2,0.600023484811529,2,1,0.499999750000125,"AUCell","MANNE_UP",FALSE,"gmm_immune_dual"
"DCs","CD4 Naive",0,0,12,16,0.311996592451785,28,0.571428571428571,0.499999968750002,"AUCell","MANNE_UP",FALSE,"gmm_immune_dual"
"DCs","CD4 TCM_1",0,0,9,11,0.290759607992519,20,0.55,0.499999954545459,"AUCell","MANNE_UP",FALSE,"gmm_immune_dual"
"DCs","CD4 TCM_2",0,0,5,5,0.280701452226066,10,0.5,0.49999990000002,"AUCell","MANNE_UP",FALSE,"gmm_immune_dual"
"DCs","CD4 TCM_3",0,0,13,4,0.203288309709844,17,0.235294117647059,0.499999875000031,"AUCell","MANNE_UP",FALSE,"gmm_immune_dual"
"DCs","CD4 TEM_1",0,0,1,1,1.27577530912083,2,0.5,0.4999995000005,"AUCell","MANNE_UP",FALSE,"gmm_immune_dual"
"DCs","CD4 TEM_3",0,0,5,2,0.731714178896578,7,0.285714285714286,0.499999750000125,"AUCell","MANNE_UP",FALSE,"gmm_immune_dual"
"DCs","CD8 Naive",0,0,22,14,0.602790291413951,36,0.388888888888889,0.499999964285717,"AUCell","MANNE_UP",FALSE,"gmm_immune_dual"
"DCs","CD8 Naive_2",0,0,1,1,0.375098383367538,2,0.5,0.4999995000005,"AUCell","MANNE_UP",FALSE,"gmm_immune_dual"
"DCs","CD8 Proliferating",0,0,2,0,1.24322464320997,2,0,0,"AUCell","MANNE_UP",FALSE,"gmm_immune_dual"
"DCs","CD8 TCM_1",0,0,0,2,0.426202928847576,2,1,0.499999750000125,"AUCell","MANNE_UP",FALSE,"gmm_immune_dual"
"DCs","CD8 TCM_2",0,0,2,1,0.412748653604424,3,0.333333333333333,0.4999995000005,"AUCell","MANNE_UP",FALSE,"gmm_immune_dual"
"DCs","CD8 TCM_3",0,0,2,1,0.490002234032847,3,0.333333333333333,0.4999995000005,"AUCell","MANNE_UP",FALSE,"gmm_immune_dual"
