"celltype_clean","celltype.l3","celltype.l1","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa","B",0,0,0,36,-0.735858077575254,36,1,0.499999986111112,"AUCell","MANNE_UP",FALSE,"youden_dual"
"B-cells","B intermediate lambda","B",0,0,0,166,-0.935703838791847,166,1,0.499999996987952,"AUCell","MANNE_UP",FALSE,"youden_dual"
"B-cells","B memory kappa","B",0,0,1,44,-0.44301230203432,45,0.977777777777778,0.499999988636364,"AUCell","MANNE_UP",FALSE,"youden_dual"
"B-cells","B memory lambda","B",0,0,0,34,-0.14312035925043,34,1,0.499999985294118,"AUCell","MANNE_UP",FALSE,"youden_dual"
"B-cells","B naive kappa","B",0,0,1,247,-0.854264411002584,248,0.995967741935484,0.499999997975708,"AUCell","MANNE_UP",FALSE,"youden_dual"
"B-cells","B naive lambda","B",0,0,0,20,-0.783466441247942,20,1,0.499999975000001,"AUCell","MANNE_UP",FALSE,"youden_dual"
"B-cells","Plasma","B",0,0,0,1,1.91128598346408,1,1,0.4999995000005,"AUCell","MANNE_UP",FALSE,"youden_dual"
"Classical-Monocytes","CD14 Mono","Mono",24243,135,8887,52,-0.273153718655442,33317,0.729207311582675,0.504914281178064,"AUCell","MANNE_UP",FALSE,"youden_dual"
"Classical-Monocytes","CD16 Mono","Mono",430,5,56,1,0.342960533333018,492,0.876016260162602,0.525720149809906,"AUCell","MANNE_UP",FALSE,"youden_dual"
"Classical-Monocytes","Doublet","other",106,0,34,0,-0.218234654584497,140,0.757142857142857,0.378571425867347,"AUCell","MANNE_UP",FALSE,"youden_dual"
"Classical-Monocytes","Eryth","other",10,0,1,0,3.67147676253928,11,0.909090909090909,0.454545413223144,"AUCell","MANNE_UP",FALSE,"youden_dual"
"Classical-Monocytes","HSPC","other",0,0,1,0,-0.88335711577757,1,0,0,"AUCell","MANNE_UP",FALSE,"youden_dual"
"Classical-Monocytes","Platelet","other",7,0,55,0,-1.04582111645671,62,0.112903225806452,0.0564516119927159,"AUCell","MANNE_UP",FALSE,"youden_dual"
