"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,0,0,28,-0.706405712814868,28,1,0.499999982142858,"AUCell","MANNE_UP",TRUE,"gmm_dist_dual"
"B-cells","B intermediate lambda",0,0,0,142,-0.697338544668619,142,1,0.499999996478873,"AUCell","MANNE_UP",TRUE,"gmm_dist_dual"
"B-cells","B memory kappa",0,0,0,35,-0.54556617088902,35,1,0.499999985714286,"AUCell","MANNE_UP",TRUE,"gmm_dist_dual"
"B-cells","B memory lambda",0,0,0,30,-0.221502335032323,30,1,0.499999983333334,"AUCell","MANNE_UP",TRUE,"gmm_dist_dual"
"B-cells","B naive kappa",0,1,1,203,-0.839794029040943,205,0.990243902439024,0.497549017168877,"AUCell","MANNE_UP",TRUE,"gmm_dist_dual"
"B-cells","B naive lambda",0,0,0,15,-0.807284145715437,15,1,0.499999966666669,"AUCell","MANNE_UP",TRUE,"gmm_dist_dual"
"B-cells","Plasma",0,1,0,1,3.30616774153377,2,0.5,0.249999875000062,"AUCell","MANNE_UP",TRUE,"gmm_dist_dual"
"Classical-Monocytes","CD14 Mono",5049,25,20519,124,0.229928241532197,25717,0.201150989617763,0.514844081881466,"AUCell","MANNE_UP",TRUE,"gmm_dist_dual"
"Classical-Monocytes","CD16 Mono",139,0,148,6,1.34266471033664,293,0.494880546075085,0.742160194568561,"AUCell","MANNE_UP",TRUE,"gmm_dist_dual"
"Classical-Monocytes","Doublet",26,0,83,0,0.437476005410558,109,0.238532110091743,0.119266053951688,"AUCell","MANNE_UP",TRUE,"gmm_dist_dual"
"Classical-Monocytes","HSPC",0,0,1,0,-0.723578209310214,1,0,0,"AUCell","MANNE_UP",TRUE,"gmm_dist_dual"
"Classical-Monocytes","Platelet",1,0,58,0,-0.558479919196698,59,0.0169491525423729,0.00847457612754956,"AUCell","MANNE_UP",TRUE,"gmm_dist_dual"
"Classical-Monocytes","cDC1",0,0,2,0,0.0439924479934027,2,0,0,"AUCell","MANNE_UP",TRUE,"gmm_dist_dual"
"Classical-Monocytes","cDC2_1",13,0,74,0,0.0118600033349092,87,0.149425287356322,0.0747126428193949,"AUCell","MANNE_UP",TRUE,"gmm_dist_dual"
"Classical-Monocytes","cDC2_2",3,0,22,0,-0.19952153951828,25,0.12,0.0599999976000001,"AUCell","MANNE_UP",TRUE,"gmm_dist_dual"
"Classical-Monocytes","pDC",0,0,5,0,0.254774858464188,5,0,0,"AUCell","MANNE_UP",TRUE,"gmm_dist_dual"
"DCs","ASDC_mDC",0,0,0,1,-0.321821663395834,1,1,0.4999995000005,"AUCell","MANNE_UP",TRUE,"gmm_dist_dual"
"DCs","CD14 Mono",15,0,70,9,0.0448718905402944,94,0.25531914893617,0.588235237524036,"AUCell","MANNE_UP",TRUE,"gmm_dist_dual"
