"celltype_clean","celltype.l3","celltype.l1","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa","B",0,0,0,36,-0.615557595752875,36,1,0.499999986111112,"AUCell","MANNE_UP",TRUE,"youden_dual"
"B-cells","B intermediate lambda","B",0,1,0,165,-0.702792823032801,166,0.993975903614458,0.496987948813326,"AUCell","MANNE_UP",TRUE,"youden_dual"
"B-cells","B memory kappa","B",0,0,1,44,-0.431773100739332,45,0.977777777777778,0.499999988636364,"AUCell","MANNE_UP",TRUE,"youden_dual"
"B-cells","B memory lambda","B",0,0,0,34,-0.15336510962397,34,1,0.499999985294118,"AUCell","MANNE_UP",TRUE,"youden_dual"
"B-cells","B naive kappa","B",0,0,1,247,-0.789128684013371,248,0.995967741935484,0.499999997975708,"AUCell","MANNE_UP",TRUE,"youden_dual"
"B-cells","B naive lambda","B",0,0,0,20,-0.691436954627468,20,1,0.499999975000001,"AUCell","MANNE_UP",TRUE,"youden_dual"
"B-cells","Plasma","B",0,0,0,1,0.832967079730495,1,1,0.4999995000005,"AUCell","MANNE_UP",TRUE,"youden_dual"
"Classical-Monocytes","CD14 Mono","Mono",25142,135,7988,52,0.189900160117571,33317,0.756190533361347,0.518482044534129,"AUCell","MANNE_UP",TRUE,"youden_dual"
"Classical-Monocytes","CD16 Mono","Mono",438,5,48,1,1.03160090980969,492,0.892276422764228,0.533950602467868,"AUCell","MANNE_UP",TRUE,"youden_dual"
"Classical-Monocytes","Doublet","other",109,0,31,0,0.287008125102743,140,0.778571428571429,0.389285711505102,"AUCell","MANNE_UP",TRUE,"youden_dual"
"Classical-Monocytes","Eryth","other",10,0,1,0,2.09677261896232,11,0.909090909090909,0.454545413223144,"AUCell","MANNE_UP",TRUE,"youden_dual"
"Classical-Monocytes","HSPC","other",0,0,1,0,-0.627014704802377,1,0,0,"AUCell","MANNE_UP",TRUE,"youden_dual"
"Classical-Monocytes","Platelet","other",7,0,55,0,-0.855614546827559,62,0.112903225806452,0.0564516119927159,"AUCell","MANNE_UP",TRUE,"youden_dual"
"Classical-Monocytes","cDC1","DC",0,0,3,0,-0.39219727723949,3,0,0,"AUCell","MANNE_UP",TRUE,"youden_dual"
"Classical-Monocytes","cDC2_1","DC",80,0,85,0,0.203504994189841,165,0.484848484848485,0.242424240955005,"AUCell","MANNE_UP",TRUE,"youden_dual"
"Classical-Monocytes","cDC2_2","DC",8,0,36,0,-0.256617634730612,44,0.181818181818182,0.0909090888429753,"AUCell","MANNE_UP",TRUE,"youden_dual"
"Classical-Monocytes","pDC","DC",0,0,5,0,0.134478726677337,5,0,0,"AUCell","MANNE_UP",TRUE,"youden_dual"
"DCs","ASDC_mDC","DC",0,0,0,1,-0.447506327654554,1,1,0.4999995000005,"AUCell","MANNE_UP",TRUE,"youden_dual"
"DCs","CD14 Mono","Mono",64,5,44,4,-0.131178833595773,117,0.581196581196581,0.518518491083679,"AUCell","MANNE_UP",TRUE,"youden_dual"
"DCs","CD16 Mono","Mono",49,4,16,1,0.715915470646699,70,0.714285714285714,0.476923051124264,"AUCell","MANNE_UP",TRUE,"youden_dual"
"DCs","CD4 CTL","CD4 T",0,0,3,2,0.178706284073297,5,0.4,0.499999750000125,"AUCell","MANNE_UP",TRUE,"youden_dual"
"DCs","CD4 Naive","CD4 T",0,0,19,21,-0.0767093361085811,40,0.525,0.499999976190477,"AUCell","MANNE_UP",TRUE,"youden_dual"
