"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,1,0,27,-0.849523312339342,28,0.964285714285714,0.48214283992347,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_dual"
"B-cells","B intermediate lambda",0,2,0,140,-0.866748400279902,142,0.985915492957746,0.49295774300734,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_dual"
"B-cells","B memory kappa",0,0,0,35,-0.471961364422746,35,1,0.499999985714286,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_dual"
"B-cells","B memory lambda",0,0,0,30,-0.234980873639864,30,1,0.499999983333334,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_dual"
"B-cells","B naive kappa",0,0,1,204,-0.907734281621238,205,0.995121951219512,0.49999999754902,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_dual"
"B-cells","B naive lambda",0,0,0,15,-0.829214207150055,15,1,0.499999966666669,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_dual"
"B-cells","Plasma",0,1,0,1,3.46038654098798,2,0.5,0.249999875000062,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_dual"
"Classical-Monocytes","CD14 Mono",8415,56,17153,93,-0.157428237276596,25717,0.330831745537971,0.476641705024581,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_dual"
"Classical-Monocytes","CD16 Mono",177,2,110,4,0.570877753458001,293,0.617747440273038,0.641695646041333,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_dual"
"Classical-Monocytes","Doublet",37,0,72,0,-0.0970355056110245,109,0.339449541284404,0.169724769085094,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_dual"
"Classical-Monocytes","HSPC",0,0,1,0,-0.37972387981742,1,0,0,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_dual"
"Classical-Monocytes","Platelet",18,0,41,0,-0.538663335117596,59,0.305084745762712,0.152542370295892,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_dual"
"Classical-Monocytes","cDC1",1,0,1,0,0.0861407443344572,2,0.5,0.249999875000062,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_dual"
"Classical-Monocytes","cDC2_1",35,0,52,0,-0.0204201248101012,87,0.402298850574713,0.201149422975294,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_dual"
"Classical-Monocytes","cDC2_2",9,0,16,0,-0.177839660304326,25,0.36,0.1799999928,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_dual"
"Classical-Monocytes","pDC",1,0,4,0,0.58859969077532,5,0.2,0.099999980000004,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_dual"
"DCs","ASDC_mDC",0,0,0,1,-0.39760404433836,1,1,0.4999995000005,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_dual"
"DCs","CD14 Mono",31,4,54,5,-0.147146388306953,94,0.382978723404255,0.460130685944726,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_dual"
"DCs","CD16 Mono",35,1,16,2,0.534384179079392,54,0.685185185185185,0.676470470396039,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_dual"
"DCs","CD4 CTL",0,0,0,2,0.653722529721576,2,1,0.499999750000125,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_dual"
"DCs","CD4 Naive",0,1,12,15,0.0694054867190601,28,0.535714285714286,0.468749970703127,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_dual"
"DCs","CD4 TCM_1",0,0,9,11,0.252307612083723,20,0.55,0.499999954545459,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_dual"
"DCs","CD4 TCM_2",0,0,5,5,0.383398141357593,10,0.5,0.49999990000002,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_dual"
"DCs","CD4 TCM_3",0,0,13,4,0.511543434325428,17,0.235294117647059,0.499999875000031,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_dual"
"DCs","CD4 TEM_1",0,0,1,1,0.19125908616667,2,0.5,0.4999995000005,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_dual"
"DCs","CD4 TEM_3",0,0,5,2,0.715648085860131,7,0.285714285714286,0.499999750000125,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_dual"
"DCs","CD8 Naive",0,0,22,14,0.429246270204075,36,0.388888888888889,0.499999964285717,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_dual"
"DCs","CD8 Naive_2",0,0,1,1,0.267933554451907,2,0.5,0.4999995000005,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_dual"
"DCs","CD8 Proliferating",1,0,1,0,0.8030984604808,2,0.5,0.249999875000062,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_dual"
"DCs","CD8 TCM_1",0,0,0,2,0.292858171212596,2,1,0.499999750000125,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_dual"
"DCs","CD8 TCM_2",0,0,2,1,0.467885214236661,3,0.333333333333333,0.4999995000005,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_dual"
"DCs","CD8 TCM_3",0,0,2,1,0.0479588826617423,3,0.333333333333333,0.4999995000005,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_dual"
"DCs","CD8 TEM_1",1,0,4,2,0.505918115780534,7,0.428571428571429,0.599999730000129,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_dual"
"DCs","CD8 TEM_2",0,0,2,0,-0.047604244548235,2,0,0,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_dual"
"DCs","CD8 TEM_4",0,0,2,2,0.0417320600262219,4,0.5,0.499999750000125,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_dual"
"DCs","CD8 TEM_5",0,0,1,0,-0.00213104360722298,1,0,0,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_dual"
"DCs","Doublet",6,0,9,1,0.517462397339483,16,0.4375,0.699999486667168,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_dual"
"DCs","HSPC",0,0,1,0,-1.58056120303496,1,0,0,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_dual"
"DCs","MAIT",0,0,2,0,-0.406259145740463,2,0,0,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_dual"
"DCs","NK Proliferating",0,0,1,0,-1.28165383590064,1,0,0,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_dual"
"DCs","NK_1",0,1,0,0,0.726457798365557,1,0,0,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_dual"
"DCs","NK_3",1,0,0,0,1.28231961259561,1,1,0.4999995000005,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_dual"
"DCs","NK_CD56bright",0,0,0,1,-0.156002285779824,1,1,0.4999995000005,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_dual"
"DCs","Platelet",4,0,11,2,-1.08109533981896,17,0.352941176470588,0.63333307444457,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_dual"
"DCs","Treg Memory",0,0,2,0,0.844522516286907,2,0,0,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_dual"
"DCs","Treg Naive",1,0,2,1,0.495838738728195,4,0.5,0.66666611111163,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_dual"
"DCs","cDC2_1",2,0,6,0,-0.0316257583157514,8,0.25,0.124999984375002,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_dual"
"DCs","cDC2_2",3,2,9,1,-0.116955308862531,15,0.266666666666667,0.291666600694464,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_dual"
"DCs","dnT_2",0,0,1,0,1.31063234658685,1,0,0,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_dual"
"DCs","gdT_1",0,0,1,0,1.08564266342867,1,0,0,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_dual"
"DCs","gdT_2",0,1,0,0,0.660363630554341,1,0,0,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_dual"
"DCs","gdT_3",0,0,0,1,-0.663913183540923,1,1,0.4999995000005,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_dual"
"DCs","pDC",1,0,1,0,0.427302735443797,2,0.5,0.249999875000062,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_dual"
"Early-NK-cells","CD16 Mono",0,1,0,4,0.186894619961254,5,0.8,0.399999920000016,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_dual"
