"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,3,0,33,-0.773760553324487,36,0.916666666666667,0.458333320601852,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_platelet"
"B-cells","B intermediate lambda",0,8,0,158,-0.854876707117017,166,0.951807228915663,0.475903611590942,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_platelet"
"B-cells","B memory kappa",0,5,1,39,-0.41405015350624,45,0.866666666666667,0.443181808109504,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_platelet"
"B-cells","B memory lambda",0,5,0,29,-0.15934630463713,34,0.852941176470588,0.426470575692042,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_platelet"
"B-cells","B naive kappa",0,9,1,238,-0.792644554351554,248,0.959677419354839,0.481781374567687,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_platelet"
"B-cells","B naive lambda",0,1,0,19,-0.827609185868697,20,0.95,0.474999976250001,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_platelet"
"B-cells","Plasma",0,1,0,0,1.52376615470374,1,0,0,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","CD14 Mono",9047,53,24083,134,-0.18996425682802,33317,0.275565026863163,0.494826649207927,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","CD16 Mono",236,1,250,5,0.441772215792305,492,0.489837398373984,0.659464950632114,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","Doublet",41,0,99,0,-0.160938555910721,140,0.292857142857143,0.146428570382653,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","Eryth",11,0,0,0,6.10123212420666,11,1,0.499999954545459,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","HSPC",0,0,1,0,-0.4345655317762,1,0,0,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","Platelet",6,0,56,0,-1.04249911289542,62,0.0967741935483871,0.0483870959937565,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","cDC1",1,0,2,0,-0.333607491425208,3,0.333333333333333,0.16666661111113,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","cDC2_1",59,0,106,0,0.0370281995572772,165,0.357575757575758,0.178787877704316,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","cDC2_2",11,0,33,0,-0.210689005752123,44,0.25,0.124999997159091,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","pDC",4,0,1,0,0.808995539805979,5,0.8,0.399999920000016,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_platelet"
"DCs","ASDC_mDC",0,0,0,1,-0.443567113258917,1,1,0.4999995000005,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_platelet"
"DCs","CD14 Mono",33,3,75,6,-0.296758954809608,117,0.333333333333333,0.486111072659469,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_platelet"
"DCs","CD16 Mono",37,4,28,1,0.40438545444108,70,0.542857142857143,0.38461536023669,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_platelet"
"DCs","CD4 CTL",1,2,2,0,0.407479774836657,5,0.2,0.16666661111113,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_platelet"
"DCs","CD4 Naive",4,7,15,14,0.139126462519472,40,0.45,0.438596469814889,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_platelet"
"DCs","CD4 TCM_1",8,7,6,8,0.363304293193511,29,0.551724137931034,0.552380914195014,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_platelet"
"DCs","CD4 TCM_2",2,2,1,0,0.745765103698571,5,0.4,0.333333222222259,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_platelet"
"DCs","CD4 TCM_3",8,1,9,4,0.626696848851584,22,0.545454545454545,0.635294023806245,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_platelet"
"DCs","CD4 TEM_1",0,2,1,0,0.452357055767095,3,0,0,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_platelet"
"DCs","CD4 TEM_3",5,1,0,2,0.82052354327877,8,0.875,0.833333122222279,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_platelet"
"DCs","CD8 Naive",14,11,15,4,0.51606521748535,44,0.409090909090909,0.374712626465848,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_platelet"
"DCs","CD8 Naive_2",0,0,0,1,0.419538142516039,1,1,0.4999995000005,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_platelet"
"DCs","CD8 Proliferating",1,0,0,0,0.82019848369176,1,1,0.4999995000005,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_platelet"
"DCs","CD8 TCM_1",0,1,0,1,0.381452294166237,2,0.5,0.249999875000062,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_platelet"
"DCs","CD8 TCM_2",2,0,0,2,0.413277414531063,4,1,0.99999950000025,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_platelet"
"DCs","CD8 TCM_3",0,1,2,0,-0.0440009322065906,3,0,0,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_platelet"
"DCs","CD8 TEM_1",4,2,3,0,0.310483620062413,9,0.444444444444444,0.285714244897965,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_platelet"
"DCs","CD8 TEM_2",1,0,1,0,0.149422521508841,2,0.5,0.249999875000062,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_platelet"
"DCs","CD8 TEM_4",1,2,1,3,0.407225358066896,7,0.571428571428571,0.549999815000074,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_platelet"
"DCs","CD8 TEM_5",0,0,1,0,-0.295737402202009,1,0,0,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_platelet"
"DCs","Doublet",8,0,8,1,0.614078205858573,17,0.529411764705882,0.749999484375501,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_platelet"
"DCs","HSPC",0,0,1,0,-1.31197412631738,1,0,0,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_platelet"
"DCs","MAIT",1,0,2,0,0.334774363432877,3,0.333333333333333,0.16666661111113,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_platelet"
"DCs","NK Proliferating",1,0,0,0,0.532555625314839,1,1,0.4999995000005,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_platelet"
"DCs","NK_1",0,1,0,0,0.600715464584248,1,0,0,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_platelet"
"DCs","NK_2",0,0,1,0,0.412214357286511,1,0,0,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_platelet"
"DCs","NK_CD56bright",0,0,0,1,-0.539281685267917,1,1,0.4999995000005,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_platelet"
"DCs","Platelet",6,1,14,1,-0.950440389061302,22,0.318181818181818,0.399999867500063,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_platelet"
"DCs","Treg Memory",2,0,0,0,1.2712292600481,2,1,0.499999750000125,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_platelet"
"DCs","Treg Naive",2,0,1,1,0.335965559335579,4,0.75,0.833332722222759,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_platelet"
"DCs","cDC2_1",4,0,12,0,-0.0108049996623175,16,0.25,0.1249999921875,"AddModuleScore","MANNE_UP",FALSE,"gmm_dist_platelet"
