"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,0,0,36,-0.773760553324487,36,1,0.499999986111112,"AddModuleScore","MANNE_UP",FALSE,"kmeans"
"B-cells","B intermediate lambda",0,0,0,166,-0.854876707117017,166,1,0.499999996987952,"AddModuleScore","MANNE_UP",FALSE,"kmeans"
"B-cells","B memory kappa",0,1,1,43,-0.41405015350624,45,0.955555555555556,0.488636352530992,"AddModuleScore","MANNE_UP",FALSE,"kmeans"
"B-cells","B memory lambda",0,0,0,34,-0.15934630463713,34,1,0.499999985294118,"AddModuleScore","MANNE_UP",FALSE,"kmeans"
"B-cells","B naive kappa",0,0,1,247,-0.792644554351554,248,0.995967741935484,0.499999997975708,"AddModuleScore","MANNE_UP",FALSE,"kmeans"
"B-cells","B naive lambda",0,0,0,20,-0.827609185868697,20,1,0.499999975000001,"AddModuleScore","MANNE_UP",FALSE,"kmeans"
"B-cells","Plasma",0,0,0,1,1.52376615470374,1,1,0.4999995000005,"AddModuleScore","MANNE_UP",FALSE,"kmeans"
"Classical-Monocytes","CD14 Mono",11934,78,21196,109,-0.18996425682802,33317,0.361467118888255,0.471552511546764,"AddModuleScore","MANNE_UP",FALSE,"kmeans"
"Classical-Monocytes","CD16 Mono",296,2,190,4,0.441772215792305,492,0.609756097560976,0.637860026122382,"AddModuleScore","MANNE_UP",FALSE,"kmeans"
"Classical-Monocytes","Doublet",52,0,88,0,-0.160938555910721,140,0.371428571428571,0.185714284387755,"AddModuleScore","MANNE_UP",FALSE,"kmeans"
"Classical-Monocytes","Eryth",11,0,0,0,6.10123212420666,11,1,0.499999954545459,"AddModuleScore","MANNE_UP",FALSE,"kmeans"
"Classical-Monocytes","HSPC",0,0,1,0,-0.4345655317762,1,0,0,"AddModuleScore","MANNE_UP",FALSE,"kmeans"
"Classical-Monocytes","Platelet",7,0,55,0,-1.04249911289542,62,0.112903225806452,0.0564516119927159,"AddModuleScore","MANNE_UP",FALSE,"kmeans"
"Classical-Monocytes","cDC1",0,0,3,0,-0.333607491425208,3,0,0,"AddModuleScore","MANNE_UP",FALSE,"kmeans"
"Classical-Monocytes","cDC2_1",62,0,103,0,0.0370281995572772,165,0.375757575757576,0.187878786740129,"AddModuleScore","MANNE_UP",FALSE,"kmeans"
"Classical-Monocytes","cDC2_2",9,0,35,0,-0.210689005752123,44,0.204545454545455,0.102272724948347,"AddModuleScore","MANNE_UP",FALSE,"kmeans"
"Classical-Monocytes","pDC",0,0,5,0,0.808995539805979,5,0,0,"AddModuleScore","MANNE_UP",FALSE,"kmeans"
"DCs","ASDC_mDC",0,0,0,1,-0.443567113258917,1,1,0.4999995000005,"AddModuleScore","MANNE_UP",FALSE,"kmeans"
"DCs","CD14 Mono",37,3,71,6,-0.296758954809608,117,0.367521367521368,0.50462959100652,"AddModuleScore","MANNE_UP",FALSE,"kmeans"
"DCs","CD16 Mono",41,3,24,2,0.40438545444108,70,0.614285714285714,0.515384570532552,"AddModuleScore","MANNE_UP",FALSE,"kmeans"
"DCs","CD4 CTL",0,0,3,2,0.407479774836657,5,0.4,0.499999750000125,"AddModuleScore","MANNE_UP",FALSE,"kmeans"
"DCs","CD4 Naive",0,0,19,21,0.139126462519472,40,0.525,0.499999976190477,"AddModuleScore","MANNE_UP",FALSE,"kmeans"
"DCs","CD4 TCM_1",0,0,14,15,0.363304293193511,29,0.517241379310345,0.499999966666669,"AddModuleScore","MANNE_UP",FALSE,"kmeans"
"DCs","CD4 TCM_2",0,0,3,2,0.745765103698571,5,0.4,0.499999750000125,"AddModuleScore","MANNE_UP",FALSE,"kmeans"
"DCs","CD4 TCM_3",0,0,17,5,0.626696848851584,22,0.227272727272727,0.49999990000002,"AddModuleScore","MANNE_UP",FALSE,"kmeans"
"DCs","CD4 TEM_1",0,0,1,2,0.452357055767095,3,0.666666666666667,0.499999750000125,"AddModuleScore","MANNE_UP",FALSE,"kmeans"
"DCs","CD4 TEM_3",0,0,5,3,0.82052354327877,8,0.375,0.499999833333389,"AddModuleScore","MANNE_UP",FALSE,"kmeans"
"DCs","CD8 Naive",0,0,29,15,0.51606521748535,44,0.340909090909091,0.499999966666669,"AddModuleScore","MANNE_UP",FALSE,"kmeans"
"DCs","CD8 Naive_2",0,0,0,1,0.419538142516039,1,1,0.4999995000005,"AddModuleScore","MANNE_UP",FALSE,"kmeans"
"DCs","CD8 Proliferating",0,0,1,0,0.82019848369176,1,0,0,"AddModuleScore","MANNE_UP",FALSE,"kmeans"
"DCs","CD8 TCM_1",0,0,0,2,0.381452294166237,2,1,0.499999750000125,"AddModuleScore","MANNE_UP",FALSE,"kmeans"
"DCs","CD8 TCM_2",0,0,2,2,0.413277414531063,4,0.5,0.499999750000125,"AddModuleScore","MANNE_UP",FALSE,"kmeans"
"DCs","CD8 TCM_3",0,0,2,1,-0.0440009322065906,3,0.333333333333333,0.4999995000005,"AddModuleScore","MANNE_UP",FALSE,"kmeans"
"DCs","CD8 TEM_1",0,0,7,2,0.310483620062413,9,0.222222222222222,0.499999750000125,"AddModuleScore","MANNE_UP",FALSE,"kmeans"
"DCs","CD8 TEM_2",0,0,2,0,0.149422521508841,2,0,0,"AddModuleScore","MANNE_UP",FALSE,"kmeans"
"DCs","CD8 TEM_4",0,0,2,5,0.407225358066896,7,0.714285714285714,0.49999990000002,"AddModuleScore","MANNE_UP",FALSE,"kmeans"
"DCs","CD8 TEM_5",0,0,1,0,-0.295737402202009,1,0,0,"AddModuleScore","MANNE_UP",FALSE,"kmeans"
"DCs","Doublet",8,0,8,1,0.614078205858573,17,0.529411764705882,0.749999484375501,"AddModuleScore","MANNE_UP",FALSE,"kmeans"
"DCs","HSPC",0,0,1,0,-1.31197412631738,1,0,0,"AddModuleScore","MANNE_UP",FALSE,"kmeans"
"DCs","MAIT",0,0,3,0,0.334774363432877,3,0,0,"AddModuleScore","MANNE_UP",FALSE,"kmeans"
"DCs","NK Proliferating",0,0,1,0,0.532555625314839,1,0,0,"AddModuleScore","MANNE_UP",FALSE,"kmeans"
"DCs","NK_1",0,1,0,0,0.600715464584248,1,0,0,"AddModuleScore","MANNE_UP",FALSE,"kmeans"
"DCs","NK_2",1,0,0,0,0.412214357286511,1,1,0.4999995000005,"AddModuleScore","MANNE_UP",FALSE,"kmeans"
"DCs","NK_CD56bright",0,0,0,1,-0.539281685267917,1,1,0.4999995000005,"AddModuleScore","MANNE_UP",FALSE,"kmeans"
"DCs","Platelet",1,0,19,2,-0.950440389061302,22,0.136363636363636,0.524999748750125,"AddModuleScore","MANNE_UP",FALSE,"kmeans"
"DCs","Treg Memory",0,0,2,0,1.2712292600481,2,0,0,"AddModuleScore","MANNE_UP",FALSE,"kmeans"
"DCs","Treg Naive",0,0,3,1,0.335965559335579,4,0.25,0.4999995000005,"AddModuleScore","MANNE_UP",FALSE,"kmeans"
"DCs","cDC2_1",3,0,13,0,-0.0108049996623175,16,0.1875,0.0937499941406254,"AddModuleScore","MANNE_UP",FALSE,"kmeans"
"DCs","cDC2_2",7,3,31,10,-0.226095277225554,51,0.333333333333333,0.47672061576366,"AddModuleScore","MANNE_UP",FALSE,"kmeans"
"DCs","gdT_1",0,0,1,0,1.12094695609139,1,0,0,"AddModuleScore","MANNE_UP",FALSE,"kmeans"
"DCs","gdT_2",0,1,0,1,0.833170818901937,2,0.5,0.249999875000062,"AddModuleScore","MANNE_UP",FALSE,"kmeans"
"DCs","gdT_3",0,0,0,1,-0.661957416808256,1,1,0.4999995000005,"AddModuleScore","MANNE_UP",FALSE,"kmeans"
"DCs","gdT_4",0,0,1,0,1.69591580981139,1,0,0,"AddModuleScore","MANNE_UP",FALSE,"kmeans"
"DCs","pDC",1,0,2,0,0.530819712126982,3,0.333333333333333,0.16666661111113,"AddModuleScore","MANNE_UP",FALSE,"kmeans"
"Early-NK-cells","CD16 Mono",1,3,0,2,0.285795541869832,6,0.5,0.699999460000508,"AddModuleScore","MANNE_UP",FALSE,"kmeans"
"Early-NK-cells","CD4 Naive",0,0,0,1,-1.95119801595031,1,1,0.4999995000005,"AddModuleScore","MANNE_UP",FALSE,"kmeans"
"Early-NK-cells","CD4 TCM_1",0,0,0,1,-0.291088657649987,1,1,0.4999995000005,"AddModuleScore","MANNE_UP",FALSE,"kmeans"
"Early-NK-cells","CD8 TEM_1",0,0,1,0,0.0307308074898877,1,0,0,"AddModuleScore","MANNE_UP",FALSE,"kmeans"
"Early-NK-cells","CD8 TEM_2",0,0,0,2,0.619706404001681,2,1,0.499999750000125,"AddModuleScore","MANNE_UP",FALSE,"kmeans"
"Early-NK-cells","CD8 TEM_4",0,1,0,4,0.820451094317251,5,0.8,0.399999920000016,"AddModuleScore","MANNE_UP",FALSE,"kmeans"
"Early-NK-cells","CD8 TEM_5",0,1,1,15,0.286420532584977,17,0.882352941176471,0.468749970703127,"AddModuleScore","MANNE_UP",FALSE,"kmeans"
"Early-NK-cells","NK Proliferating",0,3,0,27,-0.106504258866494,30,0.9,0.449999985,"AddModuleScore","MANNE_UP",FALSE,"kmeans"
"Early-NK-cells","NK_1",4,189,8,531,0.213864465640331,732,0.730874316939891,0.535416652265626,"AddModuleScore","MANNE_UP",FALSE,"kmeans"
"Early-NK-cells","NK_2",0,104,4,180,0.306626699970723,288,0.625,0.316901407334854,"AddModuleScore","MANNE_UP",FALSE,"kmeans"
"Early-NK-cells","NK_3",0,3,1,36,-0.24061764072955,40,0.9,0.461538449704142,"AddModuleScore","MANNE_UP",FALSE,"kmeans"
"Early-NK-cells","NK_4",0,2,0,17,0.257135448170468,19,0.894736842105263,0.447368397506926,"AddModuleScore","MANNE_UP",FALSE,"kmeans"
"Early-NK-cells","NK_CD56bright",0,0,0,1,0.281661282238052,1,1,0.4999995000005,"AddModuleScore","MANNE_UP",FALSE,"kmeans"
"Early-NK-cells","cDC2_2",0,0,0,1,-0.708296694797762,1,1,0.4999995000005,"AddModuleScore","MANNE_UP",FALSE,"kmeans"
"Early-NK-cells","gdT_2",0,0,0,1,0.124136306982333,1,1,0.4999995000005,"AddModuleScore","MANNE_UP",FALSE,"kmeans"
"Early-NK-cells","pDC",0,0,0,1,0.26991155120905,1,1,0.4999995000005,"AddModuleScore","MANNE_UP",FALSE,"kmeans"
