"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,0,0,28,-0.849523312339342,28,1,0.499999982142858,"AddModuleScore","MANNE_UP",FALSE,"youden"
"B-cells","B intermediate lambda",0,3,0,139,-0.866748400279902,142,0.97887323943662,0.489436616271573,"AddModuleScore","MANNE_UP",FALSE,"youden"
"B-cells","B memory kappa",0,1,0,34,-0.471961364422746,35,0.971428571428571,0.485714271836735,"AddModuleScore","MANNE_UP",FALSE,"youden"
"B-cells","B memory lambda",0,2,0,28,-0.234980873639864,30,0.933333333333333,0.466666651111112,"AddModuleScore","MANNE_UP",FALSE,"youden"
"B-cells","B naive kappa",0,0,1,204,-0.907734281621238,205,0.995121951219512,0.49999999754902,"AddModuleScore","MANNE_UP",FALSE,"youden"
"B-cells","B naive lambda",0,0,0,15,-0.829214207150055,15,1,0.499999966666669,"AddModuleScore","MANNE_UP",FALSE,"youden"
"B-cells","Plasma",0,2,0,0,3.46038654098798,2,0,0,"AddModuleScore","MANNE_UP",FALSE,"youden"
"Classical-Monocytes","CD14 Mono",3203,21,22365,128,-0.157428237276596,25717,0.129525216782673,0.492167088319407,"AddModuleScore","MANNE_UP",FALSE,"youden"
"Classical-Monocytes","CD16 Mono",69,0,218,6,0.570877753458001,293,0.255972696245734,0.620208975481283,"AddModuleScore","MANNE_UP",FALSE,"youden"
"Classical-Monocytes","Doublet",14,0,95,0,-0.0970355056110245,109,0.128440366972477,0.0642201828970625,"AddModuleScore","MANNE_UP",FALSE,"youden"
"Classical-Monocytes","HSPC",0,0,1,0,-0.37972387981742,1,0,0,"AddModuleScore","MANNE_UP",FALSE,"youden"
"Classical-Monocytes","Platelet",3,0,56,0,-0.538663335117596,59,0.0508474576271186,0.0254237283826487,"AddModuleScore","MANNE_UP",FALSE,"youden"
"Classical-Monocytes","cDC1",0,0,2,0,0.0861407443344572,2,0,0,"AddModuleScore","MANNE_UP",FALSE,"youden"
"Classical-Monocytes","cDC2_1",9,0,78,0,-0.0204201248101012,87,0.103448275862069,0.0517241373365042,"AddModuleScore","MANNE_UP",FALSE,"youden"
"Classical-Monocytes","cDC2_2",0,0,25,0,-0.177839660304326,25,0,0,"AddModuleScore","MANNE_UP",FALSE,"youden"
"Classical-Monocytes","pDC",0,0,5,0,0.58859969077532,5,0,0,"AddModuleScore","MANNE_UP",FALSE,"youden"
"DCs","ASDC_mDC",0,0,0,1,-0.39760404433836,1,1,0.4999995000005,"AddModuleScore","MANNE_UP",FALSE,"youden"
"DCs","CD14 Mono",15,1,70,8,-0.147146388306953,94,0.24468085106383,0.532679688141319,"AddModuleScore","MANNE_UP",FALSE,"youden"
"DCs","CD16 Mono",14,1,37,2,0.534384179079392,54,0.296296296296296,0.470588121491771,"AddModuleScore","MANNE_UP",FALSE,"youden"
"DCs","CD4 CTL",0,0,0,2,0.653722529721576,2,1,0.499999750000125,"AddModuleScore","MANNE_UP",FALSE,"youden"
"DCs","CD4 Naive",1,0,11,16,0.0694054867190601,28,0.607142857142857,0.541666631944447,"AddModuleScore","MANNE_UP",FALSE,"youden"
"DCs","CD4 TCM_1",0,0,9,11,0.252307612083723,20,0.55,0.499999954545459,"AddModuleScore","MANNE_UP",FALSE,"youden"
"DCs","CD4 TCM_2",0,1,5,4,0.383398141357593,10,0.4,0.399999920000016,"AddModuleScore","MANNE_UP",FALSE,"youden"
"DCs","CD4 TCM_3",4,1,9,3,0.511543434325428,17,0.411764705882353,0.528846048261859,"AddModuleScore","MANNE_UP",FALSE,"youden"
"DCs","CD4 TEM_1",0,0,1,1,0.19125908616667,2,0.5,0.4999995000005,"AddModuleScore","MANNE_UP",FALSE,"youden"
"DCs","CD4 TEM_3",1,0,4,2,0.715648085860131,7,0.428571428571429,0.599999730000129,"AddModuleScore","MANNE_UP",FALSE,"youden"
"DCs","CD8 Naive",2,2,20,12,0.429246270204075,36,0.388888888888889,0.474025941347616,"AddModuleScore","MANNE_UP",FALSE,"youden"
"DCs","CD8 Naive_2",0,0,1,1,0.267933554451907,2,0.5,0.4999995000005,"AddModuleScore","MANNE_UP",FALSE,"youden"
"DCs","CD8 Proliferating",0,0,2,0,0.8030984604808,2,0,0,"AddModuleScore","MANNE_UP",FALSE,"youden"
"DCs","CD8 TCM_1",0,0,0,2,0.292858171212596,2,1,0.499999750000125,"AddModuleScore","MANNE_UP",FALSE,"youden"
"DCs","CD8 TCM_2",0,0,2,1,0.467885214236661,3,0.333333333333333,0.4999995000005,"AddModuleScore","MANNE_UP",FALSE,"youden"
"DCs","CD8 TCM_3",0,1,2,0,0.0479588826617423,3,0,0,"AddModuleScore","MANNE_UP",FALSE,"youden"
"DCs","CD8 TEM_1",1,0,4,2,0.505918115780534,7,0.428571428571429,0.599999730000129,"AddModuleScore","MANNE_UP",FALSE,"youden"
"DCs","CD8 TEM_2",0,0,2,0,-0.047604244548235,2,0,0,"AddModuleScore","MANNE_UP",FALSE,"youden"
"DCs","CD8 TEM_4",0,0,2,2,0.0417320600262219,4,0.5,0.499999750000125,"AddModuleScore","MANNE_UP",FALSE,"youden"
"DCs","CD8 TEM_5",0,0,1,0,-0.00213104360722298,1,0,0,"AddModuleScore","MANNE_UP",FALSE,"youden"
"DCs","Doublet",4,0,11,1,0.517462397339483,16,0.3125,0.633332824444945,"AddModuleScore","MANNE_UP",FALSE,"youden"
"DCs","HSPC",0,0,1,0,-1.58056120303496,1,0,0,"AddModuleScore","MANNE_UP",FALSE,"youden"
"DCs","MAIT",0,0,2,0,-0.406259145740463,2,0,0,"AddModuleScore","MANNE_UP",FALSE,"youden"
