"celltype_clean","celltype.l3","celltype.l1","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa","B",0,0,0,36,-0.773760553324487,36,1,0.499999986111112,"AddModuleScore","MANNE_UP",FALSE,"youden_dual"
"B-cells","B intermediate lambda","B",0,0,0,166,-0.854876707117017,166,1,0.499999996987952,"AddModuleScore","MANNE_UP",FALSE,"youden_dual"
"B-cells","B memory kappa","B",0,0,1,44,-0.41405015350624,45,0.977777777777778,0.499999988636364,"AddModuleScore","MANNE_UP",FALSE,"youden_dual"
"B-cells","B memory lambda","B",0,0,0,34,-0.15934630463713,34,1,0.499999985294118,"AddModuleScore","MANNE_UP",FALSE,"youden_dual"
"B-cells","B naive kappa","B",0,0,1,247,-0.792644554351554,248,0.995967741935484,0.499999997975708,"AddModuleScore","MANNE_UP",FALSE,"youden_dual"
"B-cells","B naive lambda","B",0,0,0,20,-0.827609185868697,20,1,0.499999975000001,"AddModuleScore","MANNE_UP",FALSE,"youden_dual"
"B-cells","Plasma","B",0,0,0,1,1.52376615470374,1,1,0.4999995000005,"AddModuleScore","MANNE_UP",FALSE,"youden_dual"
"Classical-Monocytes","CD14 Mono","Mono",24926,141,8204,46,-0.18996425682802,33317,0.749527268361497,0.499179378571022,"AddModuleScore","MANNE_UP",FALSE,"youden_dual"
"Classical-Monocytes","CD16 Mono","Mono",437,6,49,0,0.441772215792305,492,0.888211382113821,0.449588476441176,"AddModuleScore","MANNE_UP",FALSE,"youden_dual"
"Classical-Monocytes","Doublet","other",109,0,31,0,-0.160938555910721,140,0.778571428571429,0.389285711505102,"AddModuleScore","MANNE_UP",FALSE,"youden_dual"
"Classical-Monocytes","Eryth","other",9,0,2,0,6.10123212420666,11,0.818181818181818,0.40909087190083,"AddModuleScore","MANNE_UP",FALSE,"youden_dual"
"Classical-Monocytes","HSPC","other",0,0,1,0,-0.4345655317762,1,0,0,"AddModuleScore","MANNE_UP",FALSE,"youden_dual"
"Classical-Monocytes","Platelet","other",12,0,50,0,-1.04249911289542,62,0.193548387096774,0.096774191987513,"AddModuleScore","MANNE_UP",FALSE,"youden_dual"
"Classical-Monocytes","cDC1","DC",0,0,3,0,-0.333607491425208,3,0,0,"AddModuleScore","MANNE_UP",FALSE,"youden_dual"
"Classical-Monocytes","cDC2_1","DC",56,0,109,0,0.0370281995572772,165,0.339393939393939,0.169696968668503,"AddModuleScore","MANNE_UP",FALSE,"youden_dual"
"Classical-Monocytes","cDC2_2","DC",0,0,44,0,-0.210689005752123,44,0,0,"AddModuleScore","MANNE_UP",FALSE,"youden_dual"
"Classical-Monocytes","pDC","DC",0,0,5,0,0.808995539805979,5,0,0,"AddModuleScore","MANNE_UP",FALSE,"youden_dual"
"DCs","ASDC_mDC","DC",0,0,0,1,-0.443567113258917,1,1,0.4999995000005,"AddModuleScore","MANNE_UP",FALSE,"youden_dual"
"DCs","CD14 Mono","Mono",65,4,43,5,-0.296758954809608,117,0.598290598290598,0.578703670053158,"AddModuleScore","MANNE_UP",FALSE,"youden_dual"
"DCs","CD16 Mono","Mono",54,3,11,2,0.40438545444108,70,0.8,0.615384568994091,"AddModuleScore","MANNE_UP",FALSE,"youden_dual"
"DCs","CD4 CTL","CD4 T",0,0,3,2,0.407479774836657,5,0.4,0.499999750000125,"AddModuleScore","MANNE_UP",FALSE,"youden_dual"
"DCs","CD4 Naive","CD4 T",0,0,19,21,0.139126462519472,40,0.525,0.499999976190477,"AddModuleScore","MANNE_UP",FALSE,"youden_dual"
"DCs","CD4 TCM_1","CD4 T",0,0,14,15,0.363304293193511,29,0.517241379310345,0.499999966666669,"AddModuleScore","MANNE_UP",FALSE,"youden_dual"
"DCs","CD4 TCM_2","CD4 T",0,0,3,2,0.745765103698571,5,0.4,0.499999750000125,"AddModuleScore","MANNE_UP",FALSE,"youden_dual"
"DCs","CD4 TCM_3","CD4 T",0,0,17,5,0.626696848851584,22,0.227272727272727,0.49999990000002,"AddModuleScore","MANNE_UP",FALSE,"youden_dual"
"DCs","CD4 TEM_1","CD4 T",0,0,1,2,0.452357055767095,3,0.666666666666667,0.499999750000125,"AddModuleScore","MANNE_UP",FALSE,"youden_dual"
"DCs","CD4 TEM_3","CD4 T",0,0,5,3,0.82052354327877,8,0.375,0.499999833333389,"AddModuleScore","MANNE_UP",FALSE,"youden_dual"
"DCs","CD8 Naive","CD8 T",0,0,29,15,0.51606521748535,44,0.340909090909091,0.499999966666669,"AddModuleScore","MANNE_UP",FALSE,"youden_dual"
"DCs","CD8 Naive_2","CD8 T",0,0,0,1,0.419538142516039,1,1,0.4999995000005,"AddModuleScore","MANNE_UP",FALSE,"youden_dual"
"DCs","CD8 Proliferating","CD8 T",0,0,1,0,0.82019848369176,1,0,0,"AddModuleScore","MANNE_UP",FALSE,"youden_dual"
"DCs","CD8 TCM_1","CD8 T",0,0,0,2,0.381452294166237,2,1,0.499999750000125,"AddModuleScore","MANNE_UP",FALSE,"youden_dual"
"DCs","CD8 TCM_2","CD8 T",0,0,2,2,0.413277414531063,4,0.5,0.499999750000125,"AddModuleScore","MANNE_UP",FALSE,"youden_dual"
"DCs","CD8 TCM_3","CD8 T",0,0,2,1,-0.0440009322065906,3,0.333333333333333,0.4999995000005,"AddModuleScore","MANNE_UP",FALSE,"youden_dual"
"DCs","CD8 TEM_1","CD8 T",0,0,7,2,0.310483620062413,9,0.222222222222222,0.499999750000125,"AddModuleScore","MANNE_UP",FALSE,"youden_dual"
"DCs","CD8 TEM_2","CD8 T",0,0,2,0,0.149422521508841,2,0,0,"AddModuleScore","MANNE_UP",FALSE,"youden_dual"
"DCs","CD8 TEM_4","CD8 T",0,0,2,5,0.407225358066896,7,0.714285714285714,0.49999990000002,"AddModuleScore","MANNE_UP",FALSE,"youden_dual"
"DCs","CD8 TEM_5","CD8 T",0,0,1,0,-0.295737402202009,1,0,0,"AddModuleScore","MANNE_UP",FALSE,"youden_dual"
"DCs","Doublet","other",12,0,4,1,0.614078205858573,17,0.764705882352941,0.874999476563001,"AddModuleScore","MANNE_UP",FALSE,"youden_dual"
"DCs","HSPC","other",0,0,1,0,-1.31197412631738,1,0,0,"AddModuleScore","MANNE_UP",FALSE,"youden_dual"
"DCs","MAIT","other T",0,0,3,0,0.334774363432877,3,0,0,"AddModuleScore","MANNE_UP",FALSE,"youden_dual"
"DCs","NK Proliferating","NK",0,0,1,0,0.532555625314839,1,0,0,"AddModuleScore","MANNE_UP",FALSE,"youden_dual"
"DCs","NK_1","NK",0,0,0,1,0.600715464584248,1,1,0.4999995000005,"AddModuleScore","MANNE_UP",FALSE,"youden_dual"
"DCs","NK_2","NK",0,0,1,0,0.412214357286511,1,0,0,"AddModuleScore","MANNE_UP",FALSE,"youden_dual"
"DCs","NK_CD56bright","NK",0,0,0,1,-0.539281685267917,1,1,0.4999995000005,"AddModuleScore","MANNE_UP",FALSE,"youden_dual"
"DCs","Platelet","other",0,0,20,2,-0.950440389061302,22,0.0909090909090909,0.499999750000125,"AddModuleScore","MANNE_UP",FALSE,"youden_dual"
"DCs","Treg Memory","CD4 T",0,0,2,0,1.2712292600481,2,0,0,"AddModuleScore","MANNE_UP",FALSE,"youden_dual"
"DCs","Treg Naive","CD4 T",0,0,3,1,0.335965559335579,4,0.25,0.4999995000005,"AddModuleScore","MANNE_UP",FALSE,"youden_dual"
"DCs","cDC2_1","DC",2,0,14,0,-0.0108049996623175,16,0.125,0.0624999960937502,"AddModuleScore","MANNE_UP",FALSE,"youden_dual"
"DCs","cDC2_2","DC",1,0,37,13,-0.226095277225554,51,0.274509803921569,0.513157855929046,"AddModuleScore","MANNE_UP",FALSE,"youden_dual"
"DCs","gdT_1","other T",0,0,1,0,1.12094695609139,1,0,0,"AddModuleScore","MANNE_UP",FALSE,"youden_dual"
"DCs","gdT_2","other T",0,0,0,2,0.833170818901937,2,1,0.499999750000125,"AddModuleScore","MANNE_UP",FALSE,"youden_dual"
"DCs","gdT_3","other T",0,0,0,1,-0.661957416808256,1,1,0.4999995000005,"AddModuleScore","MANNE_UP",FALSE,"youden_dual"
"DCs","gdT_4","other T",0,0,1,0,1.69591580981139,1,0,0,"AddModuleScore","MANNE_UP",FALSE,"youden_dual"
"DCs","pDC","DC",0,0,3,0,0.530819712126982,3,0,0,"AddModuleScore","MANNE_UP",FALSE,"youden_dual"
"Early-NK-cells","CD16 Mono","Mono",0,3,1,2,0.285795541869832,6,0.333333333333333,0.199999960000008,"AddModuleScore","MANNE_UP",FALSE,"youden_dual"
"Early-NK-cells","CD4 Naive","CD4 T",0,0,0,1,-1.95119801595031,1,1,0.4999995000005,"AddModuleScore","MANNE_UP",FALSE,"youden_dual"
"Early-NK-cells","CD4 TCM_1","CD4 T",0,0,0,1,-0.291088657649987,1,1,0.4999995000005,"AddModuleScore","MANNE_UP",FALSE,"youden_dual"
"Early-NK-cells","CD8 TEM_1","CD8 T",0,0,1,0,0.0307308074898877,1,0,0,"AddModuleScore","MANNE_UP",FALSE,"youden_dual"
"Early-NK-cells","CD8 TEM_2","CD8 T",0,0,0,2,0.619706404001681,2,1,0.499999750000125,"AddModuleScore","MANNE_UP",FALSE,"youden_dual"
"Early-NK-cells","CD8 TEM_4","CD8 T",0,0,0,5,0.820451094317251,5,1,0.49999990000002,"AddModuleScore","MANNE_UP",FALSE,"youden_dual"
"Early-NK-cells","CD8 TEM_5","CD8 T",0,0,1,16,0.286420532584977,17,0.941176470588235,0.499999968750002,"AddModuleScore","MANNE_UP",FALSE,"youden_dual"
"Early-NK-cells","NK Proliferating","NK",0,1,0,29,-0.106504258866494,30,0.966666666666667,0.483333317222223,"AddModuleScore","MANNE_UP",FALSE,"youden_dual"
"Early-NK-cells","NK_1","NK",3,45,9,675,0.213864465640331,732,0.926229508196721,0.593749988932293,"AddModuleScore","MANNE_UP",FALSE,"youden_dual"
"Early-NK-cells","NK_2","NK",0,34,4,250,0.306626699970723,288,0.868055555555556,0.440140843520631,"AddModuleScore","MANNE_UP",FALSE,"youden_dual"
"Early-NK-cells","NK_3","NK",0,1,1,38,-0.24061764072955,40,0.95,0.487179474687706,"AddModuleScore","MANNE_UP",FALSE,"youden_dual"
"Early-NK-cells","NK_4","NK",0,0,0,19,0.257135448170468,19,1,0.499999973684212,"AddModuleScore","MANNE_UP",FALSE,"youden_dual"
"Early-NK-cells","NK_CD56bright","NK",0,0,0,1,0.281661282238052,1,1,0.4999995000005,"AddModuleScore","MANNE_UP",FALSE,"youden_dual"
"Early-NK-cells","cDC2_2","DC",0,0,0,1,-0.708296694797762,1,1,0.4999995000005,"AddModuleScore","MANNE_UP",FALSE,"youden_dual"
"Early-NK-cells","gdT_2","other T",0,0,0,1,0.124136306982333,1,1,0.4999995000005,"AddModuleScore","MANNE_UP",FALSE,"youden_dual"
"Early-NK-cells","pDC","DC",0,0,0,1,0.26991155120905,1,1,0.4999995000005,"AddModuleScore","MANNE_UP",FALSE,"youden_dual"
"Intermediate-Monocytes","CD14 Mono","Mono",514,13,99,3,0.278748338519723,629,0.821939586645469,0.512999585626352,"AddModuleScore","MANNE_UP",FALSE,"youden_dual"
"Intermediate-Monocytes","CD16 Mono","Mono",1948,28,159,5,0.723287950765092,2140,0.912616822429906,0.53802620162408,"AddModuleScore","MANNE_UP",FALSE,"youden_dual"
"Intermediate-Monocytes","Doublet","other",122,0,8,0,0.588492065159101,130,0.938461538461538,0.469230765621302,"AddModuleScore","MANNE_UP",FALSE,"youden_dual"
"Intermediate-Monocytes","Platelet","other",1,0,3,0,-0.137573868828801,4,0.25,0.124999968750008,"AddModuleScore","MANNE_UP",FALSE,"youden_dual"
"Late-NK-cells","ASDC_mDC","DC",0,0,0,17,-0.31158587020984,17,1,0.499999970588237,"AddModuleScore","MANNE_UP",FALSE,"youden_dual"
"Late-NK-cells","ASDC_pDC","DC",0,0,3,7,0.430366954174791,10,0.7,0.499999928571439,"AddModuleScore","MANNE_UP",FALSE,"youden_dual"
"Late-NK-cells","B intermediate kappa","B",0,0,0,4,-0.0911687995470303,4,1,0.499999875000031,"AddModuleScore","MANNE_UP",FALSE,"youden_dual"
