"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,0,0,28,-0.675965375821994,28,1,0.499999982142858,"AddModuleScore","MANNE_UP",TRUE,"gmm_dist_dual"
"B-cells","B intermediate lambda",0,0,0,142,-0.715366824177252,142,1,0.499999996478873,"AddModuleScore","MANNE_UP",TRUE,"gmm_dist_dual"
"B-cells","B memory kappa",0,0,0,35,-0.504896940893157,35,1,0.499999985714286,"AddModuleScore","MANNE_UP",TRUE,"gmm_dist_dual"
"B-cells","B memory lambda",0,0,0,30,-0.3333896480154,30,1,0.499999983333334,"AddModuleScore","MANNE_UP",TRUE,"gmm_dist_dual"
"B-cells","B naive kappa",0,0,1,204,-0.903423262876207,205,0.995121951219512,0.49999999754902,"AddModuleScore","MANNE_UP",TRUE,"gmm_dist_dual"
"B-cells","B naive lambda",0,0,0,15,-0.798508921996519,15,1,0.499999966666669,"AddModuleScore","MANNE_UP",TRUE,"gmm_dist_dual"
"B-cells","Plasma",0,1,0,1,3.20342917341156,2,0.5,0.249999875000062,"AddModuleScore","MANNE_UP",TRUE,"gmm_dist_dual"
"Classical-Monocytes","CD14 Mono",8991,48,16577,101,0.563930510574402,25717,0.353540459618151,0.514751422527986,"AddModuleScore","MANNE_UP",TRUE,"gmm_dist_dual"
"Classical-Monocytes","CD16 Mono",229,5,58,1,1.84691606520842,293,0.784982935153584,0.482288021887113,"AddModuleScore","MANNE_UP",TRUE,"gmm_dist_dual"
"Classical-Monocytes","Doublet",45,0,64,0,0.755605162855068,109,0.412844036697248,0.206422016454844,"AddModuleScore","MANNE_UP",TRUE,"gmm_dist_dual"
"Classical-Monocytes","HSPC",0,0,1,0,-0.413649796231239,1,0,0,"AddModuleScore","MANNE_UP",TRUE,"gmm_dist_dual"
"Classical-Monocytes","Platelet",4,0,55,0,-0.386264835782914,59,0.0677966101694915,0.0338983045101982,"AddModuleScore","MANNE_UP",TRUE,"gmm_dist_dual"
"Classical-Monocytes","cDC1",0,0,2,0,-0.111743312868371,2,0,0,"AddModuleScore","MANNE_UP",TRUE,"gmm_dist_dual"
"Classical-Monocytes","cDC2_1",29,0,58,0,0.473229507883338,87,0.333333333333333,0.166666664750958,"AddModuleScore","MANNE_UP",TRUE,"gmm_dist_dual"
"Classical-Monocytes","cDC2_2",4,0,21,0,0.194955578410971,25,0.16,0.0799999968000001,"AddModuleScore","MANNE_UP",TRUE,"gmm_dist_dual"
"Classical-Monocytes","pDC",0,0,5,0,0.25312304129263,5,0,0,"AddModuleScore","MANNE_UP",TRUE,"gmm_dist_dual"
"DCs","ASDC_mDC",0,0,0,1,0.0879400124000178,1,1,0.4999995000005,"AddModuleScore","MANNE_UP",TRUE,"gmm_dist_dual"
"DCs","CD14 Mono",28,3,57,6,0.427149301792839,94,0.361702127659574,0.498039176711525,"AddModuleScore","MANNE_UP",TRUE,"gmm_dist_dual"
"DCs","CD16 Mono",47,1,4,2,2.1497714826753,54,0.907407407407407,0.794117526912763,"AddModuleScore","MANNE_UP",TRUE,"gmm_dist_dual"
"DCs","CD4 CTL",0,0,0,2,-0.116936802869229,2,1,0.499999750000125,"AddModuleScore","MANNE_UP",TRUE,"gmm_dist_dual"
"DCs","CD4 Naive",0,0,12,16,-0.282718319830349,28,0.571428571428571,0.499999968750002,"AddModuleScore","MANNE_UP",TRUE,"gmm_dist_dual"
"DCs","CD4 TCM_1",0,0,9,11,-0.160134388298607,20,0.55,0.499999954545459,"AddModuleScore","MANNE_UP",TRUE,"gmm_dist_dual"
"DCs","CD4 TCM_2",0,0,5,5,-0.0620824873829323,10,0.5,0.49999990000002,"AddModuleScore","MANNE_UP",TRUE,"gmm_dist_dual"
"DCs","CD4 TCM_3",0,0,13,4,-0.0468469908980197,17,0.235294117647059,0.499999875000031,"AddModuleScore","MANNE_UP",TRUE,"gmm_dist_dual"
"DCs","CD4 TEM_1",0,0,1,1,-0.298751959327994,2,0.5,0.4999995000005,"AddModuleScore","MANNE_UP",TRUE,"gmm_dist_dual"
"DCs","CD4 TEM_3",0,0,5,2,0.0250397512726673,7,0.285714285714286,0.499999750000125,"AddModuleScore","MANNE_UP",TRUE,"gmm_dist_dual"
"DCs","CD8 Naive",0,0,22,14,-0.131257307686134,36,0.388888888888889,0.499999964285717,"AddModuleScore","MANNE_UP",TRUE,"gmm_dist_dual"
"DCs","CD8 Naive_2",0,0,1,1,-0.38350839700491,2,0.5,0.4999995000005,"AddModuleScore","MANNE_UP",TRUE,"gmm_dist_dual"
"DCs","CD8 Proliferating",0,0,2,0,0.0028586463955183,2,0,0,"AddModuleScore","MANNE_UP",TRUE,"gmm_dist_dual"
"DCs","CD8 TCM_1",0,0,0,2,0.0571078569308351,2,1,0.499999750000125,"AddModuleScore","MANNE_UP",TRUE,"gmm_dist_dual"
"DCs","CD8 TCM_2",0,0,2,1,-0.112326641382927,3,0.333333333333333,0.4999995000005,"AddModuleScore","MANNE_UP",TRUE,"gmm_dist_dual"
"DCs","CD8 TCM_3",0,0,2,1,-0.368459417454174,3,0.333333333333333,0.4999995000005,"AddModuleScore","MANNE_UP",TRUE,"gmm_dist_dual"
"DCs","CD8 TEM_1",0,0,5,2,-0.166240650192208,7,0.285714285714286,0.499999750000125,"AddModuleScore","MANNE_UP",TRUE,"gmm_dist_dual"
"DCs","CD8 TEM_2",0,0,2,0,-0.380881259726877,2,0,0,"AddModuleScore","MANNE_UP",TRUE,"gmm_dist_dual"
