"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,0,0,36,-0.629637731477979,36,1,0.499999986111112,"AddModuleScore","MANNE_UP",TRUE,"gmm_dist_platelet"
"B-cells","B intermediate lambda",0,2,0,164,-0.716806765969761,166,0.987951807228916,0.493975900638699,"AddModuleScore","MANNE_UP",TRUE,"gmm_dist_platelet"
"B-cells","B memory kappa",0,1,1,43,-0.465102529660042,45,0.955555555555556,0.488636352530992,"AddModuleScore","MANNE_UP",TRUE,"gmm_dist_platelet"
"B-cells","B memory lambda",0,2,0,32,-0.257711778890037,34,0.941176470588235,0.470588221453288,"AddModuleScore","MANNE_UP",TRUE,"gmm_dist_platelet"
"B-cells","B naive kappa",0,3,1,244,-0.807962883559186,248,0.983870967741935,0.493927123506368,"AddModuleScore","MANNE_UP",TRUE,"gmm_dist_platelet"
"B-cells","B naive lambda",0,0,0,20,-0.733473144635989,20,1,0.499999975000001,"AddModuleScore","MANNE_UP",TRUE,"gmm_dist_platelet"
"B-cells","Plasma",0,0,0,1,0.718934846389422,1,1,0.4999995000005,"AddModuleScore","MANNE_UP",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","CD14 Mono",8798,37,24332,150,0.308609400087174,33317,0.268571600084041,0.53384947431004,"AddModuleScore","MANNE_UP",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","CD16 Mono",300,0,186,6,1.4147754881551,492,0.621951219512195,0.808641891340257,"AddModuleScore","MANNE_UP",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","Doublet",43,0,97,0,0.433437507129826,140,0.307142857142857,0.15357142747449,"AddModuleScore","MANNE_UP",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","Eryth",11,0,0,0,3.72181162631798,11,1,0.499999954545459,"AddModuleScore","MANNE_UP",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","HSPC",0,0,1,0,-0.340610488062043,1,0,0,"AddModuleScore","MANNE_UP",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","Platelet",1,0,61,0,-0.819634228807745,62,0.0161290322580645,0.00806451599895942,"AddModuleScore","MANNE_UP",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","cDC1",0,0,3,0,-0.493596370188381,3,0,0,"AddModuleScore","MANNE_UP",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","cDC2_1",44,0,121,0,0.378058403245662,165,0.266666666666667,0.133333332525253,"AddModuleScore","MANNE_UP",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","cDC2_2",6,0,38,0,-0.0321046868551322,44,0.136363636363636,0.0681818166322314,"AddModuleScore","MANNE_UP",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","pDC",1,0,4,0,0.508380204101665,5,0.2,0.099999980000004,"AddModuleScore","MANNE_UP",TRUE,"gmm_dist_platelet"
"DCs","ASDC_mDC",0,0,0,1,-0.335202650228117,1,1,0.4999995000005,"AddModuleScore","MANNE_UP",TRUE,"gmm_dist_platelet"
"DCs","CD14 Mono",24,3,84,6,0.0284923141168044,117,0.256410256410256,0.444444406378605,"AddModuleScore","MANNE_UP",TRUE,"gmm_dist_platelet"
"DCs","CD16 Mono",42,3,23,2,1.48570239546793,70,0.628571428571429,0.523076878106517,"AddModuleScore","MANNE_UP",TRUE,"gmm_dist_platelet"
"DCs","CD4 CTL",0,0,3,2,0.0173142615571219,5,0.4,0.499999750000125,"AddModuleScore","MANNE_UP",TRUE,"gmm_dist_platelet"
"DCs","CD4 Naive",0,0,19,21,-0.136465235000632,40,0.525,0.499999976190477,"AddModuleScore","MANNE_UP",TRUE,"gmm_dist_platelet"
"DCs","CD4 TCM_1",1,0,13,15,0.00862563135487688,29,0.551724137931034,0.535714249829934,"AddModuleScore","MANNE_UP",TRUE,"gmm_dist_platelet"
"DCs","CD4 TCM_2",0,0,3,2,0.363554551846743,5,0.4,0.499999750000125,"AddModuleScore","MANNE_UP",TRUE,"gmm_dist_platelet"
"DCs","CD4 TCM_3",2,0,15,5,0.0850997561492096,22,0.318181818181818,0.558823425951577,"AddModuleScore","MANNE_UP",TRUE,"gmm_dist_platelet"
"DCs","CD4 TEM_1",0,0,1,2,-0.100239593224346,3,0.666666666666667,0.499999750000125,"AddModuleScore","MANNE_UP",TRUE,"gmm_dist_platelet"
"DCs","CD4 TEM_3",0,0,5,3,0.216313171475726,8,0.375,0.499999833333389,"AddModuleScore","MANNE_UP",TRUE,"gmm_dist_platelet"
"DCs","CD8 Naive",3,0,26,15,0.0312226344449859,44,0.409090909090909,0.551724102814112,"AddModuleScore","MANNE_UP",TRUE,"gmm_dist_platelet"
"DCs","CD8 Naive_2",0,0,0,1,-0.00565960391733265,1,1,0.4999995000005,"AddModuleScore","MANNE_UP",TRUE,"gmm_dist_platelet"
"DCs","CD8 Proliferating",0,0,1,0,0.50066371537294,1,0,0,"AddModuleScore","MANNE_UP",TRUE,"gmm_dist_platelet"
"DCs","CD8 TCM_1",0,0,0,2,0.271221873992248,2,1,0.499999750000125,"AddModuleScore","MANNE_UP",TRUE,"gmm_dist_platelet"
"DCs","CD8 TCM_2",0,0,2,2,-0.0175981652597418,4,0.5,0.499999750000125,"AddModuleScore","MANNE_UP",TRUE,"gmm_dist_platelet"
"DCs","CD8 TCM_3",0,0,2,1,-0.425245337361828,3,0.333333333333333,0.4999995000005,"AddModuleScore","MANNE_UP",TRUE,"gmm_dist_platelet"
"DCs","CD8 TEM_1",0,0,7,2,-0.159870175404375,9,0.222222222222222,0.499999750000125,"AddModuleScore","MANNE_UP",TRUE,"gmm_dist_platelet"
"DCs","CD8 TEM_2",0,0,2,0,-0.162791835895791,2,0,0,"AddModuleScore","MANNE_UP",TRUE,"gmm_dist_platelet"
"DCs","CD8 TEM_4",0,0,2,5,-0.105358514024673,7,0.714285714285714,0.49999990000002,"AddModuleScore","MANNE_UP",TRUE,"gmm_dist_platelet"
"DCs","CD8 TEM_5",0,0,1,0,0.0211817468320799,1,0,0,"AddModuleScore","MANNE_UP",TRUE,"gmm_dist_platelet"
"DCs","Doublet",10,0,6,1,1.64437647181836,17,0.647058823529412,0.812499480469251,"AddModuleScore","MANNE_UP",TRUE,"gmm_dist_platelet"
"DCs","HSPC",0,0,1,0,-0.85376288930886,1,0,0,"AddModuleScore","MANNE_UP",TRUE,"gmm_dist_platelet"
"DCs","MAIT",0,0,3,0,-0.210237869269517,3,0,0,"AddModuleScore","MANNE_UP",TRUE,"gmm_dist_platelet"
"DCs","NK Proliferating",0,0,1,0,-0.200984429048326,1,0,0,"AddModuleScore","MANNE_UP",TRUE,"gmm_dist_platelet"
"DCs","NK_1",0,0,0,1,-0.111464678948942,1,1,0.4999995000005,"AddModuleScore","MANNE_UP",TRUE,"gmm_dist_platelet"
"DCs","NK_2",0,0,1,0,-0.238271110289175,1,0,0,"AddModuleScore","MANNE_UP",TRUE,"gmm_dist_platelet"
"DCs","NK_CD56bright",0,0,0,1,-0.653829187137811,1,1,0.4999995000005,"AddModuleScore","MANNE_UP",TRUE,"gmm_dist_platelet"
"DCs","Platelet",1,0,19,2,-0.811505797418041,22,0.136363636363636,0.524999748750125,"AddModuleScore","MANNE_UP",TRUE,"gmm_dist_platelet"
"DCs","Treg Memory",0,0,2,0,0.499044333589594,2,0,0,"AddModuleScore","MANNE_UP",TRUE,"gmm_dist_platelet"
"DCs","Treg Naive",0,0,3,1,-0.119435423710443,4,0.25,0.4999995000005,"AddModuleScore","MANNE_UP",TRUE,"gmm_dist_platelet"
"DCs","cDC2_1",5,0,11,0,0.199376111867218,16,0.3125,0.156249990234376,"AddModuleScore","MANNE_UP",TRUE,"gmm_dist_platelet"
"DCs","cDC2_2",6,1,32,12,-0.00156954670391345,51,0.352941176470588,0.540485792378996,"AddModuleScore","MANNE_UP",TRUE,"gmm_dist_platelet"
"DCs","gdT_1",0,0,1,0,0.4522158502115,1,0,0,"AddModuleScore","MANNE_UP",TRUE,"gmm_dist_platelet"
"DCs","gdT_2",0,0,0,2,0.227412194203309,2,1,0.499999750000125,"AddModuleScore","MANNE_UP",TRUE,"gmm_dist_platelet"
"DCs","gdT_3",0,0,0,1,-0.671186083709747,1,1,0.4999995000005,"AddModuleScore","MANNE_UP",TRUE,"gmm_dist_platelet"
"DCs","gdT_4",0,0,1,0,0.798028466572628,1,0,0,"AddModuleScore","MANNE_UP",TRUE,"gmm_dist_platelet"
"DCs","pDC",0,0,3,0,0.587025148212804,3,0,0,"AddModuleScore","MANNE_UP",TRUE,"gmm_dist_platelet"
"Early-NK-cells","CD16 Mono",1,4,0,1,1.24928178032266,6,0.333333333333333,0.599999480000504,"AddModuleScore","MANNE_UP",TRUE,"gmm_dist_platelet"
"Early-NK-cells","CD4 Naive",0,0,0,1,-1.5207039023753,1,1,0.4999995000005,"AddModuleScore","MANNE_UP",TRUE,"gmm_dist_platelet"
"Early-NK-cells","CD4 TCM_1",0,0,0,1,-0.509828475261678,1,1,0.4999995000005,"AddModuleScore","MANNE_UP",TRUE,"gmm_dist_platelet"
"Early-NK-cells","CD8 TEM_1",0,0,1,0,-0.444504962788307,1,0,0,"AddModuleScore","MANNE_UP",TRUE,"gmm_dist_platelet"
"Early-NK-cells","CD8 TEM_2",0,0,0,2,-0.147071507179832,2,1,0.499999750000125,"AddModuleScore","MANNE_UP",TRUE,"gmm_dist_platelet"
"Early-NK-cells","CD8 TEM_4",0,1,0,4,0.344895519825471,5,0.8,0.399999920000016,"AddModuleScore","MANNE_UP",TRUE,"gmm_dist_platelet"
"Early-NK-cells","CD8 TEM_5",0,0,1,16,-0.137031081648322,17,0.941176470588235,0.499999968750002,"AddModuleScore","MANNE_UP",TRUE,"gmm_dist_platelet"
