"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,0,0,28,-0.675965375821994,28,1,0.499999982142858,"AddModuleScore","MANNE_UP",TRUE,"kmeans"
"B-cells","B intermediate lambda",0,1,0,141,-0.715366824177252,142,0.992957746478873,0.496478869743107,"AddModuleScore","MANNE_UP",TRUE,"kmeans"
"B-cells","B memory kappa",0,0,0,35,-0.504896940893157,35,1,0.499999985714286,"AddModuleScore","MANNE_UP",TRUE,"kmeans"
"B-cells","B memory lambda",0,1,0,29,-0.3333896480154,30,0.966666666666667,0.483333317222223,"AddModuleScore","MANNE_UP",TRUE,"kmeans"
"B-cells","B naive kappa",0,0,1,204,-0.903423262876207,205,0.995121951219512,0.49999999754902,"AddModuleScore","MANNE_UP",TRUE,"kmeans"
"B-cells","B naive lambda",0,0,0,15,-0.798508921996519,15,1,0.499999966666669,"AddModuleScore","MANNE_UP",TRUE,"kmeans"
"B-cells","Plasma",0,1,0,1,3.20342917341156,2,0.5,0.249999875000062,"AddModuleScore","MANNE_UP",TRUE,"kmeans"
"Classical-Monocytes","CD14 Mono",7187,34,18381,115,0.563930510574402,25717,0.283936695571023,0.526452814894513,"AddModuleScore","MANNE_UP",TRUE,"kmeans"
"Classical-Monocytes","CD16 Mono",207,4,80,2,1.84691606520842,293,0.713310580204778,0.527293815332701,"AddModuleScore","MANNE_UP",TRUE,"kmeans"
"Classical-Monocytes","Doublet",40,0,69,0,0.755605162855068,109,0.36697247706422,0.18348623684875,"AddModuleScore","MANNE_UP",TRUE,"kmeans"
"Classical-Monocytes","HSPC",0,0,1,0,-0.413649796231239,1,0,0,"AddModuleScore","MANNE_UP",TRUE,"kmeans"
"Classical-Monocytes","Platelet",2,0,57,0,-0.386264835782914,59,0.0338983050847458,0.0169491522550991,"AddModuleScore","MANNE_UP",TRUE,"kmeans"
"Classical-Monocytes","cDC1",0,0,2,0,-0.111743312868371,2,0,0,"AddModuleScore","MANNE_UP",TRUE,"kmeans"
