"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,1,0,35,-0.629637731477979,36,0.972222222222222,0.486111097608025,"AddModuleScore","MANNE_UP",TRUE,"youden"
"B-cells","B intermediate lambda",0,3,0,163,-0.716806765969761,166,0.981927710843373,0.490963852464073,"AddModuleScore","MANNE_UP",TRUE,"youden"
"B-cells","B memory kappa",0,5,1,39,-0.465102529660042,45,0.866666666666667,0.443181808109504,"AddModuleScore","MANNE_UP",TRUE,"youden"
"B-cells","B memory lambda",0,3,0,31,-0.257711778890037,34,0.911764705882353,0.455882339532872,"AddModuleScore","MANNE_UP",TRUE,"youden"
"B-cells","B naive kappa",0,5,1,242,-0.807962883559186,248,0.975806451612903,0.489878540526808,"AddModuleScore","MANNE_UP",TRUE,"youden"
"B-cells","B naive lambda",0,1,0,19,-0.733473144635989,20,0.95,0.474999976250001,"AddModuleScore","MANNE_UP",TRUE,"youden"
"B-cells","Plasma",0,1,0,0,0.718934846389422,1,0,0,"AddModuleScore","MANNE_UP",TRUE,"youden"
"Classical-Monocytes","CD14 Mono",12112,56,21018,131,0.308609400087174,33317,0.367470060329561,0.533062427604343,"AddModuleScore","MANNE_UP",TRUE,"youden"
"Classical-Monocytes","CD16 Mono",355,5,131,1,1.4147754881551,492,0.723577235772358,0.448559656141512,"AddModuleScore","MANNE_UP",TRUE,"youden"
"Classical-Monocytes","Doublet",55,0,85,0,0.433437507129826,140,0.392857142857143,0.19642857002551,"AddModuleScore","MANNE_UP",TRUE,"youden"
"Classical-Monocytes","Eryth",11,0,0,0,3.72181162631798,11,1,0.499999954545459,"AddModuleScore","MANNE_UP",TRUE,"youden"
"Classical-Monocytes","HSPC",0,0,1,0,-0.340610488062043,1,0,0,"AddModuleScore","MANNE_UP",TRUE,"youden"
"Classical-Monocytes","Platelet",1,0,61,0,-0.819634228807745,62,0.0161290322580645,0.00806451599895942,"AddModuleScore","MANNE_UP",TRUE,"youden"
"Classical-Monocytes","cDC1",1,0,2,0,-0.493596370188381,3,0.333333333333333,0.16666661111113,"AddModuleScore","MANNE_UP",TRUE,"youden"
"Classical-Monocytes","cDC2_1",66,0,99,0,0.378058403245662,165,0.4,0.199999998787879,"AddModuleScore","MANNE_UP",TRUE,"youden"
"Classical-Monocytes","cDC2_2",9,0,35,0,-0.0321046868551322,44,0.204545454545455,0.102272724948347,"AddModuleScore","MANNE_UP",TRUE,"youden"
"Classical-Monocytes","pDC",1,0,4,0,0.508380204101665,5,0.2,0.099999980000004,"AddModuleScore","MANNE_UP",TRUE,"youden"
"DCs","ASDC_mDC",0,0,0,1,-0.335202650228117,1,1,0.4999995000005,"AddModuleScore","MANNE_UP",TRUE,"youden"
"DCs","CD14 Mono",31,4,77,5,0.0284923141168044,117,0.307692307692308,0.421296264103227,"AddModuleScore","MANNE_UP",TRUE,"youden"
"DCs","CD16 Mono",53,3,12,2,1.48570239546793,70,0.785714285714286,0.607692261420126,"AddModuleScore","MANNE_UP",TRUE,"youden"
"DCs","CD4 CTL",0,0,3,2,0.0173142615571219,5,0.4,0.499999750000125,"AddModuleScore","MANNE_UP",TRUE,"youden"
"DCs","CD4 Naive",2,4,17,17,-0.136465235000632,40,0.475,0.457393461664815,"AddModuleScore","MANNE_UP",TRUE,"youden"
"DCs","CD4 TCM_1",1,3,13,12,0.00862563135487688,29,0.448275862068966,0.435714256496601,"AddModuleScore","MANNE_UP",TRUE,"youden"
"DCs","CD4 TCM_2",1,0,2,2,0.363554551846743,5,0.6,0.666666361111255,"AddModuleScore","MANNE_UP",TRUE,"youden"
"DCs","CD4 TCM_3",3,0,14,5,0.0850997561492096,22,0.363636363636364,0.588235188927356,"AddModuleScore","MANNE_UP",TRUE,"youden"
"DCs","CD4 TEM_1",0,0,1,2,-0.100239593224346,3,0.666666666666667,0.499999750000125,"AddModuleScore","MANNE_UP",TRUE,"youden"
"DCs","CD4 TEM_3",0,1,5,2,0.216313171475726,8,0.25,0.333333222222259,"AddModuleScore","MANNE_UP",TRUE,"youden"
"DCs","CD8 Naive",3,1,26,14,0.0312226344449859,44,0.386363636363636,0.518390771703001,"AddModuleScore","MANNE_UP",TRUE,"youden"
"DCs","CD8 Naive_2",0,0,0,1,-0.00565960391733265,1,1,0.4999995000005,"AddModuleScore","MANNE_UP",TRUE,"youden"
"DCs","CD8 Proliferating",0,0,1,0,0.50066371537294,1,0,0,"AddModuleScore","MANNE_UP",TRUE,"youden"
"DCs","CD8 TCM_1",0,1,0,1,0.271221873992248,2,0.5,0.249999875000062,"AddModuleScore","MANNE_UP",TRUE,"youden"
"DCs","CD8 TCM_2",1,0,1,2,-0.0175981652597418,4,0.75,0.749999625000187,"AddModuleScore","MANNE_UP",TRUE,"youden"
"DCs","CD8 TCM_3",0,0,2,1,-0.425245337361828,3,0.333333333333333,0.4999995000005,"AddModuleScore","MANNE_UP",TRUE,"youden"
"DCs","CD8 TEM_1",1,0,6,2,-0.159870175404375,9,0.333333333333333,0.571428311224616,"AddModuleScore","MANNE_UP",TRUE,"youden"
"DCs","CD8 TEM_2",1,0,1,0,-0.162791835895791,2,0.5,0.249999875000062,"AddModuleScore","MANNE_UP",TRUE,"youden"
"DCs","CD8 TEM_4",0,0,2,5,-0.105358514024673,7,0.714285714285714,0.49999990000002,"AddModuleScore","MANNE_UP",TRUE,"youden"
"DCs","CD8 TEM_5",0,0,1,0,0.0211817468320799,1,0,0,"AddModuleScore","MANNE_UP",TRUE,"youden"
"DCs","Doublet",14,0,2,1,1.64437647181836,17,0.882352941176471,0.937499472656752,"AddModuleScore","MANNE_UP",TRUE,"youden"
"DCs","HSPC",0,0,1,0,-0.85376288930886,1,0,0,"AddModuleScore","MANNE_UP",TRUE,"youden"
"DCs","MAIT",1,0,2,0,-0.210237869269517,3,0.333333333333333,0.16666661111113,"AddModuleScore","MANNE_UP",TRUE,"youden"
"DCs","NK Proliferating",0,0,1,0,-0.200984429048326,1,0,0,"AddModuleScore","MANNE_UP",TRUE,"youden"
"DCs","NK_1",0,0,0,1,-0.111464678948942,1,1,0.4999995000005,"AddModuleScore","MANNE_UP",TRUE,"youden"
"DCs","NK_2",0,0,1,0,-0.238271110289175,1,0,0,"AddModuleScore","MANNE_UP",TRUE,"youden"
"DCs","NK_CD56bright",0,0,0,1,-0.653829187137811,1,1,0.4999995000005,"AddModuleScore","MANNE_UP",TRUE,"youden"
"DCs","Platelet",0,0,20,2,-0.811505797418041,22,0.0909090909090909,0.499999750000125,"AddModuleScore","MANNE_UP",TRUE,"youden"
"DCs","Treg Memory",1,0,1,0,0.499044333589594,2,0.5,0.249999875000062,"AddModuleScore","MANNE_UP",TRUE,"youden"
"DCs","Treg Naive",1,0,2,1,-0.119435423710443,4,0.5,0.66666611111163,"AddModuleScore","MANNE_UP",TRUE,"youden"
"DCs","cDC2_1",6,0,10,0,0.199376111867218,16,0.375,0.187499988281251,"AddModuleScore","MANNE_UP",TRUE,"youden"
"DCs","cDC2_2",12,2,26,11,-0.00156954670391345,51,0.450980392156863,0.580971623219528,"AddModuleScore","MANNE_UP",TRUE,"youden"
"DCs","gdT_1",0,0,1,0,0.4522158502115,1,0,0,"AddModuleScore","MANNE_UP",TRUE,"youden"
"DCs","gdT_2",0,0,0,2,0.227412194203309,2,1,0.499999750000125,"AddModuleScore","MANNE_UP",TRUE,"youden"
"DCs","gdT_3",0,0,0,1,-0.671186083709747,1,1,0.4999995000005,"AddModuleScore","MANNE_UP",TRUE,"youden"
"DCs","gdT_4",1,0,0,0,0.798028466572628,1,1,0.4999995000005,"AddModuleScore","MANNE_UP",TRUE,"youden"
"DCs","pDC",2,0,1,0,0.587025148212804,3,0.666666666666667,0.333333222222259,"AddModuleScore","MANNE_UP",TRUE,"youden"
"Early-NK-cells","CD16 Mono",1,4,0,1,1.24928178032266,6,0.333333333333333,0.599999480000504,"AddModuleScore","MANNE_UP",TRUE,"youden"
"Early-NK-cells","CD4 Naive",0,0,0,1,-1.5207039023753,1,1,0.4999995000005,"AddModuleScore","MANNE_UP",TRUE,"youden"
"Early-NK-cells","CD4 TCM_1",0,0,0,1,-0.509828475261678,1,1,0.4999995000005,"AddModuleScore","MANNE_UP",TRUE,"youden"
"Early-NK-cells","CD8 TEM_1",0,0,1,0,-0.444504962788307,1,0,0,"AddModuleScore","MANNE_UP",TRUE,"youden"
"Early-NK-cells","CD8 TEM_2",0,0,0,2,-0.147071507179832,2,1,0.499999750000125,"AddModuleScore","MANNE_UP",TRUE,"youden"
"Early-NK-cells","CD8 TEM_4",0,2,0,3,0.344895519825471,5,0.6,0.299999940000012,"AddModuleScore","MANNE_UP",TRUE,"youden"
"Early-NK-cells","CD8 TEM_5",0,1,1,15,-0.137031081648322,17,0.882352941176471,0.468749970703127,"AddModuleScore","MANNE_UP",TRUE,"youden"
"Early-NK-cells","NK Proliferating",0,3,0,27,-0.49156690185105,30,0.9,0.449999985,"AddModuleScore","MANNE_UP",TRUE,"youden"
"Early-NK-cells","NK_1",2,103,10,617,-0.170509079153487,732,0.845628415300546,0.511805548016011,"AddModuleScore","MANNE_UP",TRUE,"youden"
"Early-NK-cells","NK_2",0,52,4,232,-0.0813011560530456,288,0.805555555555556,0.408450702787145,"AddModuleScore","MANNE_UP",TRUE,"youden"
"Early-NK-cells","NK_3",1,1,0,38,-0.515161745588618,40,0.975,0.987178974688206,"AddModuleScore","MANNE_UP",TRUE,"youden"
"Early-NK-cells","NK_4",0,3,0,16,-0.140099259972758,19,0.842105263157895,0.421052609418284,"AddModuleScore","MANNE_UP",TRUE,"youden"
"Early-NK-cells","NK_CD56bright",0,0,0,1,0.106409885419246,1,1,0.4999995000005,"AddModuleScore","MANNE_UP",TRUE,"youden"
"Early-NK-cells","cDC2_2",0,0,0,1,-0.618324213265132,1,1,0.4999995000005,"AddModuleScore","MANNE_UP",TRUE,"youden"
"Early-NK-cells","gdT_2",0,0,0,1,-0.371831642293717,1,1,0.4999995000005,"AddModuleScore","MANNE_UP",TRUE,"youden"
"Early-NK-cells","pDC",0,0,0,1,-0.232784067078132,1,1,0.4999995000005,"AddModuleScore","MANNE_UP",TRUE,"youden"
"Intermediate-Monocytes","CD14 Mono",343,8,270,8,0.908953590116882,629,0.558028616852146,0.52977159892676,"AddModuleScore","MANNE_UP",TRUE,"youden"
"Intermediate-Monocytes","CD16 Mono",1865,29,242,4,1.90246759124284,2140,0.873364485981308,0.503178436347789,"AddModuleScore","MANNE_UP",TRUE,"youden"
"Intermediate-Monocytes","Doublet",111,0,19,0,1.74578245503127,130,0.853846153846154,0.426923073639053,"AddModuleScore","MANNE_UP",TRUE,"youden"
"Intermediate-Monocytes","Platelet",1,0,3,0,0.443746141148876,4,0.25,0.124999968750008,"AddModuleScore","MANNE_UP",TRUE,"youden"
"Late-NK-cells","ASDC_mDC",0,1,0,16,-0.191541759512982,17,0.941176470588235,0.470588207612458,"AddModuleScore","MANNE_UP",TRUE,"youden"
"Late-NK-cells","ASDC_pDC",1,2,2,5,0.349238074526371,10,0.6,0.523809417233586,"AddModuleScore","MANNE_UP",TRUE,"youden"
"Late-NK-cells","B intermediate kappa",0,0,0,4,-0.343629320681583,4,1,0.499999875000031,"AddModuleScore","MANNE_UP",TRUE,"youden"
"Late-NK-cells","B intermediate lambda",0,0,0,2,-0.705676246681365,2,1,0.499999750000125,"AddModuleScore","MANNE_UP",TRUE,"youden"
