"celltype_clean","celltype.l3","celltype.l1","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa","B",0,0,0,36,-0.629637731477979,36,1,0.499999986111112,"AddModuleScore","MANNE_UP",TRUE,"youden_dual"
"B-cells","B intermediate lambda","B",0,0,0,166,-0.716806765969761,166,1,0.499999996987952,"AddModuleScore","MANNE_UP",TRUE,"youden_dual"
"B-cells","B memory kappa","B",0,0,1,44,-0.465102529660042,45,0.977777777777778,0.499999988636364,"AddModuleScore","MANNE_UP",TRUE,"youden_dual"
"B-cells","B memory lambda","B",0,0,0,34,-0.257711778890037,34,1,0.499999985294118,"AddModuleScore","MANNE_UP",TRUE,"youden_dual"
"B-cells","B naive kappa","B",0,0,1,247,-0.807962883559186,248,0.995967741935484,0.499999997975708,"AddModuleScore","MANNE_UP",TRUE,"youden_dual"
"B-cells","B naive lambda","B",0,0,0,20,-0.733473144635989,20,1,0.499999975000001,"AddModuleScore","MANNE_UP",TRUE,"youden_dual"
"B-cells","Plasma","B",0,0,0,1,0.718934846389422,1,1,0.4999995000005,"AddModuleScore","MANNE_UP",TRUE,"youden_dual"
"Classical-Monocytes","CD14 Mono","Mono",26364,150,6766,37,0.308609400087174,33317,0.79241828495963,0.496817592121787,"AddModuleScore","MANNE_UP",TRUE,"youden_dual"
"Classical-Monocytes","CD16 Mono","Mono",452,6,34,0,1.4147754881551,492,0.91869918699187,0.465020575174855,"AddModuleScore","MANNE_UP",TRUE,"youden_dual"
"Classical-Monocytes","Doublet","other",117,0,23,0,0.433437507129826,140,0.835714285714286,0.417857139872449,"AddModuleScore","MANNE_UP",TRUE,"youden_dual"
"Classical-Monocytes","Eryth","other",9,0,2,0,3.72181162631798,11,0.818181818181818,0.40909087190083,"AddModuleScore","MANNE_UP",TRUE,"youden_dual"
"Classical-Monocytes","HSPC","other",0,0,1,0,-0.340610488062043,1,0,0,"AddModuleScore","MANNE_UP",TRUE,"youden_dual"
"Classical-Monocytes","Platelet","other",11,0,51,0,-0.819634228807745,62,0.17741935483871,0.0887096759885536,"AddModuleScore","MANNE_UP",TRUE,"youden_dual"
"Classical-Monocytes","cDC1","DC",0,0,3,0,-0.493596370188381,3,0,0,"AddModuleScore","MANNE_UP",TRUE,"youden_dual"
"Classical-Monocytes","cDC2_1","DC",59,0,106,0,0.378058403245662,165,0.357575757575758,0.178787877704316,"AddModuleScore","MANNE_UP",TRUE,"youden_dual"
"Classical-Monocytes","cDC2_2","DC",0,0,44,0,-0.0321046868551322,44,0,0,"AddModuleScore","MANNE_UP",TRUE,"youden_dual"
