"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,2,0,34,-0.718361292450852,36,0.944444444444444,0.472222209104939,"UCell","MANNE_UP",FALSE,"gmm_dist_dual"
"B-cells","B intermediate lambda",0,4,0,162,-0.996756883354739,166,0.975903614457831,0.487951804289447,"UCell","MANNE_UP",FALSE,"gmm_dist_dual"
"B-cells","B memory kappa",0,1,1,43,-0.429391004937951,45,0.955555555555556,0.488636352530992,"UCell","MANNE_UP",FALSE,"gmm_dist_dual"
"B-cells","B memory lambda",0,1,0,33,-0.149565342566706,34,0.970588235294118,0.485294103373703,"UCell","MANNE_UP",FALSE,"gmm_dist_dual"
"B-cells","B naive kappa",0,1,1,246,-0.852438224940684,248,0.991935483870968,0.497975706485928,"UCell","MANNE_UP",FALSE,"gmm_dist_dual"
"B-cells","B naive lambda",0,0,0,20,-0.898253641291895,20,1,0.499999975000001,"UCell","MANNE_UP",FALSE,"gmm_dist_dual"
"B-cells","Plasma",0,0,0,1,2.14886416265423,1,1,0.4999995000005,"UCell","MANNE_UP",FALSE,"gmm_dist_dual"
"Classical-Monocytes","CD14 Mono",12464,61,20666,126,-0.251738380957815,33317,0.377885163730228,0.52500584939307,"UCell","MANNE_UP",FALSE,"gmm_dist_dual"
"Classical-Monocytes","CD16 Mono",325,3,161,3,0.389398674156442,492,0.666666666666667,0.584362097563048,"UCell","MANNE_UP",FALSE,"gmm_dist_dual"
"Classical-Monocytes","Doublet",61,0,79,0,-0.162284856562902,140,0.435714285714286,0.21785714130102,"UCell","MANNE_UP",FALSE,"gmm_dist_dual"
"Classical-Monocytes","Eryth",10,0,1,0,3.2438901617084,11,0.909090909090909,0.454545413223144,"UCell","MANNE_UP",FALSE,"gmm_dist_dual"
"Classical-Monocytes","HSPC",0,0,1,0,-0.658402658885961,1,0,0,"UCell","MANNE_UP",FALSE,"gmm_dist_dual"
"Classical-Monocytes","Platelet",6,0,56,0,-1.14306851509672,62,0.0967741935483871,0.0483870959937565,"UCell","MANNE_UP",FALSE,"gmm_dist_dual"
"Classical-Monocytes","cDC1",1,0,2,0,-0.00187489652193912,3,0.333333333333333,0.16666661111113,"UCell","MANNE_UP",FALSE,"gmm_dist_dual"
